timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757687280000,0.6869,0.6869,0.6869,2,0.6869,359,0.6869,2025-09-12 14:28:00+00:00
1757687400000,0.6862,0.6862,0.6862,1,0.6862,100,0.6862,2025-09-12 14:30:00+00:00
1757687580000,0.6843,0.6843,0.6803,2,0.6803,245,0.682667,2025-09-12 14:33:00+00:00
1757687640000,0.6847,0.6847,0.6847,1,0.6847,2000,0.6847,2025-09-12 14:34:00+00:00
1757687700000,0.6864,0.6864,0.6802,3,0.6802,2200,0.681082,2025-09-12 14:35:00+00:00
1757687820000,0.6835,0.6835,0.6802,2,0.6802,11516,0.680229,2025-09-12 14:37:00+00:00
1757687940000,0.6802,0.6836,0.6802,3,0.6836,3279,0.68228,2025-09-12 14:39:00+00:00
1757688000000,0.6849,0.6849,0.6849,3,0.6849,521,0.6849,2025-09-12 14:40:00+00:00
1757688060000,0.6844,0.6844,0.6802,7,0.6802,20702,0.684296,2025-09-12 14:41:00+00:00
1757688120000,0.68,0.6806,0.68,8,0.6806,1710,0.680065,2025-09-12 14:42:00+00:00
1757688180000,0.6828,0.6828,0.6828,1,0.6828,300,0.6828,2025-09-12 14:43:00+00:00
1757688240000,0.6803,0.6823,0.6803,2,0.6823,885,0.682074,2025-09-12 14:44:00+00:00
1757688300000,0.6825,0.6825,0.6825,1,0.6825,200,0.6825,2025-09-12 14:45:00+00:00
1757688360000,0.6814,0.6814,0.6814,7,0.6814,280,0.6814,2025-09-12 14:46:00+00:00
1757688420000,0.68,0.6811,0.68,14,0.6811,1950,0.680104,2025-09-12 14:47:00+00:00
1757688600000,0.6839,0.6839,0.6839,3,0.6839,575,0.6839,2025-09-12 14:50:00+00:00
1757688720000,0.6839,0.6839,0.6839,1,0.6839,250,0.6839,2025-09-12 14:52:00+00:00
1757688900000,0.6801,0.6838,0.6801,3,0.6838,1700,0.682088,2025-09-12 14:55:00+00:00
1757688960000,0.6819,0.6819,0.6819,3,0.6819,260,0.6819,2025-09-12 14:56:00+00:00
1757689020000,0.6824,0.6824,0.6809,14,0.6815,2866,0.681477,2025-09-12 14:57:00+00:00
1757689200000,0.6837,0.6838,0.6837,3,0.6838,330,0.683734,2025-09-12 15:00:00+00:00
1757689440000,0.6837,0.6837,0.6837,1,0.6837,100,0.6837,2025-09-12 15:04:00+00:00
1757689500000,0.6838,0.6838,0.6838,2,0.6838,273,0.6838,2025-09-12 15:05:00+00:00
1757689560000,0.6838,0.6838,0.6838,3,0.6838,2450,0.6838,2025-09-12 15:06:00+00:00
1757689620000,0.6804,0.6804,0.6804,2,0.6804,1990,0.6804,2025-09-12 15:07:00+00:00
1757689860000,0.6818,0.6818,0.6818,1,0.6818,600,0.6818,2025-09-12 15:11:00+00:00
1757690100000,0.6837,0.6837,0.6837,3,0.6837,240,0.6837,2025-09-12 15:15:00+00:00
1757690160000,0.6822,0.6836,0.6822,5,0.6833,7633,0.683292,2025-09-12 15:16:00+00:00
1757690220000,0.6811,0.6814,0.681,5,0.6814,1700,0.6811,2025-09-12 15:17:00+00:00
1757690340000,0.6824,0.6839,0.6824,15,0.6828,12513,0.683508,2025-09-12 15:19:00+00:00
1757690400000,0.6824,0.6824,0.6824,1,0.6824,500,0.6824,2025-09-12 15:20:00+00:00
1757690580000,0.6823,0.6823,0.681,3,0.681,1540,0.681867,2025-09-12 15:23:00+00:00
1757690640000,0.6801,0.6824,0.68,30,0.6824,20700,0.680208,2025-09-12 15:24:00+00:00
1757690700000,0.68,0.6833,0.68,17,0.6806,2275,0.681219,2025-09-12 15:25:00+00:00
1757690760000,0.68,0.68,0.68,4,0.68,1300,0.68,2025-09-12 15:26:00+00:00
1757690940000,0.6801,0.6803,0.6801,6,0.6801,1800,0.680111,2025-09-12 15:29:00+00:00
1757691000000,0.68,0.68,0.68,1,0.68,1285,0.68,2025-09-12 15:30:00+00:00
1757691060000,0.68,0.68,0.68,2,0.68,340,0.68,2025-09-12 15:31:00+00:00
1757691120000,0.6834,0.6834,0.6801,7,0.6801,1818,0.681932,2025-09-12 15:32:00+00:00
1757691180000,0.6801,0.6801,0.6801,1,0.6801,118,0.6801,2025-09-12 15:33:00+00:00
1757691300000,0.6833,0.6833,0.6818,3,0.6818,344,0.682425,2025-09-12 15:35:00+00:00
1757691480000,0.6833,0.6833,0.6833,4,0.6833,430,0.6833,2025-09-12 15:38:00+00:00
1757691720000,0.6801,0.6801,0.6801,1,0.6801,1040,0.6801,2025-09-12 15:42:00+00:00
1757691780000,0.6801,0.6801,0.6801,1,0.6801,100,0.6801,2025-09-12 15:43:00+00:00
1757691960000,0.6802,0.6828,0.6801,6,0.6828,1431,0.682036,2025-09-12 15:46:00+00:00
1757692020000,0.6802,0.6802,0.68,4,0.6802,305,0.680133,2025-09-12 15:47:00+00:00
1757692080000,0.68,0.68,0.68,1,0.68,1400,0.68,2025-09-12 15:48:00+00:00
1757692200000,0.6802,0.6802,0.6802,1,0.6802,500,0.6802,2025-09-12 15:50:00+00:00
1757692260000,0.6813,0.6813,0.68,20,0.6802,5226,0.680434,2025-09-12 15:51:00+00:00
1757692320000,0.682,0.6821,0.68,20,0.68,27204,0.68194,2025-09-12 15:52:00+00:00
1757692380000,0.6811,0.6811,0.6811,2,0.6811,900,0.6811,2025-09-12 15:53:00+00:00
1757692440000,0.6811,0.6811,0.6811,2,0.6811,600,0.6811,2025-09-12 15:54:00+00:00
1757692500000,0.6811,0.6811,0.6811,1,0.6811,300,0.6811,2025-09-12 15:55:00+00:00
1757692560000,0.6811,0.6811,0.6811,2,0.6811,600,0.6811,2025-09-12 15:56:00+00:00
1757692680000,0.6818,0.6818,0.6811,6,0.6811,840,0.6813,2025-09-12 15:58:00+00:00
1757692860000,0.6801,0.6801,0.6801,4,0.6801,4004,0.6801,2025-09-12 16:01:00+00:00
1757692920000,0.6802,0.681,0.6802,2,0.681,4000,0.6804,2025-09-12 16:02:00+00:00
1757693040000,0.6821,0.6821,0.6811,21,0.6811,15344,0.682005,2025-09-12 16:04:00+00:00
1757693100000,0.6821,0.6821,0.6801,5,0.6801,900,0.680544,2025-09-12 16:05:00+00:00
1757693160000,0.68,0.6801,0.68,7,0.6801,1736,0.680006,2025-09-12 16:06:00+00:00
1757693280000,0.681,0.681,0.681,3,0.681,832,0.681,2025-09-12 16:08:00+00:00
1757693460000,0.6815,0.6815,0.6811,2,0.6811,400,0.6814,2025-09-12 16:11:00+00:00
1757693520000,0.6812,0.6813,0.6812,4,0.6813,1064,0.681237,2025-09-12 16:12:00+00:00
1757693580000,0.6801,0.6811,0.6801,3,0.6811,1568,0.68017,2025-09-12 16:13:00+00:00
1757693640000,0.68,0.6801,0.68,6,0.6801,1481,0.68004,2025-09-12 16:14:00+00:00
1757693820000,0.68,0.68,0.68,8,0.68,2682,0.68,2025-09-12 16:17:00+00:00
1757694000000,0.6803,0.6803,0.6803,4,0.6803,113,0.6803,2025-09-12 16:20:00+00:00
1757694060000,0.6803,0.6803,0.6803,1,0.6803,300,0.6803,2025-09-12 16:21:00+00:00
1757694120000,0.6807,0.6807,0.6804,10,0.6806,2300,0.680571,2025-09-12 16:22:00+00:00
1757694180000,0.6801,0.6802,0.6801,2,0.6802,1000,0.68015,2025-09-12 16:23:00+00:00
1757694360000,0.6806,0.6806,0.6806,1,0.6806,500,0.6806,2025-09-12 16:26:00+00:00
1757694480000,0.6802,0.6802,0.6802,4,0.6802,443,0.6802,2025-09-12 16:28:00+00:00
1757694540000,0.6804,0.6805,0.6804,3,0.6805,400,0.680467,2025-09-12 16:29:00+00:00
1757694600000,0.6806,0.6806,0.6806,1,0.6806,100,0.6806,2025-09-12 16:30:00+00:00
1757694660000,0.6802,0.6802,0.6802,2,0.6802,5325,0.6802,2025-09-12 16:31:00+00:00
1757694900000,0.68,0.6801,0.68,23,0.6801,31872,0.680006,2025-09-12 16:35:00+00:00
1757694960000,0.6788,0.68,0.6788,21,0.6798,22293,0.679936,2025-09-12 16:36:00+00:00
1757695020000,0.6783,0.6786,0.6783,22,0.6786,4822,0.678472,2025-09-12 16:37:00+00:00
1757695080000,0.676,0.6768,0.6758,14,0.6768,7212,0.676589,2025-09-12 16:38:00+00:00
1757695140000,0.674,0.6758,0.674,26,0.6753,26478,0.674981,2025-09-12 16:39:00+00:00
1757695200000,0.6738,0.6743,0.6736,18,0.6743,3009,0.673827,2025-09-12 16:40:00+00:00
1757695260000,0.6728,0.674,0.672,14,0.674,3300,0.673422,2025-09-12 16:41:00+00:00
1757695320000,0.67,0.6711,0.67,61,0.671,118121,0.670087,2025-09-12 16:42:00+00:00
1757695380000,0.67,0.6708,0.67,6,0.6708,1901,0.670043,2025-09-12 16:43:00+00:00
1757695440000,0.6708,0.6708,0.67,4,0.6701,3000,0.67006,2025-09-12 16:44:00+00:00
1757695500000,0.6708,0.6708,0.6701,3,0.6708,2000,0.67045,2025-09-12 16:45:00+00:00
1757695560000,0.6701,0.6708,0.6701,5,0.6704,1494,0.670433,2025-09-12 16:46:00+00:00
1757695620000,0.6701,0.6702,0.6701,4,0.6702,1300,0.670108,2025-09-12 16:47:00+00:00
1757695680000,0.6704,0.6709,0.67,7,0.6709,2398,0.670471,2025-09-12 16:48:00+00:00
1757695740000,0.6704,0.6704,0.6704,2,0.6704,280,0.6704,2025-09-12 16:49:00+00:00
1757695800000,0.6707,0.6707,0.67,9,0.6701,9370,0.670561,2025-09-12 16:50:00+00:00
1757695920000,0.67,0.67,0.67,2,0.67,10010,0.67,2025-09-12 16:52:00+00:00
1757696100000,0.67,0.6706,0.67,23,0.6706,3645,0.670159,2025-09-12 16:55:00+00:00
1757696160000,0.6707,0.6707,0.67,2,0.67,1110,0.670637,2025-09-12 16:56:00+00:00
1757696220000,0.6704,0.6707,0.6704,4,0.6707,634,0.670452,2025-09-12 16:57:00+00:00
1757696280000,0.67,0.6708,0.67,10,0.6708,12700,0.670636,2025-09-12 16:58:00+00:00
1757696340000,0.6704,0.6704,0.6704,1,0.6704,1500,0.6704,2025-09-12 16:59:00+00:00
1757696400000,0.6701,0.6701,0.6701,1,0.6701,400,0.6701,2025-09-12 17:00:00+00:00
1757696460000,0.6708,0.6708,0.6701,2,0.6701,650,0.670262,2025-09-12 17:01:00+00:00
1757696520000,0.6705,0.6705,0.6705,2,0.6705,1040,0.6705,2025-09-12 17:02:00+00:00
1757696580000,0.6708,0.6708,0.6705,6,0.6705,2250,0.67078,2025-09-12 17:03:00+00:00
1757696640000,0.6705,0.6705,0.6705,5,0.6705,1539,0.6705,2025-09-12 17:04:00+00:00
1757696700000,0.67,0.67,0.67,1,0.67,3000,0.67,2025-09-12 17:05:00+00:00
1757696760000,0.67,0.67,0.67,1,0.67,500,0.67,2025-09-12 17:06:00+00:00
1757696880000,0.6701,0.6706,0.6701,7,0.6706,2500,0.670244,2025-09-12 17:08:00+00:00
1757696940000,0.6707,0.6707,0.6707,4,0.6707,1006,0.6707,2025-09-12 17:09:00+00:00
1757697000000,0.6707,0.6707,0.6707,3,0.6707,823,0.6707,2025-09-12 17:10:00+00:00
1757697060000,0.6704,0.6704,0.6704,2,0.6704,140,0.6704,2025-09-12 17:11:00+00:00
1757697300000,0.6701,0.6704,0.6701,4,0.6704,290,0.67023,2025-09-12 17:15:00+00:00
1757697360000,0.6707,0.6707,0.6707,3,0.6707,155,0.6707,2025-09-12 17:16:00+00:00
1757697840000,0.6707,0.6707,0.6704,8,0.6704,3320,0.670627,2025-09-12 17:24:00+00:00
1757697900000,0.674,0.674,0.674,1,0.674,100,0.674,2025-09-12 17:25:00+00:00
1757697960000,0.673,0.6771,0.673,11,0.6771,26101,0.67688,2025-09-12 17:26:00+00:00
1757698080000,0.675,0.675,0.675,1,0.675,200,0.675,2025-09-12 17:28:00+00:00
1757698200000,0.6717,0.6717,0.6717,3,0.6717,2222,0.6717,2025-09-12 17:30:00+00:00
1757698260000,0.6769,0.6769,0.6744,5,0.6744,1550,0.676265,2025-09-12 17:31:00+00:00
1757698320000,0.6766,0.6766,0.6745,2,0.6745,333,0.675131,2025-09-12 17:32:00+00:00
1757698500000,0.6723,0.6755,0.6723,3,0.674,400,0.67395,2025-09-12 17:35:00+00:00
1757698560000,0.6717,0.6723,0.6717,12,0.6723,1260,0.672108,2025-09-12 17:36:00+00:00
1757698620000,0.6701,0.6702,0.6701,2,0.6702,2200,0.670191,2025-09-12 17:37:00+00:00
1757698680000,0.6701,0.6701,0.6701,2,0.6701,303,0.6701,2025-09-12 17:38:00+00:00
1757698800000,0.6702,0.6702,0.6702,12,0.6702,3038,0.6702,2025-09-12 17:40:00+00:00
1757699040000,0.6724,0.6724,0.6724,2,0.6724,3001,0.6724,2025-09-12 17:44:00+00:00
1757699280000,0.6725,0.6725,0.6725,1,0.6725,525,0.6725,2025-09-12 17:48:00+00:00
1757699340000,0.6727,0.6727,0.6726,7,0.6726,2691,0.672615,2025-09-12 17:49:00+00:00
1757699400000,0.6727,0.6727,0.6727,2,0.6727,200,0.6727,2025-09-12 17:50:00+00:00
1757699520000,0.6727,0.6727,0.6726,18,0.6726,3997,0.672673,2025-09-12 17:52:00+00:00
1757699580000,0.6747,0.6747,0.6728,28,0.6728,38763,0.673731,2025-09-12 17:53:00+00:00
