timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750773120000,5.56,6.3,5.56,21,6.3,1323,5.908522,2025-06-24 13:52:00+00:00
1750773180000,5.74,5.74,5.55,4,5.55,445,5.596683,2025-06-24 13:53:00+00:00
1750773480000,6.22,6.22,6.22,9,6.22,396,6.22,2025-06-24 13:58:00+00:00
1750774200000,6.01,6.01,6.01,8,6.01,195,6.01,2025-06-24 14:10:00+00:00
1750774380000,5.9816,5.9816,5.9816,3,5.9816,230,5.9816,2025-06-24 14:13:00+00:00
1750774500000,5.9816,5.9816,5.9816,1,5.9816,180,5.9816,2025-06-24 14:15:00+00:00
1750774680000,5.98,5.98,5.98,5,5.98,248,5.98,2025-06-24 14:18:00+00:00
1750774980000,5.945,5.945,5.945,3,5.945,149,5.945,2025-06-24 14:23:00+00:00
1750775100000,5.69,5.94,5.69,10,5.94,872,5.790418,2025-06-24 14:25:00+00:00
1750775400000,5.74,5.74,5.74,8,5.74,171,5.74,2025-06-24 14:30:00+00:00
1750775460000,5.74,5.74,5.74,8,5.74,135,5.74,2025-06-24 14:31:00+00:00
1750775760000,5.9799,5.9799,5.9799,4,5.9799,561,5.9799,2025-06-24 14:36:00+00:00
1750776060000,5.5882,5.5882,5.5882,2,5.5882,505,5.5882,2025-06-24 14:41:00+00:00
1750776780000,5.8304,5.8304,5.8304,2,5.8304,196,5.8304,2025-06-24 14:53:00+00:00
1750778040000,5.98,5.98,5.956,18,5.956,959,5.972752,2025-06-24 15:14:00+00:00
1750778160000,5.98,5.98,5.98,1,5.98,161,5.98,2025-06-24 15:16:00+00:00
1750778280000,5.98,5.98,5.95,18,5.97,624,5.968439,2025-06-24 15:18:00+00:00
1750778880000,6.384,6.384,6.384,1,6.384,100,6.384,2025-06-24 15:28:00+00:00
1750779240000,6.3,6.3,6.3,2,6.3,200,6.3,2025-06-24 15:34:00+00:00
1750780680000,6.3,6.3,6.3,3,6.3,337,6.3,2025-06-24 15:58:00+00:00
1750780740000,6.3,6.3,6.3,2,6.3,106,6.3,2025-06-24 15:59:00+00:00
1750786080000,6.1,6.1,6.1,1,6.1,100,6.1,2025-06-24 17:28:00+00:00
1750786200000,6.12,6.12,6.11,8,6.11,608,6.11204,2025-06-24 17:30:00+00:00
1750786260000,6.18,6.18,6.18,2,6.18,201,6.18,2025-06-24 17:31:00+00:00
1750786320000,6.18,6.18,6.18,4,6.18,399,6.18,2025-06-24 17:32:00+00:00
1750791540000,6.18,6.18,6.18,1,6.18,100,6.18,2025-06-24 18:59:00+00:00
1750791600000,6.18,6.1801,6.18,3,6.1801,358,6.180067,2025-06-24 19:00:00+00:00
1750791840000,6.2098,6.2098,6.2098,1,6.2098,100,6.2098,2025-06-24 19:04:00+00:00
1750792140000,6.21,6.21,6.21,1,6.21,1000,6.21,2025-06-24 19:09:00+00:00
1750794000000,6.18,6.24,6.18,7,6.24,343,6.215928,2025-06-24 19:40:00+00:00
1750794660000,6.18,6.18,6.18,6,6.18,833,6.18,2025-06-24 19:51:00+00:00
1750795200000,5.72,5.72,5.72,1,5.72,119,5.72,2025-06-24 20:00:00+00:00
1750859160000,5.42,5.42,5.42,14,5.42,291,5.42,2025-06-25 13:46:00+00:00
1750863840000,5.61,5.61,5.61,1,5.61,113,5.61,2025-06-25 15:04:00+00:00
1750873080000,5.8169,5.8169,5.8169,1,5.8169,100,5.8169,2025-06-25 17:38:00+00:00
1750878180000,5.77,5.8,5.77,5,5.8,698,5.774762,2025-06-25 19:03:00+00:00
1750878360000,5.75,5.76,5.75,10,5.76,503,5.755,2025-06-25 19:06:00+00:00
1750944600000,5.9,5.9,5.9,15,5.9,288,5.9,2025-06-26 13:30:00+00:00
