timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758203340000,0.0599,0.06,0.0598,41,0.0599,159525,0.059965,2025-09-18 13:49:00+00:00
1758203400000,0.0598,0.06,0.0593,68,0.06,219663,0.059576,2025-09-18 13:50:00+00:00
1758203460000,0.0595,0.0598,0.0593,24,0.0595,93116,0.059507,2025-09-18 13:51:00+00:00
1758203520000,0.0591,0.0596,0.0589,87,0.0596,268906,0.059307,2025-09-18 13:52:00+00:00
1758203580000,0.0591,0.0591,0.0585,122,0.0591,86585,0.059032,2025-09-18 13:53:00+00:00
1758203640000,0.0599,0.06,0.0591,55,0.0591,29502,0.059245,2025-09-18 13:54:00+00:00
1758203700000,0.0594,0.0598,0.0593,29,0.0598,115122,0.059504,2025-09-18 13:55:00+00:00
1758203760000,0.059,0.0596,0.059,60,0.0596,272669,0.059487,2025-09-18 13:56:00+00:00
1758203820000,0.0593,0.0596,0.0589,26,0.0593,168759,0.059483,2025-09-18 13:57:00+00:00
1758203880000,0.0591,0.0595,0.0589,20,0.059,85081,0.059156,2025-09-18 13:58:00+00:00
1758203940000,0.0593,0.0594,0.0592,22,0.0593,494406,0.059298,2025-09-18 13:59:00+00:00
1758204000000,0.0588,0.0592,0.0585,53,0.0592,63915,0.058842,2025-09-18 14:00:00+00:00
1758204060000,0.0595,0.0596,0.059,35,0.059,56531,0.059326,2025-09-18 14:01:00+00:00
1758204120000,0.0599,0.06,0.0595,18,0.0595,29922,0.0599,2025-09-18 14:02:00+00:00
1758204180000,0.0597,0.06,0.0597,23,0.0599,74397,0.059885,2025-09-18 14:03:00+00:00
1758204240000,0.0595,0.0597,0.0595,28,0.0597,164818,0.059595,2025-09-18 14:04:00+00:00
1758204300000,0.0593,0.0596,0.0591,70,0.0596,317527,0.059308,2025-09-18 14:05:00+00:00
1758204360000,0.0592,0.0596,0.0592,16,0.0595,76809,0.059493,2025-09-18 14:06:00+00:00
1758204420000,0.0597,0.0598,0.0591,35,0.0594,162910,0.059518,2025-09-18 14:07:00+00:00
1758204480000,0.0597,0.0598,0.0597,24,0.0597,148851,0.059766,2025-09-18 14:08:00+00:00
1758204540000,0.0615,0.0615,0.0597,41,0.0598,299210,0.060049,2025-09-18 14:09:00+00:00
1758204600000,0.0613,0.0615,0.061,29,0.0615,132688,0.061359,2025-09-18 14:10:00+00:00
1758204660000,0.0612,0.0614,0.061,67,0.0614,160987,0.061187,2025-09-18 14:11:00+00:00
1758204720000,0.0612,0.0613,0.0612,22,0.0612,174688,0.06122,2025-09-18 14:12:00+00:00
1758204780000,0.0615,0.0615,0.0613,23,0.0613,93926,0.061405,2025-09-18 14:13:00+00:00
1758204840000,0.0614,0.0615,0.0613,8,0.0614,23847,0.061412,2025-09-18 14:14:00+00:00
1758204900000,0.0613,0.0614,0.0609,27,0.0614,123647,0.061272,2025-09-18 14:15:00+00:00
1758204960000,0.061,0.0612,0.0609,15,0.0612,20196,0.061011,2025-09-18 14:16:00+00:00
1758205020000,0.061,0.0611,0.061,9,0.0611,22946,0.061003,2025-09-18 14:17:00+00:00
1758205080000,0.061,0.061,0.061,6,0.061,6124,0.061,2025-09-18 14:18:00+00:00
1758205140000,0.061,0.061,0.061,11,0.061,27276,0.061,2025-09-18 14:19:00+00:00
1758205200000,0.0609,0.061,0.0609,5,0.0609,4008,0.060957,2025-09-18 14:20:00+00:00
1758205260000,0.061,0.061,0.0609,6,0.0609,8238,0.060986,2025-09-18 14:21:00+00:00
1758205320000,0.0609,0.061,0.0609,10,0.061,10400,0.060962,2025-09-18 14:22:00+00:00
