timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757948280000,3.345,3.35,3.345,5,3.3486,702,3.34792,2025-09-15 14:58:00+00:00
1757948340000,3.31,3.3419,3.31,20,3.34,4667,3.325407,2025-09-15 14:59:00+00:00
1757948400000,3.33,3.3366,3.33,6,3.3366,7748,3.330258,2025-09-15 15:00:00+00:00
1757948460000,3.32,3.32,3.3002,8,3.3002,599,3.31604,2025-09-15 15:01:00+00:00
1757948520000,3.29,3.31,3.29,25,3.31,2368,3.296977,2025-09-15 15:02:00+00:00
1757948580000,3.29,3.29,3.2818,12,3.29,4626,3.284545,2025-09-15 15:03:00+00:00
1757948640000,3.31,3.31,3.29,16,3.29,2879,3.303218,2025-09-15 15:04:00+00:00
1757948700000,3.2801,3.3,3.2801,17,3.292,9249,3.291215,2025-09-15 15:05:00+00:00
1757948760000,3.29,3.29,3.29,4,3.29,148,3.29,2025-09-15 15:06:00+00:00
1757948820000,3.285,3.2999,3.2801,16,3.2988,1741,3.29623,2025-09-15 15:07:00+00:00
1757948880000,3.26,3.28,3.26,27,3.28,6944,3.262855,2025-09-15 15:08:00+00:00
1757948940000,3.2586,3.27,3.24,49,3.2506,11730,3.247334,2025-09-15 15:09:00+00:00
1757949000000,3.2693,3.27,3.24,35,3.26,17508,3.249992,2025-09-15 15:10:00+00:00
1757949060000,3.27,3.27,3.2586,22,3.26,3629,3.26037,2025-09-15 15:11:00+00:00
1757949120000,3.28,3.28,3.27,17,3.28,8458,3.272949,2025-09-15 15:12:00+00:00
1757949180000,3.28,3.28,3.2714,5,3.2714,2291,3.272326,2025-09-15 15:13:00+00:00
1757949240000,3.28,3.28,3.28,5,3.28,1603,3.28,2025-09-15 15:14:00+00:00
1757949300000,3.2895,3.29,3.28,8,3.28,3005,3.287165,2025-09-15 15:15:00+00:00
1757949360000,3.27,3.29,3.27,9,3.29,2000,3.281553,2025-09-15 15:16:00+00:00
1757949420000,3.28,3.2899,3.2738,8,3.2899,826,3.284311,2025-09-15 15:17:00+00:00
1757949480000,3.3292,3.3401,3.29,27,3.29,5114,3.309674,2025-09-15 15:18:00+00:00
1757949540000,3.34,3.34,3.34,6,3.34,407,3.34,2025-09-15 15:19:00+00:00
1757949600000,3.325,3.327,3.32,8,3.325,1959,3.326216,2025-09-15 15:20:00+00:00
1757949660000,3.3352,3.3399,3.325,9,3.3397,1034,3.337314,2025-09-15 15:21:00+00:00
1757949720000,3.32,3.34,3.32,7,3.33,3790,3.329067,2025-09-15 15:22:00+00:00
1757949780000,3.29,3.3399,3.25,50,3.3399,17072,3.286284,2025-09-15 15:23:00+00:00
1757949840000,3.26,3.3199,3.26,15,3.26,7881,3.300117,2025-09-15 15:24:00+00:00
1757949900000,3.275,3.275,3.2633,3,3.2633,813,3.264785,2025-09-15 15:25:00+00:00
1757949960000,3.2699,3.275,3.26,29,3.275,5629,3.274268,2025-09-15 15:26:00+00:00
1757950020000,3.2698,3.27,3.26,16,3.2698,8572,3.26814,2025-09-15 15:27:00+00:00
1757950080000,3.25,3.265,3.25,29,3.265,6161,3.260056,2025-09-15 15:28:00+00:00
1757950140000,3.26,3.26,3.2358,56,3.25,8636,3.24734,2025-09-15 15:29:00+00:00
1757950200000,3.28,3.28,3.26,6,3.26,403,3.27,2025-09-15 15:30:00+00:00
1757950260000,3.28,3.28,3.28,9,3.28,270,3.28,2025-09-15 15:31:00+00:00
1757950320000,3.29,3.29,3.27,7,3.29,7556,3.286234,2025-09-15 15:32:00+00:00
1757950380000,3.24,3.27,3.24,22,3.27,2902,3.257313,2025-09-15 15:33:00+00:00
1757950440000,3.24,3.24,3.23,22,3.24,6651,3.234872,2025-09-15 15:34:00+00:00
1757950500000,3.24,3.25,3.23,34,3.24,9013,3.238208,2025-09-15 15:35:00+00:00
1757950560000,3.26,3.27,3.23,34,3.24,16026,3.25916,2025-09-15 15:36:00+00:00
1757950620000,3.24,3.24,3.23,10,3.23,1232,3.23095,2025-09-15 15:37:00+00:00
1757950740000,3.24,3.24,3.23,36,3.23,5051,3.235175,2025-09-15 15:39:00+00:00
1757950800000,3.255,3.255,3.255,4,3.255,501,3.255,2025-09-15 15:40:00+00:00
1757950860000,3.26,3.26,3.26,5,3.26,196,3.26,2025-09-15 15:41:00+00:00
1757950920000,3.2501,3.26,3.2501,7,3.26,253,3.25505,2025-09-15 15:42:00+00:00
1757950980000,3.245,3.2666,3.245,16,3.26,4034,3.26326,2025-09-15 15:43:00+00:00
1757951040000,3.24,3.245,3.24,5,3.245,1177,3.241383,2025-09-15 15:44:00+00:00
1757951100000,3.245,3.25,3.24,17,3.25,3871,3.246677,2025-09-15 15:45:00+00:00
1757951160000,3.2499,3.25,3.245,17,3.245,8258,3.24782,2025-09-15 15:46:00+00:00
1757951220000,3.25,3.25,3.24,24,3.2401,6214,3.240983,2025-09-15 15:47:00+00:00
1757951280000,3.235,3.235,3.235,5,3.235,272,3.235,2025-09-15 15:48:00+00:00
1757951340000,3.2388,3.2388,3.2307,10,3.2307,2713,3.232664,2025-09-15 15:49:00+00:00
1757951400000,3.2307,3.235,3.2307,5,3.235,2530,3.23156,2025-09-15 15:50:00+00:00
1757951460000,3.225,3.2307,3.22,28,3.2307,8586,3.227946,2025-09-15 15:51:00+00:00
1757951520000,3.2299,3.2299,3.2201,7,3.2201,12124,3.221978,2025-09-15 15:52:00+00:00
1757951580000,3.215,3.22,3.215,23,3.22,3555,3.218402,2025-09-15 15:53:00+00:00
1757951640000,3.2199,3.2199,3.215,7,3.215,764,3.218728,2025-09-15 15:54:00+00:00
1757951700000,3.17,3.215,3.17,72,3.215,20833,3.196726,2025-09-15 15:55:00+00:00
1757951760000,3.16,3.179,3.15,47,3.179,9978,3.157927,2025-09-15 15:56:00+00:00
1757951820000,3.1995,3.21,3.14,38,3.155,10362,3.17121,2025-09-15 15:57:00+00:00
1757951880000,3.18,3.19,3.18,7,3.19,800,3.184265,2025-09-15 15:58:00+00:00
1757951940000,3.16,3.1886,3.16,34,3.1886,10083,3.169752,2025-09-15 15:59:00+00:00
1757952000000,3.17,3.18,3.165,30,3.17,6913,3.171002,2025-09-15 16:00:00+00:00
1757952060000,3.195,3.195,3.175,10,3.175,574,3.186579,2025-09-15 16:01:00+00:00
1757952120000,3.195,3.2126,3.195,15,3.2126,1736,3.198588,2025-09-15 16:02:00+00:00
1757952180000,3.195,3.22,3.1705,6,3.22,1657,3.205748,2025-09-15 16:03:00+00:00
1757952240000,3.2,3.2,3.2,5,3.2,597,3.2,2025-09-15 16:04:00+00:00
1757952300000,3.1735,3.18,3.1735,19,3.18,1715,3.177724,2025-09-15 16:05:00+00:00
1757952420000,3.1702,3.1702,3.17,10,3.17,590,3.1701,2025-09-15 16:07:00+00:00
1757952480000,3.2,3.2,3.18,33,3.18,11311,3.183943,2025-09-15 16:08:00+00:00
1757952540000,3.21,3.21,3.2,10,3.2,640,3.204405,2025-09-15 16:09:00+00:00
1757952600000,3.2199,3.2199,3.2199,6,3.2199,305,3.2199,2025-09-15 16:10:00+00:00
1757952660000,3.22,3.22,3.22,11,3.22,250,3.22,2025-09-15 16:11:00+00:00
1757952780000,3.2289,3.235,3.22,17,3.235,2486,3.226211,2025-09-15 16:13:00+00:00
1757952900000,3.2112,3.22,3.2112,7,3.215,598,3.21492,2025-09-15 16:15:00+00:00
1757952960000,3.2098,3.215,3.2098,9,3.215,2131,3.210999,2025-09-15 16:16:00+00:00
1757953020000,3.2062,3.2062,3.2062,3,3.2062,120,3.2062,2025-09-15 16:17:00+00:00
1757953080000,3.1965,3.21,3.1965,20,3.2099,5264,3.206973,2025-09-15 16:18:00+00:00
1757953200000,3.1812,3.1985,3.1812,6,3.1985,8303,3.190003,2025-09-15 16:20:00+00:00
1757953260000,3.2,3.2294,3.19,23,3.19,6156,3.21198,2025-09-15 16:21:00+00:00
1757953320000,3.19,3.2106,3.1877,3,3.2106,2585,3.191327,2025-09-15 16:22:00+00:00
1757953380000,3.21,3.21,3.21,5,3.21,545,3.21,2025-09-15 16:23:00+00:00
1757953440000,3.2,3.22,3.15,55,3.18,13612,3.169091,2025-09-15 16:24:00+00:00
1757953560000,3.19,3.19,3.19,10,3.19,1268,3.19,2025-09-15 16:26:00+00:00
1757953620000,3.1888,3.19,3.1888,6,3.19,1502,3.189908,2025-09-15 16:27:00+00:00
1757953680000,3.185,3.185,3.185,4,3.185,232,3.185,2025-09-15 16:28:00+00:00
1757953740000,3.1808,3.1894,3.1808,8,3.1894,2513,3.18768,2025-09-15 16:29:00+00:00
1757953800000,3.185,3.19,3.185,14,3.19,6661,3.188892,2025-09-15 16:30:00+00:00
1757953860000,3.18,3.19,3.18,26,3.185,4169,3.186264,2025-09-15 16:31:00+00:00
1757953920000,3.1701,3.1799,3.1701,6,3.1799,623,3.172022,2025-09-15 16:32:00+00:00
1757953980000,3.16,3.176,3.155,31,3.17,4863,3.162772,2025-09-15 16:33:00+00:00
1757954040000,3.155,3.17,3.1513,67,3.16,13037,3.160184,2025-09-15 16:34:00+00:00
1757954100000,3.165,3.165,3.1501,18,3.1501,6304,3.155906,2025-09-15 16:35:00+00:00
1757954160000,3.17,3.17,3.165,15,3.1699,6500,3.16978,2025-09-15 16:36:00+00:00
1757954220000,3.1697,3.1697,3.165,4,3.165,206,3.16735,2025-09-15 16:37:00+00:00
1757954280000,3.165,3.17,3.165,15,3.17,1276,3.167216,2025-09-15 16:38:00+00:00
1757954340000,3.17,3.17,3.17,9,3.17,745,3.17,2025-09-15 16:39:00+00:00
1757954400000,3.165,3.17,3.16,9,3.16,1985,3.165041,2025-09-15 16:40:00+00:00
1757954460000,3.165,3.1676,3.165,5,3.165,402,3.165831,2025-09-15 16:41:00+00:00
1757954520000,3.1612,3.1612,3.1612,5,3.1612,330,3.1612,2025-09-15 16:42:00+00:00
1757954580000,3.17,3.17,3.165,40,3.17,10859,3.168511,2025-09-15 16:43:00+00:00
1757954640000,3.175,3.179,3.165,12,3.1665,2676,3.170347,2025-09-15 16:44:00+00:00
1757954760000,3.18,3.18,3.1711,10,3.1711,3832,3.179199,2025-09-15 16:46:00+00:00
1757954820000,3.2,3.2,3.175,18,3.175,3400,3.180538,2025-09-15 16:47:00+00:00
1757954880000,3.2,3.2088,3.2,9,3.2,765,3.202818,2025-09-15 16:48:00+00:00
1757954940000,3.205,3.205,3.205,3,3.205,120,3.205,2025-09-15 16:49:00+00:00
1757955060000,3.21,3.21,3.2,22,3.2,2112,3.20769,2025-09-15 16:51:00+00:00
1757955120000,3.205,3.216,3.205,7,3.216,1326,3.208113,2025-09-15 16:52:00+00:00
1757955180000,3.215,3.22,3.205,11,3.205,2027,3.21275,2025-09-15 16:53:00+00:00
1757955240000,3.215,3.2262,3.2135,10,3.2135,857,3.215957,2025-09-15 16:54:00+00:00
1757955300000,3.215,3.23,3.215,7,3.23,1181,3.221655,2025-09-15 16:55:00+00:00
1757955420000,3.2165,3.2165,3.215,7,3.215,1874,3.215136,2025-09-15 16:57:00+00:00
1757955480000,3.215,3.215,3.21,6,3.21,1143,3.213604,2025-09-15 16:58:00+00:00
1757955540000,3.22,3.23,3.2083,18,3.2083,7284,3.222408,2025-09-15 16:59:00+00:00
1757955600000,3.195,3.21,3.19,47,3.21,7985,3.201024,2025-09-15 17:00:00+00:00
1757955660000,3.195,3.2,3.195,20,3.195,4563,3.19919,2025-09-15 17:01:00+00:00
1757955720000,3.2,3.2099,3.19,12,3.2098,5091,3.193986,2025-09-15 17:02:00+00:00
1757955780000,3.1914,3.21,3.1914,4,3.21,337,3.204114,2025-09-15 17:03:00+00:00
1757955840000,3.2,3.2098,3.2,8,3.2,1868,3.201035,2025-09-15 17:04:00+00:00
1757955900000,3.2,3.2,3.2,6,3.2,422,3.2,2025-09-15 17:05:00+00:00
1757955960000,3.1937,3.1937,3.1937,3,3.1937,244,3.1937,2025-09-15 17:06:00+00:00
1757956020000,3.195,3.195,3.195,3,3.195,205,3.195,2025-09-15 17:07:00+00:00
1757956080000,3.2,3.2,3.19,21,3.19,1749,3.197568,2025-09-15 17:08:00+00:00
1757956140000,3.1994,3.2,3.195,9,3.2,1675,3.198955,2025-09-15 17:09:00+00:00
1757956200000,3.19,3.1901,3.19,4,3.1901,1732,3.190094,2025-09-15 17:10:00+00:00
1757956260000,3.2,3.2,3.2,27,3.2,4314,3.2,2025-09-15 17:11:00+00:00
1757956380000,3.195,3.195,3.195,12,3.195,887,3.195,2025-09-15 17:13:00+00:00
