timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755871920000,1.42,1.42,1.41,23,1.41,1069,1.412857,2025-08-22 14:12:00+00:00
1755871980000,1.44,1.44,1.42,14,1.42,2716,1.436856,2025-08-22 14:13:00+00:00
1755872220000,1.45,1.455,1.44,35,1.44,15759,1.449901,2025-08-22 14:17:00+00:00
1755872280000,1.4502,1.4502,1.4502,16,1.4502,657,1.4502,2025-08-22 14:18:00+00:00
1755872340000,1.46,1.46,1.46,13,1.46,790,1.46,2025-08-22 14:19:00+00:00
1755872400000,1.455,1.455,1.455,33,1.455,660,1.455,2025-08-22 14:20:00+00:00
1755872820000,1.455,1.455,1.45,21,1.45,686,1.453031,2025-08-22 14:27:00+00:00
1755873120000,1.4253,1.4253,1.4201,6,1.4201,261,1.4227,2025-08-22 14:32:00+00:00
1755873240000,1.44,1.44,1.44,4,1.44,1219,1.44,2025-08-22 14:34:00+00:00
1755873540000,1.445,1.46,1.445,69,1.46,37710,1.459879,2025-08-22 14:39:00+00:00
1755873600000,1.47,1.47,1.47,27,1.47,11447,1.47,2025-08-22 14:40:00+00:00
1755873660000,1.4304,1.45,1.4304,16,1.45,540,1.4402,2025-08-22 14:41:00+00:00
1755873720000,1.47,1.47,1.47,9,1.47,3664,1.47,2025-08-22 14:42:00+00:00
1755873780000,1.49,1.49,1.47,18,1.47,6539,1.474497,2025-08-22 14:43:00+00:00
1755873840000,1.49,1.49,1.49,6,1.49,1531,1.49,2025-08-22 14:44:00+00:00
1755873900000,1.49,1.49,1.49,13,1.49,328,1.49,2025-08-22 14:45:00+00:00
1755874020000,1.475,1.475,1.475,2,1.475,110,1.475,2025-08-22 14:47:00+00:00
1755874080000,1.475,1.475,1.475,3,1.475,150,1.475,2025-08-22 14:48:00+00:00
1755874140000,1.471,1.471,1.471,3,1.471,312,1.471,2025-08-22 14:49:00+00:00
1755874200000,1.47,1.47,1.47,10,1.47,211,1.47,2025-08-22 14:50:00+00:00
1755874260000,1.4601,1.4601,1.4601,1,1.4601,120,1.4601,2025-08-22 14:51:00+00:00
1755874320000,1.461,1.461,1.461,2,1.461,220,1.461,2025-08-22 14:52:00+00:00
1755874380000,1.4605,1.465,1.4605,4,1.465,475,1.461511,2025-08-22 14:53:00+00:00
1755874440000,1.47,1.47,1.4601,9,1.4601,2860,1.464696,2025-08-22 14:54:00+00:00
1755874920000,1.48,1.48,1.48,6,1.48,175,1.48,2025-08-22 15:02:00+00:00
1755874980000,1.47,1.48,1.47,19,1.48,2921,1.472857,2025-08-22 15:03:00+00:00
1755875460000,1.465,1.465,1.465,5,1.465,165,1.465,2025-08-22 15:11:00+00:00
1755875640000,1.515,1.54,1.465,184,1.47,40276,1.502678,2025-08-22 15:14:00+00:00
1755875700000,1.52,1.53,1.51,84,1.52,34870,1.512021,2025-08-22 15:15:00+00:00
1755875760000,1.515,1.515,1.515,4,1.515,160,1.515,2025-08-22 15:16:00+00:00
1755875880000,1.51,1.51,1.51,8,1.51,460,1.51,2025-08-22 15:18:00+00:00
1755876060000,1.51,1.5138,1.51,9,1.5138,1108,1.511538,2025-08-22 15:21:00+00:00
1755876120000,1.51,1.51,1.51,4,1.51,700,1.51,2025-08-22 15:22:00+00:00
1755876300000,1.52,1.52,1.51,64,1.51,40988,1.510798,2025-08-22 15:25:00+00:00
1755876420000,1.515,1.515,1.515,2,1.515,300,1.515,2025-08-22 15:27:00+00:00
1755876480000,1.5199,1.5199,1.51,7,1.516,2755,1.51408,2025-08-22 15:28:00+00:00
1755876540000,1.5113,1.5113,1.51,4,1.51,600,1.510433,2025-08-22 15:29:00+00:00
1755876600000,1.515,1.515,1.51,48,1.51,1089,1.511667,2025-08-22 15:30:00+00:00
1755876720000,1.52,1.52,1.52,19,1.52,1833,1.52,2025-08-22 15:32:00+00:00
1755876840000,1.54,1.54,1.53,14,1.53,2326,1.531905,2025-08-22 15:34:00+00:00
1755876900000,1.54,1.54,1.54,2,1.54,101,1.54,2025-08-22 15:35:00+00:00
1755876960000,1.545,1.545,1.545,5,1.545,139,1.545,2025-08-22 15:36:00+00:00
1755877020000,1.54,1.54,1.54,6,1.54,729,1.54,2025-08-22 15:37:00+00:00
1755877080000,1.535,1.5403,1.535,22,1.5403,2721,1.539686,2025-08-22 15:38:00+00:00
1755877140000,1.54,1.54,1.5394,2,1.5394,547,1.539552,2025-08-22 15:39:00+00:00
1755877260000,1.525,1.5358,1.525,23,1.53,5298,1.533292,2025-08-22 15:41:00+00:00
1755877320000,1.525,1.525,1.5203,18,1.5203,3649,1.524862,2025-08-22 15:42:00+00:00
1755877380000,1.525,1.525,1.525,5,1.525,580,1.525,2025-08-22 15:43:00+00:00
