timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758045660000,1.8006,1.81,1.8,54,1.81,15761,1.800675,2025-09-16 18:01:00+00:00
1758045720000,1.76,1.8,1.75,400,1.8,199525,1.773893,2025-09-16 18:02:00+00:00
1758045780000,1.7602,1.775,1.76,56,1.7624,15220,1.762254,2025-09-16 18:03:00+00:00
1758045840000,1.765,1.7743,1.7602,26,1.7602,6428,1.766657,2025-09-16 18:04:00+00:00
1758045900000,1.78,1.786,1.7605,50,1.7605,19517,1.774522,2025-09-16 18:05:00+00:00
1758045960000,1.78,1.79,1.78,25,1.78,11549,1.781751,2025-09-16 18:06:00+00:00
1758046020000,1.7794,1.78,1.77,26,1.77,5674,1.777921,2025-09-16 18:07:00+00:00
1758046080000,1.775,1.78,1.7701,56,1.78,31498,1.778835,2025-09-16 18:08:00+00:00
1758046140000,1.7794,1.78,1.77,14,1.78,7896,1.77087,2025-09-16 18:09:00+00:00
1758046200000,1.775,1.78,1.76,32,1.77,8372,1.769867,2025-09-16 18:10:00+00:00
1758046260000,1.77,1.7711,1.76,29,1.7637,1875,1.768487,2025-09-16 18:11:00+00:00
1758046320000,1.76,1.775,1.76,17,1.77,3218,1.765862,2025-09-16 18:12:00+00:00
1758046380000,1.76,1.77,1.76,37,1.76,9702,1.763295,2025-09-16 18:13:00+00:00
1758046440000,1.695,1.77,1.68,871,1.76,201880,1.71831,2025-09-16 18:14:00+00:00
1758046500000,1.6911,1.7,1.6901,54,1.695,22413,1.695475,2025-09-16 18:15:00+00:00
1758046560000,1.695,1.7,1.6901,39,1.695,28015,1.692734,2025-09-16 18:16:00+00:00
1758046620000,1.6898,1.6995,1.68,129,1.6901,49633,1.68837,2025-09-16 18:17:00+00:00
1758046680000,1.69,1.69,1.68,37,1.6806,10850,1.687151,2025-09-16 18:18:00+00:00
1758046740000,1.6808,1.6999,1.6801,19,1.6812,11348,1.683635,2025-09-16 18:19:00+00:00
1758046800000,1.685,1.69,1.68,27,1.685,5185,1.683314,2025-09-16 18:20:00+00:00
1758046860000,1.68,1.6999,1.68,27,1.6813,11995,1.689494,2025-09-16 18:21:00+00:00
1758046920000,1.6892,1.69,1.68,29,1.68,21246,1.686488,2025-09-16 18:22:00+00:00
1758046980000,1.685,1.685,1.68,16,1.6806,7168,1.681836,2025-09-16 18:23:00+00:00
1758047040000,1.68,1.69,1.68,16,1.69,8226,1.685,2025-09-16 18:24:00+00:00
1758047100000,1.68,1.7,1.68,44,1.6801,13307,1.683159,2025-09-16 18:25:00+00:00
1758047160000,1.675,1.6894,1.67,51,1.6814,16414,1.68048,2025-09-16 18:26:00+00:00
1758047220000,1.69,1.69,1.65,420,1.67,144656,1.653784,2025-09-16 18:27:00+00:00
1758047280000,1.6857,1.6899,1.67,35,1.685,19270,1.684664,2025-09-16 18:28:00+00:00
1758047340000,1.68,1.69,1.68,17,1.6824,3774,1.685275,2025-09-16 18:29:00+00:00
1758047400000,1.68,1.6894,1.68,28,1.6894,2486,1.68066,2025-09-16 18:30:00+00:00
1758047460000,1.67,1.68,1.67,25,1.68,9805,1.674356,2025-09-16 18:31:00+00:00
1758047520000,1.665,1.67,1.66,27,1.67,1300,1.667052,2025-09-16 18:32:00+00:00
1758047580000,1.66,1.67,1.66,25,1.66,4978,1.665317,2025-09-16 18:33:00+00:00
1758047640000,1.66,1.68,1.66,17,1.665,7080,1.667014,2025-09-16 18:34:00+00:00
1758047700000,1.6606,1.675,1.6602,8,1.6607,2612,1.66584,2025-09-16 18:35:00+00:00
1758047760000,1.6794,1.68,1.66,34,1.66,17082,1.669876,2025-09-16 18:36:00+00:00
1758047820000,1.679,1.68,1.67,16,1.677,1659,1.676141,2025-09-16 18:37:00+00:00
1758047880000,1.67,1.6794,1.67,19,1.6792,4610,1.674183,2025-09-16 18:38:00+00:00
1758047940000,1.66,1.67,1.66,47,1.67,4310,1.668203,2025-09-16 18:39:00+00:00
1758048000000,1.679,1.679,1.665,21,1.665,5174,1.670906,2025-09-16 18:40:00+00:00
1758048060000,1.675,1.68,1.675,13,1.675,2542,1.677083,2025-09-16 18:41:00+00:00
1758048120000,1.6732,1.675,1.67,9,1.67,1373,1.673738,2025-09-16 18:42:00+00:00
1758048180000,1.67,1.6798,1.67,25,1.675,7966,1.674843,2025-09-16 18:43:00+00:00
1758048240000,1.6731,1.6788,1.67,18,1.6788,4520,1.670763,2025-09-16 18:44:00+00:00
1758048300000,1.7,1.7,1.67,38,1.675,11114,1.685881,2025-09-16 18:45:00+00:00
1758048360000,1.69,1.7,1.69,15,1.7,9520,1.69671,2025-09-16 18:46:00+00:00
1758048420000,1.69,1.6906,1.69,27,1.69,8843,1.690029,2025-09-16 18:47:00+00:00
1758048480000,1.695,1.7,1.69,28,1.695,10209,1.695115,2025-09-16 18:48:00+00:00
1758048540000,1.695,1.7,1.69,34,1.695,14610,1.696828,2025-09-16 18:49:00+00:00
1758048600000,1.715,1.72,1.6908,45,1.6908,20716,1.707625,2025-09-16 18:50:00+00:00
1758048660000,1.715,1.72,1.695,212,1.705,85092,1.707893,2025-09-16 18:51:00+00:00
1758048720000,1.74,1.7496,1.7106,40,1.715,27126,1.729161,2025-09-16 18:52:00+00:00
1758048780000,1.7206,1.74,1.71,110,1.73,35521,1.72256,2025-09-16 18:53:00+00:00
1758048840000,1.73,1.7491,1.725,22,1.725,14933,1.739697,2025-09-16 18:54:00+00:00
1758048900000,1.715,1.73,1.71,150,1.73,66321,1.722719,2025-09-16 18:55:00+00:00
1758048960000,1.735,1.74,1.715,31,1.72,13695,1.73049,2025-09-16 18:56:00+00:00
1758049020000,1.725,1.735,1.72,94,1.735,30951,1.723917,2025-09-16 18:57:00+00:00
1758049080000,1.745,1.75,1.7201,42,1.7201,14405,1.734326,2025-09-16 18:58:00+00:00
1758049140000,1.745,1.75,1.74,39,1.745,11579,1.746448,2025-09-16 18:59:00+00:00
1758049200000,1.7627,1.77,1.74,55,1.745,22606,1.756515,2025-09-16 19:00:00+00:00
1758049260000,1.7657,1.77,1.75,70,1.77,19980,1.755188,2025-09-16 19:01:00+00:00
1758049320000,1.76,1.77,1.75,23,1.77,11289,1.765182,2025-09-16 19:02:00+00:00
1758049380000,1.75,1.755,1.745,145,1.75,73008,1.749519,2025-09-16 19:03:00+00:00
1758049440000,1.74,1.755,1.74,51,1.75,9038,1.745952,2025-09-16 19:04:00+00:00
1758049500000,1.74,1.745,1.74,78,1.745,6700,1.743207,2025-09-16 19:05:00+00:00
1758049560000,1.74,1.7418,1.74,20,1.74,5017,1.74004,2025-09-16 19:06:00+00:00
1758049620000,1.7498,1.7498,1.74,14,1.745,4018,1.742026,2025-09-16 19:07:00+00:00
1758049680000,1.74,1.745,1.74,18,1.74,2664,1.740663,2025-09-16 19:08:00+00:00
1758049740000,1.7563,1.7563,1.74,37,1.745,6059,1.744693,2025-09-16 19:09:00+00:00
1758049800000,1.755,1.755,1.74,13,1.74,2321,1.751521,2025-09-16 19:10:00+00:00
1758049860000,1.75,1.755,1.73,296,1.75,107393,1.744415,2025-09-16 19:11:00+00:00
1758049920000,1.75,1.76,1.75,141,1.75,14085,1.752496,2025-09-16 19:12:00+00:00
1758049980000,1.7598,1.76,1.75,93,1.75,12683,1.751203,2025-09-16 19:13:00+00:00
1758050040000,1.755,1.755,1.75,78,1.75,8014,1.752565,2025-09-16 19:14:00+00:00
1758050100000,1.75,1.76,1.75,289,1.75,71844,1.750912,2025-09-16 19:15:00+00:00
1758050160000,1.755,1.755,1.7543,7,1.755,836,1.754894,2025-09-16 19:16:00+00:00
1758050220000,1.75,1.76,1.75,73,1.755,22848,1.754906,2025-09-16 19:17:00+00:00
1758050280000,1.7755,1.79,1.7532,57,1.76,15032,1.764665,2025-09-16 19:18:00+00:00
1758050340000,1.76,1.775,1.75,115,1.775,28789,1.757128,2025-09-16 19:19:00+00:00
1758050400000,1.76,1.76,1.75,40,1.76,11018,1.75272,2025-09-16 19:20:00+00:00
1758050460000,1.72,1.76,1.72,194,1.755,67918,1.749914,2025-09-16 19:21:00+00:00
1758050520000,1.75,1.75,1.72,78,1.72,19184,1.733916,2025-09-16 19:22:00+00:00
1758050580000,1.743,1.743,1.73,10,1.74,3633,1.735995,2025-09-16 19:23:00+00:00
1758050640000,1.7306,1.74,1.73,13,1.74,941,1.731313,2025-09-16 19:24:00+00:00
1758050700000,1.7379,1.7379,1.73,36,1.73,15019,1.731144,2025-09-16 19:25:00+00:00
1758050760000,1.775,1.775,1.73,42,1.731,23692,1.744941,2025-09-16 19:26:00+00:00
1758050820000,1.775,1.78,1.77,69,1.775,12720,1.775512,2025-09-16 19:27:00+00:00
1758050880000,1.78,1.78,1.77,66,1.775,32826,1.771549,2025-09-16 19:28:00+00:00
1758050940000,1.77,1.78,1.76,111,1.7701,17716,1.772044,2025-09-16 19:29:00+00:00
1758051000000,1.78,1.79,1.77,67,1.77,15858,1.771953,2025-09-16 19:30:00+00:00
1758051060000,1.745,1.78,1.74,209,1.775,57052,1.749715,2025-09-16 19:31:00+00:00
1758051120000,1.78,1.78,1.745,47,1.745,13576,1.747334,2025-09-16 19:32:00+00:00
1758051180000,1.76,1.78,1.76,52,1.77,11474,1.774633,2025-09-16 19:33:00+00:00
1758051240000,1.74,1.77,1.74,101,1.76,32654,1.749013,2025-09-16 19:34:00+00:00
1758051300000,1.75,1.75,1.74,136,1.74,57470,1.740365,2025-09-16 19:35:00+00:00
1758051360000,1.75,1.75,1.74,51,1.74,5569,1.744078,2025-09-16 19:36:00+00:00
1758051420000,1.74,1.75,1.74,138,1.745,35380,1.740625,2025-09-16 19:37:00+00:00
