timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750172640000,4.1932,4.1932,4.1932,4,4.1932,453,4.1932,2025-06-17 15:04:00+00:00
1750172700000,4.18,4.2,4.14,6,4.14,984,4.185123,2025-06-17 15:05:00+00:00
1750173420000,4.2,4.2,4.2,1,4.2,550,4.2,2025-06-17 15:17:00+00:00
1750174560000,4.1054,4.1054,4.1054,1,4.1054,304,4.1054,2025-06-17 15:36:00+00:00
1750174620000,4.15,4.15,4.15,1,4.15,100,4.15,2025-06-17 15:37:00+00:00
1750175100000,4.184,4.184,4.184,1,4.184,298,4.184,2025-06-17 15:45:00+00:00
1750175880000,4.08,4.14,4.06,10,4.14,1019,4.101977,2025-06-17 15:58:00+00:00
1750177620000,4.08,4.08,4.08,1,4.08,2097,4.08,2025-06-17 16:27:00+00:00
1750178160000,4.13,4.13,4.13,3,4.13,214,4.13,2025-06-17 16:36:00+00:00
1750179060000,4.0853,4.0853,4.0853,2,4.0853,281,4.0853,2025-06-17 16:51:00+00:00
1750179180000,4.0912,4.0912,4.08,3,4.08,901,4.0856,2025-06-17 16:53:00+00:00
1750179240000,4.13,4.13,4.105,7,4.105,795,4.124615,2025-06-17 16:54:00+00:00
1750179300000,4.1757,4.18,4.1295,10,4.1295,3451,4.16567,2025-06-17 16:55:00+00:00
1750181520000,4.13,4.13,4.13,1,4.13,200,4.13,2025-06-17 17:32:00+00:00
1750181580000,4.13,4.13,4.13,2,4.13,310,4.13,2025-06-17 17:33:00+00:00
1750182720000,4.08,4.08,4.08,1,4.08,118,4.08,2025-06-17 17:52:00+00:00
1750183320000,4.0701,4.098,4.0701,12,4.0929,2901,4.078273,2025-06-17 18:02:00+00:00
1750183380000,4.08,4.1789,4.08,3,4.125,1200,4.091992,2025-06-17 18:03:00+00:00
1750183740000,4.08,4.08,4.08,1,4.08,511,4.08,2025-06-17 18:09:00+00:00
1750184760000,4.13,4.13,4.13,2,4.13,125,4.13,2025-06-17 18:26:00+00:00
1750185840000,4.081,4.09,4.08,5,4.09,2441,4.08518,2025-06-17 18:44:00+00:00
1750186140000,4.08,4.18,4.08,8,4.18,2500,4.106449,2025-06-17 18:49:00+00:00
1750186320000,4.09,4.17,4.09,23,4.1332,3273,4.11731,2025-06-17 18:52:00+00:00
1750186620000,4.1,4.1,4.1,1,4.1,100,4.1,2025-06-17 18:57:00+00:00
1750186860000,4.08,4.08,4.08,2,4.08,300,4.08,2025-06-17 19:01:00+00:00
1750186920000,4.1,4.1,4.1,1,4.1,100,4.1,2025-06-17 19:02:00+00:00
1750187880000,4.1688,4.1688,4.1688,6,4.1688,322,4.1688,2025-06-17 19:18:00+00:00
1750188180000,4.14,4.14,4.14,1,4.14,100,4.14,2025-06-17 19:23:00+00:00
1750188300000,4.1792,4.1792,4.1693,3,4.1693,210,4.17425,2025-06-17 19:25:00+00:00
1750188720000,4.2,4.2,4.1787,12,4.1787,934,4.182166,2025-06-17 19:32:00+00:00
1750189560000,4.28,4.37,4.28,7,4.28,607,4.30995,2025-06-17 19:46:00+00:00
1750189680000,4.26,4.26,4.26,11,4.26,304,4.26,2025-06-17 19:48:00+00:00
1750189740000,4.26,4.26,4.26,7,4.26,227,4.26,2025-06-17 19:49:00+00:00
1750190280000,4.37,4.38,4.3,6,4.3,991,4.322326,2025-06-17 19:58:00+00:00
1750190340000,4.36,4.36,4.36,2,4.36,101,4.36,2025-06-17 19:59:00+00:00
1750190400000,4.3,4.3,4.3,9,4.3,127,4.3,2025-06-17 20:00:00+00:00
1750253400000,4.23,4.23,4.23,2,4.23,126,4.23,2025-06-18 13:30:00+00:00
1750253460000,4.37,4.37,4.36,40,4.36,1301,4.368307,2025-06-18 13:31:00+00:00
1750253520000,4.28,4.4547,4.28,83,4.37,5092,4.338205,2025-06-18 13:32:00+00:00
1750253580000,4.4,4.4,4.4,7,4.4,602,4.4,2025-06-18 13:33:00+00:00
1750253700000,4.24,4.28,4.24,7,4.28,660,4.263333,2025-06-18 13:35:00+00:00
1750256400000,4.15,4.15,4.15,1,4.15,100,4.15,2025-06-18 14:20:00+00:00
