timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755611640000,0.843,0.843,0.843,1,0.843,400,0.843,2025-08-19 13:54:00+00:00
1755611700000,0.84,0.84,0.84,2,0.84,559,0.84,2025-08-19 13:55:00+00:00
1755612060000,0.85,0.85,0.85,1,0.85,235,0.85,2025-08-19 14:01:00+00:00
1755612480000,0.84,0.84,0.84,1,0.84,260,0.84,2025-08-19 14:08:00+00:00
1755612720000,0.84,0.8475,0.84,8,0.8475,8401,0.843508,2025-08-19 14:12:00+00:00
1755612780000,0.8311,0.8311,0.8311,2,0.8311,401,0.8311,2025-08-19 14:13:00+00:00
1755614160000,0.84,0.84,0.84,1,0.84,853,0.84,2025-08-19 14:36:00+00:00
1755614340000,0.84,0.84,0.84,2,0.84,1600,0.84,2025-08-19 14:39:00+00:00
1755614460000,0.843,0.854,0.843,7,0.854,1000,0.849091,2025-08-19 14:41:00+00:00
1755615180000,0.8334,0.8334,0.8334,1,0.8334,100,0.8334,2025-08-19 14:53:00+00:00
1755617460000,0.835,0.835,0.835,1,0.835,230,0.835,2025-08-19 15:31:00+00:00
1755617880000,0.8351,0.8351,0.8351,1,0.8351,450,0.8351,2025-08-19 15:38:00+00:00
1755618720000,0.8549,0.8549,0.8549,1,0.8549,1500,0.8549,2025-08-19 15:52:00+00:00
1755621060000,0.835,0.835,0.835,1,0.835,1934,0.835,2025-08-19 16:31:00+00:00
1755623160000,0.838,0.838,0.838,2,0.838,1100,0.838,2025-08-19 17:06:00+00:00
1755625800000,0.8211,0.845,0.8211,8,0.8355,3699,0.834788,2025-08-19 17:50:00+00:00
1755626400000,0.8384,0.8384,0.8384,1,0.8384,1500,0.8384,2025-08-19 18:00:00+00:00
1755627480000,0.83,0.83,0.83,3,0.83,141,0.83,2025-08-19 18:18:00+00:00
1755627660000,0.84,0.84,0.83,20,0.83,1726,0.83062,2025-08-19 18:21:00+00:00
1755632400000,0.83,0.83,0.83,4,0.83,1000,0.83,2025-08-19 19:40:00+00:00
1755632520000,0.848,0.848,0.848,1,0.848,125,0.848,2025-08-19 19:42:00+00:00
1755696600000,0.8255,0.826,0.8255,12,0.826,1601,0.825857,2025-08-20 13:30:00+00:00
1755698040000,0.8256,0.8256,0.8256,2,0.8256,1000,0.8256,2025-08-20 13:54:00+00:00
1755698100000,0.82,0.8211,0.82,10,0.8211,2522,0.820095,2025-08-20 13:55:00+00:00
1755698160000,0.81,0.8101,0.8089,15,0.8089,6527,0.809293,2025-08-20 13:56:00+00:00
1755699540000,0.8138,0.8138,0.8138,2,0.8138,1000,0.8138,2025-08-20 14:19:00+00:00
1755699600000,0.8087,0.8138,0.8087,23,0.8138,11152,0.813037,2025-08-20 14:20:00+00:00
1755699660000,0.8,0.8089,0.8,16,0.8089,5263,0.800176,2025-08-20 14:21:00+00:00
1755699900000,0.7858,0.7858,0.7858,1,0.7858,600,0.7858,2025-08-20 14:25:00+00:00
1755700020000,0.8096,0.8096,0.8096,2,0.8096,105,0.8096,2025-08-20 14:27:00+00:00
1755700140000,0.8,0.8,0.8,1,0.8,250,0.8,2025-08-20 14:29:00+00:00
1755700320000,0.8095,0.8095,0.8095,1,0.8095,2000,0.8095,2025-08-20 14:32:00+00:00
1755700500000,0.7926,0.7926,0.7926,1,0.7926,126,0.7926,2025-08-20 14:35:00+00:00
1755700860000,0.8203,0.8203,0.8067,11,0.8067,4171,0.809981,2025-08-20 14:41:00+00:00
1755700920000,1.02,1.02,0.8164,406,0.839,148488,0.869849,2025-08-20 14:42:00+00:00
1755700980000,1.03,1.03,1.0,126,1.01,38188,1.019165,2025-08-20 14:43:00+00:00
1755701280000,1.019,1.12,0.955,1014,1.1,446424,1.028014,2025-08-20 14:48:00+00:00
1755701340000,1.035,1.04,0.94,776,1.01,563054,0.999657,2025-08-20 14:49:00+00:00
1755701400000,1.0193,1.05,1.0,661,1.04,293064,1.02133,2025-08-20 14:50:00+00:00
1755701460000,0.9993,1.03,0.98,326,1.01,212856,1.003175,2025-08-20 14:51:00+00:00
1755701520000,1.0392,1.04,0.98,332,0.9977,102380,1.017425,2025-08-20 14:52:00+00:00
1755701580000,1.03,1.07,1.0101,338,1.0207,141083,1.04179,2025-08-20 14:53:00+00:00
1755701640000,1.01,1.03,0.98,315,1.0298,147895,0.997679,2025-08-20 14:54:00+00:00
1755701700000,1.01,1.02,0.9985,113,1.0006,22910,1.00617,2025-08-20 14:55:00+00:00
1755701760000,1.02,1.02,1.01,99,1.01,17221,1.012728,2025-08-20 14:56:00+00:00
1755701820000,1.0,1.0189,0.9904,92,1.01,31520,1.001701,2025-08-20 14:57:00+00:00
1755701880000,0.9901,1.01,0.99,51,0.995,20296,0.999397,2025-08-20 14:58:00+00:00
1755701940000,1.01,1.02,0.98,118,0.99,48249,0.998753,2025-08-20 14:59:00+00:00
1755702000000,1.0991,1.12,1.01,563,1.01,212668,1.079605,2025-08-20 15:00:00+00:00
1755702060000,1.07,1.115,1.03,834,1.0909,243172,1.088488,2025-08-20 15:01:00+00:00
1755702120000,1.0595,1.08,1.04,333,1.0607,122133,1.06427,2025-08-20 15:02:00+00:00
1755702180000,1.07,1.1,1.0401,581,1.055,154542,1.074135,2025-08-20 15:03:00+00:00
1755702240000,1.01,1.07,0.99,639,1.07,251759,1.020112,2025-08-20 15:04:00+00:00
1755702300000,1.0199,1.0399,1.0,230,1.015,66024,1.019259,2025-08-20 15:05:00+00:00
1755702360000,1.0293,1.0401,1.0107,147,1.0107,44202,1.033308,2025-08-20 15:06:00+00:00
1755702420000,1.0202,1.03,1.01,145,1.025,37571,1.020866,2025-08-20 15:07:00+00:00
1755702480000,1.0309,1.04,1.02,44,1.0294,24292,1.030309,2025-08-20 15:08:00+00:00
1755702540000,1.03,1.035,1.02,65,1.035,25155,1.027231,2025-08-20 15:09:00+00:00
1755702600000,1.04,1.04,1.02,64,1.0292,13768,1.033552,2025-08-20 15:10:00+00:00
1755702660000,1.075,1.08,1.04,180,1.04,66078,1.061193,2025-08-20 15:11:00+00:00
1755702720000,1.105,1.12,1.07,485,1.0711,209870,1.099716,2025-08-20 15:12:00+00:00
1755702780000,1.0801,1.12,1.08,398,1.1098,133232,1.100073,2025-08-20 15:13:00+00:00
1755702840000,1.071,1.0938,1.07,203,1.081,43733,1.080098,2025-08-20 15:14:00+00:00
1755702900000,1.11,1.12,1.0606,381,1.0799,131133,1.102366,2025-08-20 15:15:00+00:00
1755702960000,1.1799,1.18,1.1,747,1.105,265005,1.138946,2025-08-20 15:16:00+00:00
1755703020000,1.1327,1.1891,1.12,1261,1.17,371745,1.1586,2025-08-20 15:17:00+00:00
1755703080000,1.1201,1.16,1.12,525,1.13,142507,1.13344,2025-08-20 15:18:00+00:00
1755703140000,1.03,1.13,1.01,1073,1.12,364656,1.072338,2025-08-20 15:19:00+00:00
1755703200000,0.99,1.0397,0.982,968,1.03,331217,1.006115,2025-08-20 15:20:00+00:00
1755703260000,0.9998,1.01,0.9774,471,1.0,161661,0.990849,2025-08-20 15:21:00+00:00
1755703320000,1.0006,1.0099,0.98,317,0.9901,122274,0.988638,2025-08-20 15:22:00+00:00
1755703380000,0.9342,1.01,0.9017,761,1.0089,447979,0.954769,2025-08-20 15:23:00+00:00
1755703440000,0.9539,0.97,0.9304,316,0.9342,198139,0.950707,2025-08-20 15:24:00+00:00
1755703500000,0.9539,0.96,0.95,89,0.9539,30187,0.952423,2025-08-20 15:25:00+00:00
1755703560000,0.9661,0.9679,0.95,84,0.95,31628,0.957721,2025-08-20 15:26:00+00:00
1755703620000,0.948,0.9648,0.94,102,0.9542,68487,0.94611,2025-08-20 15:27:00+00:00
1755703680000,0.95,0.9608,0.9431,138,0.948,29889,0.949189,2025-08-20 15:28:00+00:00
1755703740000,0.9626,0.9651,0.9501,66,0.952,19593,0.957562,2025-08-20 15:29:00+00:00
1755703800000,0.964,0.9739,0.9599,57,0.9652,10953,0.971136,2025-08-20 15:30:00+00:00
1755703860000,0.9797,0.9798,0.9599,62,0.964,21722,0.973422,2025-08-20 15:31:00+00:00
1755703920000,0.9775,0.9799,0.9649,59,0.9749,15860,0.972717,2025-08-20 15:32:00+00:00
1755703980000,0.9919,0.992,0.9737,80,0.9737,24602,0.984982,2025-08-20 15:33:00+00:00
1755704040000,0.9918,0.9918,0.9814,59,0.989,15000,0.985621,2025-08-20 15:34:00+00:00
1755704100000,0.9937,0.994,0.9852,34,0.9895,12441,0.991371,2025-08-20 15:35:00+00:00
1755704160000,0.9861,0.9937,0.9801,83,0.9937,12492,0.986279,2025-08-20 15:36:00+00:00
1755704220000,0.986,0.9897,0.9801,30,0.988,3635,0.98572,2025-08-20 15:37:00+00:00
1755704280000,0.9949,0.9999,0.98,55,0.98,14228,0.989561,2025-08-20 15:38:00+00:00
1755704340000,1.0001,1.0099,0.9965,62,0.9983,14085,0.99849,2025-08-20 15:39:00+00:00
1755704400000,1.01,1.02,1.005,101,1.005,37682,1.011464,2025-08-20 15:40:00+00:00
1755704460000,1.025,1.03,1.0101,43,1.0197,19311,1.014573,2025-08-20 15:41:00+00:00
1755704520000,1.0258,1.03,1.02,45,1.0298,16577,1.024754,2025-08-20 15:42:00+00:00
1755704580000,1.0101,1.03,1.0101,41,1.025,18630,1.019936,2025-08-20 15:43:00+00:00
1755704640000,1.015,1.025,1.01,34,1.015,20576,1.01459,2025-08-20 15:44:00+00:00
1755704700000,1.015,1.027,1.01,38,1.0111,12845,1.018325,2025-08-20 15:45:00+00:00
1755704760000,1.0291,1.03,1.0193,26,1.0193,8191,1.024635,2025-08-20 15:46:00+00:00
1755704820000,1.0206,1.03,1.02,68,1.0288,17061,1.021393,2025-08-20 15:47:00+00:00
1755704880000,1.025,1.025,1.02,16,1.0202,5654,1.021576,2025-08-20 15:48:00+00:00
1755704940000,1.0288,1.0288,1.02,21,1.0207,6269,1.020817,2025-08-20 15:49:00+00:00
1755705000000,1.015,1.0299,1.015,23,1.025,2550,1.020807,2025-08-20 15:50:00+00:00
1755705060000,1.011,1.02,1.01,36,1.0113,20377,1.011435,2025-08-20 15:51:00+00:00
1755705120000,1.0102,1.015,1.01,12,1.015,2395,1.013093,2025-08-20 15:52:00+00:00
