timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742910720000,0.97,0.97,0.9649,3,0.9649,420,0.968786,2025-03-25 13:52:00+00:00
1742911320000,0.9587,0.9587,0.9587,1,0.9587,100,0.9587,2025-03-25 14:02:00+00:00
1742911440000,0.9625,0.9625,0.9625,1,0.9625,100,0.9625,2025-03-25 14:04:00+00:00
1742911980000,0.97,0.97,0.9699,6,0.9699,380,0.969949,2025-03-25 14:13:00+00:00
1742912040000,0.97,0.97,0.97,1,0.97,500,0.97,2025-03-25 14:14:00+00:00
1742915160000,0.97,0.97,0.97,2,0.97,300,0.97,2025-03-25 15:06:00+00:00
1742915340000,0.97,0.97,0.97,1,0.97,300,0.97,2025-03-25 15:09:00+00:00
1742916540000,0.97,0.97,0.97,1,0.97,200,0.97,2025-03-25 15:29:00+00:00
1742917080000,0.98,0.98,0.98,1,0.98,380,0.98,2025-03-25 15:38:00+00:00
1742917260000,0.98,0.98,0.9799,12,0.9799,1605,0.979992,2025-03-25 15:41:00+00:00
1742918760000,0.994,1.0,0.994,11,1.0,7790,0.999922,2025-03-25 16:06:00+00:00
1742918820000,1.01,1.01,1.01,4,1.01,2289,1.01,2025-03-25 16:07:00+00:00
1742918940000,1.01,1.01,1.0,12,1.01,7090,1.007872,2025-03-25 16:09:00+00:00
1742919000000,1.0201,1.03,1.02,13,1.02,7660,1.020234,2025-03-25 16:10:00+00:00
1742919060000,1.02,1.02,1.02,6,1.02,1972,1.02,2025-03-25 16:11:00+00:00
1742919120000,0.982,1.02,0.982,8,1.02,3775,1.015748,2025-03-25 16:12:00+00:00
1742920620000,1.02,1.02,1.02,1,1.02,277,1.02,2025-03-25 16:37:00+00:00
1742922240000,1.0,1.0,1.0,6,1.0,10019,1.0,2025-03-25 17:04:00+00:00
1742922300000,0.9775,0.9775,0.9775,3,0.9775,789,0.9775,2025-03-25 17:05:00+00:00
1742922360000,1.0,1.0,1.0,1,1.0,111,1.0,2025-03-25 17:06:00+00:00
1742922540000,1.0,1.0,1.0,1,1.0,100,1.0,2025-03-25 17:09:00+00:00
1742922600000,1.01,1.01,1.01,1,1.01,333,1.01,2025-03-25 17:10:00+00:00
1742922780000,1.01,1.01,1.01,2,1.01,540,1.01,2025-03-25 17:13:00+00:00
1742922960000,0.994,1.02,0.994,13,1.0199,8767,1.019337,2025-03-25 17:16:00+00:00
1742923020000,1.0199,1.0199,1.0199,1,1.0199,964,1.0199,2025-03-25 17:17:00+00:00
1742925120000,0.9551,0.9551,0.9551,1,0.9551,100,0.9551,2025-03-25 17:52:00+00:00
1742931720000,0.97,0.97,0.97,3,0.97,289,0.97,2025-03-25 19:42:00+00:00
1742932140000,0.9743,0.9743,0.9743,1,0.9743,500,0.9743,2025-03-25 19:49:00+00:00
1742932260000,0.9999,0.9999,0.9899,13,0.9899,2800,0.99179,2025-03-25 19:51:00+00:00
1742932440000,0.9999,0.9999,0.9999,5,0.9999,500,0.9999,2025-03-25 19:54:00+00:00
1742932560000,1.0,1.0,1.0,3,1.0,400,1.0,2025-03-25 19:56:00+00:00
1742932620000,1.0,1.0,1.0,5,1.0,1400,1.0,2025-03-25 19:57:00+00:00
1742932740000,1.0,1.0,1.0,1,1.0,800,1.0,2025-03-25 19:59:00+00:00
1742932800000,1.01,1.01,1.01,6,1.01,2400,1.01,2025-03-25 20:00:00+00:00
1742995860000,0.9626,0.9626,0.9626,1,0.9626,129,0.9626,2025-03-26 13:31:00+00:00
1742997600000,0.9995,0.9995,0.9926,3,0.9926,500,0.99536,2025-03-26 14:00:00+00:00
1742998200000,1.0,1.0,1.0,1,1.0,280,1.0,2025-03-26 14:10:00+00:00
1742999160000,0.9995,0.9995,0.9995,2,0.9995,355,0.9995,2025-03-26 14:26:00+00:00
1743003300000,1.0,1.0,1.0,2,1.0,350,1.0,2025-03-26 15:35:00+00:00
1743005040000,0.9999,0.9999,0.9999,2,0.9999,500,0.9999,2025-03-26 16:04:00+00:00
1743005700000,0.9999,0.9999,0.9999,2,0.9999,329,0.9999,2025-03-26 16:15:00+00:00
1743009060000,1.0,1.0,1.0,2,1.0,1129,1.0,2025-03-26 17:11:00+00:00
1743010500000,1.0,1.0,1.0,1,1.0,200,1.0,2025-03-26 17:35:00+00:00
1743010920000,1.01,1.01,1.01,1,1.01,100,1.01,2025-03-26 17:42:00+00:00
1743011340000,1.0,1.0,1.0,2,1.0,131,1.0,2025-03-26 17:49:00+00:00
1743011400000,1.0092,1.0092,1.0092,1,1.0092,400,1.0092,2025-03-26 17:50:00+00:00
1743013680000,1.0,1.0,1.0,1,1.0,200,1.0,2025-03-26 18:28:00+00:00
1743014160000,1.005,1.005,1.005,2,1.005,102,1.005,2025-03-26 18:36:00+00:00
1743014520000,1.01,1.01,1.01,2,1.01,102,1.01,2025-03-26 18:42:00+00:00
1743014880000,1.0,1.0,1.0,2,1.0,3002,1.0,2025-03-26 18:48:00+00:00
1743015480000,1.0,1.001,1.0,12,1.001,4578,1.000114,2025-03-26 18:58:00+00:00
1743015540000,0.99,0.99,0.99,3,0.99,516,0.99,2025-03-26 18:59:00+00:00
1743015600000,0.9826,0.9826,0.9826,2,0.9826,200,0.9826,2025-03-26 19:00:00+00:00
1743016440000,0.98,0.98,0.98,2,0.98,200,0.98,2025-03-26 19:14:00+00:00
1743016980000,1.0,1.0,1.0,1,1.0,200,1.0,2025-03-26 19:23:00+00:00
1743017220000,0.98,0.98,0.98,1,0.98,200,0.98,2025-03-26 19:27:00+00:00
1743018000000,0.98,0.98,0.98,1,0.98,200,0.98,2025-03-26 19:40:00+00:00
1743018540000,1.0,1.0,1.0,3,1.0,300,1.0,2025-03-26 19:49:00+00:00
1743018600000,1.01,1.01,0.98,7,1.0,1300,1.00454,2025-03-26 19:50:00+00:00
1743018660000,1.01,1.01,1.01,3,1.01,400,1.01,2025-03-26 19:51:00+00:00
1743018900000,1.01,1.01,1.01,5,1.01,440,1.01,2025-03-26 19:55:00+00:00
1743019020000,1.005,1.01,1.005,10,1.01,549,1.009069,2025-03-26 19:57:00+00:00
1743082200000,1.02,1.02,1.02,5,1.02,1976,1.02,2025-03-27 13:30:00+00:00
1743082320000,0.985,0.985,0.985,1,0.985,1500,0.985,2025-03-27 13:32:00+00:00
1743082380000,0.9402,0.9402,0.9402,1,0.9402,2228,0.9402,2025-03-27 13:33:00+00:00
1743085260000,1.03,1.03,1.03,2,1.03,2000,1.03,2025-03-27 14:21:00+00:00
1743085440000,1.0299,1.0299,1.0298,3,1.0298,2000,1.02987,2025-03-27 14:24:00+00:00
1743085560000,1.0299,1.0299,1.0298,3,1.0298,2000,1.029868,2025-03-27 14:26:00+00:00
1743086160000,1.02,1.02,1.02,4,1.02,4100,1.02,2025-03-27 14:36:00+00:00
1743088320000,1.02,1.02,1.02,2,1.02,1500,1.02,2025-03-27 15:12:00+00:00
1743088500000,1.0244,1.0244,1.0244,1,1.0244,100,1.0244,2025-03-27 15:15:00+00:00
1743088680000,1.025,1.025,1.025,1,1.025,517,1.025,2025-03-27 15:18:00+00:00
1743088980000,1.02,1.02,1.02,2,1.02,300,1.02,2025-03-27 15:23:00+00:00
1743089160000,1.03,1.03,1.03,1,1.03,100,1.03,2025-03-27 15:26:00+00:00
1743089940000,1.03,1.03,1.03,6,1.03,1852,1.03,2025-03-27 15:39:00+00:00
1743090780000,1.03,1.03,1.03,6,1.03,3200,1.03,2025-03-27 15:53:00+00:00
1743091080000,1.05,1.05,1.04,7,1.04,1432,1.04203,2025-03-27 15:58:00+00:00
1743092640000,1.0203,1.0203,1.02,2,1.02,1000,1.02027,2025-03-27 16:24:00+00:00
1743093240000,1.015,1.015,1.015,1,1.015,355,1.015,2025-03-27 16:34:00+00:00
1743093420000,1.015,1.015,1.015,1,1.015,109,1.015,2025-03-27 16:37:00+00:00
1743095640000,1.0,1.0,1.0,3,1.0,945,1.0,2025-03-27 17:14:00+00:00
1743099300000,1.02,1.02,1.0199,2,1.0199,500,1.01994,2025-03-27 18:15:00+00:00
1743100860000,1.0,1.0,1.0,1,1.0,100,1.0,2025-03-27 18:41:00+00:00
1743102060000,0.99,1.0,0.99,2,1.0,600,0.998333,2025-03-27 19:01:00+00:00
1743102120000,1.0,1.0,0.9999,8,0.9999,1781,0.999965,2025-03-27 19:02:00+00:00
1743103140000,0.98,0.98,0.98,1,0.98,100,0.98,2025-03-27 19:19:00+00:00
1743103980000,0.99,0.99,0.98,2,0.98,200,0.985,2025-03-27 19:33:00+00:00
1743104520000,0.9825,0.9825,0.9825,2,0.9825,102,0.9825,2025-03-27 19:42:00+00:00
1743104700000,1.0,1.0,0.98,3,0.98,700,0.997114,2025-03-27 19:45:00+00:00
1743104880000,1.0,1.0,1.0,1,1.0,1000,1.0,2025-03-27 19:48:00+00:00
1743105120000,0.98,0.98,0.98,1,0.98,100,0.98,2025-03-27 19:52:00+00:00
1743105180000,1.0,1.0,1.0,3,1.0,888,1.0,2025-03-27 19:53:00+00:00
1743105300000,1.0,1.0,1.0,3,1.0,602,1.0,2025-03-27 19:55:00+00:00
1743105480000,1.0,1.0,1.0,6,1.0,1134,1.0,2025-03-27 19:58:00+00:00
1743105540000,1.0,1.0,1.0,1,1.0,100,1.0,2025-03-27 19:59:00+00:00
1743171300000,1.01,1.01,1.01,1,1.01,100,1.01,2025-03-28 14:15:00+00:00
1743171540000,1.01,1.01,1.01,3,1.01,306,1.01,2025-03-28 14:19:00+00:00
1743171600000,1.01,1.01,1.01,2,1.01,400,1.01,2025-03-28 14:20:00+00:00
1743172200000,1.01,1.01,1.01,1,1.01,700,1.01,2025-03-28 14:30:00+00:00
1743174600000,1.01,1.01,1.01,2,1.01,200,1.01,2025-03-28 15:10:00+00:00
1743175380000,1.01,1.01,1.01,1,1.01,2000,1.01,2025-03-28 15:23:00+00:00
1743175500000,1.01,1.01,1.01,2,1.01,1900,1.01,2025-03-28 15:25:00+00:00
1743175620000,1.0101,1.0101,1.01,4,1.01,2000,1.010081,2025-03-28 15:27:00+00:00
1743175860000,1.01,1.01,1.01,7,1.01,6900,1.01,2025-03-28 15:31:00+00:00
1743179400000,1.0,1.0,1.0,1,1.0,100,1.0,2025-03-28 16:30:00+00:00
1743179520000,1.01,1.01,1.01,3,1.01,479,1.01,2025-03-28 16:32:00+00:00
1743180420000,1.02,1.02,1.02,2,1.02,2500,1.02,2025-03-28 16:47:00+00:00
1743180480000,1.02,1.02,1.02,4,1.02,2602,1.02,2025-03-28 16:48:00+00:00
1743189300000,1.02,1.02,1.02,1,1.02,500,1.02,2025-03-28 19:15:00+00:00
1743189360000,1.02,1.02,1.02,1,1.02,300,1.02,2025-03-28 19:16:00+00:00
1743189480000,1.02,1.02,1.02,1,1.02,400,1.02,2025-03-28 19:18:00+00:00
1743427800000,1.015,1.015,1.0,4,1.0,728,1.010757,2025-03-31 13:30:00+00:00
1743429240000,1.05,1.05,1.05,1,1.05,100,1.05,2025-03-31 13:54:00+00:00
1743431640000,1.02,1.02,1.02,1,1.02,100,1.02,2025-03-31 14:34:00+00:00
1743432180000,1.03,1.03,1.011,2,1.011,870,1.01908,2025-03-31 14:43:00+00:00
1743433260000,1.02,1.03,1.02,3,1.03,600,1.028333,2025-03-31 15:01:00+00:00
1743433860000,1.03,1.03,1.03,1,1.03,600,1.03,2025-03-31 15:11:00+00:00
1743434880000,1.03,1.0314,1.03,18,1.0303,5908,1.030295,2025-03-31 15:28:00+00:00
1743435180000,1.03,1.03,1.02,3,1.02,800,1.0275,2025-03-31 15:33:00+00:00
1743435780000,1.0,1.01,1.0,4,1.01,880,1.0075,2025-03-31 15:43:00+00:00
1743435900000,0.9899,0.9899,0.9898,5,0.9899,800,0.989875,2025-03-31 15:45:00+00:00
1743435960000,0.9983,1.0002,0.9801,9,0.9801,1808,0.996538,2025-03-31 15:46:00+00:00
1743436020000,0.999,0.999,0.999,1,0.999,1000,0.999,2025-03-31 15:47:00+00:00
1743436140000,0.98,0.9801,0.98,3,0.9801,816,0.980074,2025-03-31 15:49:00+00:00
1743436260000,1.0,1.0,0.9788,4,0.9788,1393,0.988971,2025-03-31 15:51:00+00:00
1743436320000,0.9538,1.01,0.9538,3,1.01,907,1.000419,2025-03-31 15:52:00+00:00
1743436380000,0.9598,0.9598,0.9598,1,0.9598,100,0.9598,2025-03-31 15:53:00+00:00
1743436440000,0.99,0.9901,0.99,18,0.99,22745,0.990002,2025-03-31 15:54:00+00:00
1743436500000,0.9623,0.99,0.955,11,0.99,7019,0.977851,2025-03-31 15:55:00+00:00
1743437760000,0.97,0.97,0.97,1,0.97,1700,0.97,2025-03-31 16:16:00+00:00
1743437940000,0.97,0.97,0.9699,8,0.9699,2119,0.969992,2025-03-31 16:19:00+00:00
1743438060000,0.97,0.97,0.97,2,0.97,1100,0.97,2025-03-31 16:21:00+00:00
1743438120000,0.97,0.9797,0.97,9,0.9701,5000,0.971074,2025-03-31 16:22:00+00:00
1743438180000,0.97,0.97,0.97,1,0.97,700,0.97,2025-03-31 16:23:00+00:00
1743438300000,0.95,0.95,0.95,4,0.95,5000,0.95,2025-03-31 16:25:00+00:00
1743438360000,0.9425,0.9425,0.9425,1,0.9425,100,0.9425,2025-03-31 16:26:00+00:00
1743438960000,0.945,0.945,0.9448,4,0.9448,2500,0.944943,2025-03-31 16:36:00+00:00
1743439200000,0.9402,0.9402,0.9402,4,0.9402,500,0.9402,2025-03-31 16:40:00+00:00
1743439680000,0.95,0.95,0.95,1,0.95,100,0.95,2025-03-31 16:48:00+00:00
1743440040000,1.01,1.01,1.01,1,1.01,100,1.01,2025-03-31 16:54:00+00:00
1743443220000,1.01,1.01,1.01,1,1.01,300,1.01,2025-03-31 17:47:00+00:00
1743449220000,0.99,0.99,0.98,6,0.98,5000,0.989185,2025-03-31 19:27:00+00:00
1743449400000,0.99,0.99,0.99,1,0.99,5000,0.99,2025-03-31 19:30:00+00:00
1743450660000,0.9899,0.9899,0.9899,1,0.9899,1500,0.9899,2025-03-31 19:51:00+00:00
1743450720000,0.9898,0.9898,0.9898,3,0.9898,1500,0.9898,2025-03-31 19:52:00+00:00
1743450780000,0.9899,0.9899,0.9897,10,0.9898,2580,0.989865,2025-03-31 19:53:00+00:00
1743514620000,1.0098,1.0098,1.0,4,1.0,351,1.006689,2025-04-01 13:37:00+00:00
1743523620000,0.9999,0.9999,0.9999,2,0.9999,410,0.9999,2025-04-01 16:07:00+00:00
1743536940000,0.9999,0.9999,0.9999,5,0.9999,479,0.9999,2025-04-01 19:49:00+00:00
1743537060000,1.0,1.0,1.0,3,1.0,921,1.0,2025-04-01 19:51:00+00:00
1743537120000,1.0,1.0,1.0,2,1.0,450,1.0,2025-04-01 19:52:00+00:00
1743537180000,1.0,1.0,1.0,3,1.0,500,1.0,2025-04-01 19:53:00+00:00
1743537360000,1.01,1.01,1.0,7,1.0,1063,1.001863,2025-04-01 19:56:00+00:00
1743537420000,1.03,1.03,1.03,3,1.03,716,1.03,2025-04-01 19:57:00+00:00
1743537540000,1.03,1.03,1.03,1,1.03,250,1.03,2025-04-01 19:59:00+00:00
1743601320000,1.02,1.02,1.02,2,1.02,500,1.02,2025-04-02 13:42:00+00:00
1743601440000,1.03,1.03,1.03,1,1.03,500,1.03,2025-04-02 13:44:00+00:00
