timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753193940000,2.54,2.59,2.54,11,2.59,1807,2.554278,2025-07-22 14:19:00+00:00
1753196400000,2.55,2.55,2.55,2,2.55,115,2.55,2025-07-22 15:00:00+00:00
1753196820000,2.55,2.56,2.55,7,2.56,1100,2.552891,2025-07-22 15:07:00+00:00
1753197060000,2.55,2.55,2.55,3,2.55,785,2.55,2025-07-22 15:11:00+00:00
1753197660000,2.5849,2.62,2.55,13,2.62,2908,2.570204,2025-07-22 15:21:00+00:00
1753198260000,2.54,2.5476,2.54,2,2.5476,399,2.54381,2025-07-22 15:31:00+00:00
1753199460000,2.54,2.54,2.54,2,2.54,350,2.54,2025-07-22 15:51:00+00:00
1753199520000,2.53,2.5525,2.53,7,2.54,1032,2.54095,2025-07-22 15:52:00+00:00
1753199580000,2.53,2.53,2.53,6,2.53,792,2.53,2025-07-22 15:53:00+00:00
1753199640000,2.5533,2.5533,2.5533,3,2.5533,392,2.5533,2025-07-22 15:54:00+00:00
1753201260000,2.53,2.5347,2.53,2,2.5347,400,2.53235,2025-07-22 16:21:00+00:00
1753201380000,2.5509,2.5509,2.5509,3,2.5509,393,2.5509,2025-07-22 16:23:00+00:00
1753202040000,2.53,2.53,2.53,3,2.53,396,2.53,2025-07-22 16:34:00+00:00
1753202220000,2.57,2.58,2.53,10,2.53,2396,2.558781,2025-07-22 16:37:00+00:00
1753202460000,2.5771,2.5771,2.5771,5,2.5771,3002,2.5771,2025-07-22 16:41:00+00:00
1753203360000,2.552,2.552,2.552,1,2.552,135,2.552,2025-07-22 16:56:00+00:00
1753203900000,2.565,2.565,2.565,1,2.565,1196,2.565,2025-07-22 17:05:00+00:00
1753205580000,2.59,2.59,2.58,4,2.58,900,2.587578,2025-07-22 17:33:00+00:00
1753205640000,2.62,2.62,2.62,4,2.62,3153,2.62,2025-07-22 17:34:00+00:00
1753205700000,2.5836,2.5836,2.5836,1,2.5836,900,2.5836,2025-07-22 17:35:00+00:00
1753208640000,2.6,2.6002,2.6,3,2.6002,3900,2.600195,2025-07-22 18:24:00+00:00
