timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757439960000,9.57,9.57,9.57,5,9.57,191,9.57,2025-09-09 17:46:00+00:00
1757440020000,9.561,9.561,9.561,2,9.561,205,9.561,2025-09-09 17:47:00+00:00
1757440140000,9.58,9.58,9.58,14,9.58,579,9.58,2025-09-09 17:49:00+00:00
1757440320000,9.59,9.59,9.59,6,9.59,226,9.59,2025-09-09 17:52:00+00:00
1757440620000,9.59,9.59,9.59,3,9.59,105,9.59,2025-09-09 17:57:00+00:00
1757440680000,9.6,9.6,9.58,47,9.5884,2283,9.591336,2025-09-09 17:58:00+00:00
1757441280000,9.63,9.66,9.63,23,9.63,1126,9.643333,2025-09-09 18:08:00+00:00
1757441400000,9.65,9.65,9.65,8,9.65,525,9.65,2025-09-09 18:10:00+00:00
1757441460000,9.63,9.63,9.63,14,9.63,348,9.63,2025-09-09 18:11:00+00:00
1757441520000,9.62,9.63,9.62,13,9.63,339,9.625,2025-09-09 18:12:00+00:00
1757442000000,9.625,9.625,9.625,3,9.625,325,9.625,2025-09-09 18:20:00+00:00
1757442120000,9.63,9.65,9.63,4,9.65,214,9.64,2025-09-09 18:22:00+00:00
1757442180000,9.63,9.63,9.63,12,9.63,520,9.63,2025-09-09 18:23:00+00:00
1757442420000,9.65,9.65,9.65,26,9.65,852,9.65,2025-09-09 18:27:00+00:00
1757442480000,9.66,9.66,9.66,9,9.66,201,9.66,2025-09-09 18:28:00+00:00
1757442540000,9.67,9.67,9.66,11,9.66,883,9.665625,2025-09-09 18:29:00+00:00
1757442600000,9.695,9.7,9.665,64,9.67,7654,9.679498,2025-09-09 18:30:00+00:00
1757442780000,9.73,9.73,9.7,22,9.7,799,9.710797,2025-09-09 18:33:00+00:00
1757442840000,9.73,9.73,9.73,8,9.73,408,9.73,2025-09-09 18:34:00+00:00
1757442900000,9.715,9.715,9.715,9,9.715,190,9.715,2025-09-09 18:35:00+00:00
1757442960000,9.715,9.7165,9.715,6,9.7165,1087,9.716217,2025-09-09 18:36:00+00:00
1757443140000,9.73,9.73,9.72,8,9.72,258,9.725,2025-09-09 18:39:00+00:00
1757443260000,9.71,9.71,9.71,5,9.71,176,9.71,2025-09-09 18:41:00+00:00
1757443320000,9.7,9.7,9.7,11,9.7,128,9.7,2025-09-09 18:42:00+00:00
1757443380000,9.69,9.72,9.69,45,9.72,2276,9.700792,2025-09-09 18:43:00+00:00
1757443440000,9.68,9.68,9.68,7,9.68,608,9.68,2025-09-09 18:44:00+00:00
1757443500000,9.685,9.69,9.685,12,9.69,465,9.688333,2025-09-09 18:45:00+00:00
1757443680000,9.675,9.68,9.67,19,9.67,818,9.675,2025-09-09 18:48:00+00:00
1757443740000,9.695,9.7,9.695,34,9.7,1366,9.69875,2025-09-09 18:49:00+00:00
1757443800000,9.7,9.7,9.7,4,9.7,2044,9.7,2025-09-09 18:50:00+00:00
1757443860000,9.695,9.7,9.69,19,9.7,752,9.69625,2025-09-09 18:51:00+00:00
1757443920000,9.6924,9.695,9.6924,4,9.695,524,9.692899,2025-09-09 18:52:00+00:00
1757443980000,9.695,9.695,9.695,5,9.695,145,9.695,2025-09-09 18:53:00+00:00
1757444160000,9.695,9.695,9.695,4,9.695,120,9.695,2025-09-09 18:56:00+00:00
1757444280000,9.68,9.69,9.655,87,9.69,3127,9.672813,2025-09-09 18:58:00+00:00
1757444340000,9.62,9.63,9.62,6,9.63,403,9.625,2025-09-09 18:59:00+00:00
1757444400000,9.62,9.62,9.62,5,9.62,109,9.62,2025-09-09 19:00:00+00:00
1757444460000,9.62,9.62,9.62,7,9.62,272,9.62,2025-09-09 19:01:00+00:00
1757444520000,9.62,9.62,9.62,12,9.62,352,9.62,2025-09-09 19:02:00+00:00
1757444580000,9.645,9.645,9.62,36,9.62,1329,9.6325,2025-09-09 19:03:00+00:00
1757444640000,9.645,9.645,9.64,15,9.64,353,9.641667,2025-09-09 19:04:00+00:00
1757444700000,9.64,9.6579,9.63,28,9.645,3760,9.652099,2025-09-09 19:05:00+00:00
1757444760000,9.665,9.665,9.64,35,9.64,1511,9.6565,2025-09-09 19:06:00+00:00
1757444820000,9.715,9.715,9.65,51,9.665,1970,9.670804,2025-09-09 19:07:00+00:00
1757444940000,9.715,9.715,9.715,13,9.715,567,9.715,2025-09-09 19:09:00+00:00
1757445000000,9.715,9.715,9.715,10,9.715,556,9.715,2025-09-09 19:10:00+00:00
1757445120000,9.73,9.73,9.72,25,9.72,845,9.723333,2025-09-09 19:12:00+00:00
1757445180000,9.725,9.73,9.725,24,9.73,780,9.726667,2025-09-09 19:13:00+00:00
1757445240000,9.74,9.74,9.74,7,9.74,623,9.74,2025-09-09 19:14:00+00:00
1757445300000,9.81,9.81,9.725,35,9.725,1785,9.761596,2025-09-09 19:15:00+00:00
1757445360000,9.83,9.83,9.83,5,9.83,335,9.83,2025-09-09 19:16:00+00:00
1757445420000,9.875,9.88,9.8474,35,9.8474,2430,9.853632,2025-09-09 19:17:00+00:00
1757445480000,9.88,9.88,9.88,15,9.88,635,9.88,2025-09-09 19:18:00+00:00
1757445540000,9.9,9.91,9.87,41,9.87,1358,9.895556,2025-09-09 19:19:00+00:00
1757445660000,9.885,9.9,9.885,28,9.9,1627,9.887778,2025-09-09 19:21:00+00:00
1757445720000,9.95,9.95,9.9,54,9.9,2900,9.922704,2025-09-09 19:22:00+00:00
1757445840000,9.95,9.97,9.95,20,9.97,892,9.955714,2025-09-09 19:24:00+00:00
1757445900000,10.02,10.02,9.98,46,9.98,2379,10.004654,2025-09-09 19:25:00+00:00
1757445960000,9.9722,10.01,9.9722,31,10.01,2184,9.989747,2025-09-09 19:26:00+00:00
1757446020000,9.96,9.988,9.96,6,9.975,604,9.976833,2025-09-09 19:27:00+00:00
1757446080000,9.96,9.96,9.96,10,9.96,551,9.96,2025-09-09 19:28:00+00:00
1757446140000,9.92,9.96,9.89,53,9.96,2693,9.921176,2025-09-09 19:29:00+00:00
1757446200000,9.945,9.945,9.94,10,9.94,553,9.9425,2025-09-09 19:30:00+00:00
1757446260000,9.945,9.945,9.945,8,9.945,549,9.945,2025-09-09 19:31:00+00:00
