timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757512680000,1.43,1.43,1.425,8,1.43,1102,1.428884,2025-09-10 13:58:00+00:00
1757512740000,1.4295,1.43,1.41,13,1.425,1317,1.424439,2025-09-10 13:59:00+00:00
1757512800000,1.4399,1.46,1.41,47,1.4201,10770,1.439175,2025-09-10 14:00:00+00:00
1757512860000,1.44,1.46,1.43,47,1.44,5093,1.445428,2025-09-10 14:01:00+00:00
1757512920000,1.4209,1.4498,1.41,41,1.44,11220,1.423126,2025-09-10 14:02:00+00:00
1757512980000,1.4203,1.43,1.41,40,1.41,4806,1.413171,2025-09-10 14:03:00+00:00
1757513040000,1.42,1.42,1.42,6,1.42,3894,1.42,2025-09-10 14:04:00+00:00
1757513100000,1.41,1.43,1.41,17,1.43,3768,1.423598,2025-09-10 14:05:00+00:00
1757513160000,1.4198,1.42,1.41,34,1.42,2127,1.417954,2025-09-10 14:06:00+00:00
1757513220000,1.42,1.42,1.41,16,1.41,2090,1.412905,2025-09-10 14:07:00+00:00
1757513280000,1.419,1.419,1.41,6,1.41,1282,1.414457,2025-09-10 14:08:00+00:00
1757513340000,1.42,1.42,1.41,17,1.42,3320,1.41274,2025-09-10 14:09:00+00:00
1757513400000,1.44,1.45,1.4192,53,1.42,11219,1.436298,2025-09-10 14:10:00+00:00
1757513460000,1.43,1.435,1.43,8,1.435,409,1.433,2025-09-10 14:11:00+00:00
1757513520000,1.4349,1.449,1.4349,4,1.44,483,1.439686,2025-09-10 14:12:00+00:00
1757513580000,1.4491,1.45,1.4491,6,1.45,514,1.449501,2025-09-10 14:13:00+00:00
1757513640000,1.4495,1.4495,1.44,7,1.44,646,1.44475,2025-09-10 14:14:00+00:00
1757513700000,1.4399,1.45,1.43,54,1.44,10157,1.432755,2025-09-10 14:15:00+00:00
1757513760000,1.42,1.44,1.41,30,1.44,6247,1.423257,2025-09-10 14:16:00+00:00
1757513880000,1.4499,1.4499,1.43,11,1.43,817,1.437049,2025-09-10 14:18:00+00:00
1757513940000,1.45,1.45,1.45,14,1.45,1179,1.45,2025-09-10 14:19:00+00:00
1757514000000,1.4596,1.46,1.442,13,1.442,4185,1.45776,2025-09-10 14:20:00+00:00
1757514060000,1.47,1.47,1.46,23,1.46,10758,1.460587,2025-09-10 14:21:00+00:00
1757514120000,1.4899,1.49,1.47,25,1.47,5507,1.48426,2025-09-10 14:22:00+00:00
1757514180000,1.5,1.5,1.485,23,1.4885,4153,1.490485,2025-09-10 14:23:00+00:00
1757514240000,1.495,1.5,1.48,55,1.49,6757,1.495025,2025-09-10 14:24:00+00:00
1757514300000,1.47,1.49,1.47,18,1.49,4035,1.476946,2025-09-10 14:25:00+00:00
1757514360000,1.48,1.48,1.47,4,1.47,298,1.476403,2025-09-10 14:26:00+00:00
1757514420000,1.49,1.5199,1.49,67,1.49,14312,1.496448,2025-09-10 14:27:00+00:00
1757514480000,1.5198,1.52,1.5,49,1.5,26405,1.510185,2025-09-10 14:28:00+00:00
1757514540000,1.4999,1.53,1.49,44,1.52,12579,1.501067,2025-09-10 14:29:00+00:00
1757514600000,1.49,1.5099,1.49,36,1.5,9077,1.49512,2025-09-10 14:30:00+00:00
1757514660000,1.51,1.5199,1.49,48,1.5,3958,1.500769,2025-09-10 14:31:00+00:00
1757514780000,1.505,1.505,1.4939,16,1.4939,1174,1.502828,2025-09-10 14:33:00+00:00
1757514840000,1.5098,1.5098,1.495,17,1.5,1089,1.504238,2025-09-10 14:34:00+00:00
1757514900000,1.495,1.52,1.4901,36,1.5,9467,1.505564,2025-09-10 14:35:00+00:00
1757514960000,1.465,1.5,1.465,31,1.5,7148,1.4856,2025-09-10 14:36:00+00:00
1757515020000,1.46,1.465,1.46,20,1.465,1827,1.460471,2025-09-10 14:37:00+00:00
1757515080000,1.45,1.46,1.411,21,1.459,3574,1.436128,2025-09-10 14:38:00+00:00
1757515140000,1.46,1.46,1.43,31,1.43,19281,1.432305,2025-09-10 14:39:00+00:00
1757515200000,1.48,1.48,1.4642,7,1.48,359,1.475255,2025-09-10 14:40:00+00:00
1757515260000,1.48,1.48,1.4701,8,1.4701,1177,1.4728,2025-09-10 14:41:00+00:00
