timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758030900000,0.9103,0.9193,0.9042,201,0.9044,129103,0.910166,2025-09-16 13:55:00+00:00
1758030960000,0.9532,0.96,0.9055,597,0.9105,527159,0.930721,2025-09-16 13:56:00+00:00
1758031020000,0.9373,0.9595,0.921,344,0.9501,395398,0.942719,2025-09-16 13:57:00+00:00
1758031080000,0.9281,0.9341,0.9207,307,0.931,325489,0.931153,2025-09-16 13:58:00+00:00
1758031140000,0.9153,0.93,0.905,354,0.9281,383266,0.916744,2025-09-16 13:59:00+00:00
1758031200000,0.9042,0.9157,0.9025,188,0.9152,282137,0.909468,2025-09-16 14:00:00+00:00
1758031260000,0.8657,0.91,0.85,1389,0.9036,1561076,0.882323,2025-09-16 14:01:00+00:00
1758031320000,0.8272,0.8657,0.82,1580,0.8657,1397683,0.839953,2025-09-16 14:02:00+00:00
1758031380000,0.8205,0.8348,0.8038,1092,0.825,1163918,0.816958,2025-09-16 14:03:00+00:00
1758031440000,0.837,0.85,0.8206,574,0.8206,451140,0.836856,2025-09-16 14:04:00+00:00
1758031500000,0.8269,0.8411,0.8225,557,0.837,449123,0.830982,2025-09-16 14:05:00+00:00
1758031560000,0.82,0.829,0.7958,1678,0.8246,1515943,0.808403,2025-09-16 14:06:00+00:00
1758031620000,0.7957,0.83,0.78,1395,0.82,1492202,0.795271,2025-09-16 14:07:00+00:00
1758031680000,0.7852,0.81,0.757,869,0.7975,791102,0.784623,2025-09-16 14:08:00+00:00
1758031740000,0.7703,0.7833,0.77,1049,0.7832,996217,0.77876,2025-09-16 14:09:00+00:00
1758031800000,0.78,0.7852,0.7703,790,0.7775,754037,0.778721,2025-09-16 14:10:00+00:00
1758031860000,0.7975,0.8,0.7721,451,0.7796,535841,0.781401,2025-09-16 14:11:00+00:00
1758031920000,0.778,0.7994,0.77,390,0.7975,372492,0.785531,2025-09-16 14:12:00+00:00
1758031980000,0.7695,0.7781,0.7527,560,0.7781,848940,0.767023,2025-09-16 14:13:00+00:00
1758032040000,0.7696,0.7735,0.7626,416,0.7699,311417,0.767519,2025-09-16 14:14:00+00:00
1758032100000,0.7799,0.78,0.765,343,0.77,423666,0.768951,2025-09-16 14:15:00+00:00
1758032160000,0.7882,0.7939,0.7763,350,0.7799,305622,0.787518,2025-09-16 14:16:00+00:00
1758032220000,0.788,0.7882,0.7759,199,0.7882,207569,0.781609,2025-09-16 14:17:00+00:00
1758032280000,0.7899,0.79,0.7834,412,0.7854,306798,0.788726,2025-09-16 14:18:00+00:00
1758032340000,0.7831,0.79,0.783,183,0.79,214389,0.786809,2025-09-16 14:19:00+00:00
1758032400000,0.7889,0.79,0.78,265,0.783,365892,0.783096,2025-09-16 14:20:00+00:00
1758032460000,0.7793,0.7865,0.7741,267,0.7843,479643,0.778897,2025-09-16 14:21:00+00:00
1758032520000,0.7804,0.7899,0.77,334,0.7781,341902,0.772788,2025-09-16 14:22:00+00:00
1758032580000,0.8023,0.82,0.78,352,0.78,439627,0.802463,2025-09-16 14:23:00+00:00
1758032640000,0.797,0.8,0.797,132,0.799,85331,0.797101,2025-09-16 14:24:00+00:00
1758032700000,0.798,0.7983,0.797,127,0.7971,144125,0.797871,2025-09-16 14:25:00+00:00
1758032760000,0.8169,0.8236,0.7976,268,0.798,422073,0.80859,2025-09-16 14:26:00+00:00
1758032820000,0.8292,0.8296,0.8141,486,0.8185,737401,0.82031,2025-09-16 14:27:00+00:00
1758032880000,0.8401,0.848,0.8206,417,0.825,465327,0.835866,2025-09-16 14:28:00+00:00
1758032940000,0.8346,0.8401,0.8334,183,0.8401,249071,0.835788,2025-09-16 14:29:00+00:00
1758033000000,0.8102,0.8351,0.803,388,0.835,412538,0.819578,2025-09-16 14:30:00+00:00
1758033060000,0.8108,0.8141,0.8079,149,0.8104,132624,0.810753,2025-09-16 14:31:00+00:00
1758033120000,0.804,0.8105,0.8001,103,0.8103,38169,0.806163,2025-09-16 14:32:00+00:00
1758033180000,0.8185,0.8296,0.8054,131,0.8069,107383,0.814426,2025-09-16 14:33:00+00:00
1758033240000,0.8218,0.8241,0.81,82,0.8241,132252,0.818037,2025-09-16 14:34:00+00:00
1758033300000,0.83,0.8349,0.8246,122,0.8252,136593,0.828637,2025-09-16 14:35:00+00:00
1758033360000,0.8374,0.8374,0.8267,128,0.8301,177096,0.831343,2025-09-16 14:36:00+00:00
1758033420000,0.8269,0.8372,0.8268,112,0.835,105644,0.832135,2025-09-16 14:37:00+00:00
1758033480000,0.8217,0.8269,0.8217,72,0.8268,90463,0.825542,2025-09-16 14:38:00+00:00
