timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758030540000,0.4255,0.4255,0.4255,17,0.4255,3637,0.4255,2025-09-16 13:49:00+00:00
1758030600000,0.4268,0.4268,0.4268,5,0.4268,861,0.4268,2025-09-16 13:50:00+00:00
1758030660000,0.4251,0.4258,0.425,39,0.4258,181266,0.425025,2025-09-16 13:51:00+00:00
1758030720000,0.425,0.4251,0.425,12,0.4251,6962,0.425071,2025-09-16 13:52:00+00:00
1758030780000,0.4269,0.4269,0.425,28,0.425,9698,0.425324,2025-09-16 13:53:00+00:00
1758030840000,0.4251,0.4254,0.425,12,0.425,10629,0.425043,2025-09-16 13:54:00+00:00
1758030900000,0.425,0.4279,0.425,22,0.4253,24167,0.425353,2025-09-16 13:55:00+00:00
1758030960000,0.4254,0.4265,0.4251,14,0.4251,7038,0.425405,2025-09-16 13:56:00+00:00
1758031020000,0.4251,0.4254,0.4251,9,0.4252,4806,0.425119,2025-09-16 13:57:00+00:00
1758031080000,0.4297,0.4297,0.4251,20,0.4251,11636,0.425772,2025-09-16 13:58:00+00:00
1758031140000,0.4251,0.4297,0.4251,19,0.4294,13340,0.428926,2025-09-16 13:59:00+00:00
1758031200000,0.4278,0.4291,0.4278,7,0.4291,8031,0.428807,2025-09-16 14:00:00+00:00
1758031260000,0.4281,0.4297,0.4275,17,0.4275,2700,0.428457,2025-09-16 14:01:00+00:00
1758031320000,0.4279,0.428,0.4278,10,0.428,5150,0.427904,2025-09-16 14:02:00+00:00
1758031380000,0.4278,0.4279,0.4278,13,0.4278,4423,0.427872,2025-09-16 14:03:00+00:00
1758031440000,0.426,0.4267,0.426,33,0.4262,42743,0.426111,2025-09-16 14:04:00+00:00
1758031500000,0.426,0.4263,0.426,7,0.4263,3079,0.426089,2025-09-16 14:05:00+00:00
1758031560000,0.4262,0.4279,0.4261,18,0.4261,6600,0.427196,2025-09-16 14:06:00+00:00
1758031620000,0.426,0.4268,0.426,11,0.4268,5107,0.426214,2025-09-16 14:07:00+00:00
1758031680000,0.4252,0.4252,0.4251,28,0.4252,45767,0.425105,2025-09-16 14:08:00+00:00
1758031740000,0.4256,0.4263,0.4251,25,0.4251,21446,0.42515,2025-09-16 14:09:00+00:00
1758031800000,0.4251,0.4254,0.4251,6,0.4254,6461,0.425108,2025-09-16 14:10:00+00:00
1758031860000,0.4252,0.4252,0.4251,13,0.4252,5076,0.425171,2025-09-16 14:11:00+00:00
1758031920000,0.4251,0.4252,0.4251,15,0.4251,10613,0.42514,2025-09-16 14:12:00+00:00
1758031980000,0.4252,0.4252,0.4251,15,0.4251,6389,0.425156,2025-09-16 14:13:00+00:00
1758032040000,0.425,0.4252,0.425,15,0.4252,132935,0.425161,2025-09-16 14:14:00+00:00
1758032100000,0.425,0.4251,0.4249,32,0.425,301539,0.425,2025-09-16 14:15:00+00:00
1758032160000,0.425,0.425,0.4249,21,0.425,64661,0.424998,2025-09-16 14:16:00+00:00
1758032220000,0.4249,0.425,0.4249,6,0.425,17197,0.424912,2025-09-16 14:17:00+00:00
1758032280000,0.4249,0.425,0.4249,16,0.425,4139,0.424987,2025-09-16 14:18:00+00:00
1758032340000,0.425,0.425,0.425,7,0.425,923,0.425,2025-09-16 14:19:00+00:00
1758032400000,0.4249,0.425,0.4249,24,0.425,74587,0.424924,2025-09-16 14:20:00+00:00
1758032460000,0.4249,0.425,0.4249,20,0.425,6848,0.424923,2025-09-16 14:21:00+00:00
1758032520000,0.425,0.425,0.425,12,0.425,40643,0.425,2025-09-16 14:22:00+00:00
1758032580000,0.425,0.425,0.4249,22,0.4249,14992,0.424936,2025-09-16 14:23:00+00:00
1758032640000,0.425,0.425,0.425,9,0.425,11274,0.425,2025-09-16 14:24:00+00:00
1758032700000,0.425,0.425,0.4249,29,0.425,5399,0.424996,2025-09-16 14:25:00+00:00
1758032760000,0.4247,0.425,0.4247,14,0.425,2760,0.424972,2025-09-16 14:26:00+00:00
1758032820000,0.4241,0.4246,0.4241,30,0.4246,11872,0.424444,2025-09-16 14:27:00+00:00
1758032880000,0.4222,0.424,0.4222,38,0.424,53827,0.422369,2025-09-16 14:28:00+00:00
1758032940000,0.4212,0.4223,0.4206,58,0.4223,5844,0.421251,2025-09-16 14:29:00+00:00
1758033000000,0.4201,0.4207,0.4201,8,0.4207,10302,0.420106,2025-09-16 14:30:00+00:00
1758033060000,0.42,0.4201,0.42,60,0.42,12904,0.420023,2025-09-16 14:31:00+00:00
1758033120000,0.4172,0.4184,0.4172,14,0.4183,5561,0.418042,2025-09-16 14:32:00+00:00
1758033180000,0.4156,0.4173,0.4154,49,0.4172,34726,0.415505,2025-09-16 14:33:00+00:00
1758033240000,0.4173,0.4173,0.4156,21,0.4157,15698,0.416097,2025-09-16 14:34:00+00:00
1758033300000,0.4171,0.4211,0.4166,25,0.4166,5134,0.41822,2025-09-16 14:35:00+00:00
1758033360000,0.414,0.4171,0.414,47,0.4171,69921,0.414699,2025-09-16 14:36:00+00:00
1758033420000,0.4158,0.416,0.4141,29,0.4143,4194,0.415013,2025-09-16 14:37:00+00:00
1758033480000,0.4141,0.415,0.414,20,0.415,10421,0.414443,2025-09-16 14:38:00+00:00
1758033540000,0.4141,0.4179,0.414,38,0.4159,37202,0.415649,2025-09-16 14:39:00+00:00
1758033600000,0.4176,0.4176,0.4132,51,0.4141,22130,0.414103,2025-09-16 14:40:00+00:00
1758033660000,0.414,0.414,0.414,1,0.414,200,0.414,2025-09-16 14:41:00+00:00
1758033720000,0.414,0.414,0.4135,26,0.4137,13390,0.413846,2025-09-16 14:42:00+00:00
1758033780000,0.418,0.418,0.4136,19,0.4139,4619,0.413788,2025-09-16 14:43:00+00:00
1758033840000,0.4168,0.4189,0.4163,21,0.4163,4548,0.418089,2025-09-16 14:44:00+00:00
1758033900000,0.4179,0.4189,0.4163,7,0.4166,2680,0.417277,2025-09-16 14:45:00+00:00
1758033960000,0.42,0.42,0.4179,31,0.4179,6223,0.418641,2025-09-16 14:46:00+00:00
1758034020000,0.4165,0.417,0.4165,22,0.417,5030,0.41685,2025-09-16 14:47:00+00:00
1758034080000,0.4161,0.4168,0.416,41,0.4168,8386,0.416405,2025-09-16 14:48:00+00:00
1758034140000,0.4161,0.4163,0.4155,19,0.4162,5046,0.416009,2025-09-16 14:49:00+00:00
1758034200000,0.4163,0.4163,0.4137,45,0.4157,10002,0.415319,2025-09-16 14:50:00+00:00
1758034260000,0.4134,0.4143,0.4134,31,0.4143,14216,0.413699,2025-09-16 14:51:00+00:00
1758034320000,0.4134,0.4137,0.4134,26,0.4134,7519,0.413535,2025-09-16 14:52:00+00:00
1758034380000,0.4134,0.4136,0.4134,11,0.4134,12610,0.413525,2025-09-16 14:53:00+00:00
1758034440000,0.4134,0.4135,0.4134,23,0.4134,5359,0.413457,2025-09-16 14:54:00+00:00
1758034500000,0.4131,0.4135,0.413,53,0.4135,20419,0.413193,2025-09-16 14:55:00+00:00
1758034560000,0.413,0.4131,0.413,19,0.413,10809,0.41307,2025-09-16 14:56:00+00:00
1758034620000,0.413,0.4131,0.413,15,0.413,52430,0.413,2025-09-16 14:57:00+00:00
1758034680000,0.413,0.415,0.413,38,0.4131,9766,0.41352,2025-09-16 14:58:00+00:00
1758034740000,0.4134,0.4139,0.413,23,0.4131,6192,0.413577,2025-09-16 14:59:00+00:00
1758034800000,0.4132,0.4132,0.4132,2,0.4132,300,0.4132,2025-09-16 15:00:00+00:00
1758034860000,0.4134,0.4155,0.4131,19,0.4134,21913,0.414158,2025-09-16 15:01:00+00:00
1758034920000,0.4145,0.4145,0.4131,28,0.4134,5224,0.41323,2025-09-16 15:02:00+00:00
1758034980000,0.415,0.4155,0.415,2,0.4155,1100,0.415455,2025-09-16 15:03:00+00:00
1758035040000,0.4169,0.417,0.4151,16,0.4168,3419,0.41674,2025-09-16 15:04:00+00:00
1758035100000,0.4169,0.417,0.4169,6,0.4169,709,0.416931,2025-09-16 15:05:00+00:00
1758035160000,0.4159,0.4169,0.4155,13,0.4169,74661,0.415656,2025-09-16 15:06:00+00:00
