timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757530140000,7.83,7.8499,7.8,25,7.8,2535,7.810946,2025-09-10 18:49:00+00:00
1757530200000,7.78,7.83,7.78,25,7.83,1863,7.808536,2025-09-10 18:50:00+00:00
1757530260000,7.81,7.85,7.78,65,7.78,5508,7.82706,2025-09-10 18:51:00+00:00
1757530320000,7.82,7.85,7.7708,21,7.81,5130,7.834181,2025-09-10 18:52:00+00:00
1757530380000,7.8611,7.93,7.82,73,7.82,11100,7.87726,2025-09-10 18:53:00+00:00
1757530440000,7.96,7.97,7.878,64,7.9502,10213,7.927962,2025-09-10 18:54:00+00:00
1757530500000,8.0999,8.1,7.9009,276,7.9009,51833,8.033298,2025-09-10 18:55:00+00:00
1757530560000,7.91,8.065,7.77,170,8.06,20072,7.963071,2025-09-10 18:56:00+00:00
1757530620000,7.82,7.96,7.77,96,7.9,8762,7.804196,2025-09-10 18:57:00+00:00
1757530680000,7.6946,7.88,7.6401,76,7.82,14684,7.735988,2025-09-10 18:58:00+00:00
1757530740000,7.75,7.8314,7.7,44,7.705,7627,7.799258,2025-09-10 18:59:00+00:00
1757530800000,7.71,7.8,7.71,64,7.75,9769,7.774714,2025-09-10 19:00:00+00:00
1757530860000,7.71,7.75,7.71,38,7.7215,2049,7.727803,2025-09-10 19:01:00+00:00
1757530920000,7.7991,7.8,7.74,32,7.75,8402,7.74315,2025-09-10 19:02:00+00:00
1757530980000,7.7109,7.755,7.7109,17,7.755,1988,7.749812,2025-09-10 19:03:00+00:00
1757531040000,7.75,7.7999,7.71,57,7.7999,4399,7.73993,2025-09-10 19:04:00+00:00
1757531100000,7.76,7.765,7.7308,18,7.765,938,7.742454,2025-09-10 19:05:00+00:00
1757531220000,7.75,7.75,7.74,39,7.74,2191,7.745212,2025-09-10 19:07:00+00:00
1757531280000,7.7287,7.7999,7.7208,31,7.7274,4250,7.725932,2025-09-10 19:08:00+00:00
1757531340000,7.72,7.765,7.72,38,7.7354,2696,7.723963,2025-09-10 19:09:00+00:00
1757531400000,7.7799,7.8,7.73,77,7.73,5208,7.765201,2025-09-10 19:10:00+00:00
1757531460000,7.7,7.7934,7.7,67,7.7799,8151,7.724544,2025-09-10 19:11:00+00:00
1757531520000,7.74,7.7698,7.74,15,7.74,668,7.74745,2025-09-10 19:12:00+00:00
1757531580000,7.66,7.72,7.64,69,7.7,9076,7.664998,2025-09-10 19:13:00+00:00
1757531640000,7.6516,7.685,7.64,35,7.661,5875,7.663924,2025-09-10 19:14:00+00:00
1757531700000,7.675,7.7,7.6596,19,7.7,1753,7.678909,2025-09-10 19:15:00+00:00
1757531760000,7.74,7.74,7.7,21,7.7,841,7.712422,2025-09-10 19:16:00+00:00
1757531820000,7.7,7.74,7.65,19,7.72,998,7.68,2025-09-10 19:17:00+00:00
1757531880000,7.65,7.66,7.6401,38,7.66,4259,7.647809,2025-09-10 19:18:00+00:00
1757531940000,7.72,7.75,7.7,40,7.7,5338,7.71086,2025-09-10 19:19:00+00:00
1757532000000,7.6602,7.72,7.6602,13,7.72,1293,7.665636,2025-09-10 19:20:00+00:00
1757532060000,7.6004,7.72,7.6,57,7.676,8760,7.646885,2025-09-10 19:21:00+00:00
1757532120000,7.6439,7.6439,7.6439,24,7.6439,980,7.6439,2025-09-10 19:22:00+00:00
1757532180000,7.66,7.66,7.6,37,7.66,2678,7.65258,2025-09-10 19:23:00+00:00
1757532240000,7.665,7.665,7.61,21,7.62,3418,7.612241,2025-09-10 19:24:00+00:00
1757532300000,7.635,7.68,7.61,48,7.67,4240,7.659247,2025-09-10 19:25:00+00:00
1757532360000,7.66,7.68,7.63,23,7.67,2376,7.651844,2025-09-10 19:26:00+00:00
1757532420000,7.77,7.78,7.66,72,7.66,4873,7.702919,2025-09-10 19:27:00+00:00
1757532480000,7.7013,7.7795,7.7008,35,7.77,2253,7.75485,2025-09-10 19:28:00+00:00
1757532540000,7.765,7.79,7.75,26,7.75,1378,7.771875,2025-09-10 19:29:00+00:00
1757532600000,7.83,7.9,7.77,73,7.77,9541,7.805317,2025-09-10 19:30:00+00:00
1757532660000,7.88,7.9,7.8307,64,7.865,7320,7.879479,2025-09-10 19:31:00+00:00
1757532720000,7.89,7.89,7.86,41,7.865,1047,7.878725,2025-09-10 19:32:00+00:00
1757532780000,7.85,7.85,7.85,41,7.85,665,7.85,2025-09-10 19:33:00+00:00
1757532840000,7.865,7.89,7.86,52,7.87,4661,7.878771,2025-09-10 19:34:00+00:00
1757532900000,7.88,7.88,7.8415,34,7.8796,4610,7.870832,2025-09-10 19:35:00+00:00
1757532960000,7.88,7.89,7.8502,35,7.8836,2453,7.875212,2025-09-10 19:36:00+00:00
1757533020000,7.95,8.0,7.875,112,7.875,21163,7.943855,2025-09-10 19:37:00+00:00
