timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758030600000,1.81,1.81,1.81,2,1.81,1020,1.81,2025-09-16 13:50:00+00:00
1758030660000,1.82,1.82,1.81,2,1.81,200,1.815,2025-09-16 13:51:00+00:00
1758030960000,1.8,1.8,1.8,11,1.8,8134,1.8,2025-09-16 13:56:00+00:00
1758031020000,1.79,1.8,1.79,6,1.8,2301,1.792659,2025-09-16 13:57:00+00:00
1758031080000,1.797,1.797,1.797,4,1.797,210,1.797,2025-09-16 13:58:00+00:00
1758031200000,1.8,1.8,1.8,1,1.8,116,1.8,2025-09-16 14:00:00+00:00
1758031320000,1.8065,1.8065,1.8065,3,1.8065,111,1.8065,2025-09-16 14:02:00+00:00
1758031980000,1.8,1.8,1.8,3,1.8,278,1.8,2025-09-16 14:13:00+00:00
1758032280000,1.7901,1.795,1.7901,2,1.795,1623,1.79161,2025-09-16 14:18:00+00:00
1758032340000,1.79,1.79,1.79,9,1.79,992,1.79,2025-09-16 14:19:00+00:00
1758033000000,1.7801,1.7801,1.7801,2,1.7801,255,1.7801,2025-09-16 14:30:00+00:00
1758033300000,1.77,1.78,1.7601,19,1.78,3760,1.769834,2025-09-16 14:35:00+00:00
1758033660000,1.79,1.79,1.79,2,1.79,250,1.79,2025-09-16 14:41:00+00:00
1758033720000,1.7784,1.7784,1.7784,2,1.7784,1660,1.7784,2025-09-16 14:42:00+00:00
1758034380000,1.795,1.795,1.795,2,1.795,210,1.795,2025-09-16 14:53:00+00:00
1758034800000,1.7838,1.7838,1.7838,3,1.7838,253,1.7838,2025-09-16 15:00:00+00:00
1758034980000,1.7831,1.7831,1.7831,1,1.7831,700,1.7831,2025-09-16 15:03:00+00:00
1758035400000,1.78,1.78,1.78,4,1.78,281,1.78,2025-09-16 15:10:00+00:00
1758036420000,1.7958,1.7958,1.7958,1,1.7958,160,1.7958,2025-09-16 15:27:00+00:00
1758037020000,1.7901,1.7901,1.79,3,1.79,267,1.79005,2025-09-16 15:37:00+00:00
1758037200000,1.78,1.78,1.78,1,1.78,1000,1.78,2025-09-16 15:40:00+00:00
1758038400000,1.79,1.79,1.79,4,1.79,828,1.79,2025-09-16 16:00:00+00:00
1758038460000,1.79,1.79,1.79,3,1.79,402,1.79,2025-09-16 16:01:00+00:00
1758040920000,1.8,1.8,1.7984,6,1.7984,3411,1.798823,2025-09-16 16:42:00+00:00
1758041340000,1.8297,1.8297,1.8297,1,1.8297,1000,1.8297,2025-09-16 16:49:00+00:00
1758041820000,1.82,1.82,1.82,5,1.82,1102,1.82,2025-09-16 16:57:00+00:00
1758041880000,1.82,1.82,1.82,1,1.82,600,1.82,2025-09-16 16:58:00+00:00
1758042060000,1.8278,1.8278,1.8278,2,1.8278,481,1.8278,2025-09-16 17:01:00+00:00
1758042120000,1.8035,1.8035,1.8035,2,1.8035,507,1.8035,2025-09-16 17:02:00+00:00
1758042180000,1.8106,1.8106,1.8106,2,1.8106,200,1.8106,2025-09-16 17:03:00+00:00
