timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,0.163,0.1711,0.163,28,0.1711,117389,0.16682,2025-09-15 13:30:00+00:00
1757943060000,0.17,0.17,0.1663,31,0.1663,22498,0.168964,2025-09-15 13:31:00+00:00
1757943120000,0.1663,0.1685,0.1663,13,0.1663,18197,0.166434,2025-09-15 13:32:00+00:00
1757943180000,0.1662,0.1663,0.1662,8,0.1663,6188,0.166213,2025-09-15 13:33:00+00:00
1757943240000,0.1656,0.1656,0.1622,8,0.1643,6778,0.162904,2025-09-15 13:34:00+00:00
1757943300000,0.1635,0.1635,0.1635,4,0.1635,2157,0.1635,2025-09-15 13:35:00+00:00
1757943360000,0.1628,0.1628,0.1621,15,0.1621,4161,0.162305,2025-09-15 13:36:00+00:00
1757943420000,0.1617,0.1617,0.1616,4,0.1616,2388,0.161662,2025-09-15 13:37:00+00:00
1757943480000,0.1607,0.1607,0.16,17,0.16,8887,0.160107,2025-09-15 13:38:00+00:00
1757943540000,0.1617,0.1617,0.16,5,0.16,5349,0.160032,2025-09-15 13:39:00+00:00
1757943600000,0.165,0.165,0.1601,10,0.1601,5761,0.162479,2025-09-15 13:40:00+00:00
1757943660000,0.1617,0.1633,0.16,10,0.16,10523,0.160138,2025-09-15 13:41:00+00:00
1757943720000,0.1599,0.164,0.1599,12,0.1617,20918,0.162347,2025-09-15 13:42:00+00:00
1757943780000,0.1577,0.1595,0.1577,30,0.1594,37723,0.158823,2025-09-15 13:43:00+00:00
1757943840000,0.155,0.158,0.155,23,0.1577,4839,0.156026,2025-09-15 13:44:00+00:00
1757943900000,0.1575,0.1575,0.1565,7,0.1565,1072,0.157127,2025-09-15 13:45:00+00:00
1757943960000,0.1599,0.16,0.1575,12,0.16,2101,0.159262,2025-09-15 13:46:00+00:00
1757944020000,0.1599,0.1599,0.1599,2,0.1599,112,0.1599,2025-09-15 13:47:00+00:00
1757944080000,0.1575,0.1575,0.1575,2,0.1575,1069,0.1575,2025-09-15 13:48:00+00:00
1757944200000,0.1588,0.1588,0.1588,2,0.1588,520,0.1588,2025-09-15 13:50:00+00:00
1757944260000,0.1576,0.1576,0.1576,3,0.1576,28050,0.1576,2025-09-15 13:51:00+00:00
1757944320000,0.158,0.1599,0.158,4,0.1599,349,0.158633,2025-09-15 13:52:00+00:00
1757944560000,0.1599,0.1599,0.1558,3,0.1558,653,0.156746,2025-09-15 13:56:00+00:00
1757944620000,0.1599,0.1599,0.1567,3,0.1567,2150,0.156851,2025-09-15 13:57:00+00:00
1757944680000,0.1599,0.1599,0.1599,2,0.1599,298,0.1599,2025-09-15 13:58:00+00:00
1757944740000,0.1574,0.1574,0.155,5,0.155,6508,0.15517,2025-09-15 13:59:00+00:00
1757944860000,0.1586,0.1586,0.1574,4,0.1574,7036,0.157571,2025-09-15 14:01:00+00:00
1757944920000,0.159,0.159,0.1574,2,0.1574,3000,0.157933,2025-09-15 14:02:00+00:00
1757944980000,0.1551,0.1586,0.1551,3,0.1586,1418,0.157613,2025-09-15 14:03:00+00:00
1757945100000,0.1599,0.1599,0.1597,3,0.1597,2250,0.159853,2025-09-15 14:05:00+00:00
1757945160000,0.1599,0.1599,0.1599,4,0.1599,632,0.1599,2025-09-15 14:06:00+00:00
1757945220000,0.1581,0.1581,0.1551,5,0.1552,3001,0.156117,2025-09-15 14:07:00+00:00
1757945280000,0.1552,0.1552,0.1552,1,0.1552,499,0.1552,2025-09-15 14:08:00+00:00
1757945340000,0.1554,0.1554,0.1554,1,0.1554,100,0.1554,2025-09-15 14:09:00+00:00
1757945400000,0.1556,0.1556,0.1556,1,0.1556,202,0.1556,2025-09-15 14:10:00+00:00
1757945460000,0.16,0.16,0.16,3,0.16,297,0.16,2025-09-15 14:11:00+00:00
1757945520000,0.1583,0.1585,0.1556,5,0.1556,5880,0.158266,2025-09-15 14:12:00+00:00
1757945580000,0.1598,0.1598,0.156,5,0.156,10320,0.156221,2025-09-15 14:13:00+00:00
1757945640000,0.16,0.16,0.1599,4,0.1599,1775,0.159979,2025-09-15 14:14:00+00:00
1757945760000,0.158,0.158,0.158,1,0.158,116,0.158,2025-09-15 14:16:00+00:00
1757945820000,0.1583,0.1583,0.1575,3,0.1575,2237,0.157875,2025-09-15 14:17:00+00:00
1757946000000,0.16,0.16,0.16,1,0.16,20000,0.16,2025-09-15 14:20:00+00:00
1757946060000,0.16,0.16,0.16,1,0.16,20000,0.16,2025-09-15 14:21:00+00:00
1757946120000,0.16,0.16,0.1594,16,0.1599,47076,0.159962,2025-09-15 14:22:00+00:00
1757946180000,0.161,0.161,0.161,2,0.161,130,0.161,2025-09-15 14:23:00+00:00
1757946360000,0.161,0.161,0.161,1,0.161,180,0.161,2025-09-15 14:26:00+00:00
1757946420000,0.1687,0.1687,0.161,39,0.1625,63493,0.166047,2025-09-15 14:27:00+00:00
1757946480000,0.1655,0.1687,0.1655,8,0.166,27500,0.168026,2025-09-15 14:28:00+00:00
1757946540000,0.1656,0.1656,0.165,17,0.1656,84664,0.165555,2025-09-15 14:29:00+00:00
1757946600000,0.1678,0.1678,0.165,13,0.1653,24894,0.165295,2025-09-15 14:30:00+00:00
1757946660000,0.164,0.1655,0.1634,23,0.1655,72646,0.164274,2025-09-15 14:31:00+00:00
1757946720000,0.164,0.164,0.1636,16,0.1636,142072,0.163982,2025-09-15 14:32:00+00:00
