timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,0.205,0.205,0.202,5,0.202,3174,0.202437,2025-09-08 13:30:00+00:00
1757338320000,0.202,0.2078,0.202,12,0.2078,61000,0.202109,2025-09-08 13:32:00+00:00
1757338800000,0.2109,0.2109,0.2109,1,0.2109,100,0.2109,2025-09-08 13:40:00+00:00
1757338920000,0.21,0.21,0.21,5,0.21,3688,0.21,2025-09-08 13:42:00+00:00
1757339040000,0.21,0.2128,0.21,7,0.2101,5212,0.210555,2025-09-08 13:44:00+00:00
1757339100000,0.21,0.21,0.21,3,0.21,165,0.21,2025-09-08 13:45:00+00:00
1757339160000,0.2129,0.2129,0.2129,1,0.2129,100,0.2129,2025-09-08 13:46:00+00:00
1757339220000,0.21,0.2114,0.21,3,0.2114,1000,0.21028,2025-09-08 13:47:00+00:00
1757339280000,0.21,0.2114,0.21,6,0.2114,20314,0.210076,2025-09-08 13:48:00+00:00
1757339940000,0.2109,0.2109,0.2109,1,0.2109,100,0.2109,2025-09-08 13:59:00+00:00
1757340480000,0.2091,0.21,0.2091,18,0.2092,14151,0.209171,2025-09-08 14:08:00+00:00
1757340540000,0.2085,0.2085,0.2085,1,0.2085,110,0.2085,2025-09-08 14:09:00+00:00
1757341020000,0.2085,0.2085,0.2085,5,0.2085,70305,0.2085,2025-09-08 14:17:00+00:00
1757341200000,0.2085,0.2085,0.2085,3,0.2085,4478,0.2085,2025-09-08 14:20:00+00:00
1757341440000,0.2083,0.2084,0.2083,11,0.2084,1945,0.208377,2025-09-08 14:24:00+00:00
1757341500000,0.2083,0.2083,0.2083,1,0.2083,2500,0.2083,2025-09-08 14:25:00+00:00
1757341620000,0.2085,0.2085,0.2085,2,0.2085,620,0.2085,2025-09-08 14:27:00+00:00
1757341680000,0.2085,0.2085,0.2085,4,0.2085,1855,0.2085,2025-09-08 14:28:00+00:00
1757341980000,0.2083,0.2083,0.2083,1,0.2083,2000,0.2083,2025-09-08 14:33:00+00:00
1757342040000,0.2085,0.2085,0.2085,1,0.2085,5145,0.2085,2025-09-08 14:34:00+00:00
1757342220000,0.2091,0.2091,0.2091,8,0.2091,9790,0.2091,2025-09-08 14:37:00+00:00
1757342280000,0.2085,0.2085,0.2085,1,0.2085,997,0.2085,2025-09-08 14:38:00+00:00
1757342820000,0.2091,0.2091,0.2091,2,0.2091,10000,0.2091,2025-09-08 14:47:00+00:00
1757342940000,0.209,0.209,0.209,1,0.209,2000,0.209,2025-09-08 14:49:00+00:00
1757343180000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 14:53:00+00:00
1757343720000,0.2092,0.2092,0.2092,1,0.2092,100,0.2092,2025-09-08 15:02:00+00:00
1757343840000,0.2099,0.2099,0.2099,1,0.2099,100,0.2099,2025-09-08 15:04:00+00:00
1757343900000,0.2096,0.2096,0.2096,2,0.2096,330,0.2096,2025-09-08 15:05:00+00:00
1757344380000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 15:13:00+00:00
1757344680000,0.2092,0.2097,0.2092,9,0.2097,4173,0.209435,2025-09-08 15:18:00+00:00
1757344800000,0.2099,0.2099,0.2099,1,0.2099,100,0.2099,2025-09-08 15:20:00+00:00
1757344920000,0.2092,0.2092,0.2092,1,0.2092,200,0.2092,2025-09-08 15:22:00+00:00
1757345100000,0.2092,0.2092,0.2092,1,0.2092,100,0.2092,2025-09-08 15:25:00+00:00
1757345340000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 15:29:00+00:00
1757345820000,0.2092,0.2096,0.2092,6,0.2096,420,0.209382,2025-09-08 15:37:00+00:00
1757346240000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 15:44:00+00:00
1757346600000,0.2092,0.2092,0.2092,1,0.2092,300,0.2092,2025-09-08 15:50:00+00:00
1757346780000,0.2092,0.2092,0.2092,1,0.2092,100,0.2092,2025-09-08 15:53:00+00:00
1757346900000,0.2098,0.2098,0.2098,1,0.2098,100,0.2098,2025-09-08 15:55:00+00:00
1757347080000,0.2092,0.2092,0.2092,2,0.2092,1054,0.2092,2025-09-08 15:58:00+00:00
1757347500000,0.21,0.21,0.2092,3,0.2092,210,0.2096,2025-09-08 16:05:00+00:00
1757347740000,0.2092,0.2092,0.2092,1,0.2092,100,0.2092,2025-09-08 16:09:00+00:00
1757348220000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 16:17:00+00:00
1757348460000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 16:21:00+00:00
1757348520000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 16:22:00+00:00
1757348580000,0.2075,0.2092,0.2075,12,0.2092,51514,0.209009,2025-09-08 16:23:00+00:00
1757348700000,0.2098,0.2098,0.2098,3,0.2098,129,0.2098,2025-09-08 16:25:00+00:00
1757348880000,0.2098,0.2098,0.2098,1,0.2098,2382,0.2098,2025-09-08 16:28:00+00:00
1757350440000,0.2099,0.2099,0.2099,1,0.2099,100,0.2099,2025-09-08 16:54:00+00:00
1757350500000,0.2098,0.2098,0.2098,1,0.2098,100,0.2098,2025-09-08 16:55:00+00:00
1757350740000,0.2073,0.2073,0.2073,2,0.2073,5010,0.2073,2025-09-08 16:59:00+00:00
1757350980000,0.2073,0.2097,0.2073,2,0.2097,5470,0.207506,2025-09-08 17:03:00+00:00
1757351220000,0.2099,0.2099,0.2099,1,0.2099,100,0.2099,2025-09-08 17:07:00+00:00
1757351340000,0.2081,0.2081,0.2081,1,0.2081,2500,0.2081,2025-09-08 17:09:00+00:00
1757351400000,0.2097,0.2097,0.2095,3,0.2097,300,0.209633,2025-09-08 17:10:00+00:00
1757351460000,0.2095,0.2095,0.2082,3,0.2082,5200,0.20825,2025-09-08 17:11:00+00:00
1757351580000,0.2095,0.2095,0.2095,1,0.2095,113,0.2095,2025-09-08 17:13:00+00:00
1757351700000,0.2096,0.2096,0.2096,1,0.2096,100,0.2096,2025-09-08 17:15:00+00:00
1757351760000,0.2096,0.2096,0.2096,2,0.2096,200,0.2096,2025-09-08 17:16:00+00:00
1757352000000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 17:20:00+00:00
1757352360000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 17:26:00+00:00
1757352660000,0.2098,0.2098,0.2098,1,0.2098,800,0.2098,2025-09-08 17:31:00+00:00
1757352900000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 17:35:00+00:00
1757352960000,0.2099,0.2099,0.2099,4,0.2099,838,0.2099,2025-09-08 17:36:00+00:00
1757353140000,0.2092,0.2092,0.2092,1,0.2092,200,0.2092,2025-09-08 17:39:00+00:00
1757353500000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 17:45:00+00:00
1757354220000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 17:57:00+00:00
1757354580000,0.2096,0.2096,0.2093,4,0.2096,4247,0.209533,2025-09-08 18:03:00+00:00
1757354640000,0.2098,0.2098,0.2098,1,0.2098,100,0.2098,2025-09-08 18:04:00+00:00
1757354820000,0.2097,0.2097,0.2097,1,0.2097,100,0.2097,2025-09-08 18:07:00+00:00
1757355240000,0.2099,0.2099,0.2099,1,0.2099,100,0.2099,2025-09-08 18:14:00+00:00
1757356440000,0.21,0.21,0.21,2,0.21,147,0.21,2025-09-08 18:34:00+00:00
1757357160000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 18:46:00+00:00
1757357820000,0.2097,0.2097,0.2097,1,0.2097,100,0.2097,2025-09-08 18:57:00+00:00
1757358420000,0.2097,0.2097,0.2091,6,0.2091,5000,0.209654,2025-09-08 19:07:00+00:00
1757358480000,0.2097,0.2097,0.2097,1,0.2097,100,0.2097,2025-09-08 19:08:00+00:00
1757358960000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 19:16:00+00:00
1757359260000,0.2088,0.2088,0.2088,2,0.2088,200,0.2088,2025-09-08 19:21:00+00:00
1757359500000,0.2096,0.2096,0.2096,1,0.2096,100,0.2096,2025-09-08 19:25:00+00:00
1757359980000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 19:33:00+00:00
1757360040000,0.21,0.21,0.21,1,0.21,5000,0.21,2025-09-08 19:34:00+00:00
1757360520000,0.2088,0.2088,0.2088,1,0.2088,4547,0.2088,2025-09-08 19:42:00+00:00
1757360640000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 19:44:00+00:00
1757360820000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-08 19:47:00+00:00
1757360880000,0.21,0.21,0.2093,6,0.2099,10100,0.20968,2025-09-08 19:48:00+00:00
1757361000000,0.2092,0.2092,0.2092,1,0.2092,200,0.2092,2025-09-08 19:50:00+00:00
1757361060000,0.2086,0.21,0.2086,5,0.21,1000,0.20882,2025-09-08 19:51:00+00:00
1757361180000,0.2092,0.2092,0.2092,1,0.2092,100,0.2092,2025-09-08 19:53:00+00:00
1757361240000,0.2092,0.2092,0.2092,1,0.2092,100,0.2092,2025-09-08 19:54:00+00:00
1757361300000,0.2093,0.2093,0.2093,1,0.2093,100,0.2093,2025-09-08 19:55:00+00:00
1757361360000,0.2093,0.2093,0.2093,3,0.2093,226,0.2093,2025-09-08 19:56:00+00:00
1757361480000,0.2093,0.2093,0.2093,2,0.2093,112,0.2093,2025-09-08 19:58:00+00:00
1757424600000,0.21,0.21,0.21,8,0.21,24557,0.21,2025-09-09 13:30:00+00:00
1757424720000,0.2105,0.2113,0.2105,15,0.2113,31186,0.210577,2025-09-09 13:32:00+00:00
1757425020000,0.2107,0.2107,0.2107,10,0.2107,7155,0.2107,2025-09-09 13:37:00+00:00
1757425080000,0.2108,0.2108,0.2108,1,0.2108,4800,0.2108,2025-09-09 13:38:00+00:00
1757425140000,0.2119,0.212,0.2117,8,0.2117,3116,0.211916,2025-09-09 13:39:00+00:00
1757425200000,0.2097,0.2109,0.2097,23,0.2109,28690,0.209966,2025-09-09 13:40:00+00:00
1757425440000,0.21,0.21,0.21,1,0.21,100,0.21,2025-09-09 13:44:00+00:00
1757425560000,0.214,0.214,0.214,1,0.214,100,0.214,2025-09-09 13:46:00+00:00
