timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752587340000,0.7751,0.7751,0.7751,1,0.7751,100,0.7751,2025-07-15 13:49:00+00:00
1752589080000,0.7751,0.7751,0.7751,1,0.7751,100,0.7751,2025-07-15 14:18:00+00:00
1752589560000,0.7639,0.7751,0.7639,2,0.7751,623,0.772385,2025-07-15 14:26:00+00:00
1752590160000,0.7751,0.7751,0.7751,1,0.7751,5367,0.7751,2025-07-15 14:36:00+00:00
1752590640000,0.7751,0.7751,0.7751,1,0.7751,485,0.7751,2025-07-15 14:44:00+00:00
1752591780000,0.7752,0.7752,0.7752,1,0.7752,100,0.7752,2025-07-15 15:03:00+00:00
1752592500000,0.78,0.78,0.78,2,0.78,850,0.78,2025-07-15 15:15:00+00:00
1752592860000,0.78,0.78,0.78,3,0.78,400,0.78,2025-07-15 15:21:00+00:00
1752592920000,0.7799,0.7799,0.7799,1,0.7799,100,0.7799,2025-07-15 15:22:00+00:00
1752593100000,0.7751,0.7751,0.7751,1,0.7751,3000,0.7751,2025-07-15 15:25:00+00:00
1752594780000,0.7799,0.7799,0.7799,1,0.7799,735,0.7799,2025-07-15 15:53:00+00:00
1752595560000,0.7999,0.8,0.79,13,0.79,12855,0.794404,2025-07-15 16:06:00+00:00
1752595920000,0.8399,0.8399,0.8399,1,0.8399,3800,0.8399,2025-07-15 16:12:00+00:00
1752596100000,0.8,0.8,0.8,1,0.8,250,0.8,2025-07-15 16:15:00+00:00
1752596640000,0.7999,0.7999,0.7999,2,0.7999,700,0.7999,2025-07-15 16:24:00+00:00
1752596700000,0.8318,0.8318,0.8199,3,0.8199,900,0.827833,2025-07-15 16:25:00+00:00
1752597180000,0.8199,0.8199,0.8199,1,0.8199,100,0.8199,2025-07-15 16:33:00+00:00
1752597300000,0.8,0.8,0.8,1,0.8,100,0.8,2025-07-15 16:35:00+00:00
1752598740000,0.8015,0.8015,0.8015,1,0.8015,100,0.8015,2025-07-15 16:59:00+00:00
1752600660000,0.8199,0.8199,0.8099,5,0.8099,700,0.817443,2025-07-15 17:31:00+00:00
1752600780000,0.8198,0.8198,0.8198,2,0.8198,1286,0.8198,2025-07-15 17:33:00+00:00
1752600840000,0.82,0.82,0.82,1,0.82,200,0.82,2025-07-15 17:34:00+00:00
1752600900000,0.8201,0.8216,0.8201,4,0.8216,400,0.821225,2025-07-15 17:35:00+00:00
1752601020000,0.825,0.825,0.825,1,0.825,300,0.825,2025-07-15 17:37:00+00:00
1752601140000,0.82,0.82,0.82,3,0.82,714,0.82,2025-07-15 17:39:00+00:00
1752601260000,0.81,0.81,0.81,1,0.81,100,0.81,2025-07-15 17:41:00+00:00
1752601320000,0.81,0.82,0.81,11,0.8104,5780,0.816247,2025-07-15 17:42:00+00:00
1752605520000,0.8,0.8,0.8,1,0.8,1000,0.8,2025-07-15 18:52:00+00:00
1752605580000,0.8197,0.8197,0.8197,1,0.8197,530,0.8197,2025-07-15 18:53:00+00:00
1752605820000,0.8,0.8,0.8,1,0.8,1000,0.8,2025-07-15 18:57:00+00:00
1752605880000,0.8,0.801,0.8,6,0.801,2800,0.800357,2025-07-15 18:58:00+00:00
1752606000000,0.7999,0.7999,0.7999,1,0.7999,100,0.7999,2025-07-15 19:00:00+00:00
1752606060000,0.7999,0.7999,0.7999,5,0.7999,4003,0.7999,2025-07-15 19:01:00+00:00
