timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758031800000,1.745,1.754,1.745,4,1.754,1111,1.7513,2025-09-16 14:10:00+00:00
1758031860000,1.75,1.77,1.73,36,1.748,4454,1.749357,2025-09-16 14:11:00+00:00
1758031980000,1.775,1.775,1.775,1,1.775,1000,1.775,2025-09-16 14:13:00+00:00
1758032100000,1.775,1.775,1.775,13,1.775,1149,1.775,2025-09-16 14:15:00+00:00
1758032160000,1.745,1.775,1.73,27,1.7601,5991,1.763803,2025-09-16 14:16:00+00:00
1758032220000,1.74,1.75,1.7355,3,1.7355,510,1.742951,2025-09-16 14:17:00+00:00
1758032280000,1.74,1.74,1.74,2,1.74,600,1.74,2025-09-16 14:18:00+00:00
1758033000000,1.74,1.74,1.74,1,1.74,582,1.74,2025-09-16 14:30:00+00:00
1758033360000,1.73,1.73,1.73,12,1.73,477,1.73,2025-09-16 14:36:00+00:00
1758033600000,1.73,1.73,1.73,1,1.73,300,1.73,2025-09-16 14:40:00+00:00
1758033780000,1.73,1.73,1.73,2,1.73,1006,1.73,2025-09-16 14:43:00+00:00
1758034320000,1.735,1.735,1.73,3,1.73,270,1.7325,2025-09-16 14:52:00+00:00
1758034380000,1.72,1.74,1.72,21,1.74,7842,1.723924,2025-09-16 14:53:00+00:00
1758034620000,1.73,1.73,1.73,2,1.73,500,1.73,2025-09-16 14:57:00+00:00
1758034740000,1.7314,1.7314,1.7314,1,1.7314,200,1.7314,2025-09-16 14:59:00+00:00
1758034800000,1.72,1.73,1.72,36,1.73,7393,1.720783,2025-09-16 15:00:00+00:00
1758034860000,1.7298,1.7298,1.729,5,1.729,800,1.729229,2025-09-16 15:01:00+00:00
1758034920000,1.72,1.72,1.72,2,1.72,500,1.72,2025-09-16 15:02:00+00:00
1758035160000,1.72,1.72,1.72,1,1.72,100,1.72,2025-09-16 15:06:00+00:00
1758035820000,1.72,1.7225,1.72,6,1.7225,369,1.721535,2025-09-16 15:17:00+00:00
1758036120000,1.7284,1.7284,1.7284,1,1.7284,400,1.7284,2025-09-16 15:22:00+00:00
1758037440000,1.71,1.71,1.71,1,1.71,300,1.71,2025-09-16 15:44:00+00:00
1758037500000,1.72,1.7278,1.72,2,1.7278,200,1.7239,2025-09-16 15:45:00+00:00
1758037560000,1.7278,1.7278,1.7278,4,1.7278,247,1.7278,2025-09-16 15:46:00+00:00
1758037980000,1.7263,1.7263,1.7214,2,1.7214,200,1.72385,2025-09-16 15:53:00+00:00
1758038460000,1.73,1.73,1.7272,9,1.7272,292,1.7286,2025-09-16 16:01:00+00:00
1758038880000,1.72,1.72,1.72,1,1.72,100,1.72,2025-09-16 16:08:00+00:00
1758039660000,1.7278,1.7278,1.7278,2,1.7278,101,1.7278,2025-09-16 16:21:00+00:00
1758042540000,1.72,1.72,1.72,1,1.72,2000,1.72,2025-09-16 17:09:00+00:00
1758042720000,1.72,1.72,1.72,10,1.72,180,1.72,2025-09-16 17:12:00+00:00
1758043860000,1.72,1.72,1.72,2,1.72,303,1.72,2025-09-16 17:31:00+00:00
1758043980000,1.73,1.73,1.73,7,1.73,1060,1.73,2025-09-16 17:33:00+00:00
1758044220000,1.72,1.72,1.72,2,1.72,110,1.72,2025-09-16 17:37:00+00:00
1758044580000,1.72,1.72,1.72,3,1.72,345,1.72,2025-09-16 17:43:00+00:00
1758045060000,1.7193,1.7193,1.7193,1,1.7193,100,1.7193,2025-09-16 17:51:00+00:00
1758045360000,1.72,1.73,1.71,18,1.7278,11175,1.710921,2025-09-16 17:56:00+00:00
1758045420000,1.72,1.72,1.72,1,1.72,100,1.72,2025-09-16 17:57:00+00:00
1758045540000,1.7385,1.745,1.71,35,1.7299,9437,1.732019,2025-09-16 17:59:00+00:00
1758045720000,1.73,1.73,1.73,1,1.73,100,1.73,2025-09-16 18:02:00+00:00
1758046020000,1.74,1.74,1.7201,30,1.7202,2728,1.727387,2025-09-16 18:07:00+00:00
1758046140000,1.7411,1.7411,1.7411,1,1.7411,200,1.7411,2025-09-16 18:09:00+00:00
1758046260000,1.74,1.74,1.74,9,1.74,343,1.74,2025-09-16 18:11:00+00:00
1758046560000,1.745,1.745,1.745,1,1.745,100,1.745,2025-09-16 18:16:00+00:00
1758046680000,1.745,1.745,1.745,1,1.745,100,1.745,2025-09-16 18:18:00+00:00
1758046920000,1.7499,1.7499,1.7499,2,1.7499,101,1.7499,2025-09-16 18:22:00+00:00
1758047880000,1.74,1.74,1.7345,2,1.7345,600,1.735417,2025-09-16 18:38:00+00:00
1758048600000,1.74,1.74,1.74,2,1.74,400,1.74,2025-09-16 18:50:00+00:00
1758049200000,1.77,1.77,1.745,29,1.745,7848,1.757557,2025-09-16 19:00:00+00:00
1758049920000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-16 19:12:00+00:00
1758049980000,1.7614,1.7614,1.7614,1,1.7614,300,1.7614,2025-09-16 19:13:00+00:00
1758050280000,1.76,1.76,1.755,10,1.755,762,1.759,2025-09-16 19:18:00+00:00
1758051720000,1.7826,1.7826,1.7826,2,1.7826,124,1.7826,2025-09-16 19:42:00+00:00
1758051840000,1.78,1.79,1.775,42,1.7754,3325,1.778646,2025-09-16 19:44:00+00:00
1758052020000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-16 19:47:00+00:00
1758052080000,1.788,1.788,1.788,2,1.788,225,1.788,2025-09-16 19:48:00+00:00
1758052140000,1.78,1.78,1.78,4,1.78,604,1.78,2025-09-16 19:49:00+00:00
1758052260000,1.78,1.78,1.77,5,1.77,2125,1.770476,2025-09-16 19:51:00+00:00
1758052320000,1.7786,1.78,1.7786,6,1.78,1285,1.778833,2025-09-16 19:52:00+00:00
1758052440000,1.76,1.78,1.76,43,1.78,5618,1.762326,2025-09-16 19:54:00+00:00
1758052500000,1.76,1.765,1.75,15,1.76,2109,1.76275,2025-09-16 19:55:00+00:00
1758052620000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-16 19:57:00+00:00
1758052680000,1.76,1.7699,1.76,8,1.76,992,1.763647,2025-09-16 19:58:00+00:00
1758052740000,1.75,1.77,1.75,39,1.77,3364,1.759995,2025-09-16 19:59:00+00:00
1758052800000,1.75,1.75,1.75,1,1.75,944,1.75,2025-09-16 20:00:00+00:00
1758115800000,1.75,1.76,1.74,19,1.76,1717,1.746578,2025-09-17 13:30:00+00:00
1758115860000,1.73,1.74,1.73,16,1.74,2823,1.738861,2025-09-17 13:31:00+00:00
1758115980000,1.73,1.74,1.73,2,1.74,1100,1.739091,2025-09-17 13:33:00+00:00
1758116040000,1.74,1.75,1.74,5,1.75,400,1.746667,2025-09-17 13:34:00+00:00
1758116340000,1.74,1.74,1.74,3,1.74,135,1.74,2025-09-17 13:39:00+00:00
1758116400000,1.74,1.74,1.74,4,1.74,225,1.74,2025-09-17 13:40:00+00:00
1758116460000,1.7334,1.7334,1.7334,3,1.7334,460,1.7334,2025-09-17 13:41:00+00:00
1758116520000,1.7331,1.7331,1.7331,10,1.7331,548,1.7331,2025-09-17 13:42:00+00:00
1758116580000,1.7475,1.7475,1.7475,4,1.7475,109,1.7475,2025-09-17 13:43:00+00:00
1758116640000,1.73,1.73,1.73,1,1.73,100,1.73,2025-09-17 13:44:00+00:00
1758116760000,1.735,1.735,1.735,1,1.735,139,1.735,2025-09-17 13:46:00+00:00
1758117120000,1.7475,1.7475,1.7475,1,1.7475,100,1.7475,2025-09-17 13:52:00+00:00
1758117180000,1.75,1.75,1.75,2,1.75,315,1.75,2025-09-17 13:53:00+00:00
1758117240000,1.7493,1.7493,1.7493,1,1.7493,285,1.7493,2025-09-17 13:54:00+00:00
1758117300000,1.75,1.75,1.74,5,1.74,540,1.746818,2025-09-17 13:55:00+00:00
1758117480000,1.75,1.75,1.75,1,1.75,100,1.75,2025-09-17 13:58:00+00:00
1758117540000,1.75,1.75,1.75,1,1.75,100,1.75,2025-09-17 13:59:00+00:00
1758117600000,1.7575,1.7575,1.7575,3,1.7575,108,1.7575,2025-09-17 14:00:00+00:00
1758118020000,1.76,1.76,1.758,4,1.758,2513,1.75968,2025-09-17 14:07:00+00:00
1758118140000,1.76,1.76,1.76,21,1.76,3372,1.76,2025-09-17 14:09:00+00:00
1758118680000,1.765,1.765,1.765,1,1.765,100,1.765,2025-09-17 14:18:00+00:00
1758118860000,1.765,1.765,1.7603,7,1.7603,407,1.763825,2025-09-17 14:21:00+00:00
1758119160000,1.77,1.77,1.7689,2,1.7689,200,1.76945,2025-09-17 14:26:00+00:00
1758119280000,1.765,1.765,1.765,2,1.765,105,1.765,2025-09-17 14:28:00+00:00
1758119400000,1.765,1.765,1.76,23,1.765,3836,1.764571,2025-09-17 14:30:00+00:00
1758119460000,1.765,1.765,1.765,1,1.765,100,1.765,2025-09-17 14:31:00+00:00
1758119520000,1.765,1.765,1.765,2,1.765,101,1.765,2025-09-17 14:32:00+00:00
1758119580000,1.765,1.765,1.765,1,1.765,100,1.765,2025-09-17 14:33:00+00:00
1758119700000,1.765,1.765,1.765,2,1.765,101,1.765,2025-09-17 14:35:00+00:00
1758119760000,1.76,1.7689,1.76,3,1.7689,300,1.764633,2025-09-17 14:36:00+00:00
1758119820000,1.7689,1.7689,1.7689,2,1.7689,201,1.7689,2025-09-17 14:37:00+00:00
1758119880000,1.765,1.765,1.765,1,1.765,100,1.765,2025-09-17 14:38:00+00:00
1758119940000,1.7613,1.765,1.7613,3,1.765,305,1.762533,2025-09-17 14:39:00+00:00
1758120000000,1.765,1.765,1.765,2,1.765,105,1.765,2025-09-17 14:40:00+00:00
1758120060000,1.76,1.7687,1.76,5,1.765,311,1.76458,2025-09-17 14:41:00+00:00
1758120240000,1.76,1.76,1.76,10,1.76,774,1.76,2025-09-17 14:44:00+00:00
1758120360000,1.76,1.76,1.76,3,1.76,250,1.76,2025-09-17 14:46:00+00:00
1758120420000,1.755,1.76,1.755,5,1.76,914,1.759453,2025-09-17 14:47:00+00:00
1758120600000,1.7589,1.7589,1.7589,1,1.7589,100,1.7589,2025-09-17 14:50:00+00:00
1758120900000,1.7591,1.7591,1.7591,2,1.7591,601,1.7591,2025-09-17 14:55:00+00:00
1758121020000,1.75,1.7598,1.75,6,1.7598,1403,1.75218,2025-09-17 14:57:00+00:00
1758121080000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-17 14:58:00+00:00
1758121260000,1.75,1.7593,1.75,3,1.7593,1212,1.758532,2025-09-17 15:01:00+00:00
1758121500000,1.775,1.78,1.755,47,1.755,23247,1.777672,2025-09-17 15:05:00+00:00
1758121560000,1.775,1.775,1.775,1,1.775,200,1.775,2025-09-17 15:06:00+00:00
1758121740000,1.775,1.7791,1.775,3,1.7791,830,1.776482,2025-09-17 15:09:00+00:00
1758122160000,1.78,1.78,1.78,107,1.78,815,1.78,2025-09-17 15:16:00+00:00
1758122220000,1.78,1.78,1.78,4,1.78,990,1.78,2025-09-17 15:17:00+00:00
1758122280000,1.79,1.79,1.78,12,1.78,2558,1.780822,2025-09-17 15:18:00+00:00
1758122400000,1.79,1.79,1.79,1,1.79,100,1.79,2025-09-17 15:20:00+00:00
1758122940000,1.7888,1.7888,1.7888,1,1.7888,140,1.7888,2025-09-17 15:29:00+00:00
1758123540000,1.785,1.785,1.781,3,1.781,300,1.782333,2025-09-17 15:39:00+00:00
1758123600000,1.79,1.79,1.785,5,1.785,390,1.7875,2025-09-17 15:40:00+00:00
1758123660000,1.78,1.78,1.78,4,1.78,218,1.78,2025-09-17 15:41:00+00:00
1758124140000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 15:49:00+00:00
1758124260000,1.78,1.78,1.78,3,1.78,225,1.78,2025-09-17 15:51:00+00:00
1758124320000,1.78,1.78,1.78,2,1.78,101,1.78,2025-09-17 15:52:00+00:00
1758124380000,1.78,1.78,1.78,2,1.78,190,1.78,2025-09-17 15:53:00+00:00
1758124500000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 15:55:00+00:00
1758124560000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 15:56:00+00:00
1758124740000,1.78,1.78,1.78,7,1.78,450,1.78,2025-09-17 15:59:00+00:00
1758124860000,1.78,1.78,1.78,2,1.78,110,1.78,2025-09-17 16:01:00+00:00
1758124980000,1.78,1.78,1.78,5,1.78,119,1.78,2025-09-17 16:03:00+00:00
1758125100000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 16:05:00+00:00
1758125160000,1.78,1.78,1.78,4,1.78,185,1.78,2025-09-17 16:06:00+00:00
1758125220000,1.78,1.78,1.78,2,1.78,101,1.78,2025-09-17 16:07:00+00:00
1758125340000,1.78,1.78,1.77,2,1.77,200,1.775,2025-09-17 16:09:00+00:00
1758125400000,1.77,1.77,1.77,3,1.77,140,1.77,2025-09-17 16:10:00+00:00
1758125520000,1.77,1.77,1.77,2,1.77,120,1.77,2025-09-17 16:12:00+00:00
1758125640000,1.77,1.77,1.77,2,1.77,111,1.77,2025-09-17 16:14:00+00:00
1758125760000,1.76,1.77,1.76,4,1.77,225,1.765,2025-09-17 16:16:00+00:00
1758125820000,1.76,1.76,1.76,2,1.76,110,1.76,2025-09-17 16:17:00+00:00
1758125940000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-17 16:19:00+00:00
1758126060000,1.76,1.76,1.76,2,1.76,101,1.76,2025-09-17 16:21:00+00:00
1758126180000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-17 16:23:00+00:00
1758126300000,1.76,1.76,1.76,3,1.76,179,1.76,2025-09-17 16:25:00+00:00
1758126360000,1.77,1.77,1.7617,5,1.7617,719,1.765237,2025-09-17 16:26:00+00:00
1758126420000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-17 16:27:00+00:00
1758126540000,1.75,1.76,1.75,11,1.76,879,1.757143,2025-09-17 16:29:00+00:00
1758126780000,1.7586,1.7586,1.7586,1,1.7586,100,1.7586,2025-09-17 16:33:00+00:00
1758127200000,1.7699,1.7699,1.7699,1,1.7699,142,1.7699,2025-09-17 16:40:00+00:00
1758127500000,1.75,1.76,1.75,2,1.76,419,1.757613,2025-09-17 16:45:00+00:00
1758127560000,1.764,1.764,1.764,3,1.764,110,1.764,2025-09-17 16:46:00+00:00
1758127620000,1.77,1.77,1.768,3,1.768,210,1.769,2025-09-17 16:47:00+00:00
1758128160000,1.7523,1.7523,1.7523,3,1.7523,170,1.7523,2025-09-17 16:56:00+00:00
1758128280000,1.75,1.7696,1.75,13,1.7696,1036,1.766907,2025-09-17 16:58:00+00:00
1758128880000,1.7501,1.7504,1.7501,12,1.7504,400,1.7503,2025-09-17 17:08:00+00:00
1758128940000,1.768,1.768,1.768,2,1.768,148,1.768,2025-09-17 17:09:00+00:00
1758129300000,1.775,1.79,1.76,80,1.76,12741,1.782598,2025-09-17 17:15:00+00:00
1758129360000,1.788,1.788,1.775,41,1.78,3800,1.780094,2025-09-17 17:16:00+00:00
1758129540000,1.78,1.78,1.78,2,1.78,204,1.78,2025-09-17 17:19:00+00:00
1758129660000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:21:00+00:00
1758130080000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:28:00+00:00
1758130200000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:30:00+00:00
1758130260000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:31:00+00:00
1758130380000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:33:00+00:00
1758130500000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:35:00+00:00
1758130620000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:37:00+00:00
1758130740000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:39:00+00:00
1758130920000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:42:00+00:00
1758130980000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:43:00+00:00
1758131160000,1.78,1.78,1.78,3,1.78,206,1.78,2025-09-17 17:46:00+00:00
1758131280000,1.78,1.78,1.78,2,1.78,101,1.78,2025-09-17 17:48:00+00:00
1758131340000,1.78,1.78,1.78,2,1.78,200,1.78,2025-09-17 17:49:00+00:00
1758131460000,1.7708,1.78,1.7708,2,1.78,200,1.7754,2025-09-17 17:51:00+00:00
1758131520000,1.781,1.781,1.781,1,1.781,500,1.781,2025-09-17 17:52:00+00:00
1758131580000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:53:00+00:00
1758131700000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:55:00+00:00
1758131820000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:57:00+00:00
1758131880000,1.78,1.78,1.78,1,1.78,100,1.78,2025-09-17 17:58:00+00:00
1758132000000,1.78,1.78,1.78,44,1.78,783,1.78,2025-09-17 18:00:00+00:00
1758132120000,1.78,1.78,1.78,2,1.78,112,1.78,2025-09-17 18:02:00+00:00
1758132240000,1.78,1.78,1.78,2,1.78,101,1.78,2025-09-17 18:04:00+00:00
1758132300000,1.78,1.78,1.78,2,1.78,120,1.78,2025-09-17 18:05:00+00:00
1758132420000,1.77,1.781,1.77,10,1.78,1638,1.779201,2025-09-17 18:07:00+00:00
1758132720000,1.78,1.78,1.78,5,1.78,500,1.78,2025-09-17 18:12:00+00:00
1758132780000,1.78,1.78,1.78,2,1.78,200,1.78,2025-09-17 18:13:00+00:00
1758132960000,1.77,1.77,1.77,1,1.77,100,1.77,2025-09-17 18:16:00+00:00
1758133020000,1.77,1.77,1.77,1,1.77,100,1.77,2025-09-17 18:17:00+00:00
1758133080000,1.77,1.77,1.77,1,1.77,100,1.77,2025-09-17 18:18:00+00:00
1758133140000,1.77,1.77,1.77,3,1.77,163,1.77,2025-09-17 18:19:00+00:00
1758133200000,1.77,1.77,1.77,1,1.77,100,1.77,2025-09-17 18:20:00+00:00
1758133260000,1.76,1.77,1.76,6,1.77,735,1.76589,2025-09-17 18:21:00+00:00
1758133320000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-17 18:22:00+00:00
1758133380000,1.76,1.76,1.76,1,1.76,100,1.76,2025-09-17 18:23:00+00:00
1758133440000,1.76,1.76,1.76,2,1.76,103,1.76,2025-09-17 18:24:00+00:00
1758133800000,1.76,1.76,1.76,2,1.76,102,1.76,2025-09-17 18:30:00+00:00
1758134340000,1.76,1.76,1.76,3,1.76,103,1.76,2025-09-17 18:39:00+00:00
1758135180000,1.74,1.75,1.74,15,1.75,1875,1.741176,2025-09-17 18:53:00+00:00
1758135300000,1.73,1.735,1.73,7,1.73,437,1.731488,2025-09-17 18:55:00+00:00
1758135420000,1.73,1.735,1.73,13,1.7312,581,1.73155,2025-09-17 18:57:00+00:00
1758135720000,1.73,1.735,1.73,3,1.735,1103,1.730455,2025-09-17 19:02:00+00:00
1758135960000,1.735,1.735,1.735,1,1.735,100,1.735,2025-09-17 19:06:00+00:00
1758136200000,1.735,1.735,1.735,2,1.735,113,1.735,2025-09-17 19:10:00+00:00
1758136380000,1.73,1.73,1.73,13,1.73,303,1.73,2025-09-17 19:13:00+00:00
1758136620000,1.73,1.73,1.73,8,1.73,442,1.73,2025-09-17 19:17:00+00:00
1758136740000,1.7256,1.7256,1.7256,1,1.7256,100,1.7256,2025-09-17 19:19:00+00:00
1758136860000,1.735,1.735,1.735,4,1.735,214,1.735,2025-09-17 19:21:00+00:00
1758137100000,1.7401,1.7401,1.7401,3,1.7401,202,1.7401,2025-09-17 19:25:00+00:00
1758137160000,1.73,1.74,1.73,4,1.735,350,1.735,2025-09-17 19:26:00+00:00
1758137460000,1.72,1.72,1.72,1,1.72,100,1.72,2025-09-17 19:31:00+00:00
1758137520000,1.73,1.74,1.73,10,1.74,788,1.738571,2025-09-17 19:32:00+00:00
1758137700000,1.7378,1.7378,1.7378,1,1.7378,250,1.7378,2025-09-17 19:35:00+00:00
1758137880000,1.7378,1.7398,1.7378,3,1.7398,208,1.738834,2025-09-17 19:38:00+00:00
1758138000000,1.7396,1.7396,1.7396,2,1.7396,294,1.7396,2025-09-17 19:40:00+00:00
1758138780000,1.74,1.74,1.73,12,1.73,3202,1.739297,2025-09-17 19:53:00+00:00
1758138840000,1.745,1.745,1.745,1,1.745,100,1.745,2025-09-17 19:54:00+00:00
1758138960000,1.745,1.745,1.745,2,1.745,132,1.745,2025-09-17 19:56:00+00:00
1758139080000,1.7455,1.7455,1.7455,2,1.7455,575,1.7455,2025-09-17 19:58:00+00:00
1758139140000,1.755,1.755,1.745,18,1.7499,2301,1.7492,2025-09-17 19:59:00+00:00
