timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755523800000,4.0,4.0,4.0,4,4.0,366,4.0,2025-08-18 13:30:00+00:00
1755523860000,4.0099,4.0099,4.005,6,4.005,3352,4.00745,2025-08-18 13:31:00+00:00
1755523920000,3.991,4.005,3.991,3,4.005,211,3.997763,2025-08-18 13:32:00+00:00
1755523980000,4.005,4.005,4.005,1,4.005,200,4.005,2025-08-18 13:33:00+00:00
1755524040000,3.99,4.0,3.99,9,4.0,1500,3.998224,2025-08-18 13:34:00+00:00
1755524160000,4.0,4.0,4.0,4,4.0,1003,4.0,2025-08-18 13:36:00+00:00
1755524220000,3.99,3.99,3.99,4,3.99,255,3.99,2025-08-18 13:37:00+00:00
1755524340000,4.005,4.005,4.005,6,4.005,552,4.005,2025-08-18 13:39:00+00:00
1755524460000,3.99,3.99,3.99,6,3.99,1247,3.99,2025-08-18 13:41:00+00:00
1755524700000,3.999,3.999,3.999,3,3.999,465,3.999,2025-08-18 13:45:00+00:00
1755525180000,4.005,4.005,4.005,4,4.005,427,4.005,2025-08-18 13:53:00+00:00
1755525360000,3.99,3.99,3.99,2,3.99,3391,3.99,2025-08-18 13:56:00+00:00
1755525420000,3.99,3.99,3.99,3,3.99,3156,3.99,2025-08-18 13:57:00+00:00
1755525480000,3.99,3.99,3.99,6,3.99,2980,3.99,2025-08-18 13:58:00+00:00
1755525600000,3.99,3.9942,3.99,6,3.9942,3375,3.9925,2025-08-18 14:00:00+00:00
1755525660000,3.99,3.99,3.99,3,3.99,2013,3.99,2025-08-18 14:01:00+00:00
1755525720000,3.99,3.99,3.99,12,3.99,5370,3.99,2025-08-18 14:02:00+00:00
1755527220000,3.87,3.94,3.87,20,3.94,1229,3.890161,2025-08-18 14:27:00+00:00
1755527580000,3.9435,3.9435,3.9435,2,3.9435,367,3.9435,2025-08-18 14:33:00+00:00
1755528180000,3.88,3.915,3.88,8,3.915,816,3.91,2025-08-18 14:43:00+00:00
1755528300000,3.905,3.905,3.905,3,3.905,102,3.905,2025-08-18 14:45:00+00:00
1755528420000,3.89,3.905,3.89,4,3.905,514,3.899163,2025-08-18 14:47:00+00:00
1755528600000,3.8509,3.8509,3.8509,9,3.8509,2099,3.8509,2025-08-18 14:50:00+00:00
1755530400000,3.9125,3.9125,3.9125,1,3.9125,1000,3.9125,2025-08-18 15:20:00+00:00
1755531120000,3.887,3.887,3.887,3,3.887,362,3.887,2025-08-18 15:32:00+00:00
1755531720000,3.86,3.8861,3.86,2,3.8861,1000,3.87305,2025-08-18 15:42:00+00:00
1755531780000,3.885,3.885,3.885,2,3.885,385,3.885,2025-08-18 15:43:00+00:00
1755531960000,3.89,3.89,3.89,6,3.89,194,3.89,2025-08-18 15:46:00+00:00
1755532980000,3.875,3.88,3.875,8,3.88,323,3.877797,2025-08-18 16:03:00+00:00
1755534240000,3.88,3.88,3.88,5,3.88,198,3.88,2025-08-18 16:24:00+00:00
1755534360000,3.885,3.89,3.875,3,3.89,350,3.884286,2025-08-18 16:26:00+00:00
1755535980000,3.895,3.895,3.895,1,3.895,122,3.895,2025-08-18 16:53:00+00:00
1755540000000,3.895,3.895,3.882,4,3.882,500,3.89175,2025-08-18 18:00:00+00:00
1755540300000,3.8801,3.8801,3.8801,2,3.8801,500,3.8801,2025-08-18 18:05:00+00:00
1755542040000,3.918,3.918,3.918,5,3.918,206,3.918,2025-08-18 18:34:00+00:00
1755542100000,3.91,3.91,3.91,1,3.91,100,3.91,2025-08-18 18:35:00+00:00
1755542880000,3.92,3.92,3.92,1,3.92,500,3.92,2025-08-18 18:48:00+00:00
1755543240000,3.95,3.95,3.95,2,3.95,101,3.95,2025-08-18 18:54:00+00:00
1755543480000,3.95,3.95,3.94,4,3.94,203,3.945,2025-08-18 18:58:00+00:00
1755543660000,3.935,3.935,3.935,4,3.935,838,3.935,2025-08-18 19:01:00+00:00
1755543720000,3.93,3.98,3.93,9,3.97,1586,3.938065,2025-08-18 19:02:00+00:00
1755544080000,3.99,3.99,3.99,1,3.99,200,3.99,2025-08-18 19:08:00+00:00
1755544740000,3.91,3.91,3.91,7,3.91,1911,3.91,2025-08-18 19:19:00+00:00
1755544980000,3.9295,3.9295,3.905,8,3.92,1034,3.916111,2025-08-18 19:23:00+00:00
1755545280000,3.9209,3.9209,3.9209,1,3.9209,100,3.9209,2025-08-18 19:28:00+00:00
1755545580000,3.92,3.92,3.92,1,3.92,200,3.92,2025-08-18 19:33:00+00:00
1755545640000,3.88,3.89,3.88,4,3.89,1000,3.881087,2025-08-18 19:34:00+00:00
1755546840000,3.927,3.927,3.9,4,3.9,387,3.919541,2025-08-18 19:54:00+00:00
1755547200000,3.94,3.94,3.94,1,3.94,459,3.94,2025-08-18 20:00:00+00:00
1755610200000,3.9,3.9,3.86,8,3.86,799,3.892258,2025-08-19 13:30:00+00:00
1755610800000,3.9,3.91,3.9,5,3.91,368,3.90723,2025-08-19 13:40:00+00:00
1755611940000,3.9,3.9,3.9,1,3.9,128,3.9,2025-08-19 13:59:00+00:00
1755612060000,3.895,3.895,3.895,2,3.895,253,3.895,2025-08-19 14:01:00+00:00
1755612660000,3.9,3.926,3.9,4,3.926,727,3.90372,2025-08-19 14:11:00+00:00
1755612900000,3.87,3.87,3.87,1,3.87,100,3.87,2025-08-19 14:15:00+00:00
1755613080000,3.85,3.85,3.85,1,3.85,500,3.85,2025-08-19 14:18:00+00:00
1755613200000,3.86,3.86,3.8501,3,3.8501,1641,3.851314,2025-08-19 14:20:00+00:00
