timeStamp,close,high,low,trade_count,open,volume,vwap,date
1743427800000,17.01,17.28,17.01,3,17.28,3103,17.27129,2025-03-31 13:30:00+00:00
1743427920000,18.005,18.005,18.005,1,18.005,608,18.005,2025-03-31 13:32:00+00:00
1743428280000,18.3,18.3,18.3,1,18.3,200,18.3,2025-03-31 13:38:00+00:00
1743428460000,17.505,17.505,17.505,1,17.505,100,17.505,2025-03-31 13:41:00+00:00
1743428520000,17.505,17.505,17.505,5,17.505,266,17.505,2025-03-31 13:42:00+00:00
1743428700000,17.01,17.01,17.01,3,17.01,468,17.01,2025-03-31 13:45:00+00:00
1743428760000,16.3,16.3,16.1,11,16.1,1228,16.174938,2025-03-31 13:46:00+00:00
1743428820000,16.32,16.32,16.2,10,16.2,1130,16.250984,2025-03-31 13:47:00+00:00
1743429120000,16.5,16.5,16.5,1,16.5,265,16.5,2025-03-31 13:52:00+00:00
1743429180000,17.4,17.4,16.32,11,16.32,2601,16.592056,2025-03-31 13:53:00+00:00
1743429240000,17.3,17.3,17.3,3,17.3,492,17.3,2025-03-31 13:54:00+00:00
1743429300000,16.8,17.15,16.8,9,17.15,1323,16.93244,2025-03-31 13:55:00+00:00
1743429360000,17.2,17.2,17.0,5,17.0,603,17.1,2025-03-31 13:56:00+00:00
1743429420000,17.4,17.6,17.4,5,17.6,688,17.546199,2025-03-31 13:57:00+00:00
1743429480000,17.2,17.2,17.2,8,17.2,191,17.2,2025-03-31 13:58:00+00:00
1743429720000,17.3,17.3,17.3,14,17.3,630,17.3,2025-03-31 14:02:00+00:00
1743429900000,17.4,17.4,17.4,3,17.4,102,17.4,2025-03-31 14:05:00+00:00
1743430140000,17.27,17.27,17.27,15,17.27,719,17.27,2025-03-31 14:09:00+00:00
1743430260000,17.27,17.27,17.27,7,17.27,325,17.27,2025-03-31 14:11:00+00:00
1743431580000,16.9,16.9,16.85,13,16.9,805,16.88125,2025-03-31 14:33:00+00:00
1743431640000,17.4,17.4,17.4,2,17.4,648,17.4,2025-03-31 14:34:00+00:00
1743431880000,16.99,17.0,16.85,11,16.9,712,16.910833,2025-03-31 14:38:00+00:00
1743432060000,17.15,17.15,17.15,3,17.15,102,17.15,2025-03-31 14:41:00+00:00
1743432120000,17.11,17.16,17.11,2,17.16,200,17.135,2025-03-31 14:42:00+00:00
1743433680000,17.285,17.285,17.285,1,17.285,111,17.285,2025-03-31 15:08:00+00:00
1743434580000,16.8,16.8,16.8,1,16.8,300,16.8,2025-03-31 15:23:00+00:00
1743434640000,17.1,17.1,17.05,2,17.05,1000,17.075,2025-03-31 15:24:00+00:00
1743434700000,17.2,17.2,17.2,1,17.2,509,17.2,2025-03-31 15:25:00+00:00
1743435780000,17.0,17.0,16.97,11,16.985,510,16.985,2025-03-31 15:43:00+00:00
1743436140000,17.0,17.08,17.0,5,17.08,402,17.0225,2025-03-31 15:49:00+00:00
1743436200000,17.0,17.0,17.0,4,17.0,136,17.0,2025-03-31 15:50:00+00:00
1743446160000,17.75,17.75,17.75,2,17.75,149,17.75,2025-03-31 18:36:00+00:00
1743447420000,16.8,16.8,16.8,1,16.8,500,16.8,2025-03-31 18:57:00+00:00
1743450300000,17.0,17.0,17.0,3,17.0,1512,17.0,2025-03-31 19:45:00+00:00
1743450360000,16.75,16.75,16.75,5,16.75,323,16.75,2025-03-31 19:46:00+00:00
1743451200000,16.73,16.73,16.73,1,16.73,757,16.73,2025-03-31 20:00:00+00:00
1743514320000,17.6,17.6,17.6,2,17.6,802,17.6,2025-04-01 13:32:00+00:00
1743514920000,16.7,16.7,16.7,3,16.7,200,16.7,2025-04-01 13:42:00+00:00
1743514980000,16.95,17.0,16.85,12,16.89,1101,16.914545,2025-04-01 13:43:00+00:00
1743515040000,17.0,17.0,17.0,8,17.0,206,17.0,2025-04-01 13:44:00+00:00
1743515940000,17.1,17.1,16.8001,3,16.8001,250,16.95005,2025-04-01 13:59:00+00:00
1743516000000,17.1,17.1,17.1,6,17.1,215,17.1,2025-04-01 14:00:00+00:00
