timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758547800000,13.98,14.46,13.93,714,14.3,72222,14.130666,2025-09-22 13:30:00+00:00
1758547860000,13.93,14.03,13.83,292,13.95,22596,13.945817,2025-09-22 13:31:00+00:00
1758547920000,13.01,14.14,13.0,2594,13.98,530109,13.776058,2025-09-22 13:32:00+00:00
1758547980000,12.99,13.05,12.76,1584,13.0,223440,12.931049,2025-09-22 13:33:00+00:00
1758548040000,13.08,13.29,12.94,862,12.965,105134,13.110161,2025-09-22 13:34:00+00:00
1758548100000,13.06,13.25,12.89,1106,13.05,116284,13.090521,2025-09-22 13:35:00+00:00
1758548160000,13.09,13.1399,12.85,535,13.035,65699,13.020707,2025-09-22 13:36:00+00:00
1758548220000,12.9,13.16,12.9,411,13.09,49181,13.041165,2025-09-22 13:37:00+00:00
1758548280000,12.84,12.93,12.75,606,12.9,101424,12.82837,2025-09-22 13:38:00+00:00
1758548340000,12.725,13.02,12.66,362,12.87,45543,12.829142,2025-09-22 13:39:00+00:00
1758548400000,12.97,12.98,12.6307,342,12.72,41371,12.815588,2025-09-22 13:40:00+00:00
1758548460000,12.9258,13.15,12.83,622,12.945,66111,13.043068,2025-09-22 13:41:00+00:00
1758548520000,12.8292,13.01,12.7615,271,12.915,25224,12.903371,2025-09-22 13:42:00+00:00
1758548580000,12.72,12.92,12.72,347,12.8001,44831,12.815488,2025-09-22 13:43:00+00:00
1758548640000,12.7864,12.8599,12.72,154,12.74,33827,12.773121,2025-09-22 13:44:00+00:00
1758548700000,12.6,12.8499,12.57,499,12.82,53686,12.68259,2025-09-22 13:45:00+00:00
1758548760000,12.5786,12.6,12.5,599,12.565,79465,12.533279,2025-09-22 13:46:00+00:00
1758548820000,12.4969,12.65,12.4645,415,12.56,45264,12.542374,2025-09-22 13:47:00+00:00
1758548880000,12.65,12.6831,12.48,337,12.51,39736,12.540677,2025-09-22 13:48:00+00:00
1758548940000,12.459,12.6792,12.4101,270,12.64,38830,12.534377,2025-09-22 13:49:00+00:00
1758549000000,12.43,12.4685,12.34,516,12.4685,58343,12.404509,2025-09-22 13:50:00+00:00
1758549060000,12.33,12.45,12.31,494,12.39,62107,12.377823,2025-09-22 13:51:00+00:00
1758549120000,12.445,12.46,12.25,365,12.33,47068,12.325133,2025-09-22 13:52:00+00:00
1758549180000,12.8508,12.93,12.4258,480,12.47,62366,12.674384,2025-09-22 13:53:00+00:00
1758549240000,12.94,13.05,12.8,550,12.885,90361,12.94294,2025-09-22 13:54:00+00:00
1758549300000,13.005,13.15,12.89,481,12.94,75208,13.024778,2025-09-22 13:55:00+00:00
1758549360000,13.035,13.1299,12.9235,599,13.05,94692,13.030161,2025-09-22 13:56:00+00:00
1758549420000,13.01,13.09,12.955,402,13.05,71178,13.026905,2025-09-22 13:57:00+00:00
1758549480000,13.0175,13.05,12.9,281,13.0,32060,12.968092,2025-09-22 13:58:00+00:00
1758549540000,12.9329,13.15,12.85,269,13.01,39228,13.024187,2025-09-22 13:59:00+00:00
1758549600000,12.864,12.95,12.83,283,12.93,31408,12.891091,2025-09-22 14:00:00+00:00
1758549660000,12.88,12.96,12.8704,157,12.88,16763,12.923624,2025-09-22 14:01:00+00:00
1758549720000,13.0299,13.15,12.8378,617,12.88,67923,13.037262,2025-09-22 14:02:00+00:00
1758549780000,13.05,13.11,12.98,424,12.99,52926,13.052058,2025-09-22 14:03:00+00:00
1758549840000,12.97,13.044,12.96,164,13.0,27426,13.006464,2025-09-22 14:04:00+00:00
1758549900000,13.01,13.08,12.9209,398,12.985,55794,13.01313,2025-09-22 14:05:00+00:00
1758549960000,13.0,13.04,12.9509,58,13.0074,4297,12.997705,2025-09-22 14:06:00+00:00
1758550020000,12.9676,13.03,12.91,239,13.0,35037,12.960982,2025-09-22 14:07:00+00:00
1758550080000,13.0899,13.15,12.9641,536,12.9641,81770,13.053157,2025-09-22 14:08:00+00:00
1758550140000,13.1456,13.25,12.935,491,13.0895,77797,13.090299,2025-09-22 14:09:00+00:00
1758550200000,13.145,13.2348,13.12,225,13.2,39248,13.162575,2025-09-22 14:10:00+00:00
1758550260000,13.0601,13.24,13.05,447,13.12,52811,13.133951,2025-09-22 14:11:00+00:00
1758550320000,13.0,13.14,12.95,487,13.075,57169,13.01519,2025-09-22 14:12:00+00:00
1758550380000,13.01,13.06,13.0,199,13.0397,23230,13.023939,2025-09-22 14:13:00+00:00
1758550440000,13.065,13.1,12.9647,200,13.025,26508,13.017725,2025-09-22 14:14:00+00:00
1758550500000,13.08,13.12,13.01,201,13.065,22065,13.059961,2025-09-22 14:15:00+00:00
1758550560000,13.26,13.29,13.1,688,13.115,87766,13.206395,2025-09-22 14:16:00+00:00
1758550620000,13.44,13.49,13.26,634,13.26,83955,13.358274,2025-09-22 14:17:00+00:00
1758550680000,13.64,13.64,13.4455,534,13.4616,73026,13.560574,2025-09-22 14:18:00+00:00
1758550740000,13.75,13.7951,13.43,638,13.5701,99587,13.608777,2025-09-22 14:19:00+00:00
1758550800000,13.928,13.95,13.74,558,13.7792,76641,13.857839,2025-09-22 14:20:00+00:00
1758550860000,13.885,14.02,13.8,682,13.95,92501,13.947415,2025-09-22 14:21:00+00:00
1758550920000,13.8757,13.9794,13.85,310,13.885,31789,13.915015,2025-09-22 14:22:00+00:00
1758550980000,13.85,13.92,13.82,206,13.87,28371,13.86722,2025-09-22 14:23:00+00:00
1758551040000,13.6749,13.91,13.6749,456,13.81,55576,13.802704,2025-09-22 14:24:00+00:00
1758551100000,13.75,13.81,13.6551,173,13.68,23078,13.754254,2025-09-22 14:25:00+00:00
1758551160000,13.78,13.79,13.7,146,13.78,18178,13.747929,2025-09-22 14:26:00+00:00
1758551220000,14.0206,14.17,13.76,465,13.76,49254,14.046419,2025-09-22 14:27:00+00:00
1758551280000,14.12,14.16,13.9824,507,14.005,59238,14.103785,2025-09-22 14:28:00+00:00
1758551340000,14.2773,14.4,14.0666,1016,14.12,100165,14.260011,2025-09-22 14:29:00+00:00
1758551400000,14.555,14.61,14.15,1076,14.23,122204,14.454142,2025-09-22 14:30:00+00:00
1758551460000,14.6227,14.68,14.43,1405,14.57,123135,14.572629,2025-09-22 14:31:00+00:00
1758551520000,14.3252,14.61,14.3,627,14.58,58809,14.429251,2025-09-22 14:32:00+00:00
1758551580000,14.76,14.83,14.31,1268,14.35,164331,14.613818,2025-09-22 14:33:00+00:00
1758551640000,14.54,14.8223,14.44,557,14.79,73893,14.62162,2025-09-22 14:34:00+00:00
1758551700000,14.5549,14.5873,14.38,334,14.5388,40429,14.49631,2025-09-22 14:35:00+00:00
1758551760000,14.645,14.71,14.3972,830,14.535,75440,14.541014,2025-09-22 14:36:00+00:00
1758551820000,14.6268,14.7999,14.6,459,14.645,59299,14.679085,2025-09-22 14:37:00+00:00
1758551880000,15.1,15.1,14.5,1971,14.62,257032,14.906698,2025-09-22 14:38:00+00:00
1758551940000,15.3,15.5,15.08,2243,15.119,210188,15.320455,2025-09-22 14:39:00+00:00
1758552000000,14.97,15.44,14.92,1359,15.33,163617,15.19197,2025-09-22 14:40:00+00:00
1758552060000,14.7175,14.99,14.66,573,14.99,66668,14.8365,2025-09-22 14:41:00+00:00
1758552120000,14.6,14.7499,14.5408,408,14.7449,43308,14.639113,2025-09-22 14:42:00+00:00
1758552180000,14.645,14.7399,14.54,268,14.61,28252,14.653931,2025-09-22 14:43:00+00:00
1758552240000,14.5505,14.82,14.53,467,14.66,55528,14.688733,2025-09-22 14:44:00+00:00
1758552300000,14.42,14.5639,14.4119,447,14.55,70584,14.475494,2025-09-22 14:45:00+00:00
