timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,1.61,1.61,1.61,3,1.61,496,1.61,2025-09-02 13:30:00+00:00
1756821180000,1.57,1.57,1.57,1,1.57,300,1.57,2025-09-02 13:53:00+00:00
1756822020000,1.5949,1.5949,1.5949,5,1.5949,441,1.5949,2025-09-02 14:07:00+00:00
1756822800000,1.505,1.52,1.505,20,1.52,6373,1.509865,2025-09-02 14:20:00+00:00
1756822860000,1.5,1.51,1.5,10,1.51,17980,1.500708,2025-09-02 14:21:00+00:00
1756823160000,1.5185,1.5185,1.5185,3,1.5185,111,1.5185,2025-09-02 14:26:00+00:00
1756823220000,1.56,1.6,1.56,6,1.6,1134,1.566364,2025-09-02 14:27:00+00:00
1756824600000,1.56,1.56,1.56,2,1.56,200,1.56,2025-09-02 14:50:00+00:00
1756824660000,1.52,1.52,1.52,2,1.52,210,1.52,2025-09-02 14:51:00+00:00
1756825260000,1.5998,1.5998,1.5998,4,1.5998,685,1.5998,2025-09-02 15:01:00+00:00
1756826940000,1.535,1.535,1.535,1,1.535,500,1.535,2025-09-02 15:29:00+00:00
1756827060000,1.535,1.535,1.535,2,1.535,804,1.535,2025-09-02 15:31:00+00:00
1756827840000,1.53,1.53,1.52,6,1.52,962,1.527917,2025-09-02 15:44:00+00:00
1756827960000,1.53,1.53,1.53,1,1.53,100,1.53,2025-09-02 15:46:00+00:00
1756828020000,1.53,1.53,1.53,1,1.53,100,1.53,2025-09-02 15:47:00+00:00
1756828140000,1.5148,1.5148,1.5148,2,1.5148,104,1.5148,2025-09-02 15:49:00+00:00
1756828260000,1.5104,1.5104,1.5104,1,1.5104,800,1.5104,2025-09-02 15:51:00+00:00
1756828320000,1.52,1.52,1.51,3,1.51,300,1.513333,2025-09-02 15:52:00+00:00
1756831440000,1.5003,1.5003,1.5003,2,1.5003,134,1.5003,2025-09-02 16:44:00+00:00
1756832760000,1.51,1.51,1.51,3,1.51,150,1.51,2025-09-02 17:06:00+00:00
1756832940000,1.5,1.5,1.5,7,1.5,1446,1.5,2025-09-02 17:09:00+00:00
1756833240000,1.5,1.515,1.5,14,1.515,8825,1.500178,2025-09-02 17:14:00+00:00
1756833480000,1.52,1.52,1.52,1,1.52,329,1.52,2025-09-02 17:18:00+00:00
1756834020000,1.52,1.52,1.52,1,1.52,100,1.52,2025-09-02 17:27:00+00:00
1756835160000,1.53,1.53,1.53,1,1.53,100,1.53,2025-09-02 17:46:00+00:00
1756835340000,1.5,1.5,1.5,1,1.5,100,1.5,2025-09-02 17:49:00+00:00
1756835880000,1.54,1.54,1.525,3,1.525,500,1.536964,2025-09-02 17:58:00+00:00
1756835940000,1.54,1.54,1.54,2,1.54,1000,1.54,2025-09-02 17:59:00+00:00
1756836180000,1.54,1.54,1.54,3,1.54,500,1.54,2025-09-02 18:03:00+00:00
1756836360000,1.55,1.55,1.54,3,1.54,300,1.543333,2025-09-02 18:06:00+00:00
1756836420000,1.55,1.55,1.525,5,1.55,500,1.536,2025-09-02 18:07:00+00:00
1756836480000,1.525,1.525,1.525,2,1.525,140,1.525,2025-09-02 18:08:00+00:00
1756837920000,1.49,1.5,1.49,7,1.5,2574,1.491736,2025-09-02 18:32:00+00:00
1756838040000,1.52,1.52,1.515,21,1.515,630,1.517647,2025-09-02 18:34:00+00:00
1756839660000,1.52,1.52,1.505,2,1.505,500,1.508,2025-09-02 19:01:00+00:00
1756839780000,1.5272,1.5272,1.51,3,1.51,600,1.521733,2025-09-02 19:03:00+00:00
1756840200000,1.522,1.522,1.522,1,1.522,300,1.522,2025-09-02 19:10:00+00:00
1756840260000,1.51,1.51,1.51,1,1.51,200,1.51,2025-09-02 19:11:00+00:00
1756840320000,1.5272,1.5272,1.5272,2,1.5272,158,1.5272,2025-09-02 19:12:00+00:00
1756841100000,1.51,1.51,1.51,2,1.51,300,1.51,2025-09-02 19:25:00+00:00
1756842480000,1.5,1.5,1.5,5,1.5,274,1.5,2025-09-02 19:48:00+00:00
1756842540000,1.49,1.49,1.49,16,1.49,1418,1.49,2025-09-02 19:49:00+00:00
1756842780000,1.45,1.4801,1.45,16,1.4801,6544,1.477459,2025-09-02 19:53:00+00:00
1756843020000,1.4643,1.4643,1.4643,2,1.4643,504,1.4643,2025-09-02 19:57:00+00:00
1756843080000,1.4501,1.4501,1.4,22,1.45,4235,1.438686,2025-09-02 19:58:00+00:00
1756906200000,1.4,1.45,1.4,5,1.45,3639,1.443843,2025-09-03 13:30:00+00:00
1756906620000,1.45,1.45,1.45,1,1.45,281,1.45,2025-09-03 13:37:00+00:00
1756907520000,1.4101,1.4101,1.4101,1,1.4101,3772,1.4101,2025-09-03 13:52:00+00:00
1756908180000,1.4101,1.4101,1.4101,1,1.4101,304,1.4101,2025-09-03 14:03:00+00:00
1756908780000,1.4247,1.4247,1.4247,1,1.4247,230,1.4247,2025-09-03 14:13:00+00:00
1756909380000,1.4203,1.4203,1.4203,1,1.4203,4000,1.4203,2025-09-03 14:23:00+00:00
1756909800000,1.4487,1.4487,1.4487,1,1.4487,100,1.4487,2025-09-03 14:30:00+00:00
1756909860000,1.45,1.45,1.45,2,1.45,1000,1.45,2025-09-03 14:31:00+00:00
1756912020000,1.4354,1.4354,1.4354,2,1.4354,103,1.4354,2025-09-03 15:07:00+00:00
1756913400000,1.4401,1.4401,1.4401,2,1.4401,912,1.4401,2025-09-03 15:30:00+00:00
1756920000000,1.45,1.45,1.45,7,1.45,516,1.45,2025-09-03 17:20:00+00:00
1756921680000,1.4564,1.4564,1.4564,2,1.4564,1500,1.4564,2025-09-03 17:48:00+00:00
1756925400000,1.45,1.45,1.45,1,1.45,100,1.45,2025-09-03 18:50:00+00:00
1756925880000,1.4484,1.4484,1.4484,1,1.4484,100,1.4484,2025-09-03 18:58:00+00:00
1756926120000,1.45,1.45,1.45,5,1.45,864,1.45,2025-09-03 19:02:00+00:00
1756928880000,1.47,1.47,1.47,1,1.47,500,1.47,2025-09-03 19:48:00+00:00
1756992600000,3.72,3.9,3.58,9472,3.67,2045793,3.73091,2025-09-04 13:30:00+00:00
1756992660000,3.8301,3.8799,3.66,6697,3.725,1232930,3.777025,2025-09-04 13:31:00+00:00
1756992720000,3.5,3.9,3.5,10086,3.83,1878113,3.657496,2025-09-04 13:32:00+00:00
1756992780000,3.83,3.84,3.47,6941,3.5,1299957,3.638334,2025-09-04 13:33:00+00:00
1756992840000,3.71,4.0899,3.6,12003,3.83,2376643,3.849051,2025-09-04 13:34:00+00:00
1756992900000,3.72,3.86,3.61,5288,3.71,965856,3.735646,2025-09-04 13:35:00+00:00
1756992960000,3.889,4.0,3.7,7631,3.7,1597604,3.895912,2025-09-04 13:36:00+00:00
1756993020000,4.63,4.74,3.88,22121,3.886,3931092,4.428743,2025-09-04 13:37:00+00:00
1756993080000,4.42,4.68,4.13,12962,4.63,2174106,4.39513,2025-09-04 13:38:00+00:00
