timeStamp,close,high,low,trade_count,open,volume,vwap,date
1748352600000,5.3001,5.32,5.3,8,5.3,1294,5.301624,2025-05-27 13:30:00+00:00
1748352660000,5.3,5.3,5.3,2,5.3,101,5.3,2025-05-27 13:31:00+00:00
1748352720000,5.381,5.41,5.325,24,5.325,3027,5.351138,2025-05-27 13:32:00+00:00
1748352780000,5.48,5.48,5.48,2,5.48,191,5.48,2025-05-27 13:33:00+00:00
1748352840000,5.44,5.4999,5.44,23,5.4999,3102,5.464806,2025-05-27 13:34:00+00:00
1748353020000,5.44,5.44,5.44,1,5.44,900,5.44,2025-05-27 13:37:00+00:00
1748353080000,5.4101,5.46,5.41,18,5.46,2039,5.421761,2025-05-27 13:38:00+00:00
1748353200000,5.42,5.46,5.42,5,5.46,729,5.449895,2025-05-27 13:40:00+00:00
1748353260000,5.41,5.41,5.41,1,5.41,100,5.41,2025-05-27 13:41:00+00:00
1748353320000,5.41,5.46,5.41,3,5.46,1145,5.454843,2025-05-27 13:42:00+00:00
1748353380000,5.455,5.455,5.455,1,5.455,2000,5.455,2025-05-27 13:43:00+00:00
1748353680000,5.505,5.555,5.49,22,5.49,1917,5.512706,2025-05-27 13:48:00+00:00
1748354160000,5.525,5.525,5.525,3,5.525,131,5.525,2025-05-27 13:56:00+00:00
1748354460000,5.47,5.47,5.47,2,5.47,424,5.47,2025-05-27 14:01:00+00:00
1748354700000,5.47,5.47,5.47,1,5.47,100,5.47,2025-05-27 14:05:00+00:00
1748354760000,5.71,5.71,5.57,28,5.58,4113,5.605788,2025-05-27 14:06:00+00:00
1748354940000,5.71,5.71,5.71,3,5.71,152,5.71,2025-05-27 14:09:00+00:00
1748355060000,5.78,5.78,5.7,16,5.7,2078,5.735627,2025-05-27 14:11:00+00:00
1748355120000,5.83,5.83,5.8,8,5.8,637,5.806757,2025-05-27 14:12:00+00:00
1748355180000,5.832,5.85,5.832,12,5.85,1655,5.846784,2025-05-27 14:13:00+00:00
1748355240000,5.804,5.804,5.804,5,5.804,157,5.804,2025-05-27 14:14:00+00:00
1748355300000,5.7481,5.82,5.68,17,5.82,3631,5.755182,2025-05-27 14:15:00+00:00
