timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757083260000,8.8,8.8,8.77,55,8.7701,4820,8.770854,2025-09-05 14:41:00+00:00
1757083320000,8.79,8.79,8.79,10,8.79,330,8.79,2025-09-05 14:42:00+00:00
1757083380000,8.8,8.8,8.785,20,8.785,719,8.795223,2025-09-05 14:43:00+00:00
1757083560000,8.8,8.8,8.8,1,8.8,100,8.8,2025-09-05 14:46:00+00:00
1757083620000,8.8,8.8,8.8,3,8.8,113,8.8,2025-09-05 14:47:00+00:00
1757083800000,8.83,8.83,8.83,1,8.83,100,8.83,2025-09-05 14:50:00+00:00
1757083860000,8.82,8.82,8.82,1,8.82,100,8.82,2025-09-05 14:51:00+00:00
1757084340000,8.86,8.86,8.83,18,8.83,873,8.845149,2025-09-05 14:59:00+00:00
1757085060000,8.915,8.95,8.9,9,8.9,1372,8.90665,2025-09-05 15:11:00+00:00
1757085300000,8.92,8.92,8.92,1,8.92,100,8.92,2025-09-05 15:15:00+00:00
1757085540000,8.91,8.91,8.91,8,8.91,112,8.91,2025-09-05 15:19:00+00:00
1757085600000,8.93,8.93,8.93,10,8.93,177,8.93,2025-09-05 15:20:00+00:00
1757085840000,8.975,8.99,8.95,22,8.95,1131,8.963398,2025-09-05 15:24:00+00:00
1757085900000,8.99,8.99,8.99,1,8.99,100,8.99,2025-09-05 15:25:00+00:00
1757086320000,8.995,8.995,8.995,32,8.995,895,8.995,2025-09-05 15:32:00+00:00
1757086380000,8.995,8.995,8.995,5,8.995,206,8.995,2025-09-05 15:33:00+00:00
1757086740000,8.955,8.955,8.955,10,8.955,294,8.955,2025-09-05 15:39:00+00:00
1757087160000,8.985,8.985,8.985,3,8.985,124,8.985,2025-09-05 15:46:00+00:00
1757087220000,8.97,8.97,8.95,15,8.96,998,8.961575,2025-09-05 15:47:00+00:00
1757087460000,8.955,8.955,8.955,12,8.955,376,8.955,2025-09-05 15:51:00+00:00
1757087760000,8.96,8.96,8.96,8,8.96,401,8.96,2025-09-05 15:56:00+00:00
1757087820000,8.97,8.97,8.97,2,8.97,101,8.97,2025-09-05 15:57:00+00:00
1757088000000,8.965,8.97,8.965,4,8.97,208,8.9675,2025-09-05 16:00:00+00:00
1757088300000,8.97,9.0,8.97,3,9.0,237,8.985,2025-09-05 16:05:00+00:00
1757088360000,8.965,8.965,8.965,21,8.965,358,8.965,2025-09-05 16:06:00+00:00
1757088420000,8.94,8.97,8.94,28,8.95,1045,8.951961,2025-09-05 16:07:00+00:00
1757088480000,8.93,8.95,8.93,60,8.95,3688,8.9355,2025-09-05 16:08:00+00:00
1757088540000,8.91,8.92,8.91,6,8.92,327,8.915,2025-09-05 16:09:00+00:00
1757089620000,8.86,8.86,8.86,5,8.86,200,8.86,2025-09-05 16:27:00+00:00
1757090640000,8.82,8.82,8.82,7,8.82,345,8.82,2025-09-05 16:44:00+00:00
1757090700000,8.825,8.825,8.825,10,8.825,366,8.825,2025-09-05 16:45:00+00:00
1757092080000,8.795,8.795,8.795,4,8.795,167,8.795,2025-09-05 17:08:00+00:00
1757092140000,8.795,8.795,8.795,1,8.795,100,8.795,2025-09-05 17:09:00+00:00
1757092260000,8.805,8.805,8.805,6,8.805,136,8.805,2025-09-05 17:11:00+00:00
1757092320000,8.8223,8.8223,8.8,6,8.8,350,8.810767,2025-09-05 17:12:00+00:00
1757092380000,8.81,8.82,8.81,7,8.82,335,8.814762,2025-09-05 17:13:00+00:00
1757092440000,8.77,8.77,8.77,5,8.77,155,8.77,2025-09-05 17:14:00+00:00
1757092560000,8.79,8.79,8.79,2,8.79,102,8.79,2025-09-05 17:16:00+00:00
1757092620000,8.82,8.82,8.795,3,8.795,201,8.8075,2025-09-05 17:17:00+00:00
1757093040000,8.8,8.8,8.8,2,8.8,102,8.8,2025-09-05 17:24:00+00:00
1757093100000,8.79,8.79,8.78,13,8.78,565,8.782611,2025-09-05 17:25:00+00:00
1757093220000,8.79,8.79,8.79,1,8.79,100,8.79,2025-09-05 17:27:00+00:00
1757093400000,8.77,8.77,8.76,16,8.77,832,8.765192,2025-09-05 17:30:00+00:00
1757093640000,8.7837,8.7837,8.7837,3,8.7837,121,8.7837,2025-09-05 17:34:00+00:00
1757093760000,8.795,8.84,8.795,15,8.84,622,8.811729,2025-09-05 17:36:00+00:00
1757094000000,8.81,8.81,8.81,23,8.81,244,8.81,2025-09-05 17:40:00+00:00
1757094120000,8.8,8.8,8.8,9,8.8,237,8.8,2025-09-05 17:42:00+00:00
1757095320000,8.8,8.8,8.8,15,8.8,468,8.8,2025-09-05 18:02:00+00:00
1757095500000,8.78,8.78,8.78,8,8.78,320,8.78,2025-09-05 18:05:00+00:00
1757095560000,8.785,8.79,8.78,13,8.79,697,8.783401,2025-09-05 18:06:00+00:00
1757095800000,8.8,8.8,8.8,17,8.8,299,8.8,2025-09-05 18:10:00+00:00
1757095920000,8.82,8.82,8.82,2,8.82,105,8.82,2025-09-05 18:12:00+00:00
1757096040000,8.8234,8.8234,8.81,5,8.81,515,8.82005,2025-09-05 18:14:00+00:00
1757096460000,8.8,8.8,8.8,9,8.8,361,8.8,2025-09-05 18:21:00+00:00
1757096700000,8.8,8.8,8.8,3,8.8,136,8.8,2025-09-05 18:25:00+00:00
1757096760000,8.79,8.8,8.79,11,8.8,432,8.796667,2025-09-05 18:26:00+00:00
1757096820000,8.8,8.8,8.8,5,8.8,202,8.8,2025-09-05 18:27:00+00:00
1757096880000,8.83,8.83,8.8,12,8.8,463,8.815,2025-09-05 18:28:00+00:00
1757097000000,8.83,8.83,8.83,13,8.83,473,8.83,2025-09-05 18:30:00+00:00
1757097060000,8.825,8.825,8.825,3,8.825,201,8.825,2025-09-05 18:31:00+00:00
1757097480000,8.81,8.81,8.81,24,8.81,1064,8.81,2025-09-05 18:38:00+00:00
1757097660000,8.79,8.79,8.79,4,8.79,204,8.79,2025-09-05 18:41:00+00:00
1757097720000,8.77,8.785,8.77,11,8.785,452,8.773947,2025-09-05 18:42:00+00:00
1757097960000,8.74,8.75,8.74,29,8.74,1483,8.741184,2025-09-05 18:46:00+00:00
1757098260000,8.74,8.74,8.74,2,8.74,130,8.74,2025-09-05 18:51:00+00:00
1757098320000,8.74,8.74,8.74,9,8.74,300,8.74,2025-09-05 18:52:00+00:00
1757098440000,8.72,8.75,8.72,23,8.75,1898,8.7244,2025-09-05 18:54:00+00:00
1757098500000,8.735,8.735,8.735,12,8.735,289,8.735,2025-09-05 18:55:00+00:00
1757098560000,8.73,8.75,8.73,9,8.75,360,8.743548,2025-09-05 18:56:00+00:00
1757098620000,8.75,8.7582,8.736,41,8.7582,3292,8.749796,2025-09-05 18:57:00+00:00
1757098680000,8.75,8.8,8.725,116,8.74,12599,8.752425,2025-09-05 18:58:00+00:00
1757098740000,8.73,8.7564,8.73,6,8.75,600,8.747733,2025-09-05 18:59:00+00:00
1757098800000,8.75,8.75,8.75,5,8.75,343,8.75,2025-09-05 19:00:00+00:00
1757098860000,8.75,8.75,8.75,4,8.75,400,8.75,2025-09-05 19:01:00+00:00
1757098980000,8.75,8.75,8.75,3,8.75,204,8.75,2025-09-05 19:03:00+00:00
1757099040000,8.7832,8.7832,8.75,19,8.75,980,8.7554,2025-09-05 19:04:00+00:00
1757099100000,8.75,8.75,8.75,7,8.75,733,8.75,2025-09-05 19:05:00+00:00
1757099160000,8.75,8.755,8.75,39,8.75,2093,8.750944,2025-09-05 19:06:00+00:00
1757099220000,8.78,8.7891,8.77,15,8.7891,602,8.777429,2025-09-05 19:07:00+00:00
1757099280000,8.78,8.78,8.77,6,8.77,362,8.775413,2025-09-05 19:08:00+00:00
1757099340000,8.77,8.77,8.77,14,8.77,397,8.77,2025-09-05 19:09:00+00:00
1757099460000,8.78,8.78,8.78,4,8.78,351,8.78,2025-09-05 19:11:00+00:00
1757099760000,8.79,8.79,8.79,4,8.79,208,8.79,2025-09-05 19:16:00+00:00
1757099880000,8.82,8.82,8.82,8,8.82,330,8.82,2025-09-05 19:18:00+00:00
1757099940000,8.805,8.805,8.805,5,8.805,120,8.805,2025-09-05 19:19:00+00:00
1757100360000,8.805,8.805,8.805,14,8.805,278,8.805,2025-09-05 19:26:00+00:00
1757100480000,8.8,8.8,8.77,10,8.77,401,8.79,2025-09-05 19:28:00+00:00
1757100540000,8.796,8.796,8.796,2,8.796,101,8.796,2025-09-05 19:29:00+00:00
1757100660000,8.795,8.795,8.795,5,8.795,108,8.795,2025-09-05 19:31:00+00:00
1757101080000,8.83,8.83,8.83,44,8.83,1071,8.83,2025-09-05 19:38:00+00:00
1757101200000,8.81,8.81,8.8,4,8.8,203,8.805,2025-09-05 19:40:00+00:00
1757101320000,8.83,8.83,8.83,16,8.83,395,8.83,2025-09-05 19:42:00+00:00
1757101380000,8.815,8.815,8.815,11,8.815,428,8.815,2025-09-05 19:43:00+00:00
1757101500000,8.82,8.82,8.82,11,8.82,399,8.82,2025-09-05 19:45:00+00:00
1757101620000,8.805,8.815,8.8,13,8.815,508,8.806667,2025-09-05 19:47:00+00:00
1757101680000,8.805,8.805,8.805,7,8.805,113,8.805,2025-09-05 19:48:00+00:00
1757101800000,8.8,8.8,8.795,36,8.8,821,8.798268,2025-09-05 19:50:00+00:00
1757101920000,8.79,8.79,8.79,11,8.79,147,8.79,2025-09-05 19:52:00+00:00
1757101980000,8.83,8.83,8.78,43,8.78,1349,8.80556,2025-09-05 19:53:00+00:00
1757102040000,8.82,8.82,8.82,13,8.82,323,8.82,2025-09-05 19:54:00+00:00
1757102100000,8.81,8.825,8.81,38,8.825,1154,8.821154,2025-09-05 19:55:00+00:00
1757102160000,8.82,8.83,8.8,29,8.82,1574,8.815045,2025-09-05 19:56:00+00:00
1757102220000,8.82,8.82,8.8,17,8.8,573,8.806667,2025-09-05 19:57:00+00:00
1757102280000,8.82,8.82,8.82,57,8.82,1141,8.82,2025-09-05 19:58:00+00:00
1757102340000,8.835,8.84,8.82,112,8.84,1919,8.832423,2025-09-05 19:59:00+00:00
1757338200000,8.85,8.85,8.85,8,8.85,997,8.85,2025-09-08 13:30:00+00:00
1757338260000,8.85,8.87,8.85,74,8.87,1389,8.854762,2025-09-08 13:31:00+00:00
1757338320000,8.75,8.75,8.675,10,8.675,560,8.72,2025-09-08 13:32:00+00:00
1757338680000,8.81,8.81,8.81,2,8.81,210,8.81,2025-09-08 13:38:00+00:00
1757338920000,8.75,8.75,8.62,5,8.62,234,8.685,2025-09-08 13:42:00+00:00
1757338980000,8.62,8.62,8.62,3,8.62,112,8.62,2025-09-08 13:43:00+00:00
1757339160000,8.62,8.63,8.62,5,8.63,212,8.625,2025-09-08 13:46:00+00:00
1757340180000,8.68,8.68,8.68,3,8.68,111,8.68,2025-09-08 14:03:00+00:00
1757340360000,8.765,8.765,8.765,4,8.765,212,8.765,2025-09-08 14:06:00+00:00
1757340540000,8.65,8.65,8.65,1,8.65,100,8.65,2025-09-08 14:09:00+00:00
1757340720000,8.77,8.77,8.77,2,8.77,110,8.77,2025-09-08 14:12:00+00:00
1757340960000,8.695,8.698,8.695,6,8.698,691,8.69755,2025-09-08 14:16:00+00:00
1757341140000,8.7,8.7,8.7,10,8.7,264,8.7,2025-09-08 14:19:00+00:00
1757341200000,8.66,8.66,8.66,5,8.66,110,8.66,2025-09-08 14:20:00+00:00
1757341320000,8.68,8.68,8.66,12,8.66,527,8.666667,2025-09-08 14:22:00+00:00
1757341440000,8.665,8.665,8.65,17,8.65,1463,8.654615,2025-09-08 14:24:00+00:00
1757341500000,8.67,8.67,8.67,4,8.67,232,8.67,2025-09-08 14:25:00+00:00
1757341560000,8.67,8.67,8.66,13,8.67,603,8.6675,2025-09-08 14:26:00+00:00
1757341620000,8.67,8.67,8.67,2,8.67,200,8.67,2025-09-08 14:27:00+00:00
1757341680000,8.665,8.665,8.665,3,8.665,209,8.665,2025-09-08 14:28:00+00:00
1757341800000,8.665,8.67,8.665,6,8.67,430,8.66875,2025-09-08 14:30:00+00:00
1757341860000,8.6828,8.6831,8.6828,4,8.6831,265,8.68295,2025-09-08 14:31:00+00:00
1757341920000,8.69,8.69,8.69,5,8.69,335,8.69,2025-09-08 14:32:00+00:00
1757341980000,8.6995,8.6995,8.6995,1,8.6995,100,8.6995,2025-09-08 14:33:00+00:00
1757342100000,8.7,8.7,8.68,18,8.68,400,8.69,2025-09-08 14:35:00+00:00
1757342160000,8.69,8.69,8.69,2,8.69,109,8.69,2025-09-08 14:36:00+00:00
1757342220000,8.7,8.7,8.7,15,8.7,388,8.7,2025-09-08 14:37:00+00:00
1757342280000,8.78,8.78,8.745,23,8.745,991,8.774167,2025-09-08 14:38:00+00:00
1757342340000,8.82,8.82,8.82,3,8.82,140,8.82,2025-09-08 14:39:00+00:00
1757342820000,8.78,8.78,8.78,48,8.78,419,8.78,2025-09-08 14:47:00+00:00
1757342940000,8.785,8.785,8.785,6,8.785,157,8.785,2025-09-08 14:49:00+00:00
1757343000000,8.785,8.785,8.7578,6,8.7578,1345,8.764077,2025-09-08 14:50:00+00:00
1757343180000,8.77,8.78,8.77,9,8.78,306,8.775,2025-09-08 14:53:00+00:00
1757343240000,8.78,8.78,8.78,5,8.78,270,8.78,2025-09-08 14:54:00+00:00
1757343600000,8.795,8.795,8.795,5,8.795,125,8.795,2025-09-08 15:00:00+00:00
1757344080000,8.8,8.8,8.8,2,8.8,160,8.8,2025-09-08 15:08:00+00:00
1757344260000,8.83,8.835,8.83,35,8.835,950,8.8325,2025-09-08 15:11:00+00:00
1757344320000,8.8,8.81,8.8,15,8.81,343,8.805,2025-09-08 15:12:00+00:00
1757344500000,8.8,8.8,8.8,8,8.8,543,8.8,2025-09-08 15:15:00+00:00
1757344560000,8.75,8.76,8.75,28,8.76,6571,8.750726,2025-09-08 15:16:00+00:00
1757344620000,8.755,8.755,8.75,6,8.75,496,8.75125,2025-09-08 15:17:00+00:00
1757344740000,8.775,8.775,8.775,4,8.775,190,8.775,2025-09-08 15:19:00+00:00
1757344800000,8.79,8.79,8.79,9,8.79,299,8.79,2025-09-08 15:20:00+00:00
1757344920000,8.8,8.81,8.8,19,8.81,828,8.805,2025-09-08 15:22:00+00:00
1757345100000,8.77,8.785,8.77,34,8.785,627,8.7775,2025-09-08 15:25:00+00:00
1757345340000,8.73,8.73,8.73,6,8.73,245,8.73,2025-09-08 15:29:00+00:00
1757345400000,8.73,8.73,8.73,11,8.73,244,8.73,2025-09-08 15:30:00+00:00
1757345460000,8.715,8.715,8.715,2,8.715,200,8.715,2025-09-08 15:31:00+00:00
1757345940000,8.645,8.645,8.645,5,8.645,213,8.645,2025-09-08 15:39:00+00:00
1757346120000,8.665,8.67,8.665,18,8.67,646,8.668333,2025-09-08 15:42:00+00:00
1757346240000,8.66,8.66,8.66,2,8.66,200,8.66,2025-09-08 15:44:00+00:00
1757346360000,8.66,8.66,8.66,7,8.66,273,8.66,2025-09-08 15:46:00+00:00
1757346420000,8.665,8.68,8.66,21,8.66,638,8.669775,2025-09-08 15:47:00+00:00
1757346480000,8.675,8.69,8.675,25,8.68,982,8.68125,2025-09-08 15:48:00+00:00
1757346540000,8.68,8.68,8.68,3,8.68,130,8.68,2025-09-08 15:49:00+00:00
1757346600000,8.69,8.69,8.69,3,8.69,130,8.69,2025-09-08 15:50:00+00:00
1757346660000,8.69,8.7,8.69,11,8.7,453,8.693333,2025-09-08 15:51:00+00:00
1757346840000,8.7,8.7,8.7,3,8.7,130,8.7,2025-09-08 15:54:00+00:00
1757346900000,8.7,8.7,8.7,4,8.7,180,8.7,2025-09-08 15:55:00+00:00
1757347020000,8.7,8.7,8.7,7,8.7,380,8.7,2025-09-08 15:57:00+00:00
1757347140000,8.745,8.745,8.745,3,8.745,210,8.745,2025-09-08 15:59:00+00:00
1757347200000,8.74,8.74,8.74,36,8.74,462,8.74,2025-09-08 16:00:00+00:00
1757347260000,8.72,8.72,8.72,15,8.72,547,8.72,2025-09-08 16:01:00+00:00
1757347500000,8.7,8.7,8.7,14,8.7,308,8.7,2025-09-08 16:05:00+00:00
1757348220000,8.68,8.68,8.68,10,8.68,374,8.68,2025-09-08 16:17:00+00:00
1757348460000,8.7,8.7,8.7,4,8.7,250,8.7,2025-09-08 16:21:00+00:00
1757349000000,8.69,8.69,8.69,3,8.69,252,8.69,2025-09-08 16:30:00+00:00
1757349120000,8.67,8.67,8.67,12,8.67,543,8.67,2025-09-08 16:32:00+00:00
1757349180000,8.68,8.68,8.68,6,8.68,143,8.68,2025-09-08 16:33:00+00:00
1757349300000,8.67,8.67,8.66,24,8.66,768,8.662611,2025-09-08 16:35:00+00:00
1757349480000,8.66,8.66,8.66,12,8.66,397,8.66,2025-09-08 16:38:00+00:00
1757349540000,8.6401,8.66,8.6401,8,8.66,400,8.647058,2025-09-08 16:39:00+00:00
1757349600000,8.66,8.66,8.64,8,8.64,640,8.644,2025-09-08 16:40:00+00:00
1757349840000,8.67,8.68,8.665,46,8.665,2208,8.671929,2025-09-08 16:44:00+00:00
1757349900000,8.67,8.67,8.67,6,8.67,260,8.67,2025-09-08 16:45:00+00:00
1757350200000,8.665,8.665,8.665,8,8.665,511,8.665,2025-09-08 16:50:00+00:00
1757350260000,8.68,8.68,8.665,14,8.665,630,8.67125,2025-09-08 16:51:00+00:00
1757350320000,8.69,8.69,8.675,25,8.675,1034,8.680714,2025-09-08 16:52:00+00:00
1757350440000,8.7125,8.7125,8.7125,3,8.7125,346,8.7125,2025-09-08 16:54:00+00:00
1757350560000,8.705,8.705,8.705,4,8.705,279,8.705,2025-09-08 16:56:00+00:00
1757350800000,8.705,8.705,8.705,3,8.705,130,8.705,2025-09-08 17:00:00+00:00
1757351160000,8.685,8.685,8.685,4,8.685,109,8.685,2025-09-08 17:06:00+00:00
1757351220000,8.685,8.685,8.685,6,8.685,231,8.685,2025-09-08 17:07:00+00:00
