timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757096160000,1.54,1.54,1.54,2,1.54,575,1.54,2025-09-05 18:16:00+00:00
1757096220000,1.535,1.535,1.535,2,1.535,113,1.535,2025-09-05 18:17:00+00:00
1757096340000,1.535,1.5375,1.535,9,1.535,1058,1.5355,2025-09-05 18:19:00+00:00
1757096400000,1.535,1.535,1.535,2,1.535,229,1.535,2025-09-05 18:20:00+00:00
1757096460000,1.535,1.535,1.53,3,1.53,354,1.533457,2025-09-05 18:21:00+00:00
1757096520000,1.535,1.535,1.535,1,1.535,100,1.535,2025-09-05 18:22:00+00:00
1757096580000,1.53,1.54,1.53,6,1.54,1100,1.535455,2025-09-05 18:23:00+00:00
1757096640000,1.53,1.53,1.53,1,1.53,100,1.53,2025-09-05 18:24:00+00:00
1757096700000,1.53,1.5354,1.53,7,1.53,1356,1.534596,2025-09-05 18:25:00+00:00
1757096760000,1.54,1.54,1.535,4,1.535,1432,1.539615,2025-09-05 18:26:00+00:00
1757096820000,1.53,1.535,1.53,4,1.535,266,1.5325,2025-09-05 18:27:00+00:00
1757096940000,1.535,1.535,1.535,2,1.535,122,1.535,2025-09-05 18:29:00+00:00
1757097000000,1.54,1.54,1.535,29,1.535,2482,1.538872,2025-09-05 18:30:00+00:00
1757097060000,1.53,1.5411,1.53,25,1.5411,11421,1.53339,2025-09-05 18:31:00+00:00
1757097480000,1.535,1.54,1.535,7,1.535,1400,1.536786,2025-09-05 18:38:00+00:00
1757097780000,1.53,1.535,1.53,15,1.535,2721,1.531667,2025-09-05 18:43:00+00:00
1757098020000,1.525,1.53,1.52,16,1.525,2953,1.524472,2025-09-05 18:47:00+00:00
1757098200000,1.53,1.53,1.53,13,1.53,823,1.53,2025-09-05 18:50:00+00:00
1757098740000,1.525,1.525,1.525,3,1.525,580,1.525,2025-09-05 18:59:00+00:00
1757098860000,1.525,1.525,1.525,1,1.525,100,1.525,2025-09-05 19:01:00+00:00
1757098920000,1.525,1.53,1.525,7,1.53,1150,1.526,2025-09-05 19:02:00+00:00
1757098980000,1.525,1.525,1.525,1,1.525,700,1.525,2025-09-05 19:03:00+00:00
1757099160000,1.525,1.53,1.525,8,1.525,3704,1.525136,2025-09-05 19:06:00+00:00
1757099280000,1.525,1.525,1.525,3,1.525,102,1.525,2025-09-05 19:08:00+00:00
