timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756215840000,36.5866,36.5866,36.5866,1,36.5866,200,36.5866,2025-08-26 13:44:00+00:00
1756215900000,36.585,36.585,36.585,6,36.585,228,36.585,2025-08-26 13:45:00+00:00
1756216020000,36.56,36.56,36.56,4,36.56,296,36.56,2025-08-26 13:47:00+00:00
1756216080000,36.39,36.39,36.39,4,36.39,130,36.39,2025-08-26 13:48:00+00:00
1756216260000,36.2,36.355,36.2,10,36.355,388,36.303333,2025-08-26 13:51:00+00:00
1756216320000,36.04,36.04,36.04,7,36.04,226,36.04,2025-08-26 13:52:00+00:00
1756216380000,36.2119,36.2119,35.92,5,35.92,288,36.06595,2025-08-26 13:53:00+00:00
1756216440000,36.105,36.105,36.105,6,36.105,175,36.105,2025-08-26 13:54:00+00:00
1756216500000,36.07,36.07,36.07,6,36.07,294,36.07,2025-08-26 13:55:00+00:00
1756216560000,36.11,36.11,35.8,79,35.9487,8781,35.935931,2025-08-26 13:56:00+00:00
1756216620000,36.11,36.11,36.11,9,36.11,240,36.11,2025-08-26 13:57:00+00:00
1756216740000,36.1,36.1,36.0,6,36.0,324,36.066667,2025-08-26 13:59:00+00:00
1756216800000,36.225,36.37,36.07,22,36.21,3275,36.228909,2025-08-26 14:00:00+00:00
1756216860000,36.0887,36.0887,36.0887,4,36.0887,152,36.0887,2025-08-26 14:01:00+00:00
1756216920000,36.4469,36.4469,36.4469,2,36.4469,275,36.4469,2025-08-26 14:02:00+00:00
1756217040000,36.24,36.24,36.24,10,36.24,512,36.24,2025-08-26 14:04:00+00:00
1756217100000,36.13,36.22,36.13,13,36.21,974,36.173836,2025-08-26 14:05:00+00:00
1756217280000,36.07,36.21,36.07,22,36.21,680,36.1075,2025-08-26 14:08:00+00:00
1756217340000,36.15,36.15,36.15,3,36.15,111,36.15,2025-08-26 14:09:00+00:00
1756217400000,36.25,36.25,36.19,13,36.19,650,36.218,2025-08-26 14:10:00+00:00
1756217460000,36.31,36.31,36.31,7,36.31,399,36.31,2025-08-26 14:11:00+00:00
1756217640000,36.185,36.185,36.185,10,36.185,265,36.185,2025-08-26 14:14:00+00:00
1756217820000,36.205,36.23,36.205,9,36.23,874,36.208338,2025-08-26 14:17:00+00:00
1756217880000,36.285,36.285,36.285,4,36.285,112,36.285,2025-08-26 14:18:00+00:00
1756217940000,36.16,36.295,36.16,9,36.22,738,36.200469,2025-08-26 14:19:00+00:00
1756218120000,36.27,36.278,36.18,27,36.18,3629,36.267586,2025-08-26 14:22:00+00:00
