timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757949360000,18.25,18.35,18.25,29,18.35,6925,18.268603,2025-09-15 15:16:00+00:00
1757949420000,18.1351,18.21,18.1351,36,18.21,2297,18.198822,2025-09-15 15:17:00+00:00
1757949480000,18.1,18.14,18.1,28,18.14,4783,18.115803,2025-09-15 15:18:00+00:00
1757949540000,18.13,18.13,18.0517,13,18.0517,2258,18.07501,2025-09-15 15:19:00+00:00
1757949600000,18.15,18.1501,18.15,9,18.1501,1270,18.15009,2025-09-15 15:20:00+00:00
1757949660000,18.05,18.05,18.05,10,18.05,155,18.05,2025-09-15 15:21:00+00:00
1757949720000,18.0871,18.0871,18.05,6,18.06,470,18.064589,2025-09-15 15:22:00+00:00
1757949780000,18.0838,18.09,18.06,13,18.075,1351,18.075469,2025-09-15 15:23:00+00:00
1757949840000,18.08,18.1,18.08,10,18.08,1147,18.082134,2025-09-15 15:24:00+00:00
1757949900000,18.15,18.15,18.15,12,18.15,1150,18.15,2025-09-15 15:25:00+00:00
1757949960000,18.1,18.11,18.1,23,18.1,3582,18.100881,2025-09-15 15:26:00+00:00
1757950020000,18.16,18.2,18.15,5,18.15,600,18.163333,2025-09-15 15:27:00+00:00
1757950080000,18.2013,18.22,18.175,12,18.175,3708,18.200452,2025-09-15 15:28:00+00:00
1757950140000,18.15,18.15,18.15,3,18.15,1803,18.15,2025-09-15 15:29:00+00:00
1757950200000,18.12,18.15,18.12,20,18.15,977,18.124286,2025-09-15 15:30:00+00:00
1757950260000,18.13,18.18,18.13,14,18.18,1142,18.148586,2025-09-15 15:31:00+00:00
1757950320000,18.13,18.16,18.13,11,18.15,995,18.143333,2025-09-15 15:32:00+00:00
1757950380000,18.1984,18.2,18.1984,5,18.2,594,18.198671,2025-09-15 15:33:00+00:00
1757950500000,18.15,18.15,18.13,7,18.13,550,18.138,2025-09-15 15:35:00+00:00
1757950680000,18.3,18.31,18.29,9,18.29,630,18.3025,2025-09-15 15:38:00+00:00
1757950740000,18.23,18.23,18.22,8,18.22,575,18.224,2025-09-15 15:39:00+00:00
1757950860000,18.36,18.3695,18.36,11,18.3695,1326,18.367917,2025-09-15 15:41:00+00:00
1757950920000,18.3,18.31,18.3,5,18.31,401,18.3025,2025-09-15 15:42:00+00:00
1757950980000,18.27,18.27,18.27,6,18.27,327,18.27,2025-09-15 15:43:00+00:00
1757951040000,18.3084,18.32,18.3,8,18.3,1843,18.308581,2025-09-15 15:44:00+00:00
1757951100000,18.24,18.24,18.24,8,18.24,616,18.24,2025-09-15 15:45:00+00:00
1757951160000,18.18,18.27,18.18,69,18.25,25998,18.20217,2025-09-15 15:46:00+00:00
1757951220000,18.2125,18.24,18.2125,4,18.24,801,18.222813,2025-09-15 15:47:00+00:00
1757951400000,18.27,18.28,18.27,3,18.28,415,18.2775,2025-09-15 15:50:00+00:00
1757951460000,18.27,18.27,18.27,2,18.27,102,18.27,2025-09-15 15:51:00+00:00
1757951520000,18.27,18.27,18.27,4,18.27,280,18.27,2025-09-15 15:52:00+00:00
1757951580000,18.265,18.265,18.265,1,18.265,100,18.265,2025-09-15 15:53:00+00:00
1757951760000,18.17,18.2201,18.17,6,18.2201,1176,18.215525,2025-09-15 15:56:00+00:00
1757951820000,18.2,18.23,18.19,11,18.2,1509,18.200984,2025-09-15 15:57:00+00:00
1757951880000,18.1732,18.18,18.171,12,18.18,3000,18.172873,2025-09-15 15:58:00+00:00
1757952000000,18.175,18.2,18.16,15,18.19,1135,18.185625,2025-09-15 16:00:00+00:00
1757952060000,18.17,18.17,18.17,6,18.17,366,18.17,2025-09-15 16:01:00+00:00
1757952120000,18.18,18.1886,18.15,10,18.15,802,18.176891,2025-09-15 16:02:00+00:00
1757952180000,18.16,18.16,18.16,2,18.16,2894,18.16,2025-09-15 16:03:00+00:00
1757952240000,18.15,18.15,18.15,2,18.15,2000,18.15,2025-09-15 16:04:00+00:00
1757952360000,18.13,18.2,18.13,3,18.2,400,18.1668,2025-09-15 16:06:00+00:00
1757952480000,18.22,18.22,18.22,1,18.22,100,18.22,2025-09-15 16:08:00+00:00
1757952540000,18.2895,18.2895,18.22,4,18.22,2840,18.263911,2025-09-15 16:09:00+00:00
1757952660000,18.15,18.2,18.15,10,18.2,1126,18.195345,2025-09-15 16:11:00+00:00
1757952780000,18.1901,18.1901,18.1901,1,18.1901,700,18.1901,2025-09-15 16:13:00+00:00
1757952840000,18.15,18.15,18.15,6,18.15,552,18.15,2025-09-15 16:14:00+00:00
1757952900000,18.15,18.15,18.15,3,18.15,301,18.15,2025-09-15 16:15:00+00:00
1757952960000,18.23,18.23,18.23,5,18.23,270,18.23,2025-09-15 16:16:00+00:00
1757953080000,18.15,18.15,18.15,6,18.15,175,18.15,2025-09-15 16:18:00+00:00
1757953140000,18.1,18.1496,18.1,21,18.1496,6447,18.102977,2025-09-15 16:19:00+00:00
1757953260000,18.11,18.11,18.08,4,18.08,372,18.097151,2025-09-15 16:21:00+00:00
1757953320000,18.09,18.09,18.0694,27,18.0694,2069,18.076707,2025-09-15 16:22:00+00:00
1757953380000,18.13,18.13,18.13,7,18.13,270,18.13,2025-09-15 16:23:00+00:00
1757953440000,18.01,18.1,18.01,21,18.1,4382,18.028464,2025-09-15 16:24:00+00:00
1757953500000,17.955,18.03,17.955,47,18.03,5226,17.990498,2025-09-15 16:25:00+00:00
1757953560000,18.0,18.0,17.98,11,17.98,749,17.983333,2025-09-15 16:26:00+00:00
1757953620000,17.97,17.9998,17.97,15,17.9998,853,17.98596,2025-09-15 16:27:00+00:00
1757953680000,17.99,18.0,17.99,14,17.99,1821,17.994048,2025-09-15 16:28:00+00:00
1757953740000,17.9798,17.9798,17.9798,2,17.9798,166,17.9798,2025-09-15 16:29:00+00:00
1757953800000,17.99,17.99,17.99,7,17.99,953,17.99,2025-09-15 16:30:00+00:00
1757953860000,17.98,17.99,17.96,54,17.98,5316,17.978637,2025-09-15 16:31:00+00:00
1757953920000,17.96,17.99,17.96,22,17.98,2050,17.980609,2025-09-15 16:32:00+00:00
1757953980000,18.0,18.0,17.96,19,17.96,2591,17.990038,2025-09-15 16:33:00+00:00
1757954100000,17.98,17.98,17.98,3,17.98,120,17.98,2025-09-15 16:35:00+00:00
1757954160000,17.94,17.9424,17.94,14,17.9424,5277,17.940081,2025-09-15 16:36:00+00:00
1757954280000,17.885,17.9,17.88,21,17.88,4626,17.887519,2025-09-15 16:38:00+00:00
1757954340000,17.9229,17.9229,17.9096,10,17.9096,998,17.914657,2025-09-15 16:39:00+00:00
1757954400000,17.9723,17.9723,17.9424,8,17.9424,411,17.962333,2025-09-15 16:40:00+00:00
1757954460000,17.918,17.918,17.918,2,17.918,413,17.918,2025-09-15 16:41:00+00:00
1757954640000,18.145,18.15,18.14,8,18.14,542,18.144839,2025-09-15 16:44:00+00:00
1757954700000,18.13,18.13,18.12,12,18.13,1977,18.129457,2025-09-15 16:45:00+00:00
1757954880000,18.06,18.08,18.06,8,18.08,329,18.07,2025-09-15 16:48:00+00:00
1757954940000,18.12,18.12,18.1,11,18.1,1262,18.112,2025-09-15 16:49:00+00:00
1757955000000,18.108,18.129,18.108,8,18.12,1002,18.125667,2025-09-15 16:50:00+00:00
1757955060000,18.15,18.15,18.12,58,18.129,17035,18.148378,2025-09-15 16:51:00+00:00
1757955120000,18.18,18.21,18.18,6,18.2,323,18.196667,2025-09-15 16:52:00+00:00
1757955240000,18.17,18.17,18.17,2,18.17,150,18.17,2025-09-15 16:54:00+00:00
1757955360000,18.17,18.17,18.17,4,18.17,121,18.17,2025-09-15 16:56:00+00:00
1757955420000,18.1,18.1,18.1,1,18.1,100,18.1,2025-09-15 16:57:00+00:00
1757955480000,18.03,18.03,18.03,2,18.03,1474,18.03,2025-09-15 16:58:00+00:00
1757955540000,18.05,18.05,18.05,2,18.05,510,18.05,2025-09-15 16:59:00+00:00
1757955600000,18.01,18.01,18.0,12,18.01,698,18.004,2025-09-15 17:00:00+00:00
1757955780000,18.0,18.0,18.0,5,18.0,312,18.0,2025-09-15 17:03:00+00:00
1757955840000,17.99,17.99,17.99,2,17.99,206,17.99,2025-09-15 17:04:00+00:00
1757956080000,18.03,18.03,18.03,3,18.03,110,18.03,2025-09-15 17:08:00+00:00
1757956200000,17.95,17.95,17.95,1,17.95,100,17.95,2025-09-15 17:10:00+00:00
1757956260000,17.95,17.95,17.95,2,17.95,247,17.95,2025-09-15 17:11:00+00:00
1757956320000,17.97,17.97,17.96,6,17.96,446,17.965,2025-09-15 17:12:00+00:00
1757956380000,17.91,17.91,17.91,4,17.91,162,17.91,2025-09-15 17:13:00+00:00
1757956560000,17.88,17.88,17.88,8,17.88,363,17.88,2025-09-15 17:16:00+00:00
1757956620000,17.8,17.85,17.8,10,17.85,944,17.807386,2025-09-15 17:17:00+00:00
1757956680000,17.76,17.8,17.76,17,17.8,820,17.790762,2025-09-15 17:18:00+00:00
1757956740000,17.73,17.75,17.73,5,17.75,591,17.742738,2025-09-15 17:19:00+00:00
1757956800000,17.7,17.745,17.7,22,17.745,6380,17.727499,2025-09-15 17:20:00+00:00
1757956860000,17.63,17.63,17.63,10,17.63,363,17.63,2025-09-15 17:21:00+00:00
1757956920000,17.6481,17.6481,17.63,13,17.63,794,17.640605,2025-09-15 17:22:00+00:00
1757957040000,17.6,17.6,17.6,25,17.6,8250,17.6,2025-09-15 17:24:00+00:00
1757957100000,17.63,17.65,17.61,12,17.65,1136,17.636755,2025-09-15 17:25:00+00:00
1757957160000,17.56,17.5715,17.56,31,17.5715,1533,17.56361,2025-09-15 17:26:00+00:00
1757957220000,17.5981,17.5981,17.56,7,17.56,565,17.57762,2025-09-15 17:27:00+00:00
1757957280000,17.6797,17.68,17.65,12,17.65,1129,17.659778,2025-09-15 17:28:00+00:00
1757957340000,17.65,17.6699,17.65,8,17.6676,408,17.662892,2025-09-15 17:29:00+00:00
1757957400000,17.65,17.65,17.6418,9,17.6418,418,17.6459,2025-09-15 17:30:00+00:00
1757957520000,17.7101,17.75,17.7101,7,17.75,1513,17.715102,2025-09-15 17:32:00+00:00
1757957580000,17.7528,17.7528,17.7528,5,17.7528,637,17.7528,2025-09-15 17:33:00+00:00
1757957640000,17.73,17.73,17.727,7,17.727,526,17.728714,2025-09-15 17:34:00+00:00
1757957700000,17.7,17.75,17.7,10,17.75,1262,17.741667,2025-09-15 17:35:00+00:00
1757957760000,17.75,17.75,17.75,5,17.75,476,17.75,2025-09-15 17:36:00+00:00
1757957940000,17.85,17.85,17.85,6,17.85,5066,17.85,2025-09-15 17:39:00+00:00
1757958000000,17.8,17.8,17.8,10,17.8,506,17.8,2025-09-15 17:40:00+00:00
1757958180000,17.84,17.84,17.84,9,17.84,527,17.84,2025-09-15 17:43:00+00:00
1757958240000,17.82,17.84,17.8,10,17.84,1516,17.813584,2025-09-15 17:44:00+00:00
1757958300000,17.77,17.77,17.77,2,17.77,103,17.77,2025-09-15 17:45:00+00:00
1757958360000,17.75,17.75,17.75,4,17.75,451,17.75,2025-09-15 17:46:00+00:00
1757958420000,17.78,17.78,17.7728,4,17.7728,701,17.774857,2025-09-15 17:47:00+00:00
1757958480000,17.7987,17.7987,17.7481,3,17.7481,781,17.782114,2025-09-15 17:48:00+00:00
1757958540000,17.7804,17.7804,17.7804,2,17.7804,510,17.7804,2025-09-15 17:49:00+00:00
