timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757949480000,68.025,68.03,68.01,29,68.02,2457,68.026577,2025-09-15 15:18:00+00:00
1757949540000,68.06,68.06,68.06,15,68.06,685,68.06,2025-09-15 15:19:00+00:00
1757949600000,68.06,68.09,68.06,12,68.0725,742,68.066786,2025-09-15 15:20:00+00:00
1757949660000,68.06,68.06,68.06,11,68.06,873,68.06,2025-09-15 15:21:00+00:00
1757949720000,68.01,68.105,68.01,20,68.06,1882,68.048333,2025-09-15 15:22:00+00:00
1757949780000,68.01,68.09,68.01,175,68.06,10862,68.050958,2025-09-15 15:23:00+00:00
1757949840000,68.11,68.11,68.01,79,68.04,4373,68.095562,2025-09-15 15:24:00+00:00
1757949900000,68.08,68.09,68.08,9,68.09,256,68.085,2025-09-15 15:25:00+00:00
1757950020000,68.06,68.08,68.01,83,68.07,4795,68.048442,2025-09-15 15:27:00+00:00
1757950080000,68.01,68.091,68.01,38,68.091,2829,68.034877,2025-09-15 15:28:00+00:00
1757950140000,67.975,67.975,67.94,11,67.94,579,67.968,2025-09-15 15:29:00+00:00
1757950200000,67.86,68.03,67.86,74,68.01,3020,67.964895,2025-09-15 15:30:00+00:00
1757950260000,67.68,67.79,67.68,19,67.79,1608,67.747651,2025-09-15 15:31:00+00:00
1757950320000,67.665,67.665,67.665,8,67.665,137,67.665,2025-09-15 15:32:00+00:00
1757950440000,67.73,67.73,67.73,13,67.73,220,67.73,2025-09-15 15:34:00+00:00
1757950500000,67.56,67.68,67.5,172,67.68,14853,67.623854,2025-09-15 15:35:00+00:00
1757950560000,67.56,67.56,67.5,10,67.5,518,67.545,2025-09-15 15:36:00+00:00
1757950620000,67.38,67.55,67.38,29,67.55,1638,67.492258,2025-09-15 15:37:00+00:00
1757950680000,67.445,67.4775,67.445,18,67.4775,573,67.455833,2025-09-15 15:38:00+00:00
1757950740000,67.54,67.59,67.38,107,67.38,5108,67.511565,2025-09-15 15:39:00+00:00
