timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758119220000,4.395,4.405,4.39,23,4.405,18095,4.394916,2025-09-17 14:27:00+00:00
1758119280000,4.395,4.4,4.395,8,4.4,1199,4.399066,2025-09-17 14:28:00+00:00
1758119340000,4.395,4.395,4.39,17,4.3944,1690,4.394298,2025-09-17 14:29:00+00:00
1758119400000,4.385,4.3901,4.3803,17,4.3901,5670,4.385454,2025-09-17 14:30:00+00:00
1758119460000,4.385,4.39,4.38,6,4.38,3635,4.387234,2025-09-17 14:31:00+00:00
1758119520000,4.405,4.405,4.39,27,4.39,11748,4.398296,2025-09-17 14:32:00+00:00
1758119580000,4.395,4.4,4.38,53,4.4,47484,4.383152,2025-09-17 14:33:00+00:00
1758119700000,4.3863,4.39,4.38,17,4.39,4663,4.386585,2025-09-17 14:35:00+00:00
1758119760000,4.36,4.386,4.36,52,4.386,27233,4.378208,2025-09-17 14:36:00+00:00
1758119820000,4.365,4.3699,4.365,10,4.365,1096,4.3671,2025-09-17 14:37:00+00:00
1758119880000,4.36,4.3659,4.35,25,4.3659,8035,4.355765,2025-09-17 14:38:00+00:00
1758119940000,4.37,4.37,4.37,12,4.37,1330,4.37,2025-09-17 14:39:00+00:00
1758120000000,4.3801,4.3801,4.37,19,4.3765,3162,4.375146,2025-09-17 14:40:00+00:00
1758120060000,4.38,4.4,4.38,32,4.4,10081,4.394618,2025-09-17 14:41:00+00:00
1758120120000,4.385,4.385,4.38,5,4.38,5907,4.384914,2025-09-17 14:42:00+00:00
1758120180000,4.38,4.38,4.38,4,4.38,230,4.38,2025-09-17 14:43:00+00:00
1758120240000,4.38,4.3903,4.38,17,4.3903,27569,4.389784,2025-09-17 14:44:00+00:00
1758120300000,4.39,4.39,4.39,18,4.39,1808,4.39,2025-09-17 14:45:00+00:00
1758120360000,4.38,4.39,4.38,17,4.39,2215,4.389048,2025-09-17 14:46:00+00:00
1758120420000,4.4001,4.4001,4.38,61,4.385,27643,4.383796,2025-09-17 14:47:00+00:00
1758120480000,4.39,4.4001,4.39,16,4.4001,2900,4.398775,2025-09-17 14:48:00+00:00
1758120540000,4.395,4.395,4.395,9,4.395,597,4.395,2025-09-17 14:49:00+00:00
1758120600000,4.3901,4.3955,4.3901,8,4.3955,863,4.3947,2025-09-17 14:50:00+00:00
1758120660000,4.4,4.4014,4.4,24,4.4,3556,4.400182,2025-09-17 14:51:00+00:00
1758120720000,4.3974,4.3974,4.395,5,4.395,501,4.395706,2025-09-17 14:52:00+00:00
1758120780000,4.395,4.395,4.395,4,4.395,155,4.395,2025-09-17 14:53:00+00:00
1758120840000,4.4,4.41,4.4,41,4.4,8130,4.400352,2025-09-17 14:54:00+00:00
1758120900000,4.405,4.405,4.405,4,4.405,207,4.405,2025-09-17 14:55:00+00:00
1758120960000,4.42,4.425,4.41,78,4.41,14515,4.418262,2025-09-17 14:56:00+00:00
1758121020000,4.42,4.42,4.415,10,4.415,6239,4.415934,2025-09-17 14:57:00+00:00
