timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,6.55,6.58,6.47,63,6.58,25099,6.564721,2025-09-15 13:30:00+00:00
1757943060000,6.475,6.5112,6.4505,11,6.5112,9063,6.466918,2025-09-15 13:31:00+00:00
1757943120000,6.49,6.49,6.45,19,6.4682,5512,6.476864,2025-09-15 13:32:00+00:00
1757943180000,6.47,6.48,6.4201,31,6.4509,7945,6.466216,2025-09-15 13:33:00+00:00
1757943300000,6.46,6.46,6.44,10,6.44,2352,6.44534,2025-09-15 13:35:00+00:00
1757943360000,6.46,6.46,6.46,5,6.46,175,6.46,2025-09-15 13:36:00+00:00
1757943480000,6.4859,6.4859,6.4859,2,6.4859,910,6.4859,2025-09-15 13:38:00+00:00
1757943540000,6.527,6.5369,6.47,19,6.4903,24103,6.497349,2025-09-15 13:39:00+00:00
1757943600000,6.54,6.54,6.54,8,6.54,1402,6.54,2025-09-15 13:40:00+00:00
1757943660000,6.56,6.56,6.51,4,6.51,1160,6.514348,2025-09-15 13:41:00+00:00
1757943720000,6.6415,6.6415,6.56,17,6.56,3846,6.586125,2025-09-15 13:42:00+00:00
1757943780000,6.68,6.68,6.65,54,6.66,12625,6.660523,2025-09-15 13:43:00+00:00
1757943840000,6.6348,6.6676,6.6348,11,6.6676,5311,6.640089,2025-09-15 13:44:00+00:00
1757943900000,6.74,6.74,6.645,22,6.645,6455,6.703659,2025-09-15 13:45:00+00:00
1757943960000,6.7,6.75,6.7,20,6.75,8061,6.740641,2025-09-15 13:46:00+00:00
1757944020000,6.6856,6.69,6.6856,10,6.69,2329,6.688077,2025-09-15 13:47:00+00:00
1757944080000,6.6925,6.6925,6.6691,6,6.6691,5873,6.670204,2025-09-15 13:48:00+00:00
1757944260000,6.6768,6.6768,6.6768,1,6.6768,1500,6.6768,2025-09-15 13:51:00+00:00
1757944320000,6.7427,6.76,6.7,10,6.7,1887,6.72252,2025-09-15 13:52:00+00:00
1757944380000,6.7308,6.77,6.715,15,6.74,1335,6.753983,2025-09-15 13:53:00+00:00
1757944440000,6.7661,6.795,6.75,12,6.76,2290,6.765524,2025-09-15 13:54:00+00:00
1757944500000,6.7657,6.79,6.76,7,6.7875,2129,6.784507,2025-09-15 13:55:00+00:00
1757944560000,6.6615,6.72,6.66,91,6.72,39298,6.678946,2025-09-15 13:56:00+00:00
1757944680000,6.77,6.77,6.6801,7,6.715,3425,6.735315,2025-09-15 13:58:00+00:00
1757944740000,6.77,6.77,6.77,3,6.77,517,6.77,2025-09-15 13:59:00+00:00
1757944800000,6.7676,6.7676,6.7676,4,6.7676,405,6.7676,2025-09-15 14:00:00+00:00
1757944860000,6.7005,6.7202,6.7005,2,6.7202,986,6.705215,2025-09-15 14:01:00+00:00
1757944920000,6.67,6.72,6.66,17,6.72,2502,6.68251,2025-09-15 14:02:00+00:00
1757944980000,6.63,6.64,6.61,7,6.64,1874,6.616947,2025-09-15 14:03:00+00:00
1757945040000,6.625,6.625,6.6,6,6.6,1681,6.623407,2025-09-15 14:04:00+00:00
1757945100000,6.59,6.59,6.59,2,6.59,310,6.59,2025-09-15 14:05:00+00:00
1757945160000,6.6052,6.6052,6.6052,2,6.6052,2332,6.6052,2025-09-15 14:06:00+00:00
1757945220000,6.58,6.625,6.58,26,6.625,7119,6.592313,2025-09-15 14:07:00+00:00
1757945280000,6.58,6.58,6.58,4,6.58,501,6.58,2025-09-15 14:08:00+00:00
1757945340000,6.5552,6.5554,6.5552,3,6.5554,2053,6.555303,2025-09-15 14:09:00+00:00
1757945400000,6.54,6.5544,6.4908,28,6.5544,10969,6.53055,2025-09-15 14:10:00+00:00
1757945460000,6.48,6.5083,6.48,11,6.5083,9546,6.495116,2025-09-15 14:11:00+00:00
1757945520000,6.48,6.48,6.47,6,6.47,6013,6.475,2025-09-15 14:12:00+00:00
1757945640000,6.5,6.51,6.49,18,6.49,12135,6.499332,2025-09-15 14:14:00+00:00
1757945700000,6.54,6.54,6.54,2,6.54,177,6.54,2025-09-15 14:15:00+00:00
1757945880000,6.53,6.555,6.53,5,6.555,1414,6.548727,2025-09-15 14:18:00+00:00
1757946060000,6.5,6.5,6.49,6,6.49,1175,6.499091,2025-09-15 14:21:00+00:00
1757946120000,6.5,6.5,6.5,2,6.5,941,6.5,2025-09-15 14:22:00+00:00
1757946180000,6.53,6.53,6.53,3,6.53,606,6.53,2025-09-15 14:23:00+00:00
1757946300000,6.46,6.46,6.46,4,6.46,1008,6.46,2025-09-15 14:25:00+00:00
1757946360000,6.46,6.46,6.45,11,6.45,9835,6.450401,2025-09-15 14:26:00+00:00
1757946420000,6.47,6.47,6.47,2,6.47,200,6.47,2025-09-15 14:27:00+00:00
1757946480000,6.5292,6.5292,6.4801,4,6.4801,1275,6.489118,2025-09-15 14:28:00+00:00
1757946540000,6.49,6.49,6.49,2,6.49,204,6.49,2025-09-15 14:29:00+00:00
1757946600000,6.49,6.49,6.45,4,6.45,401,6.48,2025-09-15 14:30:00+00:00
1757946660000,6.475,6.5,6.4575,19,6.49,5514,6.483984,2025-09-15 14:31:00+00:00
1757946720000,6.42,6.44,6.42,9,6.44,2120,6.439048,2025-09-15 14:32:00+00:00
1757946780000,6.43,6.43,6.43,2,6.43,1019,6.43,2025-09-15 14:33:00+00:00
1757946840000,6.4,6.4229,6.4,17,6.4229,10961,6.420593,2025-09-15 14:34:00+00:00
1757946900000,6.405,6.405,6.4,20,6.4,10039,6.4001,2025-09-15 14:35:00+00:00
1757946960000,6.4052,6.4369,6.4052,9,6.41,3081,6.409912,2025-09-15 14:36:00+00:00
1757947020000,6.39,6.4307,6.39,12,6.415,5936,6.395634,2025-09-15 14:37:00+00:00
1757947080000,6.4,6.4,6.3802,4,6.3802,2380,6.391885,2025-09-15 14:38:00+00:00
1757947140000,6.39,6.39,6.39,4,6.39,695,6.39,2025-09-15 14:39:00+00:00
1757947200000,6.4,6.4,6.4,5,6.4,226,6.4,2025-09-15 14:40:00+00:00
1757947260000,6.38,6.38,6.37,15,6.37,3292,6.371296,2025-09-15 14:41:00+00:00
1757947380000,6.38,6.39,6.38,11,6.38,1267,6.384167,2025-09-15 14:43:00+00:00
1757947440000,6.42,6.42,6.395,8,6.395,1758,6.405058,2025-09-15 14:44:00+00:00
1757947500000,6.47,6.47,6.47,2,6.47,2020,6.47,2025-09-15 14:45:00+00:00
1757947560000,6.4,6.4,6.4,6,6.4,160,6.4,2025-09-15 14:46:00+00:00
1757947800000,6.3781,6.4031,6.35,14,6.4031,7374,6.361838,2025-09-15 14:50:00+00:00
1757947860000,6.4,6.41,6.4,11,6.41,9495,6.401948,2025-09-15 14:51:00+00:00
1757948040000,6.3987,6.4397,6.3987,9,6.4397,1662,6.402075,2025-09-15 14:54:00+00:00
1757948100000,6.4,6.4,6.4,6,6.4,2404,6.4,2025-09-15 14:55:00+00:00
1757948160000,6.38,6.38,6.38,1,6.38,500,6.38,2025-09-15 14:56:00+00:00
1757948220000,6.3801,6.3842,6.3801,6,6.3842,720,6.38215,2025-09-15 14:57:00+00:00
1757948280000,6.3989,6.3989,6.38,5,6.389,4401,6.385384,2025-09-15 14:58:00+00:00
1757948400000,6.35,6.35,6.35,2,6.35,300,6.35,2025-09-15 15:00:00+00:00
1757948460000,6.38,6.39,6.38,8,6.38,641,6.383517,2025-09-15 15:01:00+00:00
1757948580000,6.39,6.39,6.39,3,6.39,479,6.39,2025-09-15 15:03:00+00:00
1757948640000,6.405,6.405,6.405,1,6.405,1000,6.405,2025-09-15 15:04:00+00:00
1757948820000,6.39,6.39,6.39,3,6.39,719,6.39,2025-09-15 15:07:00+00:00
1757949060000,6.3777,6.3777,6.3777,4,6.3777,1852,6.3777,2025-09-15 15:11:00+00:00
