timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,15.49,15.94,15.48,12,15.48,1621,15.761179,2025-09-15 13:30:00+00:00
1757943180000,15.24,15.43,15.24,17,15.41,3245,15.398696,2025-09-15 13:33:00+00:00
1757943240000,15.16,15.25,15.09,34,15.22,10380,15.162569,2025-09-15 13:34:00+00:00
1757943300000,15.21,15.22,15.21,15,15.22,952,15.218333,2025-09-15 13:35:00+00:00
1757943360000,15.3497,15.3497,15.1,38,15.1,2201,15.233586,2025-09-15 13:36:00+00:00
1757943780000,15.0,15.23,15.0,32,15.202,3810,15.076269,2025-09-15 13:43:00+00:00
1757943900000,15.15,15.15,15.15,7,15.15,1699,15.15,2025-09-15 13:45:00+00:00
1757944020000,15.0,15.0203,15.0,20,15.01,2712,15.003396,2025-09-15 13:47:00+00:00
1757944140000,15.0,15.0,14.99,15,15.0,1764,14.999363,2025-09-15 13:49:00+00:00
1757944980000,14.93,14.93,14.93,10,14.93,336,14.93,2025-09-15 14:03:00+00:00
1757945100000,15.035,15.06,14.91,20,15.06,858,14.969917,2025-09-15 14:05:00+00:00
1757945340000,14.94,14.945,14.91,27,14.94,884,14.933691,2025-09-15 14:09:00+00:00
1757945580000,14.8,14.81,14.77,92,14.8,12230,14.796307,2025-09-15 14:13:00+00:00
1757945640000,14.81,14.81,14.8,19,14.8,641,14.8075,2025-09-15 14:14:00+00:00
1757945760000,14.774,14.86,14.7251,6,14.86,1455,14.755538,2025-09-15 14:16:00+00:00
1757946120000,14.86,14.86,14.86,6,14.86,244,14.86,2025-09-15 14:22:00+00:00
1757946720000,14.8,14.8,14.8,6,14.8,1512,14.8,2025-09-15 14:32:00+00:00
1757946780000,14.755,14.895,14.755,80,14.8,4211,14.81641,2025-09-15 14:33:00+00:00
1757946960000,14.91,14.91,14.88,16,14.88,861,14.899709,2025-09-15 14:36:00+00:00
1757947140000,14.82,14.86,14.82,16,14.85,1646,14.843174,2025-09-15 14:39:00+00:00
1757947680000,14.6805,14.6805,14.6805,11,14.6805,729,14.6805,2025-09-15 14:48:00+00:00
1757947920000,14.765,14.765,14.76,29,14.76,652,14.763016,2025-09-15 14:52:00+00:00
1757947980000,14.77,14.77,14.77,1,14.77,124,14.77,2025-09-15 14:53:00+00:00
1757948220000,14.77,14.77,14.77,2,14.77,102,14.77,2025-09-15 14:57:00+00:00
1757948460000,14.755,14.755,14.755,8,14.755,1071,14.755,2025-09-15 15:01:00+00:00
1757948520000,14.82,14.82,14.82,3,14.82,154,14.82,2025-09-15 15:02:00+00:00
1757948580000,14.905,14.905,14.905,11,14.905,542,14.905,2025-09-15 15:03:00+00:00
1757948700000,14.85,14.85,14.78,34,14.83,5828,14.802093,2025-09-15 15:05:00+00:00
1757948760000,14.8,14.89,14.8,15,14.89,4218,14.802488,2025-09-15 15:06:00+00:00
1757948820000,14.75,14.8,14.75,35,14.8,4007,14.765829,2025-09-15 15:07:00+00:00
1757948880000,14.775,14.8,14.75,13,14.75,1934,14.754939,2025-09-15 15:08:00+00:00
1757948940000,14.83,14.83,14.825,8,14.825,487,14.826667,2025-09-15 15:09:00+00:00
1757949240000,14.825,14.825,14.825,12,14.825,149,14.825,2025-09-15 15:14:00+00:00
1757949300000,14.885,14.885,14.885,8,14.885,120,14.885,2025-09-15 15:15:00+00:00
1757950200000,14.855,14.855,14.855,5,14.855,141,14.855,2025-09-15 15:30:00+00:00
1757950260000,14.885,14.885,14.885,2,14.885,103,14.885,2025-09-15 15:31:00+00:00
1757950500000,14.88,14.88,14.88,10,14.88,1004,14.88,2025-09-15 15:35:00+00:00
1757951100000,14.89,14.89,14.883,5,14.89,761,14.885065,2025-09-15 15:45:00+00:00
1757951160000,14.89,14.89,14.89,2,14.89,103,14.89,2025-09-15 15:46:00+00:00
1757951400000,14.89,14.89,14.89,3,14.89,104,14.89,2025-09-15 15:50:00+00:00
1757951700000,14.89,14.89,14.89,14,14.89,473,14.89,2025-09-15 15:55:00+00:00
1757951760000,14.97,14.97,14.97,3,14.97,103,14.97,2025-09-15 15:56:00+00:00
1757951940000,15.015,15.05,14.97,35,14.97,1624,14.992105,2025-09-15 15:59:00+00:00
1757952060000,15.045,15.045,15.045,19,15.045,270,15.045,2025-09-15 16:01:00+00:00
1757952540000,15.045,15.045,15.045,4,15.045,105,15.045,2025-09-15 16:09:00+00:00
1757953140000,15.09,15.09,15.09,7,15.09,124,15.09,2025-09-15 16:19:00+00:00
