timeStamp,close,high,low,trade_count,open,volume,vwap,date
1747056600000,1.01,1.01,1.0,10,1.0,2802,1.003702,2025-05-12 13:30:00+00:00
1747057080000,1.0,1.0,1.0,2,1.0,300,1.0,2025-05-12 13:38:00+00:00
1747058040000,1.01,1.01,1.01,5,1.01,5774,1.01,2025-05-12 13:54:00+00:00
1747058100000,1.0,1.0,1.0,3,1.0,3200,1.0,2025-05-12 13:55:00+00:00
1747058880000,0.99,0.99,0.99,1,0.99,500,0.99,2025-05-12 14:08:00+00:00
1747059600000,0.9899,0.99,0.9899,2,0.99,2000,0.98995,2025-05-12 14:20:00+00:00
1747060140000,0.98,0.98,0.98,1,0.98,135,0.98,2025-05-12 14:29:00+00:00
1747060320000,0.97,0.99,0.97,4,0.99,3964,0.986054,2025-05-12 14:32:00+00:00
1747061340000,0.9899,0.9899,0.9899,1,0.9899,500,0.9899,2025-05-12 14:49:00+00:00
1747063200000,0.9899,0.99,0.9897,5,0.9897,2100,0.989923,2025-05-12 15:20:00+00:00
1747064880000,0.99,0.99,0.9899,3,0.9899,4996,0.989956,2025-05-12 15:48:00+00:00
1747065120000,0.99,0.99,0.99,1,0.99,600,0.99,2025-05-12 15:52:00+00:00
1747065480000,0.9801,0.9801,0.9801,1,0.9801,300,0.9801,2025-05-12 15:58:00+00:00
1747065600000,0.98,0.98,0.98,1,0.98,100,0.98,2025-05-12 16:00:00+00:00
1747069320000,0.98,0.98,0.98,1,0.98,100,0.98,2025-05-12 17:02:00+00:00
1747070100000,0.9799,0.9799,0.9799,1,0.9799,100,0.9799,2025-05-12 17:15:00+00:00
1747077960000,0.97,0.97,0.97,2,0.97,1000,0.97,2025-05-12 19:26:00+00:00
1747079100000,0.97,0.97,0.97,3,0.97,117,0.97,2025-05-12 19:45:00+00:00
1747079760000,0.97,0.97,0.97,1,0.97,100,0.97,2025-05-12 19:56:00+00:00
1747079940000,0.96,0.96,0.96,3,0.96,300,0.96,2025-05-12 19:59:00+00:00
1747143000000,1.03,1.03,1.03,2,1.03,1020,1.03,2025-05-13 13:30:00+00:00
1747150020000,1.005,1.025,1.005,6,1.01,1000,1.015,2025-05-13 15:27:00+00:00
1747150260000,1.0,1.0,1.0,3,1.0,2554,1.0,2025-05-13 15:31:00+00:00
1747150680000,0.9999,0.9999,0.9999,1,0.9999,100,0.9999,2025-05-13 15:38:00+00:00
1747155120000,0.9702,0.9702,0.9702,2,0.9702,244,0.9702,2025-05-13 16:52:00+00:00
1747155180000,0.9702,0.9702,0.9702,1,0.9702,156,0.9702,2025-05-13 16:53:00+00:00
1747229640000,1.0313,1.0313,1.0313,1,1.0313,500,1.0313,2025-05-14 13:34:00+00:00
1747232580000,0.9599,0.9599,0.9599,1,0.9599,1500,0.9599,2025-05-14 14:23:00+00:00
1747233000000,0.96,0.96,0.96,1,0.96,200,0.96,2025-05-14 14:30:00+00:00
1747236660000,0.925,0.942,0.925,22,0.942,4201,0.931271,2025-05-14 15:31:00+00:00
1747237800000,0.925,0.925,0.925,1,0.925,100,0.925,2025-05-14 15:50:00+00:00
1747241640000,0.92,0.92,0.92,1,0.92,100,0.92,2025-05-14 16:54:00+00:00
1747315800000,0.9462,0.9462,0.92,3,0.92,1502,0.924381,2025-05-15 13:30:00+00:00
1747317120000,0.9,0.92,0.9,6,0.92,632,0.910226,2025-05-15 13:52:00+00:00
1747317180000,0.9,0.9,0.9,2,0.9,200,0.9,2025-05-15 13:53:00+00:00
1747321320000,0.9198,0.9199,0.9101,14,0.9199,3500,0.916124,2025-05-15 15:02:00+00:00
1747324200000,0.9199,0.9199,0.9199,1,0.9199,100,0.9199,2025-05-15 15:50:00+00:00
1747333500000,0.92,0.92,0.9166,11,0.9166,3003,0.919677,2025-05-15 18:25:00+00:00
1747333560000,1.03,1.0499,0.9199,35,0.92,9396,0.962172,2025-05-15 18:26:00+00:00
1747333620000,1.04,1.04,1.03,24,1.04,3964,1.038287,2025-05-15 18:27:00+00:00
1747334340000,1.02,1.02,1.02,2,1.02,109,1.02,2025-05-15 18:39:00+00:00
1747334400000,1.04,1.04,1.04,1,1.04,3000,1.04,2025-05-15 18:40:00+00:00
1747336560000,1.03,1.03,1.03,1,1.03,3000,1.03,2025-05-15 19:16:00+00:00
1747337100000,1.02,1.02,1.02,2,1.02,2050,1.02,2025-05-15 19:25:00+00:00
1747338720000,0.9625,0.997,0.945,11,0.945,1500,0.968167,2025-05-15 19:52:00+00:00
1747402200000,0.9672,0.9672,0.9672,1,0.9672,1000,0.9672,2025-05-16 13:30:00+00:00
1747402260000,0.9155,0.9155,0.9155,1,0.9155,1020,0.9155,2025-05-16 13:31:00+00:00
1747403220000,1.06,1.06,1.06,1,1.06,100,1.06,2025-05-16 13:47:00+00:00
1747403580000,0.951,0.951,0.951,3,0.951,107,0.951,2025-05-16 13:53:00+00:00
1747404900000,0.951,0.951,0.951,1,0.951,100,0.951,2025-05-16 14:15:00+00:00
1747406220000,0.981,0.981,0.927,3,0.927,2500,0.9486,2025-05-16 14:37:00+00:00
1747412280000,1.04,1.04,1.04,1,1.04,100,1.04,2025-05-16 16:18:00+00:00
1747412820000,1.0356,1.0356,1.0356,2,1.0356,600,1.0356,2025-05-16 16:27:00+00:00
1747413240000,1.0394,1.0394,1.0394,1,1.0394,100,1.0394,2025-05-16 16:34:00+00:00
1747415100000,0.9816,0.9816,0.9816,1,0.9816,100,0.9816,2025-05-16 17:05:00+00:00
1747424940000,0.981,0.983,0.981,2,0.983,2000,0.982,2025-05-16 19:49:00+00:00
1747425480000,0.9811,0.9811,0.9811,1,0.9811,820,0.9811,2025-05-16 19:58:00+00:00
1747661400000,0.98,0.98,0.98,1,0.98,100,0.98,2025-05-19 13:30:00+00:00
1747662540000,1.02,1.02,1.02,4,1.02,1646,1.02,2025-05-19 13:49:00+00:00
1747666200000,1.01,1.01,1.01,2,1.01,200,1.01,2025-05-19 14:50:00+00:00
1747666800000,1.04,1.04,1.04,2,1.04,101,1.04,2025-05-19 15:00:00+00:00
1747666980000,1.05,1.05,1.04,8,1.04,1289,1.049003,2025-05-19 15:03:00+00:00
1747681140000,1.03,1.03,1.03,1,1.03,230,1.03,2025-05-19 18:59:00+00:00
1747684740000,1.01,1.02,1.01,23,1.02,561,1.01295,2025-05-19 19:59:00+00:00
1747750560000,0.9905,0.9905,0.9905,1,0.9905,150,0.9905,2025-05-20 14:16:00+00:00
1747750800000,0.994,0.994,0.994,1,0.994,100,0.994,2025-05-20 14:20:00+00:00
1747752360000,1.0,1.0,1.0,2,1.0,158,1.0,2025-05-20 14:46:00+00:00
1747760820000,0.9999,0.9999,0.9999,1,0.9999,100,0.9999,2025-05-20 17:07:00+00:00
1747762020000,1.0,1.0,1.0,1,1.0,500,1.0,2025-05-20 17:27:00+00:00
1747762200000,1.0,1.0,1.0,1,1.0,500,1.0,2025-05-20 17:30:00+00:00
1747770900000,0.989,0.989,0.988,7,0.988,1420,0.988303,2025-05-20 19:55:00+00:00
1747771020000,0.9842,0.9842,0.9842,1,0.9842,100,0.9842,2025-05-20 19:57:00+00:00
1747771140000,0.9801,0.9801,0.9801,2,0.9801,200,0.9801,2025-05-20 19:59:00+00:00
1747834200000,0.9801,0.9801,0.9801,1,0.9801,303,0.9801,2025-05-21 13:30:00+00:00
1747834860000,0.99,0.99,0.99,1,0.99,100,0.99,2025-05-21 13:41:00+00:00
1747835640000,0.9801,0.9801,0.9801,2,0.9801,609,0.9801,2025-05-21 13:54:00+00:00
1747836120000,0.9801,0.9801,0.9801,4,0.9801,1891,0.9801,2025-05-21 14:02:00+00:00
1747836180000,0.9431,0.9431,0.9431,1,0.9431,100,0.9431,2025-05-21 14:03:00+00:00
1747843560000,0.9899,0.99,0.9899,6,0.99,3090,0.98996,2025-05-21 16:06:00+00:00
1747846080000,0.9402,0.9402,0.9402,1,0.9402,3501,0.9402,2025-05-21 16:48:00+00:00
1747846200000,0.9414,0.9414,0.9414,2,0.9414,200,0.9414,2025-05-21 16:50:00+00:00
1747936260000,1.0,1.0,1.0,2,1.0,1021,1.0,2025-05-22 17:51:00+00:00
1747936320000,1.001,1.001,1.0,5,1.001,2000,1.0009,2025-05-22 17:52:00+00:00
1747938420000,1.04,1.05,1.02,13,1.02,6100,1.047018,2025-05-22 18:27:00+00:00
1747938480000,1.08,1.08,1.035,16,1.035,5896,1.065613,2025-05-22 18:28:00+00:00
1747938540000,1.08,1.08,1.075,4,1.075,951,1.079474,2025-05-22 18:29:00+00:00
1747939080000,1.07,1.07,1.07,2,1.07,102,1.07,2025-05-22 18:38:00+00:00
1747939200000,1.07,1.07,1.07,3,1.07,3255,1.07,2025-05-22 18:40:00+00:00
1748016240000,1.07,1.07,1.07,1,1.07,100,1.07,2025-05-23 16:04:00+00:00
1748026920000,1.0,1.0,1.0,1,1.0,200,1.0,2025-05-23 19:02:00+00:00
1748352600000,1.0,1.0,1.0,1,1.0,3044,1.0,2025-05-27 13:30:00+00:00
1748367780000,1.0102,1.02,1.0102,8,1.02,3000,1.014447,2025-05-27 17:43:00+00:00
1748367840000,1.0,1.02,1.0,11,1.02,4189,1.011907,2025-05-27 17:44:00+00:00
1748368200000,0.9999,1.0,0.9999,7,1.0,501,0.999975,2025-05-27 17:50:00+00:00
1748374980000,1.01,1.01,1.01,1,1.01,100,1.01,2025-05-27 19:43:00+00:00
1748375100000,1.01,1.01,1.01,1,1.01,455,1.01,2025-05-27 19:45:00+00:00
1748440140000,0.9393,0.9393,0.9393,1,0.9393,300,0.9393,2025-05-28 13:49:00+00:00
1748440380000,0.9393,0.9393,0.9393,2,0.9393,875,0.9393,2025-05-28 13:53:00+00:00
1748458380000,0.981,0.981,0.981,1,0.981,200,0.981,2025-05-28 18:53:00+00:00
1748461920000,0.981,0.981,0.981,2,0.981,200,0.981,2025-05-28 19:52:00+00:00
1748462340000,0.981,0.981,0.981,3,0.981,634,0.981,2025-05-28 19:59:00+00:00
1748528460000,0.95,0.9501,0.95,3,0.9501,2000,0.950021,2025-05-29 14:21:00+00:00
1748529540000,0.9583,0.9583,0.9583,1,0.9583,600,0.9583,2025-05-29 14:39:00+00:00
1748529600000,0.95,0.95,0.95,5,0.95,800,0.95,2025-05-29 14:40:00+00:00
1748532300000,0.9501,0.9501,0.9501,2,0.9501,450,0.9501,2025-05-29 15:25:00+00:00
1748533260000,0.96,0.96,0.96,1,0.96,2000,0.96,2025-05-29 15:41:00+00:00
1748537340000,0.98,0.98,0.9799,8,0.9799,3000,0.979923,2025-05-29 16:49:00+00:00
1748537400000,0.98,0.98,0.98,6,0.98,4000,0.98,2025-05-29 16:50:00+00:00
1748548740000,0.95,0.95,0.95,2,0.95,200,0.95,2025-05-29 19:59:00+00:00
1748616120000,0.95,0.95,0.95,4,0.95,2000,0.95,2025-05-30 14:42:00+00:00
1748618460000,0.95,0.95,0.95,6,0.95,1892,0.95,2025-05-30 15:21:00+00:00
1748882880000,0.9999,0.9999,0.985,6,0.985,600,0.987483,2025-06-02 16:48:00+00:00
