timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,0.4042,0.4042,0.4042,6,0.4042,3303,0.4042,2025-09-02 13:30:00+00:00
1756820520000,0.3987,0.3992,0.3987,12,0.3992,1200,0.3991,2025-09-02 13:42:00+00:00
1756820580000,0.4,0.4049,0.4,4,0.4049,2805,0.404375,2025-09-02 13:43:00+00:00
1756820640000,0.4111,0.4111,0.4111,1,0.4111,800,0.4111,2025-09-02 13:44:00+00:00
1756821840000,0.3986,0.3995,0.3986,7,0.3995,2940,0.398638,2025-09-02 14:04:00+00:00
1756822080000,0.3956,0.4003,0.3956,38,0.3987,9530,0.398307,2025-09-02 14:08:00+00:00
1756822140000,0.3988,0.3988,0.3908,20,0.3943,23705,0.392345,2025-09-02 14:09:00+00:00
1756822200000,0.3988,0.3988,0.3988,1,0.3988,250,0.3988,2025-09-02 14:10:00+00:00
1756823340000,0.4059,0.4059,0.4059,1,0.4059,100,0.4059,2025-09-02 14:29:00+00:00
1756823580000,0.4001,0.4051,0.4001,6,0.4051,11000,0.401039,2025-09-02 14:33:00+00:00
1756823640000,0.401,0.401,0.4006,7,0.4006,531,0.400765,2025-09-02 14:34:00+00:00
1756824120000,0.4085,0.4085,0.4085,1,0.4085,240,0.4085,2025-09-02 14:42:00+00:00
1756824240000,0.4014,0.4014,0.4014,1,0.4014,100,0.4014,2025-09-02 14:44:00+00:00
1756824300000,0.4015,0.4015,0.4015,1,0.4015,240,0.4015,2025-09-02 14:45:00+00:00
1756824540000,0.4015,0.4015,0.4015,1,0.4015,200,0.4015,2025-09-02 14:49:00+00:00
1756824720000,0.406,0.4063,0.406,6,0.4063,320,0.40615,2025-09-02 14:52:00+00:00
1756825140000,0.4102,0.4102,0.4063,3,0.4063,854,0.407258,2025-09-02 14:59:00+00:00
1756825200000,0.4016,0.4064,0.4016,3,0.4064,521,0.404484,2025-09-02 15:00:00+00:00
1756825500000,0.4016,0.4016,0.4016,2,0.4016,8906,0.4016,2025-09-02 15:05:00+00:00
1756825620000,0.4076,0.4076,0.4076,2,0.4076,220,0.4076,2025-09-02 15:07:00+00:00
1756826040000,0.411,0.411,0.4099,2,0.4099,300,0.410633,2025-09-02 15:14:00+00:00
1756826700000,0.4042,0.4042,0.4042,1,0.4042,100,0.4042,2025-09-02 15:25:00+00:00
1756827420000,0.4015,0.4015,0.4015,1,0.4015,2000,0.4015,2025-09-02 15:37:00+00:00
1756827480000,0.4026,0.4038,0.4026,5,0.4038,900,0.403041,2025-09-02 15:38:00+00:00
1756829100000,0.4039,0.4039,0.4039,1,0.4039,765,0.4039,2025-09-02 16:05:00+00:00
1756829760000,0.4111,0.4111,0.4111,1,0.4111,100,0.4111,2025-09-02 16:16:00+00:00
1756830540000,0.4068,0.4068,0.4068,2,0.4068,230,0.4068,2025-09-02 16:29:00+00:00
1756834380000,0.4042,0.4042,0.4042,1,0.4042,500,0.4042,2025-09-02 17:33:00+00:00
