timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757963400000,2.705,2.705,2.705,14,2.705,763,2.705,2025-09-15 19:10:00+00:00
1757963460000,2.705,2.705,2.705,20,2.705,280,2.705,2025-09-15 19:11:00+00:00
1757963520000,2.705,2.705,2.705,11,2.705,655,2.705,2025-09-15 19:12:00+00:00
1757963580000,2.7065,2.7065,2.7,9,2.705,4811,2.70633,2025-09-15 19:13:00+00:00
1757963640000,2.7009,2.705,2.7009,3,2.705,2646,2.704155,2025-09-15 19:14:00+00:00
1757963760000,2.705,2.71,2.705,14,2.705,1694,2.705314,2025-09-15 19:16:00+00:00
1757963820000,2.7088,2.7088,2.705,5,2.705,2431,2.708139,2025-09-15 19:17:00+00:00
1757963880000,2.7,2.715,2.7,42,2.71,22436,2.704551,2025-09-15 19:18:00+00:00
1757963940000,2.7,2.7,2.7,2,2.7,213,2.7,2025-09-15 19:19:00+00:00
1757964000000,2.695,2.695,2.695,3,2.695,506,2.695,2025-09-15 19:20:00+00:00
1757964060000,2.695,2.7,2.69,21,2.7,1753,2.695,2025-09-15 19:21:00+00:00
1757964120000,2.695,2.695,2.69,13,2.695,1363,2.694091,2025-09-15 19:22:00+00:00
1757964180000,2.695,2.695,2.69,6,2.69,356,2.691667,2025-09-15 19:23:00+00:00
1757964240000,2.695,2.695,2.69,7,2.69,791,2.692841,2025-09-15 19:24:00+00:00
1757964300000,2.69,2.695,2.69,12,2.695,2200,2.692211,2025-09-15 19:25:00+00:00
1757964360000,2.69,2.69,2.69,19,2.69,1075,2.69,2025-09-15 19:26:00+00:00
1757964480000,2.68,2.685,2.68,19,2.685,2348,2.682512,2025-09-15 19:28:00+00:00
1757964540000,2.675,2.675,2.67,9,2.6709,618,2.671611,2025-09-15 19:29:00+00:00
1757964600000,2.675,2.675,2.67,26,2.671,694,2.672273,2025-09-15 19:30:00+00:00
1757964660000,2.675,2.675,2.67,13,2.672,1582,2.672923,2025-09-15 19:31:00+00:00
1757964720000,2.68,2.68,2.675,3,2.675,315,2.676721,2025-09-15 19:32:00+00:00
