timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756912560000,2.0501,2.0501,2.0501,5,2.0501,220,2.0501,2025-09-03 15:16:00+00:00
1756912620000,2.02,2.02,2.02,11,2.02,228,2.02,2025-09-03 15:17:00+00:00
1756912860000,2.0242,2.0242,2.0242,3,2.0242,109,2.0242,2025-09-03 15:21:00+00:00
1756912980000,2.02,2.02,2.02,25,2.02,831,2.02,2025-09-03 15:23:00+00:00
1756913040000,2.015,2.015,2.015,13,2.015,1789,2.015,2025-09-03 15:24:00+00:00
1756913160000,2.0,2.0,2.0,5,2.0,289,2.0,2025-09-03 15:26:00+00:00
1756913940000,2.02,2.02,2.02,2,2.02,443,2.02,2025-09-03 15:39:00+00:00
1756914000000,2.005,2.005,2.005,3,2.005,232,2.005,2025-09-03 15:40:00+00:00
1756914300000,2.005,2.005,2.005,2,2.005,780,2.005,2025-09-03 15:45:00+00:00
1756914600000,2.02,2.02,2.02,2,2.02,133,2.02,2025-09-03 15:50:00+00:00
1756914660000,2.02,2.02,2.02,24,2.02,829,2.02,2025-09-03 15:51:00+00:00
1756914780000,2.03,2.03,2.03,2,2.03,102,2.03,2025-09-03 15:53:00+00:00
1756914960000,2.03,2.03,2.03,6,2.03,130,2.03,2025-09-03 15:56:00+00:00
1756915140000,2.03,2.03,2.03,5,2.03,104,2.03,2025-09-03 15:59:00+00:00
1756915560000,2.025,2.025,2.025,1,2.025,100,2.025,2025-09-03 16:06:00+00:00
1756915620000,2.025,2.025,2.025,2,2.025,126,2.025,2025-09-03 16:07:00+00:00
1756915980000,2.02,2.025,2.01,29,2.02,2741,2.018135,2025-09-03 16:13:00+00:00
1756916580000,2.02,2.02,2.02,2,2.02,122,2.02,2025-09-03 16:23:00+00:00
1756916760000,2.02,2.02,2.015,7,2.015,561,2.0178,2025-09-03 16:26:00+00:00
1756917000000,2.0,2.0,2.0,25,2.0,1129,2.0,2025-09-03 16:30:00+00:00
1756917180000,1.9906,1.9906,1.9906,5,1.9906,1803,1.9906,2025-09-03 16:33:00+00:00
1756917480000,2.0269,2.0269,2.0269,3,2.0269,1122,2.0269,2025-09-03 16:38:00+00:00
1756917900000,2.0,2.01,2.0,6,2.01,639,2.008077,2025-09-03 16:45:00+00:00
1756918560000,2.01,2.01,2.01,2,2.01,558,2.01,2025-09-03 16:56:00+00:00
1756918620000,2.0007,2.0007,2.0007,2,2.0007,101,2.0007,2025-09-03 16:57:00+00:00
1756919820000,2.03,2.03,2.02,28,2.02,2583,2.020952,2025-09-03 17:17:00+00:00
1756921200000,2.0378,2.0378,2.0378,2,2.0378,552,2.0378,2025-09-03 17:40:00+00:00
1756921500000,2.025,2.025,2.025,4,2.025,109,2.025,2025-09-03 17:45:00+00:00
1756921740000,2.025,2.025,2.025,3,2.025,104,2.025,2025-09-03 17:49:00+00:00
1756921980000,2.025,2.025,2.025,7,2.025,292,2.025,2025-09-03 17:53:00+00:00
1756922340000,2.025,2.025,2.025,6,2.025,878,2.025,2025-09-03 17:59:00+00:00
1756922700000,2.02,2.02,2.01,5,2.01,234,2.015,2025-09-03 18:05:00+00:00
1756922940000,2.02,2.02,2.02,1,2.02,100,2.02,2025-09-03 18:09:00+00:00
1756923840000,2.01,2.01,2.01,5,2.01,560,2.01,2025-09-03 18:24:00+00:00
