timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757951100000,4.95,4.95,4.945,10,4.95,1646,4.94864,2025-09-15 15:45:00+00:00
1757951220000,4.94,4.94,4.94,8,4.94,528,4.94,2025-09-15 15:47:00+00:00
1757951280000,4.94,4.94,4.94,7,4.94,319,4.94,2025-09-15 15:48:00+00:00
1757951460000,4.9309,4.9309,4.9309,3,4.9309,204,4.9309,2025-09-15 15:51:00+00:00
1757951580000,4.94,4.94,4.94,8,4.94,545,4.94,2025-09-15 15:53:00+00:00
1757951700000,4.905,4.935,4.9,124,4.935,33554,4.914745,2025-09-15 15:55:00+00:00
1757951760000,4.905,4.905,4.9,7,4.9,870,4.904375,2025-09-15 15:56:00+00:00
1757951820000,4.9064,4.9064,4.9064,4,4.9064,1616,4.9064,2025-09-15 15:57:00+00:00
1757951880000,4.9,4.9038,4.9,13,4.9038,1570,4.900589,2025-09-15 15:58:00+00:00
1757951940000,4.8964,4.8964,4.8964,4,4.8964,1055,4.8964,2025-09-15 15:59:00+00:00
1757952000000,4.9299,4.9299,4.9,26,4.9,12260,4.92226,2025-09-15 16:00:00+00:00
1757952060000,4.925,4.93,4.925,11,4.93,1527,4.929154,2025-09-15 16:01:00+00:00
1757952120000,4.9201,4.9201,4.9201,10,4.9201,299,4.9201,2025-09-15 16:02:00+00:00
1757952240000,4.925,4.925,4.925,4,4.925,462,4.925,2025-09-15 16:04:00+00:00
1757952420000,4.93,4.93,4.92,75,4.9219,17036,4.92096,2025-09-15 16:07:00+00:00
1757952480000,4.93,4.935,4.93,5,4.935,576,4.9325,2025-09-15 16:08:00+00:00
1757952780000,4.95,4.95,4.94,20,4.94,2428,4.942235,2025-09-15 16:13:00+00:00
1757952900000,4.95,4.95,4.95,5,4.95,2600,4.95,2025-09-15 16:15:00+00:00
1757953020000,4.9411,4.9411,4.9411,2,4.9411,207,4.9411,2025-09-15 16:17:00+00:00
1757953080000,4.94,4.9455,4.94,10,4.9455,852,4.94349,2025-09-15 16:18:00+00:00
1757953140000,4.9437,4.9437,4.9437,3,4.9437,161,4.9437,2025-09-15 16:19:00+00:00
1757953200000,4.931,4.94,4.931,5,4.94,651,4.937005,2025-09-15 16:20:00+00:00
1757953320000,4.9309,4.9309,4.9309,4,4.9309,1011,4.9309,2025-09-15 16:22:00+00:00
