timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753709400000,1.27,1.27,1.27,6,1.27,1156,1.27,2025-07-28 13:30:00+00:00
1753711200000,1.27,1.27,1.27,1,1.27,432,1.27,2025-07-28 14:00:00+00:00
1753713000000,1.25,1.25,1.25,2,1.25,182,1.25,2025-07-28 14:30:00+00:00
1753713240000,1.25,1.25,1.25,1,1.25,200,1.25,2025-07-28 14:34:00+00:00
1753719780000,1.26,1.26,1.26,3,1.26,400,1.26,2025-07-28 16:23:00+00:00
1753719900000,1.27,1.27,1.27,1,1.27,668,1.27,2025-07-28 16:25:00+00:00
1753725420000,1.26,1.26,1.26,1,1.26,200,1.26,2025-07-28 17:57:00+00:00
1753725780000,1.2791,1.2791,1.2791,1,1.2791,120,1.2791,2025-07-28 18:03:00+00:00
1753732140000,1.255,1.255,1.255,1,1.255,157,1.255,2025-07-28 19:49:00+00:00
1753797960000,1.2,1.22,1.2,3,1.22,610,1.204148,2025-07-29 14:06:00+00:00
1753798800000,1.2163,1.2163,1.2163,3,1.2163,106,1.2163,2025-07-29 14:20:00+00:00
1753799700000,1.2699,1.2699,1.235,15,1.235,5000,1.266641,2025-07-29 14:35:00+00:00
1753799760000,1.33,1.35,1.2698,29,1.2698,20815,1.324967,2025-07-29 14:36:00+00:00
1753799820000,1.32,1.33,1.32,8,1.33,4523,1.329778,2025-07-29 14:37:00+00:00
1753799880000,1.23,1.32,1.23,10,1.32,2617,1.295548,2025-07-29 14:38:00+00:00
1753799940000,1.27,1.27,1.27,2,1.27,229,1.27,2025-07-29 14:39:00+00:00
1753800000000,1.27,1.27,1.27,1,1.27,300,1.27,2025-07-29 14:40:00+00:00
1753800180000,1.2707,1.32,1.2707,10,1.32,3696,1.305914,2025-07-29 14:43:00+00:00
1753800480000,1.325,1.325,1.3198,18,1.3198,4403,1.320272,2025-07-29 14:48:00+00:00
1753800600000,1.32,1.32,1.32,2,1.32,2593,1.32,2025-07-29 14:50:00+00:00
1753800660000,1.35,1.35,1.3299,8,1.33,6400,1.330281,2025-07-29 14:51:00+00:00
1753800720000,1.34,1.355,1.34,9,1.34,6347,1.340833,2025-07-29 14:52:00+00:00
1753800780000,1.34,1.34,1.34,1,1.34,1500,1.34,2025-07-29 14:53:00+00:00
1753800840000,1.3344,1.3344,1.3344,4,1.3344,240,1.3344,2025-07-29 14:54:00+00:00
1753800900000,1.34,1.34,1.34,3,1.34,10005,1.34,2025-07-29 14:55:00+00:00
1753800960000,1.35,1.35,1.3399,11,1.34,7957,1.342778,2025-07-29 14:56:00+00:00
1753801020000,1.35,1.35,1.34,6,1.35,600,1.345,2025-07-29 14:57:00+00:00
1753801080000,1.3448,1.36,1.3448,5,1.36,715,1.355057,2025-07-29 14:58:00+00:00
1753801320000,1.34,1.355,1.34,4,1.355,1000,1.35158,2025-07-29 15:02:00+00:00
1753801380000,1.34,1.34,1.34,4,1.34,4242,1.34,2025-07-29 15:03:00+00:00
1753801800000,1.345,1.345,1.3399,14,1.3399,5767,1.341296,2025-07-29 15:10:00+00:00
1753801980000,1.35,1.35,1.35,1,1.35,100,1.35,2025-07-29 15:13:00+00:00
1753802940000,1.335,1.335,1.335,1,1.335,100,1.335,2025-07-29 15:29:00+00:00
1753803000000,1.33,1.33,1.33,1,1.33,150,1.33,2025-07-29 15:30:00+00:00
1753803120000,1.34,1.35,1.34,6,1.35,2006,1.3433,2025-07-29 15:32:00+00:00
1753803180000,1.36,1.36,1.36,3,1.36,202,1.36,2025-07-29 15:33:00+00:00
1753803420000,1.38,1.38,1.36,24,1.36,5677,1.377369,2025-07-29 15:37:00+00:00
1753803540000,1.4197,1.4197,1.38,19,1.38,8994,1.391857,2025-07-29 15:39:00+00:00
1753803600000,1.44,1.45,1.3905,32,1.4199,19954,1.429156,2025-07-29 15:40:00+00:00
1753803660000,1.42,1.45,1.42,31,1.43,11797,1.436475,2025-07-29 15:41:00+00:00
1753803720000,1.42,1.42,1.42,3,1.42,141,1.42,2025-07-29 15:42:00+00:00
1753803840000,1.43,1.43,1.4031,28,1.4031,3053,1.415717,2025-07-29 15:44:00+00:00
1753803900000,1.4293,1.43,1.4003,16,1.42,2903,1.413732,2025-07-29 15:45:00+00:00
1753803960000,1.4,1.4016,1.4,3,1.4016,4858,1.400678,2025-07-29 15:46:00+00:00
1753804020000,1.4267,1.4267,1.426,2,1.426,3435,1.426129,2025-07-29 15:47:00+00:00
1753804080000,1.4104,1.45,1.4104,9,1.448,7649,1.444366,2025-07-29 15:48:00+00:00
1753804140000,1.415,1.4156,1.41,4,1.4132,7170,1.414572,2025-07-29 15:49:00+00:00
1753804200000,1.42,1.42,1.4,10,1.42,3769,1.413493,2025-07-29 15:50:00+00:00
1753804320000,1.405,1.405,1.405,1,1.405,156,1.405,2025-07-29 15:52:00+00:00
1753804380000,1.4013,1.42,1.4013,2,1.42,1887,1.41009,2025-07-29 15:53:00+00:00
1753804740000,1.42,1.42,1.42,2,1.42,562,1.42,2025-07-29 15:59:00+00:00
1753805100000,1.4,1.4014,1.4,9,1.4014,1781,1.40053,2025-07-29 16:05:00+00:00
1753805160000,1.4187,1.4187,1.4187,2,1.4187,125,1.4187,2025-07-29 16:06:00+00:00
1753805340000,1.4,1.4,1.4,8,1.4,5681,1.4,2025-07-29 16:09:00+00:00
1753805400000,1.4021,1.4021,1.4021,3,1.4021,123,1.4021,2025-07-29 16:10:00+00:00
1753805460000,1.41,1.41,1.41,1,1.41,110,1.41,2025-07-29 16:11:00+00:00
1753806060000,1.4,1.4,1.4,3,1.4,226,1.4,2025-07-29 16:21:00+00:00
1753806180000,1.4001,1.4001,1.4001,1,1.4001,200,1.4001,2025-07-29 16:23:00+00:00
1753806300000,1.4002,1.4002,1.4002,1,1.4002,1965,1.4002,2025-07-29 16:25:00+00:00
1753806780000,1.4013,1.4013,1.4013,1,1.4013,1000,1.4013,2025-07-29 16:33:00+00:00
1753806900000,1.4,1.4,1.38,8,1.4,7869,1.398822,2025-07-29 16:35:00+00:00
1753807020000,1.3867,1.3867,1.3867,1,1.3867,300,1.3867,2025-07-29 16:37:00+00:00
1753807080000,1.3801,1.3801,1.3801,2,1.3801,212,1.3801,2025-07-29 16:38:00+00:00
1753807260000,1.3852,1.3852,1.3852,2,1.3852,1510,1.3852,2025-07-29 16:41:00+00:00
1753807320000,1.38,1.38,1.36,11,1.38,5843,1.375468,2025-07-29 16:42:00+00:00
1753808040000,1.37,1.37,1.37,1,1.37,100,1.37,2025-07-29 16:54:00+00:00
1753808460000,1.37,1.37,1.37,1,1.37,100,1.37,2025-07-29 17:01:00+00:00
1753809300000,1.37,1.37,1.37,1,1.37,100,1.37,2025-07-29 17:15:00+00:00
1753810440000,1.38,1.38,1.3699,6,1.3699,1144,1.371377,2025-07-29 17:34:00+00:00
1753810500000,1.4,1.4,1.4,1,1.4,200,1.4,2025-07-29 17:35:00+00:00
1753810680000,1.41,1.41,1.4,5,1.4032,2025,1.402128,2025-07-29 17:38:00+00:00
1753811640000,1.41,1.41,1.41,1,1.41,150,1.41,2025-07-29 17:54:00+00:00
1753811940000,1.4198,1.4198,1.4198,1,1.4198,500,1.4198,2025-07-29 17:59:00+00:00
1753812540000,1.4256,1.44,1.415,19,1.415,6100,1.426484,2025-07-29 18:09:00+00:00
1753812600000,1.45,1.4514,1.4399,22,1.44,6566,1.447478,2025-07-29 18:10:00+00:00
1753812660000,1.43,1.46,1.43,4,1.46,1951,1.434078,2025-07-29 18:11:00+00:00
1753812720000,1.42,1.4392,1.42,8,1.4202,6354,1.425963,2025-07-29 18:12:00+00:00
1753812780000,1.4352,1.4352,1.4352,2,1.4352,1550,1.4352,2025-07-29 18:13:00+00:00
1753812900000,1.4404,1.4404,1.44,3,1.44,1661,1.440361,2025-07-29 18:15:00+00:00
1753813020000,1.44,1.44,1.44,2,1.44,125,1.44,2025-07-29 18:17:00+00:00
1753813380000,1.4302,1.44,1.4302,4,1.44,3738,1.434061,2025-07-29 18:23:00+00:00
1753813500000,1.44,1.44,1.44,2,1.44,189,1.44,2025-07-29 18:25:00+00:00
1753813680000,1.4348,1.4348,1.4348,1,1.4348,1000,1.4348,2025-07-29 18:28:00+00:00
1753814100000,1.435,1.435,1.435,1,1.435,100,1.435,2025-07-29 18:35:00+00:00
1753814220000,1.44,1.44,1.438,2,1.438,200,1.439,2025-07-29 18:37:00+00:00
1753814340000,1.43,1.43,1.43,2,1.43,103,1.43,2025-07-29 18:39:00+00:00
1753814520000,1.435,1.435,1.43,5,1.43,502,1.431,2025-07-29 18:42:00+00:00
1753814580000,1.4366,1.4366,1.4366,2,1.4366,241,1.4366,2025-07-29 18:43:00+00:00
1753814940000,1.4363,1.4363,1.4363,2,1.4363,210,1.4363,2025-07-29 18:49:00+00:00
1753815120000,1.4367,1.4367,1.4367,1,1.4367,250,1.4367,2025-07-29 18:52:00+00:00
1753815300000,1.4399,1.4399,1.4399,3,1.4399,256,1.4399,2025-07-29 18:55:00+00:00
1753815420000,1.41,1.41,1.41,4,1.41,160,1.41,2025-07-29 18:57:00+00:00
1753815900000,1.42,1.42,1.41,3,1.41,264,1.415,2025-07-29 19:05:00+00:00
1753816560000,1.4285,1.4285,1.4285,1,1.4285,400,1.4285,2025-07-29 19:16:00+00:00
1753816920000,1.41,1.41,1.41,2,1.41,104,1.41,2025-07-29 19:22:00+00:00
