timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758121860000,7.8186,8.095,7.76,186,8.095,24055,7.953711,2025-09-17 15:11:00+00:00
1758121920000,7.9558,7.99,7.8,57,7.8,5351,7.901932,2025-09-17 15:12:00+00:00
1758121980000,7.9988,8.0,7.9149,44,7.95,5320,7.974809,2025-09-17 15:13:00+00:00
1758122040000,8.0,8.0,7.95,52,7.99,4175,7.983412,2025-09-17 15:14:00+00:00
1758122100000,8.0,8.0,7.999,61,8.0,5017,7.999912,2025-09-17 15:15:00+00:00
1758122160000,7.945,7.99,7.91,68,7.99,7395,7.956204,2025-09-17 15:16:00+00:00
1758122220000,7.98,8.0,7.945,68,7.95,7947,7.990588,2025-09-17 15:17:00+00:00
1758122280000,7.98,8.0,7.97,136,7.9805,23408,7.997992,2025-09-17 15:18:00+00:00
1758122340000,8.0,8.0,7.96,59,7.97,12652,7.993384,2025-09-17 15:19:00+00:00
1758122400000,7.935,8.01,7.935,78,8.0,6457,7.983405,2025-09-17 15:20:00+00:00
1758122460000,7.95,7.95,7.92,51,7.939,5797,7.945172,2025-09-17 15:21:00+00:00
1758122520000,7.99,8.0,7.94,41,7.94,2560,7.982085,2025-09-17 15:22:00+00:00
1758122580000,7.99,8.0,7.94,62,8.0,8898,7.97923,2025-09-17 15:23:00+00:00
1758122640000,7.9999,8.0,7.975,39,8.0,2549,7.988364,2025-09-17 15:24:00+00:00
1758122700000,8.0,8.01,7.9963,37,8.0,3692,7.998876,2025-09-17 15:25:00+00:00
1758122760000,8.005,8.01,7.97,84,8.0,10239,7.994953,2025-09-17 15:26:00+00:00
1758122820000,7.985,8.01,7.97,77,8.005,7833,7.998947,2025-09-17 15:27:00+00:00
1758122880000,8.0,8.01,7.97,35,7.9885,6162,7.985215,2025-09-17 15:28:00+00:00
1758122940000,8.0,8.0003,7.99,54,7.99,6975,7.999151,2025-09-17 15:29:00+00:00
1758123000000,7.964,8.01,7.95,61,8.005,5810,7.979624,2025-09-17 15:30:00+00:00
1758123060000,8.0,8.0,7.965,18,7.97,1447,7.988021,2025-09-17 15:31:00+00:00
1758123120000,8.0,8.01,7.988,37,7.988,4868,8.000249,2025-09-17 15:32:00+00:00
