timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756128600000,9.63,9.82,9.63,20,9.82,559,9.745515,2025-08-25 13:30:00+00:00
1756129020000,9.7718,9.7718,9.7,31,9.71,1059,9.72578,2025-08-25 13:37:00+00:00
1756129200000,9.69,9.69,9.69,9,9.69,173,9.69,2025-08-25 13:40:00+00:00
1756129980000,9.73,9.73,9.73,2,9.73,207,9.73,2025-08-25 13:53:00+00:00
1756130040000,9.9362,9.9362,9.9362,3,9.9362,121,9.9362,2025-08-25 13:54:00+00:00
1756130100000,9.8873,9.8873,9.8873,1,9.8873,100,9.8873,2025-08-25 13:55:00+00:00
1756132440000,9.475,9.475,9.475,4,9.475,137,9.475,2025-08-25 14:34:00+00:00
1756132560000,9.53,9.53,9.53,1,9.53,100,9.53,2025-08-25 14:36:00+00:00
1756133760000,9.8065,9.8065,9.8065,1,9.8065,100,9.8065,2025-08-25 14:56:00+00:00
1756134060000,9.78,9.78,9.62,5,9.62,701,9.705926,2025-08-25 15:01:00+00:00
1756134120000,9.78,9.78,9.78,3,9.78,302,9.78,2025-08-25 15:02:00+00:00
1756134540000,9.7,9.7,9.7,9,9.7,130,9.7,2025-08-25 15:09:00+00:00
1756135320000,9.675,9.675,9.675,2,9.675,101,9.675,2025-08-25 15:22:00+00:00
1756135500000,9.655,9.655,9.655,7,9.655,110,9.655,2025-08-25 15:25:00+00:00
1756137360000,9.64,9.64,9.64,1,9.64,100,9.64,2025-08-25 15:56:00+00:00
1756138140000,9.64,9.64,9.64,11,9.64,150,9.64,2025-08-25 16:09:00+00:00
1756138800000,9.64,9.64,9.64,4,9.64,257,9.64,2025-08-25 16:20:00+00:00
1756139100000,9.6093,9.6093,9.6093,3,9.6093,106,9.6093,2025-08-25 16:25:00+00:00
1756139160000,9.7017,9.7017,9.7017,4,9.7017,107,9.7017,2025-08-25 16:26:00+00:00
1756140540000,9.62,9.62,9.62,5,9.62,115,9.62,2025-08-25 16:49:00+00:00
1756140720000,9.58,9.59,9.58,6,9.59,236,9.585,2025-08-25 16:52:00+00:00
1756140780000,9.56,9.56,9.52,11,9.54,745,9.538571,2025-08-25 16:53:00+00:00
1756141680000,9.55,9.55,9.54,16,9.54,412,9.545,2025-08-25 17:08:00+00:00
1756141740000,9.55,9.55,9.54,227,9.54,2674,9.543206,2025-08-25 17:09:00+00:00
1756141860000,9.47,9.47,9.47,1,9.47,100,9.47,2025-08-25 17:11:00+00:00
1756141920000,9.47,9.47,9.47,5,9.47,139,9.47,2025-08-25 17:12:00+00:00
1756141980000,9.47,9.48,9.46,19,9.47,1050,9.47,2025-08-25 17:13:00+00:00
