timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757100540000,12.07,12.07,12.07,33,12.07,563,12.07,2025-09-05 19:29:00+00:00
1757100600000,12.07,12.07,12.07,20,12.07,365,12.07,2025-09-05 19:30:00+00:00
1757100660000,12.06,12.06,12.04,70,12.06,1859,12.054444,2025-09-05 19:31:00+00:00
1757100720000,12.08,12.08,12.07,39,12.07,1119,12.073333,2025-09-05 19:32:00+00:00
1757100780000,12.08,12.08,12.06,37,12.06,763,12.075,2025-09-05 19:33:00+00:00
1757100840000,12.085,12.095,12.085,28,12.095,805,12.09,2025-09-05 19:34:00+00:00
1757100900000,12.095,12.12,12.07,168,12.1,9609,12.096817,2025-09-05 19:35:00+00:00
1757100960000,12.07,12.095,12.07,18,12.095,485,12.0825,2025-09-05 19:36:00+00:00
1757101020000,12.095,12.095,12.085,20,12.085,696,12.08848,2025-09-05 19:37:00+00:00
1757101080000,12.095,12.095,12.09,18,12.09,420,12.0925,2025-09-05 19:38:00+00:00
1757101140000,12.07,12.08,12.07,41,12.08,1166,12.076721,2025-09-05 19:39:00+00:00
1757101200000,12.075,12.075,12.075,17,12.075,249,12.075,2025-09-05 19:40:00+00:00
1757101260000,12.05,12.07,12.05,24,12.07,487,12.06,2025-09-05 19:41:00+00:00
1757101380000,12.05,12.09,12.05,42,12.09,1300,12.06,2025-09-05 19:43:00+00:00
1757101620000,12.07,12.07,12.05,22,12.06,652,12.06,2025-09-05 19:47:00+00:00
1757101680000,12.05,12.06,12.05,14,12.06,551,12.055,2025-09-05 19:48:00+00:00
1757101740000,12.05,12.06,12.05,43,12.05,2032,12.050998,2025-09-05 19:49:00+00:00
1757101800000,12.045,12.06,12.03,86,12.055,3224,12.048864,2025-09-05 19:50:00+00:00
1757101920000,12.01,12.05,12.01,102,12.04,4545,12.024011,2025-09-05 19:52:00+00:00
1757101980000,11.99,12.005,11.99,45,12.0,1470,11.999,2025-09-05 19:53:00+00:00
1757102040000,12.025,12.04,12.0,92,12.005,4301,12.020097,2025-09-05 19:54:00+00:00
1757102100000,12.03,12.06,12.02,60,12.025,2709,12.036818,2025-09-05 19:55:00+00:00
1757102160000,12.02,12.04,12.02,156,12.03,8926,12.02942,2025-09-05 19:56:00+00:00
1757102220000,12.025,12.03,12.02,68,12.025,3864,12.023069,2025-09-05 19:57:00+00:00
1757102280000,12.02,12.02,12.01,186,12.02,8001,12.016653,2025-09-05 19:58:00+00:00
1757102340000,12.05,12.05,12.015,247,12.015,13239,12.033562,2025-09-05 19:59:00+00:00
1757102400000,12.06,12.06,12.06,8,12.06,39908,12.06,2025-09-05 20:00:00+00:00
1757338200000,12.12,12.12,12.12,9,12.12,1306,12.12,2025-09-08 13:30:00+00:00
1757338260000,12.065,12.27,12.06,47,12.07,32047,12.072147,2025-09-08 13:31:00+00:00
1757338500000,12.15,12.17,12.05,57,12.05,2408,12.09625,2025-09-08 13:35:00+00:00
1757338680000,12.175,12.175,12.175,1,12.175,100,12.175,2025-09-08 13:38:00+00:00
1757338740000,12.125,12.15,12.125,60,12.15,1555,12.134167,2025-09-08 13:39:00+00:00
1757338800000,12.12,12.12,12.1,25,12.1,1053,12.106974,2025-09-08 13:40:00+00:00
1757338860000,12.16,12.16,12.16,2,12.16,207,12.16,2025-09-08 13:41:00+00:00
1757338980000,12.085,12.09,12.02,46,12.09,1954,12.082414,2025-09-08 13:43:00+00:00
1757339040000,12.0,12.0,12.0,35,12.0,425,12.0,2025-09-08 13:44:00+00:00
1757339100000,11.96,11.975,11.96,15,11.975,767,11.964167,2025-09-08 13:45:00+00:00
1757339220000,11.935,11.935,11.89,5,11.89,401,11.92,2025-09-08 13:47:00+00:00
1757339280000,12.01,12.02,11.98,51,11.98,1975,11.995,2025-09-08 13:48:00+00:00
1757339580000,11.95,11.95,11.95,9,11.95,429,11.95,2025-09-08 13:53:00+00:00
1757339700000,11.95,11.95,11.95,8,11.95,222,11.95,2025-09-08 13:55:00+00:00
1757339880000,11.95,11.975,11.95,32,11.97,785,11.965,2025-09-08 13:58:00+00:00
1757339940000,11.95,11.95,11.95,17,11.95,1072,11.95,2025-09-08 13:59:00+00:00
1757340000000,11.95,11.975,11.95,16,11.975,836,11.954333,2025-09-08 14:00:00+00:00
1757340060000,11.97,11.97,11.94,20,11.94,1128,11.96,2025-09-08 14:01:00+00:00
1757340120000,12.0,12.01,12.0,14,12.01,484,12.005,2025-09-08 14:02:00+00:00
1757340180000,11.96,12.01,11.96,15,12.01,580,11.985,2025-09-08 14:03:00+00:00
1757340300000,11.99,12.025,11.99,10,12.025,303,12.0075,2025-09-08 14:05:00+00:00
1757340480000,12.04,12.04,12.005,24,12.005,897,12.033,2025-09-08 14:08:00+00:00
