timeStamp,close,high,low,trade_count,open,volume,vwap,date
1744033020000,1.3478,1.3478,1.3478,1,1.3478,500,1.3478,2025-04-07 13:37:00+00:00
1744033500000,1.35,1.35,1.35,2,1.35,204,1.35,2025-04-07 13:45:00+00:00
1744034880000,1.34,1.34,1.34,2,1.34,300,1.34,2025-04-07 14:08:00+00:00
1744035480000,1.42,1.42,1.42,2,1.42,1004,1.42,2025-04-07 14:18:00+00:00
1744036020000,1.42,1.42,1.42,2,1.42,267,1.42,2025-04-07 14:27:00+00:00
1744038960000,1.44,1.44,1.44,1,1.44,148,1.44,2025-04-07 15:16:00+00:00
1744045080000,1.4336,1.4336,1.4336,1,1.4336,147,1.4336,2025-04-07 16:58:00+00:00
1744055820000,1.37,1.4,1.35,11,1.4,1250,1.374286,2025-04-07 19:57:00+00:00
1744055940000,1.35,1.35,1.34,2,1.34,203,1.344926,2025-04-07 19:59:00+00:00
1744119600000,1.34,1.345,1.34,3,1.345,296,1.3425,2025-04-08 13:40:00+00:00
1744119900000,1.349,1.349,1.349,4,1.349,270,1.349,2025-04-08 13:45:00+00:00
1744120080000,1.3301,1.3301,1.3301,2,1.3301,151,1.3301,2025-04-08 13:48:00+00:00
1744120740000,1.35,1.35,1.35,1,1.35,100,1.35,2025-04-08 13:59:00+00:00
1744121100000,1.34,1.34,1.34,2,1.34,150,1.34,2025-04-08 14:05:00+00:00
1744123140000,1.34,1.34,1.34,2,1.34,182,1.34,2025-04-08 14:39:00+00:00
1744123200000,1.34,1.34,1.34,1,1.34,777,1.34,2025-04-08 14:40:00+00:00
1744138740000,1.34,1.35,1.34,6,1.35,360,1.342899,2025-04-08 18:59:00+00:00
1744142340000,1.32,1.32,1.32,4,1.32,245,1.32,2025-04-08 19:59:00+00:00
1744205400000,1.29,1.29,1.29,1,1.29,210,1.29,2025-04-09 13:30:00+00:00
1744207260000,1.36,1.36,1.36,1,1.36,2170,1.36,2025-04-09 14:01:00+00:00
1744210200000,1.35,1.35,1.35,1,1.35,100,1.35,2025-04-09 14:50:00+00:00
1744213740000,1.3547,1.3547,1.3547,1,1.3547,270,1.3547,2025-04-09 15:49:00+00:00
1744215540000,1.35,1.35,1.35,2,1.35,400,1.35,2025-04-09 16:19:00+00:00
1744218840000,1.325,1.325,1.325,1,1.325,100,1.325,2025-04-09 17:14:00+00:00
1744221540000,1.301,1.301,1.301,1,1.301,608,1.301,2025-04-09 17:59:00+00:00
1744226040000,1.3285,1.3285,1.3285,1,1.3285,100,1.3285,2025-04-09 19:14:00+00:00
1744228740000,1.35,1.35,1.35,1,1.35,164,1.35,2025-04-09 19:59:00+00:00
1744292940000,1.35,1.35,1.35,1,1.35,100,1.35,2025-04-10 13:49:00+00:00
1744298400000,1.33,1.33,1.33,1,1.33,100,1.33,2025-04-10 15:20:00+00:00
1744299300000,1.3201,1.3201,1.3201,1,1.3201,1001,1.3201,2025-04-10 15:35:00+00:00
