timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758126240000,1.4195,1.42,1.41,23,1.415,4336,1.415955,2025-09-17 16:24:00+00:00
1758126300000,1.41,1.42,1.41,9,1.42,5536,1.414073,2025-09-17 16:25:00+00:00
1758126360000,1.4113,1.42,1.41,13,1.415,20665,1.41193,2025-09-17 16:26:00+00:00
1758126420000,1.4189,1.42,1.415,15,1.415,11262,1.418474,2025-09-17 16:27:00+00:00
1758126480000,1.4151,1.42,1.4151,10,1.42,2542,1.41875,2025-09-17 16:28:00+00:00
1758126600000,1.4242,1.4275,1.419,65,1.4199,107404,1.420382,2025-09-17 16:30:00+00:00
1758126660000,1.4174,1.43,1.41,53,1.4201,30774,1.418817,2025-09-17 16:31:00+00:00
1758126720000,1.415,1.42,1.415,6,1.42,8453,1.419164,2025-09-17 16:32:00+00:00
1758126780000,1.415,1.42,1.4145,10,1.42,1838,1.415811,2025-09-17 16:33:00+00:00
1758126840000,1.4112,1.4188,1.4101,12,1.4188,40025,1.411933,2025-09-17 16:34:00+00:00
1758126900000,1.4111,1.415,1.41,25,1.4114,48763,1.410921,2025-09-17 16:35:00+00:00
1758126960000,1.42,1.42,1.415,6,1.415,438,1.417423,2025-09-17 16:36:00+00:00
1758127080000,1.415,1.4199,1.4121,21,1.4175,19432,1.415562,2025-09-17 16:38:00+00:00
1758127140000,1.41,1.42,1.41,8,1.415,7173,1.414366,2025-09-17 16:39:00+00:00
1758127200000,1.41,1.4199,1.41,46,1.4101,91698,1.411021,2025-09-17 16:40:00+00:00
1758127260000,1.41,1.41,1.41,9,1.41,902,1.41,2025-09-17 16:41:00+00:00
1758127320000,1.4073,1.41,1.4,83,1.41,104406,1.40735,2025-09-17 16:42:00+00:00
1758127380000,1.405,1.41,1.405,10,1.4099,21016,1.40681,2025-09-17 16:43:00+00:00
1758127440000,1.4,1.405,1.4,10,1.405,5477,1.404444,2025-09-17 16:44:00+00:00
1758127500000,1.4092,1.41,1.405,25,1.405,48979,1.409704,2025-09-17 16:45:00+00:00
1758127560000,1.41,1.41,1.4092,20,1.41,22769,1.409613,2025-09-17 16:46:00+00:00
1758127620000,1.404,1.41,1.404,10,1.41,1360,1.404482,2025-09-17 16:47:00+00:00
1758127680000,1.4072,1.41,1.405,13,1.4098,16204,1.406872,2025-09-17 16:48:00+00:00
1758127740000,1.4045,1.41,1.4,18,1.4045,16872,1.402284,2025-09-17 16:49:00+00:00
1758127800000,1.41,1.41,1.4092,6,1.4092,4027,1.40932,2025-09-17 16:50:00+00:00
1758127860000,1.405,1.41,1.4,25,1.4073,16821,1.405538,2025-09-17 16:51:00+00:00
1758127920000,1.4,1.4092,1.4,44,1.405,18047,1.40653,2025-09-17 16:52:00+00:00
1758127980000,1.405,1.4091,1.4,19,1.4085,14277,1.408116,2025-09-17 16:53:00+00:00
1758128040000,1.405,1.4095,1.4,32,1.4085,15930,1.401418,2025-09-17 16:54:00+00:00
1758128100000,1.405,1.41,1.4027,18,1.405,11080,1.406214,2025-09-17 16:55:00+00:00
1758128160000,1.405,1.41,1.4,36,1.4073,26492,1.40542,2025-09-17 16:56:00+00:00
1758128220000,1.405,1.408,1.4001,10,1.408,1054,1.404481,2025-09-17 16:57:00+00:00
1758128280000,1.405,1.4097,1.405,8,1.405,932,1.405837,2025-09-17 16:58:00+00:00
1758128340000,1.405,1.4088,1.405,10,1.4088,1239,1.4069,2025-09-17 16:59:00+00:00
1758128400000,1.4,1.41,1.4,12,1.41,1076,1.402857,2025-09-17 17:00:00+00:00
1758128460000,1.4074,1.4074,1.4,8,1.4044,1610,1.403066,2025-09-17 17:01:00+00:00
1758128520000,1.41,1.41,1.4038,13,1.4074,6548,1.407309,2025-09-17 17:02:00+00:00
1758128580000,1.4,1.41,1.4,11,1.4,12588,1.401224,2025-09-17 17:03:00+00:00
1758128640000,1.4,1.41,1.4,28,1.41,16347,1.406241,2025-09-17 17:04:00+00:00
1758128700000,1.4,1.41,1.4,18,1.41,5546,1.405173,2025-09-17 17:05:00+00:00
1758128760000,1.4057,1.41,1.4,15,1.41,6447,1.406986,2025-09-17 17:06:00+00:00
1758128820000,1.41,1.41,1.4001,6,1.4091,5971,1.403838,2025-09-17 17:07:00+00:00
1758128880000,1.4,1.41,1.4,19,1.4099,5593,1.405542,2025-09-17 17:08:00+00:00
1758128940000,1.405,1.41,1.405,14,1.405,564,1.406667,2025-09-17 17:09:00+00:00
1758129000000,1.405,1.4099,1.4,23,1.405,15386,1.406667,2025-09-17 17:10:00+00:00
1758129060000,1.4,1.4099,1.4,40,1.4043,33039,1.40528,2025-09-17 17:11:00+00:00
1758129120000,1.4,1.41,1.4,22,1.41,25668,1.407845,2025-09-17 17:12:00+00:00
1758129180000,1.405,1.405,1.4,14,1.4047,1643,1.4029,2025-09-17 17:13:00+00:00
1758129240000,1.405,1.405,1.405,6,1.405,507,1.405,2025-09-17 17:14:00+00:00
1758129300000,1.4051,1.4056,1.4,10,1.405,14123,1.402439,2025-09-17 17:15:00+00:00
1758129360000,1.4199,1.4199,1.403,217,1.405,423036,1.410154,2025-09-17 17:16:00+00:00
