timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758029460000,25.15,25.15,25.15,1,25.15,200,25.15,2025-09-16 13:31:00+00:00
1758029640000,25.8599,25.86,25.8599,2,25.86,800,25.85995,2025-09-16 13:34:00+00:00
1758029700000,25.8599,25.86,25.8599,4,25.86,810,25.85995,2025-09-16 13:35:00+00:00
1758029760000,25.83,25.83,25.83,2,25.83,105,25.83,2025-09-16 13:36:00+00:00
1758029880000,25.4062,25.41,25.4062,2,25.41,400,25.4081,2025-09-16 13:38:00+00:00
1758030600000,24.9522,24.9522,24.9522,5,24.9522,229,24.9522,2025-09-16 13:50:00+00:00
1758030660000,24.715,24.715,24.715,7,24.715,263,24.715,2025-09-16 13:51:00+00:00
1758032280000,24.815,24.815,24.815,4,24.815,250,24.815,2025-09-16 14:18:00+00:00
1758036060000,26.65,26.65,26.335,2,26.335,4000,26.642125,2025-09-16 15:21:00+00:00
1758036720000,26.91,26.91,26.85,2,26.85,280,26.871429,2025-09-16 15:32:00+00:00
1758037140000,27.275,27.275,27.275,5,27.275,212,27.275,2025-09-16 15:39:00+00:00
1758037200000,27.3,27.3,27.3,2,27.3,1900,27.3,2025-09-16 15:40:00+00:00
1758037260000,27.175,27.3499,27.175,7,27.28,9473,27.324181,2025-09-16 15:41:00+00:00
1758037440000,27.2075,27.2075,27.2075,1,27.2075,645,27.2075,2025-09-16 15:44:00+00:00
1758037980000,27.705,27.705,27.705,3,27.705,1000,27.705,2025-09-16 15:53:00+00:00
1758038040000,27.665,27.665,27.665,3,27.665,1100,27.665,2025-09-16 15:54:00+00:00
1758038100000,27.77,27.77,27.685,3,27.685,1392,27.708272,2025-09-16 15:55:00+00:00
1758038160000,27.39,27.39,27.39,1,27.39,1000,27.39,2025-09-16 15:56:00+00:00
1758038580000,27.8898,27.8898,27.8898,1,27.8898,800,27.8898,2025-09-16 16:03:00+00:00
1758038820000,28.0,28.0,28.0,1,28.0,100,28.0,2025-09-16 16:07:00+00:00
1758038940000,27.665,27.665,27.665,4,27.665,495,27.665,2025-09-16 16:09:00+00:00
1758039540000,27.65,27.65,27.65,7,27.65,2420,27.65,2025-09-16 16:19:00+00:00
1758039600000,27.68,27.68,27.65,11,27.65,1700,27.651765,2025-09-16 16:20:00+00:00
1758039900000,27.87,27.87,27.87,1,27.87,100,27.87,2025-09-16 16:25:00+00:00
1758041040000,27.96,27.96,27.96,1,27.96,200,27.96,2025-09-16 16:44:00+00:00
1758041280000,28.113,28.113,28.113,3,28.113,179,28.113,2025-09-16 16:48:00+00:00
1758041580000,28.5,28.5,28.5,1,28.5,350,28.5,2025-09-16 16:53:00+00:00
1758042120000,28.74,28.74,28.74,1,28.74,103,28.74,2025-09-16 17:02:00+00:00
1758042720000,28.43,28.43,28.43,2,28.43,176,28.43,2025-09-16 17:12:00+00:00
1758042840000,28.43,28.43,28.43,4,28.43,938,28.43,2025-09-16 17:14:00+00:00
1758043260000,28.295,28.295,28.295,1,28.295,200,28.295,2025-09-16 17:21:00+00:00
1758045240000,28.235,28.235,28.235,1,28.235,445,28.235,2025-09-16 17:54:00+00:00
