timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758639660000,0.2516,0.2569,0.2516,14,0.2569,18978,0.255118,2025-09-23 15:01:00+00:00
1758639720000,0.2531,0.2531,0.2531,3,0.2531,200,0.2531,2025-09-23 15:02:00+00:00
1758639780000,0.2533,0.2533,0.2531,7,0.2531,12235,0.253217,2025-09-23 15:03:00+00:00
1758639840000,0.2531,0.2532,0.2531,11,0.2532,5707,0.253189,2025-09-23 15:04:00+00:00
1758639900000,0.253,0.253,0.2527,8,0.2527,4871,0.252821,2025-09-23 15:05:00+00:00
1758639960000,0.2524,0.2524,0.2523,3,0.2524,4196,0.252376,2025-09-23 15:06:00+00:00
1758640020000,0.2524,0.2531,0.2524,3,0.2531,5501,0.253036,2025-09-23 15:07:00+00:00
1758640080000,0.2523,0.2523,0.2523,3,0.2523,30100,0.2523,2025-09-23 15:08:00+00:00
1758640140000,0.2516,0.2516,0.2516,2,0.2516,560,0.2516,2025-09-23 15:09:00+00:00
1758640200000,0.2523,0.2523,0.2516,3,0.2516,1400,0.251964,2025-09-23 15:10:00+00:00
1758640260000,0.2516,0.2533,0.2516,27,0.2524,26956,0.252278,2025-09-23 15:11:00+00:00
1758640320000,0.2464,0.2516,0.2462,30,0.2516,78126,0.249899,2025-09-23 15:12:00+00:00
1758640380000,0.25,0.25,0.2482,9,0.2499,71403,0.249693,2025-09-23 15:13:00+00:00
1758640440000,0.2499,0.25,0.2487,31,0.2498,53943,0.24984,2025-09-23 15:14:00+00:00
1758640500000,0.25,0.25,0.2495,49,0.2495,38946,0.249926,2025-09-23 15:15:00+00:00
1758640560000,0.2495,0.2495,0.2495,11,0.2495,2730,0.2495,2025-09-23 15:16:00+00:00
1758640620000,0.249,0.249,0.248,7,0.249,20665,0.248029,2025-09-23 15:17:00+00:00
1758640740000,0.2482,0.25,0.248,27,0.249,66093,0.24861,2025-09-23 15:19:00+00:00
1758640800000,0.247,0.2478,0.247,10,0.2471,29212,0.247228,2025-09-23 15:20:00+00:00
1758640860000,0.2485,0.2485,0.247,15,0.247,8012,0.248386,2025-09-23 15:21:00+00:00
1758640920000,0.2478,0.2492,0.2478,6,0.2491,13743,0.249114,2025-09-23 15:22:00+00:00
1758640980000,0.2492,0.2492,0.2486,19,0.2486,14933,0.249056,2025-09-23 15:23:00+00:00
1758641040000,0.2522,0.2525,0.2498,35,0.2499,33090,0.250918,2025-09-23 15:24:00+00:00
1758641100000,0.252,0.252,0.2517,13,0.252,9907,0.251955,2025-09-23 15:25:00+00:00
1758641160000,0.2519,0.2519,0.2514,13,0.2514,5904,0.251461,2025-09-23 15:26:00+00:00
1758641220000,0.2516,0.2518,0.2508,22,0.2517,41283,0.251672,2025-09-23 15:27:00+00:00
1758641280000,0.2517,0.2518,0.2517,20,0.2517,8479,0.251717,2025-09-23 15:28:00+00:00
1758641340000,0.2501,0.251,0.2501,9,0.2509,11601,0.250208,2025-09-23 15:29:00+00:00
1758641400000,0.251,0.251,0.2501,13,0.2507,22901,0.250402,2025-09-23 15:30:00+00:00
1758641460000,0.2509,0.2509,0.2509,5,0.2509,789,0.2509,2025-09-23 15:31:00+00:00
1758641520000,0.2513,0.2513,0.2513,2,0.2513,239,0.2513,2025-09-23 15:32:00+00:00
1758641580000,0.2513,0.2517,0.2513,3,0.2517,2003,0.2515,2025-09-23 15:33:00+00:00
1758641640000,0.2518,0.2518,0.2515,14,0.2517,27470,0.251697,2025-09-23 15:34:00+00:00
1758641700000,0.2514,0.2514,0.2514,3,0.2514,1816,0.2514,2025-09-23 15:35:00+00:00
1758641760000,0.2515,0.2515,0.2514,15,0.2515,35024,0.251466,2025-09-23 15:36:00+00:00
1758641820000,0.2514,0.2514,0.2514,4,0.2514,4905,0.2514,2025-09-23 15:37:00+00:00
1758641880000,0.2513,0.2514,0.2513,23,0.2514,21512,0.251375,2025-09-23 15:38:00+00:00
1758641940000,0.2519,0.252,0.2514,23,0.2514,7402,0.251785,2025-09-23 15:39:00+00:00
1758642000000,0.2529,0.253,0.2519,30,0.2519,8175,0.252232,2025-09-23 15:40:00+00:00
1758642060000,0.2531,0.2533,0.2528,27,0.253,24310,0.252957,2025-09-23 15:41:00+00:00
1758642120000,0.2532,0.2532,0.2531,11,0.2531,5947,0.253123,2025-09-23 15:42:00+00:00
1758642180000,0.2529,0.2532,0.2529,13,0.2531,5398,0.253115,2025-09-23 15:43:00+00:00
1758642240000,0.2524,0.2527,0.2524,2,0.2527,697,0.252615,2025-09-23 15:44:00+00:00
1758642360000,0.254,0.254,0.2522,84,0.2523,19796,0.253208,2025-09-23 15:46:00+00:00
1758642420000,0.2539,0.2539,0.2539,11,0.2539,6298,0.2539,2025-09-23 15:47:00+00:00
1758642480000,0.2534,0.2534,0.2534,1,0.2534,630,0.2534,2025-09-23 15:48:00+00:00
1758642540000,0.2539,0.2539,0.2539,2,0.2539,150,0.2539,2025-09-23 15:49:00+00:00
1758642600000,0.2539,0.2539,0.2535,4,0.2535,7150,0.253701,2025-09-23 15:50:00+00:00
1758642660000,0.2539,0.254,0.2539,4,0.254,8661,0.253998,2025-09-23 15:51:00+00:00
