timeStamp,close,high,low,trade_count,open,volume,vwap,date
1751895000000,2.94,2.95,2.94,19,2.95,4653,2.949695,2025-07-07 13:30:00+00:00
1751895060000,2.95,2.95,2.95,10,2.95,473,2.95,2025-07-07 13:31:00+00:00
1751895300000,2.95,2.95,2.95,2,2.95,200,2.95,2025-07-07 13:35:00+00:00
1751895420000,2.95,2.95,2.95,8,2.95,321,2.95,2025-07-07 13:37:00+00:00
1751895720000,2.9209,2.95,2.9209,13,2.93,2216,2.946005,2025-07-07 13:42:00+00:00
1751895780000,2.94,2.94,2.94,1,2.94,100,2.94,2025-07-07 13:43:00+00:00
1751895900000,2.94,2.94,2.94,11,2.94,346,2.94,2025-07-07 13:45:00+00:00
1751896380000,3.02,3.03,3.02,5,3.03,683,3.028485,2025-07-07 13:53:00+00:00
1751896440000,3.0001,3.08,3.0001,17,3.03,1979,3.022347,2025-07-07 13:54:00+00:00
1751896680000,2.9701,3.0,2.9701,2,3.0,249,2.987632,2025-07-07 13:58:00+00:00
1751896740000,2.98,3.06,2.98,4,3.0485,5061,3.046533,2025-07-07 13:59:00+00:00
1751896980000,3.06,3.06,3.05,3,3.05,600,3.058333,2025-07-07 14:03:00+00:00
1751897160000,3.03,3.03,3.03,4,3.03,381,3.03,2025-07-07 14:06:00+00:00
1751897280000,3.06,3.06,3.06,8,3.06,458,3.06,2025-07-07 14:08:00+00:00
1751897340000,3.06,3.06,3.06,9,3.06,603,3.06,2025-07-07 14:09:00+00:00
1751897400000,3.06,3.06,3.06,8,3.06,563,3.06,2025-07-07 14:10:00+00:00
1751897460000,3.03,3.06,3.03,11,3.04,2660,3.033016,2025-07-07 14:11:00+00:00
1751897520000,3.06,3.06,3.06,2,3.06,456,3.06,2025-07-07 14:12:00+00:00
1751897760000,3.048,3.048,3.03,5,3.045,501,3.03852,2025-07-07 14:16:00+00:00
1751897940000,3.04,3.052,3.04,3,3.04,417,3.042878,2025-07-07 14:19:00+00:00
1751898060000,3.02,3.02,3.02,3,3.02,1618,3.02,2025-07-07 14:21:00+00:00
1751898300000,3.01,3.0599,3.01,17,3.03,7142,3.020669,2025-07-07 14:25:00+00:00
1751898360000,3.03,3.03,3.03,10,3.03,518,3.03,2025-07-07 14:26:00+00:00
1751898480000,2.94,3.01,2.94,12,3.01,1854,3.000696,2025-07-07 14:28:00+00:00
1751898720000,2.93,2.93,2.93,1,2.93,300,2.93,2025-07-07 14:32:00+00:00
1751898840000,2.96,2.9728,2.96,7,2.9724,413,2.9688,2025-07-07 14:34:00+00:00
1751898960000,3.0,3.0,2.9947,2,2.9947,400,2.99735,2025-07-07 14:36:00+00:00
1751899140000,3.05,3.05,2.99,30,2.9996,5594,3.028059,2025-07-07 14:39:00+00:00
1751900040000,3.05,3.05,3.04,2,3.04,1900,3.049474,2025-07-07 14:54:00+00:00
1751900100000,3.0344,3.0344,3.03,3,3.03,1520,3.034107,2025-07-07 14:55:00+00:00
1751900820000,3.03,3.03,3.0292,2,3.0292,5100,3.029216,2025-07-07 15:07:00+00:00
1751900940000,2.98,3.0301,2.98,27,3.03,9169,3.018606,2025-07-07 15:09:00+00:00
1751901780000,2.98,2.98,2.98,1,2.98,100,2.98,2025-07-07 15:23:00+00:00
1751901900000,3.0,3.0,3.0,1,3.0,100,3.0,2025-07-07 15:25:00+00:00
1751902020000,3.0,3.0,3.0,1,3.0,100,3.0,2025-07-07 15:27:00+00:00
1751902200000,3.05,3.05,2.995,10,3.01,6806,3.04003,2025-07-07 15:30:00+00:00
1751902380000,3.05,3.06,3.015,7,3.015,14340,3.049892,2025-07-07 15:33:00+00:00
1751904000000,3.01,3.01,2.99,4,2.99,5118,2.990392,2025-07-07 16:00:00+00:00
1751904060000,3.01,3.01,3.01,1,3.01,100,3.01,2025-07-07 16:01:00+00:00
1751904240000,3.0088,3.0088,3.0088,1,3.0088,2749,3.0088,2025-07-07 16:04:00+00:00
1751905080000,3.0017,3.0017,3.0017,1,3.0017,500,3.0017,2025-07-07 16:18:00+00:00
1751905380000,3.025,3.04,3.025,3,3.04,305,3.035,2025-07-07 16:23:00+00:00
1751905440000,3.025,3.04,3.025,6,3.04,282,3.0325,2025-07-07 16:24:00+00:00
1751905500000,3.04,3.04,3.0259,2,3.0259,200,3.03295,2025-07-07 16:25:00+00:00
1751905620000,3.0467,3.0467,3.0467,1,3.0467,392,3.0467,2025-07-07 16:27:00+00:00
1751906220000,3.025,3.025,3.025,1,3.025,100,3.025,2025-07-07 16:37:00+00:00
1751906580000,3.04,3.04,3.04,3,3.04,109,3.04,2025-07-07 16:43:00+00:00
1751906880000,3.025,3.025,3.025,1,3.025,100,3.025,2025-07-07 16:48:00+00:00
1751907180000,3.04,3.04,3.04,1,3.04,100,3.04,2025-07-07 16:53:00+00:00
1751907240000,3.0248,3.0248,3.0248,1,3.0248,307,3.0248,2025-07-07 16:54:00+00:00
1751907420000,3.04,3.04,3.04,2,3.04,289,3.04,2025-07-07 16:57:00+00:00
1751907480000,3.06,3.06,3.05,16,3.05,3574,3.058991,2025-07-07 16:58:00+00:00
1751907600000,3.0376,3.0376,3.0376,1,3.0376,300,3.0376,2025-07-07 17:00:00+00:00
1751907840000,3.07,3.07,3.07,2,3.07,400,3.07,2025-07-07 17:04:00+00:00
1751907900000,3.0601,3.0601,3.0601,1,3.0601,1200,3.0601,2025-07-07 17:05:00+00:00
1751908140000,3.0869,3.0869,3.0869,2,3.0869,317,3.0869,2025-07-07 17:09:00+00:00
