timeStamp,close,high,low,trade_count,open,volume,vwap,date
1751895000000,7.6893,7.6893,7.02,11,7.02,1044,7.113139,2025-07-07 13:30:00+00:00
1751895360000,7.118,7.118,7.118,2,7.118,101,7.118,2025-07-07 13:36:00+00:00
1751895660000,7.12,7.12,7.12,1,7.12,150,7.12,2025-07-07 13:41:00+00:00
1751895720000,7.0,7.06,7.0,4,7.06,1000,7.011011,2025-07-07 13:42:00+00:00
1751895780000,7.1,7.1,7.1,3,7.1,870,7.1,2025-07-07 13:43:00+00:00
1751896260000,7.2296,7.2296,7.2296,1,7.2296,300,7.2296,2025-07-07 13:51:00+00:00
1751896500000,7.1,7.1,7.1,2,7.1,1332,7.1,2025-07-07 13:55:00+00:00
1751896860000,7.125,7.2212,7.125,5,7.2212,472,7.190834,2025-07-07 14:01:00+00:00
1751898240000,7.2,7.2,7.19,9,7.19,1211,7.19322,2025-07-07 14:24:00+00:00
1751898480000,7.1999,7.1999,7.19,10,7.19,900,7.191313,2025-07-07 14:28:00+00:00
1751898600000,7.126,7.126,7.126,2,7.126,101,7.126,2025-07-07 14:30:00+00:00
1751900040000,7.2,7.2,7.15,3,7.15,582,7.16,2025-07-07 14:54:00+00:00
1751900100000,7.2,7.2,7.2,1,7.2,600,7.2,2025-07-07 14:55:00+00:00
1751900160000,7.27,7.27,7.22,21,7.23,2890,7.236538,2025-07-07 14:56:00+00:00
1751900220000,7.24,7.24,7.24,3,7.24,215,7.24,2025-07-07 14:57:00+00:00
1751901660000,7.26,7.26,7.26,3,7.26,144,7.26,2025-07-07 15:21:00+00:00
1751902080000,7.29,7.29,7.29,3,7.29,406,7.29,2025-07-07 15:28:00+00:00
1751902500000,7.2706,7.2706,7.2706,1,7.2706,250,7.2706,2025-07-07 15:35:00+00:00
1751903220000,7.2463,7.2463,7.2463,3,7.2463,104,7.2463,2025-07-07 15:47:00+00:00
1751903460000,7.21,7.24,7.21,8,7.24,367,7.225,2025-07-07 15:51:00+00:00
1751903760000,7.2,7.2,7.2,9,7.2,2180,7.2,2025-07-07 15:56:00+00:00
1751904960000,7.2881,7.2881,7.2881,2,7.2881,410,7.2881,2025-07-07 16:16:00+00:00
1751906340000,7.2538,7.2538,7.2538,1,7.2538,100,7.2538,2025-07-07 16:39:00+00:00
1751906460000,7.17,7.17,7.17,6,7.17,236,7.17,2025-07-07 16:41:00+00:00
1751910060000,7.0861,7.0861,7.0,11,7.07,2295,7.026531,2025-07-07 17:41:00+00:00
1751912160000,7.05,7.05,7.05,2,7.05,347,7.05,2025-07-07 18:16:00+00:00
1751915160000,6.9723,6.9723,6.9,4,6.91,435,6.921218,2025-07-07 19:06:00+00:00
1751915220000,6.9,6.975,6.9,8,6.975,2864,6.926959,2025-07-07 19:07:00+00:00
1751916840000,6.684,6.684,6.684,3,6.684,1055,6.684,2025-07-07 19:34:00+00:00
1751917020000,6.86,6.86,6.86,3,6.86,103,6.86,2025-07-07 19:37:00+00:00
1751917200000,6.87,6.87,6.87,9,6.87,133,6.87,2025-07-07 19:40:00+00:00
1751917740000,6.947,6.947,6.947,2,6.947,1507,6.947,2025-07-07 19:49:00+00:00
1751918040000,6.95,6.95,6.95,3,6.95,209,6.95,2025-07-07 19:54:00+00:00
1751982180000,7.0,7.0,7.0,1,7.0,500,7.0,2025-07-08 13:43:00+00:00
1751982300000,7.3664,7.3664,7.3664,1,7.3664,200,7.3664,2025-07-08 13:45:00+00:00
1751982720000,6.99,7.0,6.99,9,7.0,1636,6.997297,2025-07-08 13:52:00+00:00
1751983080000,6.8,6.8,6.8,5,6.8,520,6.8,2025-07-08 13:58:00+00:00
1751983200000,7.005,7.005,7.005,1,7.005,500,7.005,2025-07-08 14:00:00+00:00
1751983680000,6.82,6.82,6.82,3,6.82,157,6.82,2025-07-08 14:08:00+00:00
1751984520000,6.82,6.82,6.82,6,6.82,899,6.82,2025-07-08 14:22:00+00:00
1751985120000,6.85,6.85,6.85,1,6.85,100,6.85,2025-07-08 14:32:00+00:00
1751985240000,6.87,6.87,6.845,6,6.845,576,6.862877,2025-07-08 14:34:00+00:00
1751985660000,6.89,6.89,6.885,5,6.885,1100,6.889,2025-07-08 14:41:00+00:00
1751985720000,6.91,6.91,6.78,5,6.78,576,6.876581,2025-07-08 14:42:00+00:00
1751985960000,6.45,6.62,6.45,13,6.62,1282,6.545896,2025-07-08 14:46:00+00:00
1751986200000,6.48,6.48,6.48,1,6.48,100,6.48,2025-07-08 14:50:00+00:00
1751986800000,6.8925,6.8925,6.57,7,6.8839,1411,6.867493,2025-07-08 15:00:00+00:00
1751986860000,6.55,6.55,6.55,4,6.55,530,6.55,2025-07-08 15:01:00+00:00
1751986980000,6.45,6.45,6.45,5,6.45,365,6.45,2025-07-08 15:03:00+00:00
1751987040000,6.55,6.55,6.55,1,6.55,100,6.55,2025-07-08 15:04:00+00:00
1751987100000,6.535,6.535,6.535,1,6.535,100,6.535,2025-07-08 15:05:00+00:00
1751987460000,6.56,6.56,6.56,2,6.56,380,6.56,2025-07-08 15:11:00+00:00
1751987580000,6.56,6.56,6.56,2,6.56,500,6.56,2025-07-08 15:13:00+00:00
1751987820000,6.91,6.91,6.91,1,6.91,150,6.91,2025-07-08 15:17:00+00:00
1751988420000,6.613,6.613,6.613,2,6.613,510,6.613,2025-07-08 15:27:00+00:00
1751989140000,6.3081,6.3081,6.3081,1,6.3081,1000,6.3081,2025-07-08 15:39:00+00:00
1751989620000,6.36,6.61,6.36,4,6.54,702,6.564286,2025-07-08 15:47:00+00:00
1751989680000,6.5,6.5,6.5,3,6.5,420,6.5,2025-07-08 15:48:00+00:00
1751989740000,6.51,6.5101,6.51,6,6.5101,400,6.51005,2025-07-08 15:49:00+00:00
1751989800000,6.8647,6.8647,6.8647,2,6.8647,101,6.8647,2025-07-08 15:50:00+00:00
1751989860000,6.694,6.694,6.694,4,6.694,847,6.694,2025-07-08 15:51:00+00:00
1751989920000,6.5101,6.71,6.51,3,6.51,400,6.56005,2025-07-08 15:52:00+00:00
1751992020000,6.55,6.55,6.55,6,6.55,201,6.55,2025-07-08 16:27:00+00:00
1751995140000,6.7,6.7,6.7,1,6.7,500,6.7,2025-07-08 17:19:00+00:00
1751995260000,6.8717,6.8717,6.8717,2,6.8717,500,6.8717,2025-07-08 17:21:00+00:00
1751995320000,6.77,6.77,6.77,1,6.77,500,6.77,2025-07-08 17:22:00+00:00
1751995500000,6.76,6.76,6.75,5,6.75,356,6.753067,2025-07-08 17:25:00+00:00
1751996460000,6.9099,6.91,6.9099,6,6.91,2967,6.90995,2025-07-08 17:41:00+00:00
1751997540000,7.0495,7.0498,7.0495,3,7.0498,350,7.049648,2025-07-08 17:59:00+00:00
