timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754919000000,0.34,0.3799,0.319,13,0.325,126813,0.327754,2025-08-11 13:30:00+00:00
1754919120000,0.3604,0.3604,0.3604,6,0.3604,960,0.3604,2025-08-11 13:32:00+00:00
1754919180000,0.34,0.34,0.34,2,0.34,16001,0.34,2025-08-11 13:33:00+00:00
1754919360000,0.35,0.35,0.35,1,0.35,500,0.35,2025-08-11 13:36:00+00:00
1754919420000,0.37,0.37,0.355,2,0.355,10744,0.369659,2025-08-11 13:37:00+00:00
1754919480000,0.34,0.34,0.34,4,0.34,3011,0.34,2025-08-11 13:38:00+00:00
1754919660000,0.3551,0.3551,0.3551,2,0.3551,1006,0.3551,2025-08-11 13:41:00+00:00
1754919840000,0.341,0.341,0.341,4,0.341,30100,0.341,2025-08-11 13:44:00+00:00
1754919900000,0.3601,0.3665,0.347,7,0.3554,5590,0.359853,2025-08-11 13:45:00+00:00
1754919960000,0.36,0.3601,0.36,5,0.3601,1800,0.360039,2025-08-11 13:46:00+00:00
1754920020000,0.3584,0.36,0.3557,29,0.3599,13210,0.358944,2025-08-11 13:47:00+00:00
1754920080000,0.36,0.36,0.3584,7,0.3586,2423,0.358748,2025-08-11 13:48:00+00:00
1754920140000,0.3604,0.3604,0.3601,20,0.3602,4601,0.360315,2025-08-11 13:49:00+00:00
1754920200000,0.36,0.369,0.36,25,0.369,11205,0.362663,2025-08-11 13:50:00+00:00
1754920260000,0.3597,0.3597,0.3597,1,0.3597,100,0.3597,2025-08-11 13:51:00+00:00
1754920320000,0.3599,0.3599,0.3557,13,0.3598,2957,0.358473,2025-08-11 13:52:00+00:00
1754920380000,0.35,0.3556,0.35,8,0.3556,16339,0.355433,2025-08-11 13:53:00+00:00
1754920440000,0.3501,0.3578,0.3501,5,0.3578,417,0.355856,2025-08-11 13:54:00+00:00
1754920500000,0.3558,0.3568,0.354,44,0.354,8760,0.355122,2025-08-11 13:55:00+00:00
1754920620000,0.3579,0.3579,0.3579,1,0.3579,300,0.3579,2025-08-11 13:57:00+00:00
1754920680000,0.3577,0.3577,0.3577,1,0.3577,588,0.3577,2025-08-11 13:58:00+00:00
1754920740000,0.3574,0.3574,0.356,4,0.356,578,0.357145,2025-08-11 13:59:00+00:00
1754920800000,0.3559,0.3559,0.3559,6,0.3559,392,0.3559,2025-08-11 14:00:00+00:00
1754920860000,0.3599,0.3599,0.3568,16,0.3568,4830,0.35721,2025-08-11 14:01:00+00:00
1754921400000,0.3582,0.359,0.3582,7,0.359,1982,0.358492,2025-08-11 14:10:00+00:00
1754921460000,0.3589,0.3589,0.3583,2,0.3583,5681,0.358889,2025-08-11 14:11:00+00:00
1754921520000,0.3583,0.3583,0.3583,1,0.3583,100,0.3583,2025-08-11 14:12:00+00:00
1754921580000,0.3562,0.3562,0.3562,1,0.3562,500,0.3562,2025-08-11 14:13:00+00:00
1754921640000,0.3562,0.3562,0.3562,3,0.3562,1241,0.3562,2025-08-11 14:14:00+00:00
1754921700000,0.3544,0.3544,0.3544,1,0.3544,200,0.3544,2025-08-11 14:15:00+00:00
1754921760000,0.3544,0.3544,0.3544,6,0.3544,215,0.3544,2025-08-11 14:16:00+00:00
1754921880000,0.3501,0.3501,0.3501,2,0.3501,4112,0.3501,2025-08-11 14:18:00+00:00
1754921940000,0.3502,0.3502,0.3501,7,0.3501,15690,0.35016,2025-08-11 14:19:00+00:00
1754922000000,0.3505,0.3505,0.3505,1,0.3505,5281,0.3505,2025-08-11 14:20:00+00:00
1754922060000,0.3503,0.3503,0.3503,1,0.3503,194,0.3503,2025-08-11 14:21:00+00:00
1754922480000,0.3425,0.3448,0.3425,9,0.3448,10000,0.343018,2025-08-11 14:28:00+00:00
