timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757084040000,0.9117,0.9117,0.9117,2,0.9117,105,0.9117,2025-09-05 14:54:00+00:00
1757084580000,0.9055,0.9055,0.9055,2,0.9055,2000,0.9055,2025-09-05 15:03:00+00:00
1757086020000,0.8995,0.9,0.8995,7,0.9,1052,0.899728,2025-09-05 15:27:00+00:00
1757087640000,0.92,0.92,0.918,3,0.918,205,0.919,2025-09-05 15:54:00+00:00
1757089800000,0.9236,0.9236,0.9179,31,0.9199,11485,0.919347,2025-09-05 16:30:00+00:00
1757090820000,0.92,0.92,0.92,1,0.92,2000,0.92,2025-09-05 16:47:00+00:00
1757091000000,0.9311,0.9311,0.9311,1,0.9311,105,0.9311,2025-09-05 16:50:00+00:00
1757091360000,0.9311,0.9311,0.92,3,0.92,1001,0.927215,2025-09-05 16:56:00+00:00
1757091900000,0.93,0.9311,0.93,6,0.9309,2000,0.930105,2025-09-05 17:05:00+00:00
1757092020000,0.9371,0.9371,0.9371,1,0.9371,105,0.9371,2025-09-05 17:07:00+00:00
1757092920000,0.95,0.95,0.95,1,0.95,192,0.95,2025-09-05 17:22:00+00:00
1757093640000,0.95,0.95,0.95,1,0.95,192,0.95,2025-09-05 17:34:00+00:00
1757094360000,0.9306,0.95,0.9306,6,0.95,405,0.943861,2025-09-05 17:46:00+00:00
1757094960000,0.95,0.95,0.95,1,0.95,1900,0.95,2025-09-05 17:56:00+00:00
1757095020000,0.94,0.94,0.94,5,0.94,553,0.94,2025-09-05 17:57:00+00:00
1757095320000,0.93,0.93,0.93,1,0.93,9292,0.93,2025-09-05 18:02:00+00:00
1757095800000,0.95,0.95,0.95,1,0.95,210,0.95,2025-09-05 18:10:00+00:00
1757096220000,0.9499,0.9499,0.9499,1,0.9499,200,0.9499,2025-09-05 18:17:00+00:00
1757096340000,0.9499,0.9499,0.9499,1,0.9499,1259,0.9499,2025-09-05 18:19:00+00:00
1757096520000,0.95,0.95,0.95,1,0.95,210,0.95,2025-09-05 18:22:00+00:00
1757097240000,0.95,0.95,0.95,2,0.95,233,0.95,2025-09-05 18:34:00+00:00
1757097960000,0.95,0.95,0.95,2,0.95,242,0.95,2025-09-05 18:46:00+00:00
1757098440000,0.95,0.95,0.9482,9,0.9482,2000,0.949751,2025-09-05 18:54:00+00:00
1757098680000,0.95,0.95,0.95,1,0.95,198,0.95,2025-09-05 18:58:00+00:00
1757099400000,0.95,0.95,0.95,3,0.95,296,0.95,2025-09-05 19:10:00+00:00
1757099760000,0.94,0.94,0.94,1,0.94,999,0.94,2025-09-05 19:16:00+00:00
1757100120000,0.95,0.95,0.95,5,0.95,262,0.95,2025-09-05 19:22:00+00:00
1757101440000,0.9302,0.9486,0.9302,6,0.9486,499,0.934823,2025-09-05 19:44:00+00:00
1757102160000,0.9047,0.94,0.9047,16,0.94,7880,0.939127,2025-09-05 19:56:00+00:00
1757102220000,0.9165,0.9165,0.9165,1,0.9165,100,0.9165,2025-09-05 19:57:00+00:00
1757102280000,0.9379,0.938,0.9374,4,0.9374,353,0.937767,2025-09-05 19:58:00+00:00
1757102340000,0.96,0.96,0.9381,19,0.9381,2312,0.948815,2025-09-05 19:59:00+00:00
1757102400000,0.9103,0.9103,0.9103,1,0.9103,257,0.9103,2025-09-05 20:00:00+00:00
1757338200000,0.94,0.94,0.9399,10,0.94,7074,0.939981,2025-09-08 13:30:00+00:00
1757338260000,1.0289,1.0289,0.94,24,0.94,16551,1.011195,2025-09-08 13:31:00+00:00
1757338320000,1.06,1.0881,1.0299,40,1.03,15279,1.041905,2025-09-08 13:32:00+00:00
