timeStamp,close,high,low,trade_count,open,volume,vwap,date
1751901000000,3.42,3.42,3.405,5,3.405,870,3.410013,2025-07-07 15:10:00+00:00
1751901060000,3.405,3.405,3.405,1,3.405,100,3.405,2025-07-07 15:11:00+00:00
1751901120000,3.4214,3.44,3.42,6,3.44,625,3.430643,2025-07-07 15:12:00+00:00
1751901180000,3.42,3.42,3.42,9,3.42,915,3.42,2025-07-07 15:13:00+00:00
1751902320000,3.395,3.395,3.395,1,3.395,146,3.395,2025-07-07 15:32:00+00:00
1751903460000,3.37,3.37,3.37,3,3.37,1002,3.37,2025-07-07 15:51:00+00:00
1751904120000,3.37,3.37,3.37,1,3.37,659,3.37,2025-07-07 16:02:00+00:00
1751906040000,3.393,3.393,3.393,1,3.393,200,3.393,2025-07-07 16:34:00+00:00
1751906340000,3.37,3.37,3.37,1,3.37,200,3.37,2025-07-07 16:39:00+00:00
1751906460000,3.37,3.37,3.37,1,3.37,100,3.37,2025-07-07 16:41:00+00:00
1751907120000,3.402,3.402,3.402,1,3.402,200,3.402,2025-07-07 16:52:00+00:00
1751907360000,3.4,3.4,3.4,1,3.4,200,3.4,2025-07-07 16:56:00+00:00
1751907600000,3.385,3.385,3.385,2,3.385,323,3.385,2025-07-07 17:00:00+00:00
1751907960000,3.39,3.39,3.39,1,3.39,150,3.39,2025-07-07 17:06:00+00:00
1751910360000,3.37,3.37,3.37,10,3.37,1663,3.37,2025-07-07 17:46:00+00:00
1751910420000,3.34,3.35,3.34,6,3.35,931,3.341087,2025-07-07 17:47:00+00:00
1751912340000,3.3531,3.3531,3.3531,1,3.3531,100,3.3531,2025-07-07 18:19:00+00:00
1751912760000,3.34,3.34,3.34,5,3.34,339,3.34,2025-07-07 18:26:00+00:00
1751913480000,3.34,3.34,3.34,3,3.34,697,3.34,2025-07-07 18:38:00+00:00
1751914140000,3.3494,3.3494,3.3494,1,3.3494,300,3.3494,2025-07-07 18:49:00+00:00
1751914680000,3.29,3.3,3.29,4,3.3,1493,3.298217,2025-07-07 18:58:00+00:00
1751918340000,3.376,3.376,3.376,2,3.376,305,3.376,2025-07-07 19:59:00+00:00
1751918400000,3.32,3.32,3.32,1,3.32,231,3.32,2025-07-07 20:00:00+00:00
1751981400000,3.36,3.36,3.36,2,3.36,335,3.36,2025-07-08 13:30:00+00:00
1751981640000,3.37,3.37,3.37,1,3.37,102,3.37,2025-07-08 13:34:00+00:00
1751981700000,3.37,3.37,3.37,2,3.37,195,3.37,2025-07-08 13:35:00+00:00
1751981940000,3.4491,3.4491,3.4491,1,3.4491,250,3.4491,2025-07-08 13:39:00+00:00
1751982000000,3.425,3.425,3.425,2,3.425,101,3.425,2025-07-08 13:40:00+00:00
1751982060000,3.401,3.401,3.401,1,3.401,400,3.401,2025-07-08 13:41:00+00:00
1751982180000,3.4107,3.4107,3.4107,4,3.4107,356,3.4107,2025-07-08 13:43:00+00:00
1751982600000,3.402,3.402,3.402,1,3.402,200,3.402,2025-07-08 13:50:00+00:00
1751982720000,3.42,3.42,3.42,6,3.42,395,3.42,2025-07-08 13:52:00+00:00
1751982900000,3.4391,3.4391,3.4391,1,3.4391,300,3.4391,2025-07-08 13:55:00+00:00
1751983260000,3.4499,3.4499,3.4499,2,3.4499,1772,3.4499,2025-07-08 14:01:00+00:00
1751983320000,3.45,3.45,3.45,6,3.45,1898,3.45,2025-07-08 14:02:00+00:00
1751984520000,3.49,3.49,3.49,1,3.49,100,3.49,2025-07-08 14:22:00+00:00
1751984880000,3.46,3.49,3.46,8,3.49,1806,3.475,2025-07-08 14:28:00+00:00
1751985000000,3.4999,3.5,3.49,13,3.49,2005,3.49845,2025-07-08 14:30:00+00:00
1751985060000,3.5,3.5,3.4699,13,3.47,1032,3.48887,2025-07-08 14:31:00+00:00
1751985120000,3.5,3.5,3.4999,21,3.5,3264,3.499974,2025-07-08 14:32:00+00:00
1751985240000,3.4801,3.4801,3.4801,6,3.4801,506,3.4801,2025-07-08 14:34:00+00:00
1751985480000,3.5082,3.5082,3.5,7,3.5,365,3.502587,2025-07-08 14:38:00+00:00
