timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,24.87,25.2,24.6,99,24.6,25852,24.880573,2025-09-15 13:30:00+00:00
1757943060000,24.67,24.82,24.33,43,24.82,3766,24.63453,2025-09-15 13:31:00+00:00
1757943120000,25.01,25.2,24.93,43,25.2,2293,25.032,2025-09-15 13:32:00+00:00
1757943180000,25.31,25.33,25.2747,15,25.2747,822,25.306752,2025-09-15 13:33:00+00:00
1757943300000,24.85,24.85,24.85,11,24.85,436,24.85,2025-09-15 13:35:00+00:00
1757943360000,24.75,24.93,24.65,36,24.65,3373,24.849815,2025-09-15 13:36:00+00:00
1757943420000,24.84,24.84,24.77,6,24.77,343,24.813333,2025-09-15 13:37:00+00:00
1757943480000,25.04,25.04,24.95,26,24.95,1622,24.977246,2025-09-15 13:38:00+00:00
1757943540000,25.01,25.01,25.01,6,25.01,184,25.01,2025-09-15 13:39:00+00:00
1757943600000,25.07,25.17,24.97,44,25.1,6759,25.046138,2025-09-15 13:40:00+00:00
1757943660000,24.87,25.07,24.85,18,25.07,1244,24.944905,2025-09-15 13:41:00+00:00
1757943720000,25.02,25.09,24.97,21,24.98,1674,25.009243,2025-09-15 13:42:00+00:00
1757943780000,25.09,25.28,25.07,51,25.07,5978,25.195979,2025-09-15 13:43:00+00:00
1757943840000,25.0,25.09,25.0,17,25.09,1103,25.065728,2025-09-15 13:44:00+00:00
1757943900000,25.4,25.41,25.2,19,25.2,3108,25.368264,2025-09-15 13:45:00+00:00
1757943960000,25.36,25.42,25.305,25,25.305,1505,25.368947,2025-09-15 13:46:00+00:00
1757944020000,25.5,25.5,25.36,39,25.3651,7050,25.478626,2025-09-15 13:47:00+00:00
1757944080000,25.5,25.58,25.49,18,25.5611,1649,25.543035,2025-09-15 13:48:00+00:00
1757944140000,25.2,25.55,25.157,17,25.55,6717,25.215698,2025-09-15 13:49:00+00:00
1757944200000,25.566,25.566,25.56,14,25.56,5372,25.560282,2025-09-15 13:50:00+00:00
1757944260000,25.62,25.62,25.49,11,25.49,695,25.549633,2025-09-15 13:51:00+00:00
1757944320000,25.54,25.6298,25.54,10,25.6298,1804,25.596656,2025-09-15 13:52:00+00:00
1757944380000,25.58,25.64,25.5505,18,25.61,2651,25.607232,2025-09-15 13:53:00+00:00
1757944440000,25.67,25.71,25.605,35,25.605,3015,25.69335,2025-09-15 13:54:00+00:00
1757944500000,25.6889,25.6889,25.56,6,25.5616,3506,25.636047,2025-09-15 13:55:00+00:00
1757944560000,25.65,25.71,25.65,14,25.71,763,25.66,2025-09-15 13:56:00+00:00
1757944620000,25.695,25.695,25.62,6,25.64,2816,25.688497,2025-09-15 13:57:00+00:00
1757944680000,25.69,25.77,25.69,12,25.77,7262,25.73972,2025-09-15 13:58:00+00:00
1757944740000,25.93,25.93,25.7,16,25.7,1767,25.800896,2025-09-15 13:59:00+00:00
1757944800000,25.67,25.91,25.67,22,25.91,1175,25.781614,2025-09-15 14:00:00+00:00
1757944860000,25.76,25.76,25.71,15,25.71,805,25.733333,2025-09-15 14:01:00+00:00
1757944920000,25.42,25.7,25.42,21,25.7,3475,25.638467,2025-09-15 14:02:00+00:00
1757944980000,25.56,25.56,25.51,9,25.51,4273,25.553175,2025-09-15 14:03:00+00:00
1757945100000,25.64,25.64,25.52,4,25.52,362,25.599322,2025-09-15 14:05:00+00:00
1757945160000,25.5,25.63,25.5,7,25.63,823,25.528279,2025-09-15 14:06:00+00:00
1757945220000,25.6281,25.6281,25.6281,9,25.6281,390,25.6281,2025-09-15 14:07:00+00:00
1757945280000,25.71,25.72,25.52,15,25.52,880,25.664245,2025-09-15 14:08:00+00:00
1757945340000,25.83,25.83,25.83,9,25.83,403,25.83,2025-09-15 14:09:00+00:00
1757945400000,25.7127,25.7127,25.7127,2,25.7127,202,25.7127,2025-09-15 14:10:00+00:00
1757945460000,25.839,25.839,25.839,2,25.839,102,25.839,2025-09-15 14:11:00+00:00
1757945520000,25.56,25.7,25.5,14,25.7,1257,25.607288,2025-09-15 14:12:00+00:00
1757945580000,25.57,25.58,25.57,8,25.58,349,25.575,2025-09-15 14:13:00+00:00
1757945640000,25.61,25.67,25.61,4,25.67,356,25.643051,2025-09-15 14:14:00+00:00
1757945700000,25.76,25.79,25.76,6,25.79,324,25.775,2025-09-15 14:15:00+00:00
1757945760000,25.93,25.93,25.72,31,25.73,4859,25.912207,2025-09-15 14:16:00+00:00
1757945940000,26.02,26.02,25.9194,36,25.9194,9665,25.99159,2025-09-15 14:19:00+00:00
1757946000000,26.04,26.06,26.04,11,26.06,569,26.051409,2025-09-15 14:20:00+00:00
1757946060000,26.0932,26.1189,26.0885,16,26.1,3645,26.100671,2025-09-15 14:21:00+00:00
1757946120000,26.11,26.12,26.1015,8,26.1015,1494,26.103941,2025-09-15 14:22:00+00:00
1757946180000,25.935,25.94,25.91,9,25.919,3295,25.935031,2025-09-15 14:23:00+00:00
1757946240000,25.9,25.94,25.9,4,25.94,1350,25.902963,2025-09-15 14:24:00+00:00
1757946300000,25.8801,25.91,25.8801,6,25.91,1750,25.883509,2025-09-15 14:25:00+00:00
1757946360000,25.93,25.93,25.75,12,25.75,879,25.819405,2025-09-15 14:26:00+00:00
1757946420000,25.9755,25.9755,25.9755,2,25.9755,143,25.9755,2025-09-15 14:27:00+00:00
1757946480000,25.9,25.9,25.9,4,25.9,271,25.9,2025-09-15 14:28:00+00:00
1757946540000,25.925,25.925,25.8501,14,25.8501,2618,25.897362,2025-09-15 14:29:00+00:00
1757946600000,25.82,25.9399,25.79,29,25.85,3428,25.874095,2025-09-15 14:30:00+00:00
1757946660000,25.82,25.82,25.82,2,25.82,2507,25.82,2025-09-15 14:31:00+00:00
1757946780000,25.88,25.88,25.88,4,25.88,274,25.88,2025-09-15 14:33:00+00:00
1757946840000,26.205,26.205,25.91,73,25.91,9548,26.07408,2025-09-15 14:34:00+00:00
1757946900000,26.1,26.1,26.1,9,26.1,2501,26.1,2025-09-15 14:35:00+00:00
1757946960000,26.0,26.03,25.9413,8,25.9413,1291,25.977431,2025-09-15 14:36:00+00:00
1757947020000,26.17,26.17,26.16,16,26.16,665,26.165,2025-09-15 14:37:00+00:00
1757947080000,26.25,26.28,26.2129,36,26.26,4208,26.256393,2025-09-15 14:38:00+00:00
1757947140000,26.15,26.1992,26.15,3,26.1992,299,26.180634,2025-09-15 14:39:00+00:00
1757947200000,26.24,26.24,26.1858,11,26.1858,449,26.2129,2025-09-15 14:40:00+00:00
1757947380000,26.2,26.225,26.2,6,26.225,567,26.215235,2025-09-15 14:43:00+00:00
1757947440000,26.3286,26.3286,26.3,12,26.3,13056,26.304214,2025-09-15 14:44:00+00:00
1757947500000,26.4099,26.4099,26.35,9,26.3766,3272,26.36031,2025-09-15 14:45:00+00:00
1757947560000,26.3671,26.3671,26.3671,6,26.3671,383,26.3671,2025-09-15 14:46:00+00:00
1757947620000,26.37,26.43,26.36,12,26.43,15131,26.414388,2025-09-15 14:47:00+00:00
1757947680000,26.16,26.1887,26.16,9,26.1887,897,26.1805,2025-09-15 14:48:00+00:00
1757947740000,26.15,26.15,26.15,5,26.15,258,26.15,2025-09-15 14:49:00+00:00
1757947800000,26.24,26.26,26.21,14,26.21,563,26.236667,2025-09-15 14:50:00+00:00
1757947860000,26.33,26.33,26.23,18,26.27,6342,26.257177,2025-09-15 14:51:00+00:00
1757947920000,26.499,26.499,26.45,22,26.45,2363,26.462812,2025-09-15 14:52:00+00:00
1757947980000,26.43,26.46,26.43,7,26.46,379,26.45,2025-09-15 14:53:00+00:00
