timeStamp,close,high,low,trade_count,open,volume,vwap,date
1744637400000,0.3002,0.3002,0.3002,3,0.3002,233,0.3002,2025-04-14 13:30:00+00:00
1744638000000,0.309,0.309,0.309,1,0.309,337,0.309,2025-04-14 13:40:00+00:00
1744638300000,0.305,0.305,0.305,1,0.305,100,0.305,2025-04-14 13:45:00+00:00
1744640100000,0.3,0.305,0.3,26,0.305,11795,0.300382,2025-04-14 14:15:00+00:00
1744640160000,0.2966,0.2966,0.2966,3,0.2966,400,0.2966,2025-04-14 14:16:00+00:00
1744643280000,0.3007,0.3007,0.3007,1,0.3007,550,0.3007,2025-04-14 15:08:00+00:00
1744643580000,0.297,0.297,0.297,1,0.297,100,0.297,2025-04-14 15:13:00+00:00
1744644780000,0.2972,0.2972,0.2972,1,0.2972,118,0.2972,2025-04-14 15:33:00+00:00
1744645320000,0.309,0.309,0.303,22,0.303,14738,0.304877,2025-04-14 15:42:00+00:00
1744646340000,0.3056,0.3056,0.3056,1,0.3056,100,0.3056,2025-04-14 15:59:00+00:00
1744646400000,0.3057,0.3057,0.3057,1,0.3057,100,0.3057,2025-04-14 16:00:00+00:00
1744648080000,0.3056,0.3056,0.3056,2,0.3056,155,0.3056,2025-04-14 16:28:00+00:00
1744648260000,0.3157,0.3157,0.3157,1,0.3157,1000,0.3157,2025-04-14 16:31:00+00:00
1744649940000,0.3058,0.3103,0.3058,24,0.3098,10519,0.308949,2025-04-14 16:59:00+00:00
1744651680000,0.3115,0.3115,0.3115,3,0.3115,300,0.3115,2025-04-14 17:28:00+00:00
1744651920000,0.3133,0.3133,0.3133,2,0.3133,150,0.3133,2025-04-14 17:32:00+00:00
1744653060000,0.315,0.315,0.3149,5,0.3149,301,0.314947,2025-04-14 17:51:00+00:00
1744653660000,0.31,0.3135,0.31,27,0.3125,15364,0.311491,2025-04-14 18:01:00+00:00
1744653720000,0.3057,0.3078,0.3057,2,0.3078,200,0.30675,2025-04-14 18:02:00+00:00
1744653840000,0.3058,0.3058,0.3058,2,0.3058,3522,0.3058,2025-04-14 18:04:00+00:00
1744655760000,0.3059,0.3059,0.3059,1,0.3059,100,0.3059,2025-04-14 18:36:00+00:00
1744656540000,0.308,0.31,0.308,13,0.31,9810,0.309879,2025-04-14 18:49:00+00:00
1744656600000,0.3075,0.3084,0.3075,3,0.3084,316,0.308115,2025-04-14 18:50:00+00:00
1744658280000,0.3057,0.3103,0.3057,3,0.3058,14000,0.307379,2025-04-14 19:18:00+00:00
1744658880000,0.3063,0.3063,0.3063,2,0.3063,251,0.3063,2025-04-14 19:28:00+00:00
1744659180000,0.315,0.315,0.315,1,0.315,200,0.315,2025-04-14 19:33:00+00:00
1744659720000,0.3109,0.3109,0.3109,1,0.3109,100,0.3109,2025-04-14 19:42:00+00:00
1744660020000,0.3136,0.3136,0.3136,2,0.3136,521,0.3136,2025-04-14 19:47:00+00:00
1744660560000,0.3109,0.3135,0.3109,7,0.3135,14201,0.311826,2025-04-14 19:56:00+00:00
1744660620000,0.311,0.3111,0.3109,8,0.3111,463,0.311,2025-04-14 19:57:00+00:00
1744660740000,0.315,0.315,0.3109,15,0.3109,3287,0.313172,2025-04-14 19:59:00+00:00
1744660800000,0.3144,0.3144,0.3144,1,0.3144,283,0.3144,2025-04-14 20:00:00+00:00
1744723800000,0.18,0.1894,0.18,40,0.1847,100774,0.183282,2025-04-15 13:30:00+00:00
1744723860000,0.1799,0.1825,0.178,33,0.1825,65432,0.179121,2025-04-15 13:31:00+00:00
1744723920000,0.18,0.1842,0.1774,94,0.1783,131502,0.179616,2025-04-15 13:32:00+00:00
1744723980000,0.1769,0.18,0.1769,51,0.18,59609,0.177947,2025-04-15 13:33:00+00:00
1744724040000,0.166,0.177,0.166,293,0.1769,364916,0.168793,2025-04-15 13:34:00+00:00
1744724100000,0.165,0.169,0.162,171,0.1661,284182,0.165363,2025-04-15 13:35:00+00:00
1744724160000,0.1611,0.165,0.1611,286,0.1642,640010,0.162465,2025-04-15 13:36:00+00:00
1744724220000,0.154,0.1614,0.154,189,0.161,390561,0.158513,2025-04-15 13:37:00+00:00
1744724280000,0.1552,0.1568,0.1501,169,0.1567,497447,0.151509,2025-04-15 13:38:00+00:00
1744724340000,0.1468,0.1552,0.1449,184,0.1536,594838,0.147907,2025-04-15 13:39:00+00:00
1744724400000,0.1377,0.1468,0.1377,307,0.1468,471729,0.141785,2025-04-15 13:40:00+00:00
1744724460000,0.1322,0.1377,0.1313,265,0.1377,517688,0.134,2025-04-15 13:41:00+00:00
1744724520000,0.14,0.1415,0.1313,142,0.133,369140,0.136536,2025-04-15 13:42:00+00:00
1744724580000,0.1386,0.1418,0.138,86,0.14,415136,0.139621,2025-04-15 13:43:00+00:00
1744724640000,0.1344,0.1388,0.1311,204,0.1387,508057,0.134074,2025-04-15 13:44:00+00:00
1744724700000,0.1355,0.1388,0.1315,178,0.133,379910,0.134555,2025-04-15 13:45:00+00:00
1744724760000,0.1359,0.1371,0.1303,309,0.135,411995,0.132644,2025-04-15 13:46:00+00:00
1744724820000,0.132,0.1366,0.1318,162,0.1346,431502,0.13383,2025-04-15 13:47:00+00:00
1744724880000,0.135,0.1352,0.1325,156,0.1332,284425,0.133499,2025-04-15 13:48:00+00:00
1744724940000,0.1369,0.1386,0.135,189,0.1351,130410,0.136475,2025-04-15 13:49:00+00:00
1744725000000,0.1439,0.1453,0.1377,126,0.1377,265467,0.140613,2025-04-15 13:50:00+00:00
1744725060000,0.1462,0.1492,0.1433,259,0.1442,275713,0.145734,2025-04-15 13:51:00+00:00
1744725120000,0.1417,0.1461,0.141,48,0.1461,120290,0.144442,2025-04-15 13:52:00+00:00
1744725180000,0.1399,0.1424,0.139,85,0.141,303687,0.140092,2025-04-15 13:53:00+00:00
1744725240000,0.1399,0.14,0.1395,60,0.1398,177483,0.139969,2025-04-15 13:54:00+00:00
1744725300000,0.1393,0.14,0.137,47,0.139,105443,0.138982,2025-04-15 13:55:00+00:00
1744725360000,0.1398,0.14,0.1381,61,0.1381,103711,0.139873,2025-04-15 13:56:00+00:00
1744725420000,0.1397,0.14,0.1393,29,0.1399,59199,0.139683,2025-04-15 13:57:00+00:00
1744725480000,0.1385,0.1396,0.138,171,0.1396,231691,0.138893,2025-04-15 13:58:00+00:00
1744725540000,0.1395,0.1399,0.138,103,0.139,118323,0.138654,2025-04-15 13:59:00+00:00
1744725600000,0.1394,0.14,0.1391,95,0.1398,67932,0.139834,2025-04-15 14:00:00+00:00
1744725660000,0.1381,0.14,0.138,58,0.1394,80503,0.139568,2025-04-15 14:01:00+00:00
1744725720000,0.138,0.1381,0.138,32,0.138,14359,0.138018,2025-04-15 14:02:00+00:00
1744725780000,0.137,0.138,0.1367,76,0.138,92554,0.137192,2025-04-15 14:03:00+00:00
1744725840000,0.1294,0.1367,0.1285,401,0.1367,604708,0.131321,2025-04-15 14:04:00+00:00
1744725900000,0.1306,0.138,0.13,121,0.1305,266075,0.130951,2025-04-15 14:05:00+00:00
1744725960000,0.1292,0.131,0.1288,176,0.1305,633709,0.129915,2025-04-15 14:06:00+00:00
1744726020000,0.1302,0.14,0.129,189,0.129,451464,0.130307,2025-04-15 14:07:00+00:00
