timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,0.7251,0.728,0.7,10,0.7,2419,0.704982,2025-09-02 13:30:00+00:00
1756819860000,0.7,0.71,0.695,15,0.71,1555,0.705785,2025-09-02 13:31:00+00:00
1756819920000,0.691,0.6924,0.691,9,0.6924,328,0.691438,2025-09-02 13:32:00+00:00
1756820040000,0.7158,0.7158,0.7,2,0.7,2120,0.700894,2025-09-02 13:34:00+00:00
1756820160000,0.695,0.695,0.695,6,0.695,403,0.695,2025-09-02 13:36:00+00:00
1756820220000,0.72,0.7269,0.72,6,0.7269,205,0.72345,2025-09-02 13:37:00+00:00
1756820280000,0.7499,0.7499,0.7499,2,0.7499,1009,0.7499,2025-09-02 13:38:00+00:00
1756820340000,0.7187,0.7275,0.7187,5,0.7187,1200,0.723742,2025-09-02 13:39:00+00:00
1756820400000,0.715,0.7273,0.715,8,0.7187,821,0.72267,2025-09-02 13:40:00+00:00
1756820460000,0.7136,0.7136,0.71,14,0.7109,1228,0.710675,2025-09-02 13:41:00+00:00
1756820580000,0.7233,0.7233,0.7233,5,0.7233,383,0.7233,2025-09-02 13:43:00+00:00
1756820820000,0.75,0.75,0.7233,11,0.7233,1660,0.734207,2025-09-02 13:47:00+00:00
1756820880000,0.75,0.75,0.7468,5,0.7468,900,0.748395,2025-09-02 13:48:00+00:00
1756820940000,0.75,0.75,0.7481,6,0.7481,2006,0.74879,2025-09-02 13:49:00+00:00
1756821000000,0.75,0.75,0.7486,4,0.7486,1303,0.74943,2025-09-02 13:50:00+00:00
1756821060000,0.7499,0.75,0.7494,11,0.7494,1303,0.749933,2025-09-02 13:51:00+00:00
1756821120000,0.7366,0.75,0.7366,6,0.7498,2129,0.745596,2025-09-02 13:52:00+00:00
1756821240000,0.74,0.75,0.74,4,0.7402,826,0.741383,2025-09-02 13:54:00+00:00
1756821300000,0.746,0.746,0.74,6,0.742,1050,0.740842,2025-09-02 13:55:00+00:00
1756821600000,0.7503,0.76,0.7503,11,0.7599,2307,0.752948,2025-09-02 14:00:00+00:00
1756821720000,0.7663,0.7663,0.7655,2,0.7655,1200,0.766233,2025-09-02 14:02:00+00:00
1756821780000,0.75,0.7663,0.75,17,0.7657,2377,0.757612,2025-09-02 14:03:00+00:00
1756821840000,0.7686,0.7686,0.7685,6,0.7685,651,0.768557,2025-09-02 14:04:00+00:00
1756821900000,0.7686,0.7686,0.768,23,0.7686,4865,0.768561,2025-09-02 14:05:00+00:00
