timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758547800000,1.1992,1.2,1.19,805,1.2,599282,1.198234,2025-09-22 13:30:00+00:00
1758547860000,1.18,1.195,1.17,430,1.195,378191,1.179949,2025-09-22 13:31:00+00:00
1758547920000,1.1792,1.18,1.17,81,1.175,66572,1.177593,2025-09-22 13:32:00+00:00
1758547980000,1.1785,1.18,1.17,121,1.18,99719,1.173934,2025-09-22 13:33:00+00:00
1758548040000,1.1799,1.18,1.1701,89,1.18,73513,1.173628,2025-09-22 13:34:00+00:00
1758548100000,1.1862,1.19,1.1701,95,1.175,250785,1.181957,2025-09-22 13:35:00+00:00
1758548160000,1.175,1.1852,1.17,157,1.1852,324821,1.175126,2025-09-22 13:36:00+00:00
1758548220000,1.175,1.18,1.17,104,1.17,173195,1.171626,2025-09-22 13:37:00+00:00
1758548280000,1.1704,1.18,1.17,68,1.175,46423,1.17484,2025-09-22 13:38:00+00:00
1758548340000,1.18,1.18,1.17,66,1.18,53969,1.173612,2025-09-22 13:39:00+00:00
1758548400000,1.17,1.18,1.17,89,1.175,87536,1.174372,2025-09-22 13:40:00+00:00
1758548460000,1.1653,1.18,1.16,352,1.18,576973,1.1684,2025-09-22 13:41:00+00:00
1758548520000,1.16,1.17,1.16,105,1.165,102746,1.161851,2025-09-22 13:42:00+00:00
1758548580000,1.1698,1.17,1.16,68,1.165,111711,1.162654,2025-09-22 13:43:00+00:00
1758548640000,1.175,1.18,1.1601,126,1.165,235117,1.170323,2025-09-22 13:44:00+00:00
1758548700000,1.175,1.18,1.17,85,1.17,216234,1.175956,2025-09-22 13:45:00+00:00
1758548760000,1.1701,1.18,1.17,51,1.18,131153,1.172269,2025-09-22 13:46:00+00:00
1758548820000,1.1788,1.18,1.17,59,1.1719,54617,1.177386,2025-09-22 13:47:00+00:00
1758548880000,1.1741,1.18,1.17,55,1.18,23224,1.176272,2025-09-22 13:48:00+00:00
1758548940000,1.185,1.19,1.17,99,1.18,267722,1.178921,2025-09-22 13:49:00+00:00
1758549000000,1.1816,1.19,1.18,137,1.1855,319422,1.184326,2025-09-22 13:50:00+00:00
1758549060000,1.185,1.19,1.1812,47,1.1885,26847,1.188227,2025-09-22 13:51:00+00:00
1758549120000,1.1903,1.2,1.1804,127,1.1862,290929,1.190529,2025-09-22 13:52:00+00:00
1758549180000,1.195,1.2,1.1901,46,1.195,79340,1.193387,2025-09-22 13:53:00+00:00
1758549240000,1.19,1.2,1.19,28,1.195,70541,1.191127,2025-09-22 13:54:00+00:00
1758549300000,1.195,1.1999,1.19,81,1.19,96188,1.19329,2025-09-22 13:55:00+00:00
1758549360000,1.195,1.2,1.19,50,1.1903,31518,1.195297,2025-09-22 13:56:00+00:00
1758549420000,1.1917,1.2,1.19,34,1.19,47790,1.194579,2025-09-22 13:57:00+00:00
1758549480000,1.1985,1.2,1.19,53,1.19,64577,1.196716,2025-09-22 13:58:00+00:00
1758549540000,1.1912,1.2,1.19,60,1.1918,41346,1.193562,2025-09-22 13:59:00+00:00
1758549600000,1.195,1.2,1.19,61,1.1969,158384,1.192101,2025-09-22 14:00:00+00:00
1758549660000,1.19,1.2,1.19,52,1.1999,64748,1.192585,2025-09-22 14:01:00+00:00
1758549720000,1.2,1.2,1.19,39,1.195,37030,1.194105,2025-09-22 14:02:00+00:00
1758549780000,1.195,1.2,1.19,37,1.19,33406,1.193329,2025-09-22 14:03:00+00:00
1758549840000,1.19,1.2,1.19,46,1.195,21139,1.197334,2025-09-22 14:04:00+00:00
1758549900000,1.2,1.2,1.19,39,1.195,171687,1.197452,2025-09-22 14:05:00+00:00
1758549960000,1.1904,1.2,1.19,84,1.2,88812,1.193208,2025-09-22 14:06:00+00:00
1758550020000,1.19,1.2,1.19,79,1.19,104259,1.198804,2025-09-22 14:07:00+00:00
1758550080000,1.1988,1.2,1.19,53,1.2,56105,1.192417,2025-09-22 14:08:00+00:00
1758550140000,1.2,1.2,1.19,28,1.2,11074,1.192935,2025-09-22 14:09:00+00:00
1758550200000,1.2,1.2,1.19,54,1.19,47491,1.197446,2025-09-22 14:10:00+00:00
1758550260000,1.195,1.2,1.19,38,1.2,21041,1.195962,2025-09-22 14:11:00+00:00
1758550320000,1.2,1.2,1.19,42,1.195,43239,1.192709,2025-09-22 14:12:00+00:00
1758550380000,1.19,1.195,1.18,127,1.195,146273,1.189243,2025-09-22 14:13:00+00:00
1758550440000,1.18,1.19,1.18,25,1.1801,6786,1.18482,2025-09-22 14:14:00+00:00
1758550500000,1.19,1.19,1.18,48,1.19,55781,1.184585,2025-09-22 14:15:00+00:00
1758550560000,1.18,1.19,1.18,58,1.1805,18456,1.185917,2025-09-22 14:16:00+00:00
1758550620000,1.1801,1.19,1.18,49,1.185,30936,1.188095,2025-09-22 14:17:00+00:00
1758550680000,1.1891,1.19,1.18,106,1.1868,165907,1.187975,2025-09-22 14:18:00+00:00
1758550740000,1.1899,1.19,1.18,91,1.1899,146738,1.189111,2025-09-22 14:19:00+00:00
1758550800000,1.18,1.19,1.18,83,1.1804,96494,1.188348,2025-09-22 14:20:00+00:00
1758550860000,1.19,1.19,1.18,113,1.18,163578,1.188496,2025-09-22 14:21:00+00:00
1758550920000,1.1899,1.19,1.1835,40,1.19,31774,1.189364,2025-09-22 14:22:00+00:00
1758550980000,1.19,1.19,1.18,29,1.1801,28278,1.183276,2025-09-22 14:23:00+00:00
1758551040000,1.1804,1.19,1.1804,21,1.1847,15259,1.189579,2025-09-22 14:24:00+00:00
