timeStamp,close,high,low,trade_count,open,volume,vwap,date
1752159120000,12.22,12.22,12.22,3,12.22,1101,12.22,2025-07-10 14:52:00+00:00
1752159240000,12.4,12.4,12.4,2,12.4,1096,12.4,2025-07-10 14:54:00+00:00
1752159300000,12.4999,12.5,12.4999,7,12.5,896,12.499967,2025-07-10 14:55:00+00:00
1752159360000,12.67,12.67,12.5,8,12.5,2116,12.579545,2025-07-10 14:56:00+00:00
1752159420000,12.71,12.71,12.71,11,12.71,558,12.71,2025-07-10 14:57:00+00:00
1752159480000,12.86,12.86,12.74,14,12.74,1224,12.8,2025-07-10 14:58:00+00:00
1752159540000,12.895,12.91,12.8917,8,12.91,884,12.89734,2025-07-10 14:59:00+00:00
1752159600000,12.86,12.86,12.86,1,12.86,100,12.86,2025-07-10 15:00:00+00:00
1752159840000,12.8,12.8,12.8,11,12.8,969,12.8,2025-07-10 15:04:00+00:00
1752159900000,12.8,12.8,12.8,5,12.8,395,12.8,2025-07-10 15:05:00+00:00
1752160020000,12.7,12.7,12.69,5,12.69,421,12.693333,2025-07-10 15:07:00+00:00
1752160080000,12.58,12.69,12.58,3,12.69,785,12.606688,2025-07-10 15:08:00+00:00
1752160140000,12.67,12.68,12.67,6,12.68,492,12.675,2025-07-10 15:09:00+00:00
1752160200000,12.65,12.65,12.6496,6,12.6496,584,12.6498,2025-07-10 15:10:00+00:00
1752160260000,12.7,12.7,12.6999,7,12.6999,989,12.699929,2025-07-10 15:11:00+00:00
1752160800000,12.87,12.87,12.87,1,12.87,100,12.87,2025-07-10 15:20:00+00:00
1752160860000,12.86,12.8955,12.86,5,12.8955,1000,12.866433,2025-07-10 15:21:00+00:00
1752160920000,12.8101,12.84,12.8101,4,12.84,685,12.831474,2025-07-10 15:22:00+00:00
1752160980000,12.75,12.83,12.7,3,12.83,400,12.745,2025-07-10 15:23:00+00:00
1752161100000,12.71,12.7599,12.71,3,12.7599,700,12.751357,2025-07-10 15:25:00+00:00
1752161520000,12.7003,12.7003,12.7003,1,12.7003,100,12.7003,2025-07-10 15:32:00+00:00
1752162240000,13.2,13.2,13.2,2,13.2,1050,13.2,2025-07-10 15:44:00+00:00
1752162300000,13.27,13.27,13.2101,12,13.2101,1652,13.233176,2025-07-10 15:45:00+00:00
1752162360000,13.16,13.16,13.0,5,13.0,696,13.055,2025-07-10 15:46:00+00:00
1752162480000,13.3,13.3,13.02,11,13.02,1295,13.060876,2025-07-10 15:48:00+00:00
1752162540000,13.2036,13.24,13.2,22,13.24,3875,13.208085,2025-07-10 15:49:00+00:00
1752162600000,12.96,13.02,12.96,2,13.02,1000,12.99,2025-07-10 15:50:00+00:00
1752162960000,13.0085,13.0085,12.9701,6,12.9708,2500,12.99091,2025-07-10 15:56:00+00:00
1752163020000,13.0,13.0,12.9701,3,12.9701,1033,12.98505,2025-07-10 15:57:00+00:00
1752163080000,12.8799,12.8799,12.8799,2,12.8799,520,12.8799,2025-07-10 15:58:00+00:00
1752163260000,13.04,13.04,13.04,13,13.04,592,13.04,2025-07-10 16:01:00+00:00
1752163320000,12.99,13.01,12.99,6,13.01,788,12.99406,2025-07-10 16:02:00+00:00
1752163380000,13.0,13.0,13.0,6,13.0,584,13.0,2025-07-10 16:03:00+00:00
1752163800000,13.17,13.17,13.17,2,13.17,600,13.17,2025-07-10 16:10:00+00:00
1752163860000,13.19,13.19,13.19,3,13.19,202,13.19,2025-07-10 16:11:00+00:00
1752164100000,13.2,13.2,13.2,4,13.2,515,13.2,2025-07-10 16:15:00+00:00
1752164160000,13.2,13.2,13.2,3,13.2,153,13.2,2025-07-10 16:16:00+00:00
1752164340000,13.05,13.05,13.05,4,13.05,488,13.05,2025-07-10 16:19:00+00:00
1752164460000,13.15,13.15,13.1,6,13.1,1089,13.125,2025-07-10 16:21:00+00:00
1752165000000,13.14,13.14,13.14,9,13.14,880,13.14,2025-07-10 16:30:00+00:00
1752165720000,12.8499,12.98,12.75,8,12.98,2492,12.879522,2025-07-10 16:42:00+00:00
1752165780000,12.91,12.91,12.91,3,12.91,592,12.91,2025-07-10 16:43:00+00:00
1752167820000,12.7792,12.7792,12.7792,1,12.7792,179,12.7792,2025-07-10 17:17:00+00:00
1752167940000,12.8,12.8,12.77,8,12.8,2500,12.788,2025-07-10 17:19:00+00:00
1752168000000,12.8313,12.8344,12.8313,4,12.8344,3000,12.83285,2025-07-10 17:20:00+00:00
1752169140000,12.82,12.82,12.82,5,12.82,884,12.82,2025-07-10 17:39:00+00:00
1752169200000,12.82,12.82,12.82,2,12.82,596,12.82,2025-07-10 17:40:00+00:00
1752169320000,12.83,12.83,12.83,1,12.83,200,12.83,2025-07-10 17:42:00+00:00
1752169380000,12.5,12.5,12.5,4,12.5,600,12.5,2025-07-10 17:43:00+00:00
1752169440000,12.8,12.8,12.8,4,12.8,294,12.8,2025-07-10 17:44:00+00:00
1752169560000,12.79,12.79,12.79,2,12.79,198,12.79,2025-07-10 17:46:00+00:00
1752169740000,12.7504,12.7504,12.7504,12,12.7504,304,12.7504,2025-07-10 17:49:00+00:00
1752169800000,12.7101,12.7101,12.7101,6,12.7101,206,12.7101,2025-07-10 17:50:00+00:00
1752169860000,12.5,12.5,12.49,10,12.49,2097,12.496386,2025-07-10 17:51:00+00:00
