timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758639480000,2.077,2.08,2.07,105,2.08,52706,2.074004,2025-09-23 14:58:00+00:00
1758639540000,2.0715,2.08,2.07,165,2.0741,61370,2.076633,2025-09-23 14:59:00+00:00
1758639600000,2.0781,2.08,2.07,124,2.075,19154,2.074981,2025-09-23 15:00:00+00:00
1758639660000,2.075,2.08,2.0703,149,2.0723,40699,2.076802,2025-09-23 15:01:00+00:00
1758639720000,2.0879,2.09,2.0761,206,2.0798,133141,2.083296,2025-09-23 15:02:00+00:00
1758639780000,2.0822,2.09,2.08,171,2.0871,85993,2.083195,2025-09-23 15:03:00+00:00
1758639840000,2.085,2.09,2.08,185,2.085,73369,2.08678,2025-09-23 15:04:00+00:00
1758639900000,2.09,2.09,2.08,173,2.0892,79750,2.083686,2025-09-23 15:05:00+00:00
1758639960000,2.085,2.09,2.08,96,2.085,18991,2.084998,2025-09-23 15:06:00+00:00
1758640020000,2.08,2.09,2.08,75,2.0884,20270,2.085337,2025-09-23 15:07:00+00:00
1758640080000,2.085,2.09,2.08,118,2.0897,87147,2.087621,2025-09-23 15:08:00+00:00
1758640140000,2.0883,2.09,2.08,115,2.08,26300,2.085767,2025-09-23 15:09:00+00:00
1758640200000,2.08,2.09,2.07,375,2.08,243942,2.080137,2025-09-23 15:10:00+00:00
1758640260000,2.075,2.08,2.07,154,2.075,88472,2.074568,2025-09-23 15:11:00+00:00
1758640320000,2.0774,2.08,2.07,125,2.07,35086,2.072702,2025-09-23 15:12:00+00:00
1758640380000,2.08,2.08,2.07,133,2.075,31784,2.073302,2025-09-23 15:13:00+00:00
1758640440000,2.07,2.08,2.07,118,2.0747,41908,2.073196,2025-09-23 15:14:00+00:00
1758640500000,2.07,2.08,2.07,87,2.075,56959,2.0757,2025-09-23 15:15:00+00:00
1758640560000,2.0783,2.08,2.07,88,2.0724,14512,2.073126,2025-09-23 15:16:00+00:00
1758640620000,2.07,2.08,2.07,128,2.075,69519,2.075312,2025-09-23 15:17:00+00:00
1758640680000,2.0792,2.08,2.07,124,2.0724,23379,2.074106,2025-09-23 15:18:00+00:00
1758640740000,2.08,2.08,2.07,120,2.0778,61315,2.077894,2025-09-23 15:19:00+00:00
1758640800000,2.0749,2.08,2.0705,75,2.08,16826,2.076884,2025-09-23 15:20:00+00:00
1758640860000,2.085,2.085,2.07,213,2.075,101785,2.079441,2025-09-23 15:21:00+00:00
1758640920000,2.09,2.09,2.08,64,2.085,35704,2.08409,2025-09-23 15:22:00+00:00
1758640980000,2.09,2.0992,2.0817,156,2.0893,83459,2.091178,2025-09-23 15:23:00+00:00
1758641040000,2.095,2.1,2.09,88,2.095,43540,2.097473,2025-09-23 15:24:00+00:00
1758641100000,2.1,2.1,2.09,141,2.095,37846,2.097001,2025-09-23 15:25:00+00:00
1758641160000,2.095,2.1,2.09,76,2.0951,24356,2.097444,2025-09-23 15:26:00+00:00
1758641220000,2.09,2.1,2.09,79,2.1,35008,2.095149,2025-09-23 15:27:00+00:00
1758641280000,2.1,2.1,2.09,77,2.095,27178,2.096018,2025-09-23 15:28:00+00:00
1758641340000,2.0992,2.0992,2.09,64,2.095,11483,2.094929,2025-09-23 15:29:00+00:00
1758641400000,2.105,2.11,2.09,207,2.095,107917,2.09993,2025-09-23 15:30:00+00:00
1758641460000,2.1256,2.13,2.1064,281,2.11,188733,2.121857,2025-09-23 15:31:00+00:00
1758641520000,2.1251,2.13,2.12,150,2.125,57827,2.122845,2025-09-23 15:32:00+00:00
1758641580000,2.135,2.14,2.12,149,2.12,50222,2.128837,2025-09-23 15:33:00+00:00
1758641640000,2.145,2.15,2.14,266,2.14,142857,2.14425,2025-09-23 15:34:00+00:00
1758641700000,2.145,2.15,2.14,99,2.14,63902,2.143346,2025-09-23 15:35:00+00:00
1758641760000,2.1414,2.15,2.14,60,2.145,47717,2.144672,2025-09-23 15:36:00+00:00
1758641820000,2.1329,2.1492,2.13,133,2.1486,53649,2.139239,2025-09-23 15:37:00+00:00
1758641880000,2.135,2.14,2.13,48,2.137,25281,2.1354,2025-09-23 15:38:00+00:00
1758641940000,2.13,2.1399,2.13,42,2.1361,40239,2.133109,2025-09-23 15:39:00+00:00
1758642000000,2.1301,2.1357,2.13,36,2.1308,27089,2.133513,2025-09-23 15:40:00+00:00
1758642060000,2.11,2.14,2.11,117,2.1372,95931,2.120462,2025-09-23 15:41:00+00:00
1758642120000,2.115,2.12,2.11,56,2.1151,25867,2.115293,2025-09-23 15:42:00+00:00
1758642180000,2.115,2.12,2.11,98,2.1182,63873,2.114694,2025-09-23 15:43:00+00:00
1758642240000,2.115,2.12,2.11,53,2.115,23559,2.11536,2025-09-23 15:44:00+00:00
1758642300000,2.1185,2.12,2.11,135,2.1186,69734,2.117071,2025-09-23 15:45:00+00:00
1758642360000,2.1108,2.12,2.11,69,2.12,52130,2.116813,2025-09-23 15:46:00+00:00
1758642420000,2.12,2.13,2.1175,108,2.1175,32314,2.124476,2025-09-23 15:47:00+00:00
