timeStamp,close,high,low,trade_count,open,volume,vwap,date
1743519360000,4.81,4.81,4.8,84,4.8,396,4.805,2025-04-01 14:56:00+00:00
1743519420000,4.8825,4.8825,4.82,8,4.83,503,4.840625,2025-04-01 14:57:00+00:00
1743522180000,4.95,5.015,4.95,13,5.015,643,4.9975,2025-04-01 15:43:00+00:00
1743522240000,4.83,4.83,4.75,29,4.75,722,4.78,2025-04-01 15:44:00+00:00
1743522960000,5.01,5.01,4.96,37,5.0,936,4.983333,2025-04-01 15:56:00+00:00
1743523020000,4.79,4.79,4.78,9,4.78,415,4.785,2025-04-01 15:57:00+00:00
1743525420000,4.8,4.8,4.8,1,4.8,100,4.8,2025-04-01 16:37:00+00:00
1743526500000,5.2,5.2,5.2,2,5.2,154,5.2,2025-04-01 16:55:00+00:00
1743527160000,4.82,4.82,4.82,3,4.82,200,4.82,2025-04-01 17:06:00+00:00
1743533220000,4.97,4.97,4.97,1,4.97,147,4.97,2025-04-01 18:47:00+00:00
1743600600000,5.02,5.02,5.02,1,5.02,100,5.02,2025-04-02 13:30:00+00:00
1743612540000,4.9,4.9,4.9,21,4.9,168,4.9,2025-04-02 16:49:00+00:00
1743619620000,4.99,4.99,4.99,11,4.99,154,4.99,2025-04-02 18:47:00+00:00
1743621180000,4.9,4.9,4.9,2,4.9,200,4.9,2025-04-02 19:13:00+00:00
1743689580000,4.63,4.63,4.63,3,4.63,317,4.63,2025-04-03 14:13:00+00:00
1743689940000,4.7,4.7,4.7,2,4.7,116,4.7,2025-04-03 14:19:00+00:00
1743773400000,4.6,4.6,4.6,4,4.6,287,4.6,2025-04-04 13:30:00+00:00
1743783540000,4.63,4.63,4.63,1,4.63,1249,4.63,2025-04-04 16:19:00+00:00
1743785040000,4.69,4.69,4.3,29,4.3,2636,4.3172,2025-04-04 16:44:00+00:00
1743785160000,4.83,4.83,4.83,32,4.83,229,4.83,2025-04-04 16:46:00+00:00
1743785220000,4.97,4.97,4.97,19,4.97,153,4.97,2025-04-04 16:47:00+00:00
1743785580000,4.79,4.79,4.79,11,4.79,209,4.79,2025-04-04 16:53:00+00:00
1743785880000,4.65,4.65,4.6,11,4.6,5266,4.625024,2025-04-04 16:58:00+00:00
1743786000000,4.39,4.7,4.39,7,4.7,2834,4.688649,2025-04-04 17:00:00+00:00
1743786060000,4.17,4.43,4.17,12,4.43,308,4.3,2025-04-04 17:01:00+00:00
1743786360000,4.26,4.26,4.26,1,4.26,100,4.26,2025-04-04 17:06:00+00:00
