timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757518560000,0.7217,0.7217,0.7217,1,0.7217,100,0.7217,2025-09-10 15:36:00+00:00
1757518680000,0.7151,0.7151,0.7151,1,0.7151,3650,0.7151,2025-09-10 15:38:00+00:00
1757518740000,0.715,0.7217,0.715,13,0.7217,1587,0.716167,2025-09-10 15:39:00+00:00
1757518800000,0.71,0.71,0.71,1,0.71,300,0.71,2025-09-10 15:40:00+00:00
1757518860000,0.71,0.71,0.71,6,0.71,3200,0.71,2025-09-10 15:41:00+00:00
1757519160000,0.7053,0.7053,0.7053,2,0.7053,9900,0.7053,2025-09-10 15:46:00+00:00
1757519280000,0.7034,0.7113,0.7001,14,0.7113,3787,0.702982,2025-09-10 15:48:00+00:00
1757519400000,0.7108,0.7108,0.7108,1,0.7108,149,0.7108,2025-09-10 15:50:00+00:00
1757519460000,0.7102,0.7175,0.7066,3,0.7175,585,0.709079,2025-09-10 15:51:00+00:00
1757519520000,0.7155,0.7155,0.7155,1,0.7155,202,0.7155,2025-09-10 15:52:00+00:00
1757519580000,0.7195,0.7286,0.7195,5,0.7286,3719,0.728096,2025-09-10 15:53:00+00:00
1757520360000,0.7209,0.7209,0.7209,1,0.7209,250,0.7209,2025-09-10 16:06:00+00:00
1757520540000,0.7154,0.7154,0.7154,1,0.7154,200,0.7154,2025-09-10 16:09:00+00:00
1757520600000,0.7139,0.7139,0.7139,2,0.7139,238,0.7139,2025-09-10 16:10:00+00:00
1757520780000,0.7133,0.7195,0.7133,7,0.7195,6648,0.719088,2025-09-10 16:13:00+00:00
1757520840000,0.7195,0.7195,0.7194,5,0.7194,4990,0.719472,2025-09-10 16:14:00+00:00
1757520900000,0.7286,0.7286,0.7286,1,0.7286,200,0.7286,2025-09-10 16:15:00+00:00
1757521020000,0.705,0.7211,0.705,42,0.7157,30600,0.707924,2025-09-10 16:17:00+00:00
1757521080000,0.7183,0.7212,0.7141,6,0.7141,1500,0.720407,2025-09-10 16:18:00+00:00
1757521200000,0.7186,0.7186,0.707,14,0.711,17200,0.707839,2025-09-10 16:20:00+00:00
1757521380000,0.7136,0.7136,0.7136,5,0.7136,415,0.7136,2025-09-10 16:23:00+00:00
1757521560000,0.7136,0.7136,0.7136,1,0.7136,100,0.7136,2025-09-10 16:26:00+00:00
1757521800000,0.7063,0.7063,0.7063,3,0.7063,3022,0.7063,2025-09-10 16:30:00+00:00
1757521920000,0.7185,0.7185,0.7185,1,0.7185,100,0.7185,2025-09-10 16:32:00+00:00
1757522160000,0.7182,0.7182,0.7182,3,0.7182,124,0.7182,2025-09-10 16:36:00+00:00
1757522580000,0.715,0.715,0.715,8,0.715,750,0.715,2025-09-10 16:43:00+00:00
1757522640000,0.715,0.715,0.7144,4,0.7144,282,0.7147,2025-09-10 16:44:00+00:00
1757522940000,0.7179,0.7179,0.7179,2,0.7179,250,0.7179,2025-09-10 16:49:00+00:00
1757523240000,0.718,0.718,0.7178,4,0.7178,4089,0.717995,2025-09-10 16:54:00+00:00
1757523420000,0.7181,0.7181,0.718,2,0.718,400,0.718075,2025-09-10 16:57:00+00:00
1757523780000,0.718,0.718,0.7174,5,0.7174,3715,0.717983,2025-09-10 17:03:00+00:00
1757523900000,0.7175,0.7175,0.7175,1,0.7175,100,0.7175,2025-09-10 17:05:00+00:00
1757524140000,0.7175,0.7175,0.7175,3,0.7175,202,0.7175,2025-09-10 17:09:00+00:00
1757524380000,0.7138,0.7138,0.7138,1,0.7138,100,0.7138,2025-09-10 17:13:00+00:00
1757524440000,0.7146,0.7146,0.7146,1,0.7146,322,0.7146,2025-09-10 17:14:00+00:00
1757524620000,0.7056,0.7117,0.7056,12,0.7117,4072,0.711127,2025-09-10 17:17:00+00:00
1757524800000,0.7174,0.7174,0.7174,3,0.7174,2069,0.7174,2025-09-10 17:20:00+00:00
1757525040000,0.706,0.7175,0.706,3,0.7175,3005,0.709833,2025-09-10 17:24:00+00:00
1757525340000,0.7123,0.7123,0.7123,1,0.7123,1400,0.7123,2025-09-10 17:29:00+00:00
1757525400000,0.7176,0.7176,0.7176,1,0.7176,100,0.7176,2025-09-10 17:30:00+00:00
1757525580000,0.707,0.707,0.707,6,0.707,3054,0.707,2025-09-10 17:33:00+00:00
1757525640000,0.7057,0.7057,0.7057,1,0.7057,8000,0.7057,2025-09-10 17:34:00+00:00
1757525700000,0.7059,0.7068,0.7056,6,0.7056,411,0.706125,2025-09-10 17:35:00+00:00
1757525820000,0.7057,0.7057,0.7057,3,0.7057,210,0.7057,2025-09-10 17:37:00+00:00
1757525940000,0.7052,0.7057,0.7052,12,0.7057,4097,0.705546,2025-09-10 17:39:00+00:00
1757526000000,0.7022,0.705,0.7015,11,0.705,3640,0.704815,2025-09-10 17:40:00+00:00
1757526060000,0.707,0.707,0.7022,2,0.7022,200,0.7046,2025-09-10 17:41:00+00:00
1757526240000,0.707,0.707,0.707,2,0.707,284,0.707,2025-09-10 17:44:00+00:00
1757526420000,0.71,0.71,0.71,2,0.71,122,0.71,2025-09-10 17:47:00+00:00
1757526960000,0.7054,0.7054,0.7054,2,0.7054,101,0.7054,2025-09-10 17:56:00+00:00
1757527080000,0.71,0.71,0.71,1,0.71,100,0.71,2025-09-10 17:58:00+00:00
1757527260000,0.7042,0.706,0.7042,9,0.706,9530,0.705091,2025-09-10 18:01:00+00:00
