timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758651360000,0.4616,0.4618,0.4616,4,0.4618,375,0.461733,2025-09-23 18:16:00+00:00
1758651540000,0.4615,0.4616,0.4615,5,0.4616,1137,0.461509,2025-09-23 18:19:00+00:00
1758651720000,0.4623,0.4623,0.4616,6,0.4616,716,0.4621,2025-09-23 18:22:00+00:00
1758651780000,0.4627,0.4628,0.4622,16,0.4622,3062,0.46265,2025-09-23 18:23:00+00:00
1758651960000,0.4622,0.4634,0.4622,5,0.4634,15200,0.463392,2025-09-23 18:26:00+00:00
1758652140000,0.4628,0.4628,0.4622,26,0.4622,3696,0.462225,2025-09-23 18:29:00+00:00
1758652200000,0.4633,0.4633,0.4633,1,0.4633,100,0.4633,2025-09-23 18:30:00+00:00
1758652260000,0.4634,0.4634,0.4634,9,0.4634,900,0.4634,2025-09-23 18:31:00+00:00
1758652380000,0.4639,0.464,0.4639,4,0.464,202,0.46395,2025-09-23 18:33:00+00:00
1758652500000,0.468,0.468,0.464,8,0.464,9894,0.467762,2025-09-23 18:35:00+00:00
1758653040000,0.4665,0.4665,0.4665,1,0.4665,1000,0.4665,2025-09-23 18:44:00+00:00
1758653100000,0.4665,0.4665,0.4665,1,0.4665,150,0.4665,2025-09-23 18:45:00+00:00
1758653160000,0.4679,0.4679,0.4679,4,0.4679,3483,0.4679,2025-09-23 18:46:00+00:00
1758653220000,0.4652,0.4666,0.4652,2,0.4666,200,0.4659,2025-09-23 18:47:00+00:00
1758653280000,0.4652,0.4652,0.4651,7,0.4651,5205,0.465102,2025-09-23 18:48:00+00:00
1758653340000,0.4652,0.4652,0.4651,6,0.4651,410,0.465125,2025-09-23 18:49:00+00:00
1758653400000,0.4653,0.4653,0.4653,1,0.4653,100,0.4653,2025-09-23 18:50:00+00:00
1758653460000,0.4647,0.4649,0.4646,13,0.4647,2920,0.464735,2025-09-23 18:51:00+00:00
1758653580000,0.4631,0.4647,0.4631,13,0.4646,33528,0.464178,2025-09-23 18:53:00+00:00
1758653640000,0.4632,0.4632,0.4632,1,0.4632,100,0.4632,2025-09-23 18:54:00+00:00
1758653700000,0.4632,0.4632,0.4632,7,0.4632,713,0.4632,2025-09-23 18:55:00+00:00
1758653760000,0.4631,0.4631,0.4631,1,0.4631,100,0.4631,2025-09-23 18:56:00+00:00
1758653880000,0.4631,0.4631,0.4631,1,0.4631,100,0.4631,2025-09-23 18:58:00+00:00
1758654000000,0.4632,0.4663,0.4632,36,0.4632,4680,0.463385,2025-09-23 19:00:00+00:00
1758654060000,0.4632,0.4632,0.4632,7,0.4632,700,0.4632,2025-09-23 19:01:00+00:00
1758654120000,0.4633,0.4633,0.4633,8,0.4633,574,0.4633,2025-09-23 19:02:00+00:00
1758654360000,0.4632,0.4632,0.4632,1,0.4632,100,0.4632,2025-09-23 19:06:00+00:00
1758654600000,0.4629,0.4637,0.4629,7,0.4634,7700,0.463075,2025-09-23 19:10:00+00:00
1758654660000,0.46,0.4622,0.46,51,0.4622,59776,0.460542,2025-09-23 19:11:00+00:00
1758654720000,0.46,0.4601,0.46,10,0.4601,2494,0.460011,2025-09-23 19:12:00+00:00
1758654780000,0.4569,0.4569,0.4562,19,0.4564,3135,0.456727,2025-09-23 19:13:00+00:00
1758654840000,0.4568,0.4568,0.4568,1,0.4568,109,0.4568,2025-09-23 19:14:00+00:00
1758654900000,0.4573,0.4573,0.4573,2,0.4573,137,0.4573,2025-09-23 19:15:00+00:00
1758654960000,0.457,0.457,0.457,3,0.457,3013,0.457,2025-09-23 19:16:00+00:00
1758655020000,0.4578,0.4578,0.4577,3,0.4577,300,0.457733,2025-09-23 19:17:00+00:00
1758655080000,0.4578,0.4578,0.4578,2,0.4578,503,0.4578,2025-09-23 19:18:00+00:00
1758655140000,0.4573,0.4573,0.4573,1,0.4573,210,0.4573,2025-09-23 19:19:00+00:00
1758655200000,0.4555,0.4578,0.4555,15,0.4578,7434,0.457263,2025-09-23 19:20:00+00:00
1758655440000,0.4571,0.4573,0.4571,19,0.4573,1500,0.457213,2025-09-23 19:24:00+00:00
1758655740000,0.4566,0.4566,0.4566,1,0.4566,100,0.4566,2025-09-23 19:29:00+00:00
1758655860000,0.4541,0.4564,0.4541,19,0.4564,24212,0.45576,2025-09-23 19:31:00+00:00
1758655920000,0.4549,0.4549,0.4549,1,0.4549,252,0.4549,2025-09-23 19:32:00+00:00
