timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757424600000,27.08,27.77,27.08,3,27.77,600,27.446667,2025-09-09 13:30:00+00:00
1757424660000,26.35,26.56,26.24,5,26.56,601,26.383333,2025-09-09 13:31:00+00:00
1757424900000,27.0,27.0,27.0,1,27.0,200,27.0,2025-09-09 13:35:00+00:00
1757426100000,26.4,26.4,26.4,4,26.4,181,26.4,2025-09-09 13:55:00+00:00
1757426220000,26.76,26.76,26.76,2,26.76,126,26.76,2025-09-09 13:57:00+00:00
1757427000000,26.5,26.5,26.5,3,26.5,800,26.5,2025-09-09 14:10:00+00:00
1757427060000,26.5,26.5,26.5,3,26.5,701,26.5,2025-09-09 14:11:00+00:00
1757429280000,25.55,25.55,25.55,1,25.55,100,25.55,2025-09-09 14:48:00+00:00
1757430720000,26.21,26.21,26.21,1,26.21,108,26.21,2025-09-09 15:12:00+00:00
1757438580000,28.17,28.17,27.89,12,28.16,2000,28.112073,2025-09-09 17:23:00+00:00
1757438640000,28.17,28.17,28.17,3,28.17,216,28.17,2025-09-09 17:24:00+00:00
1757438880000,27.8,27.8,27.8,1,27.8,520,27.8,2025-09-09 17:28:00+00:00
1757440080000,27.9056,28.152,27.9056,2,28.152,2200,27.928,2025-09-09 17:48:00+00:00
1757443140000,29.0,29.0,28.9,2,28.9,500,28.96,2025-09-09 18:39:00+00:00
1757443620000,29.5,29.5,29.35,2,29.35,1000,29.47,2025-09-09 18:47:00+00:00
1757443680000,29.5,29.5,29.5,1,29.5,100,29.5,2025-09-09 18:48:00+00:00
1757443740000,29.6,29.6,29.6,3,29.6,1000,29.6,2025-09-09 18:49:00+00:00
1757443800000,29.5,29.5,29.5,4,29.5,1001,29.5,2025-09-09 18:50:00+00:00
1757443980000,29.75,29.75,29.75,1,29.75,100,29.75,2025-09-09 18:53:00+00:00
1757445180000,29.25,29.25,29.25,4,29.25,139,29.25,2025-09-09 19:13:00+00:00
1757446980000,28.595,28.595,28.595,1,28.595,100,28.595,2025-09-09 19:43:00+00:00
