timeStamp,close,high,low,trade_count,open,volume,vwap,date
1750779360000,6.5981,6.5981,6.5981,1,6.5981,750,6.5981,2025-06-24 15:36:00+00:00
1750782600000,6.69,6.69,6.69,1,6.69,375,6.69,2025-06-24 16:30:00+00:00
1750782660000,6.7863,6.7863,6.7863,1,6.7863,375,6.7863,2025-06-24 16:31:00+00:00
1750784400000,6.77,6.77,6.77,1,6.77,100,6.77,2025-06-24 17:00:00+00:00
1750790700000,6.69,6.69,6.69,1,6.69,100,6.69,2025-06-24 18:45:00+00:00
1750794420000,6.7849,6.7849,6.7849,1,6.7849,350,6.7849,2025-06-24 19:47:00+00:00
1750794900000,6.7811,6.7811,6.7811,1,6.7811,175,6.7811,2025-06-24 19:55:00+00:00
1750858200000,6.84,6.84,6.84,5,6.84,382,6.84,2025-06-25 13:30:00+00:00
1750858260000,6.9548,6.9548,6.855,3,6.855,206,6.9049,2025-06-25 13:31:00+00:00
1750858980000,6.808,6.808,6.808,1,6.808,125,6.808,2025-06-25 13:43:00+00:00
1750860540000,6.8708,6.8708,6.8708,3,6.8708,1108,6.8708,2025-06-25 14:09:00+00:00
1750860780000,6.8,6.8,6.8,1,6.8,405,6.8,2025-06-25 14:13:00+00:00
1750860960000,6.6545,6.6545,6.6545,1,6.6545,500,6.6545,2025-06-25 14:16:00+00:00
1750862280000,6.8259,6.8259,6.8259,1,6.8259,329,6.8259,2025-06-25 14:38:00+00:00
1750862580000,6.9099,6.9099,6.88,2,6.88,200,6.89495,2025-06-25 14:43:00+00:00
1750863900000,6.91,6.91,6.91,2,6.91,111,6.91,2025-06-25 15:05:00+00:00
1750864320000,6.85,6.85,6.8498,2,6.8498,200,6.8499,2025-06-25 15:12:00+00:00
1750864380000,6.91,6.91,6.88,7,6.88,2210,6.907143,2025-06-25 15:13:00+00:00
1750866780000,7.0,7.0,7.0,6,7.0,302,7.0,2025-06-25 15:53:00+00:00
1750867620000,6.9605,6.9605,6.9605,2,6.9605,351,6.9605,2025-06-25 16:07:00+00:00
1750869180000,6.9999,6.9999,6.8558,5,6.99,501,6.9565,2025-06-25 16:33:00+00:00
1750869240000,7.0,7.0,7.0,6,7.0,459,7.0,2025-06-25 16:34:00+00:00
1750869360000,7.0744,7.0744,6.78,3,6.78,1563,7.011094,2025-06-25 16:36:00+00:00
1750869720000,7.175,7.41,7.1,16,7.1,1673,7.150561,2025-06-25 16:42:00+00:00
1750869780000,7.4557,7.4557,7.4557,1,7.4557,125,7.4557,2025-06-25 16:43:00+00:00
1750869840000,7.4159,7.4159,7.4159,2,7.4159,626,7.4159,2025-06-25 16:44:00+00:00
1750870500000,7.4,7.4,7.4,2,7.4,370,7.4,2025-06-25 16:55:00+00:00
1750871340000,6.85,6.85,6.85,1,6.85,200,6.85,2025-06-25 17:09:00+00:00
1750871880000,7.26,7.26,7.25,4,7.25,635,7.251861,2025-06-25 17:18:00+00:00
1750873680000,6.906,6.906,6.906,1,6.906,378,6.906,2025-06-25 17:48:00+00:00
1750873980000,7.19,7.19,7.1,2,7.1,200,7.145,2025-06-25 17:53:00+00:00
1750874040000,7.1,7.1,7.1,1,7.1,100,7.1,2025-06-25 17:54:00+00:00
1750874520000,7.15,7.15,7.075,2,7.075,200,7.1125,2025-06-25 18:02:00+00:00
1750875060000,7.125,7.125,7.125,7,7.125,201,7.125,2025-06-25 18:11:00+00:00
1750875600000,7.125,7.125,7.125,1,7.125,100,7.125,2025-06-25 18:20:00+00:00
1750875720000,7.09,7.17,7.09,8,7.17,701,7.101429,2025-06-25 18:22:00+00:00
1750875780000,7.05,7.1,7.05,5,7.08,402,7.06995,2025-06-25 18:23:00+00:00
1750875840000,7.0,7.06,7.0,2,7.06,265,7.022642,2025-06-25 18:24:00+00:00
1750876320000,6.96,6.96,6.96,1,6.96,100,6.96,2025-06-25 18:32:00+00:00
1750878120000,6.96,6.96,6.96,1,6.96,100,6.96,2025-06-25 19:02:00+00:00
1750878180000,6.9696,6.9696,6.9696,1,6.9696,125,6.9696,2025-06-25 19:03:00+00:00
1750878240000,7.16,7.16,7.16,2,7.16,234,7.16,2025-06-25 19:04:00+00:00
1750948200000,6.93,6.93,6.9287,6,6.93,486,6.929723,2025-06-26 14:30:00+00:00
1750948260000,6.93,6.93,6.93,3,6.93,201,6.93,2025-06-26 14:31:00+00:00
1750948320000,6.98,6.98,6.97,3,6.98,600,6.978333,2025-06-26 14:32:00+00:00
1750948440000,7.05,7.11,7.05,13,7.07,535,7.0775,2025-06-26 14:34:00+00:00
1750948560000,7.0,7.0001,7.0,5,7.0,987,7.00001,2025-06-26 14:36:00+00:00
1750950720000,7.2734,7.2734,7.2734,1,7.2734,175,7.2734,2025-06-26 15:12:00+00:00
1750950840000,7.065,7.065,7.065,1,7.065,375,7.065,2025-06-26 15:14:00+00:00
1750951080000,7.2667,7.2667,7.2667,1,7.2667,125,7.2667,2025-06-26 15:18:00+00:00
1750952100000,7.2275,7.2275,7.2275,1,7.2275,375,7.2275,2025-06-26 15:35:00+00:00
1750953060000,7.02,7.02,7.02,1,7.02,101,7.02,2025-06-26 15:51:00+00:00
1750954020000,7.12,7.12,7.12,1,7.12,100,7.12,2025-06-26 16:07:00+00:00
1750955880000,7.12,7.12,7.11,2,7.11,232,7.11569,2025-06-26 16:38:00+00:00
1750956720000,7.1195,7.1195,7.1195,1,7.1195,549,7.1195,2025-06-26 16:52:00+00:00
1750962120000,7.06,7.06,7.06,2,7.06,101,7.06,2025-06-26 18:22:00+00:00
1750962180000,7.06,7.06,7.06,1,7.06,147,7.06,2025-06-26 18:23:00+00:00
1750965600000,7.06,7.06,7.06,2,7.06,216,7.06,2025-06-26 19:20:00+00:00
1750965900000,7.0,7.0,7.0,1,7.0,100,7.0,2025-06-26 19:25:00+00:00
1750965960000,6.9,6.925,6.9,10,6.925,912,6.906658,2025-06-26 19:26:00+00:00
1750966380000,6.904,6.904,6.904,1,6.904,200,6.904,2025-06-26 19:33:00+00:00
1750967220000,6.9818,6.9818,6.9818,1,6.9818,125,6.9818,2025-06-26 19:47:00+00:00
1750967280000,6.904,6.9818,6.904,2,6.9818,500,6.92345,2025-06-26 19:48:00+00:00
1750967340000,6.8,6.8,6.8,1,6.8,550,6.8,2025-06-26 19:49:00+00:00
1750967400000,6.8905,6.9999,6.8905,14,6.9999,816,6.920167,2025-06-26 19:50:00+00:00
1751031000000,6.91,6.91,6.91,9,6.91,661,6.91,2025-06-27 13:30:00+00:00
1751031840000,6.91,6.91,6.91,2,6.91,598,6.91,2025-06-27 13:44:00+00:00
1751032920000,7.0407,7.0407,7.0407,1,7.0407,125,7.0407,2025-06-27 14:02:00+00:00
1751033880000,6.91,6.91,6.84,6,6.84,455,6.864098,2025-06-27 14:18:00+00:00
1751034840000,6.9,6.9,6.84,3,6.84,325,6.872727,2025-06-27 14:34:00+00:00
1751034900000,6.84,6.84,6.84,2,6.84,111,6.84,2025-06-27 14:35:00+00:00
1751035260000,6.98,6.98,6.98,4,6.98,130,6.98,2025-06-27 14:41:00+00:00
1751035980000,6.84,6.84,6.84,1,6.84,280,6.84,2025-06-27 14:53:00+00:00
1751036640000,6.84,6.84,6.84,2,6.84,200,6.84,2025-06-27 15:04:00+00:00
1751044260000,7.0286,7.0286,7.0286,1,7.0286,125,7.0286,2025-06-27 17:11:00+00:00
1751054100000,6.8208,6.8208,6.8208,1,6.8208,190,6.8208,2025-06-27 19:55:00+00:00
1751290200000,6.82,6.82,6.82,4,6.82,119,6.82,2025-06-30 13:30:00+00:00
