timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758117240000,0.4443,0.4443,0.4429,2,0.4429,400,0.44395,2025-09-17 13:54:00+00:00
1758117360000,0.4442,0.4497,0.4397,4,0.4497,5443,0.449179,2025-09-17 13:56:00+00:00
1758117540000,0.4442,0.4442,0.4442,2,0.4442,717,0.4442,2025-09-17 13:59:00+00:00
1758117660000,0.4382,0.4444,0.4382,14,0.4444,8485,0.438872,2025-09-17 14:01:00+00:00
1758117720000,0.4382,0.4397,0.4382,3,0.4397,1140,0.439564,2025-09-17 14:02:00+00:00
1758118080000,0.4412,0.4412,0.4385,24,0.4396,14299,0.439746,2025-09-17 14:08:00+00:00
1758118140000,0.4483,0.4483,0.4401,3,0.4401,1401,0.445957,2025-09-17 14:09:00+00:00
1758118200000,0.4401,0.4401,0.4401,2,0.4401,201,0.4401,2025-09-17 14:10:00+00:00
1758118380000,0.4499,0.4499,0.4499,4,0.4499,213,0.4499,2025-09-17 14:13:00+00:00
1758118800000,0.4447,0.4447,0.4447,2,0.4447,140,0.4447,2025-09-17 14:20:00+00:00
1758118860000,0.448,0.448,0.443,3,0.443,2600,0.443192,2025-09-17 14:21:00+00:00
1758118920000,0.4479,0.4479,0.4479,3,0.4479,300,0.4479,2025-09-17 14:22:00+00:00
1758118980000,0.445,0.445,0.445,2,0.445,2040,0.445,2025-09-17 14:23:00+00:00
1758119040000,0.444,0.445,0.444,3,0.445,2502,0.4442,2025-09-17 14:24:00+00:00
1758119100000,0.445,0.445,0.4425,12,0.4425,1320,0.444509,2025-09-17 14:25:00+00:00
1758119160000,0.4463,0.4463,0.4463,2,0.4463,251,0.4463,2025-09-17 14:26:00+00:00
1758119220000,0.444,0.4449,0.4439,8,0.4449,2729,0.444479,2025-09-17 14:27:00+00:00
1758119280000,0.4495,0.4495,0.4474,5,0.4474,1200,0.449294,2025-09-17 14:28:00+00:00
1758119340000,0.4495,0.4495,0.4465,2,0.4465,300,0.4475,2025-09-17 14:29:00+00:00
1758119400000,0.4477,0.4477,0.4477,2,0.4477,105,0.4477,2025-09-17 14:30:00+00:00
1758119460000,0.4469,0.4486,0.4467,5,0.4467,3800,0.448324,2025-09-17 14:31:00+00:00
1758119520000,0.4479,0.4493,0.4479,3,0.4493,2600,0.449138,2025-09-17 14:32:00+00:00
1758119580000,0.4479,0.4495,0.4464,9,0.4495,1108,0.4486,2025-09-17 14:33:00+00:00
1758119640000,0.4479,0.4479,0.4479,1,0.4479,100,0.4479,2025-09-17 14:34:00+00:00
1758119940000,0.4488,0.4499,0.4479,12,0.4494,4125,0.449481,2025-09-17 14:39:00+00:00
1758120060000,0.4518,0.4545,0.4491,18,0.4499,11344,0.451666,2025-09-17 14:41:00+00:00
1758120180000,0.4545,0.4545,0.4545,3,0.4545,205,0.4545,2025-09-17 14:43:00+00:00
1758120300000,0.4493,0.4597,0.4493,2,0.4597,690,0.450807,2025-09-17 14:45:00+00:00
1758120480000,0.4564,0.4599,0.4564,2,0.4599,1100,0.456718,2025-09-17 14:48:00+00:00
1758120600000,0.4598,0.4598,0.4598,1,0.4598,141,0.4598,2025-09-17 14:50:00+00:00
