timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758117180000,0.401,0.401,0.401,1,0.401,1000,0.401,2025-09-17 13:53:00+00:00
1758117420000,0.41,0.41,0.41,3,0.41,154,0.41,2025-09-17 13:57:00+00:00
1758117540000,0.4102,0.4102,0.4102,1,0.4102,250,0.4102,2025-09-17 13:59:00+00:00
1758117780000,0.4,0.401,0.4,8,0.401,6969,0.400145,2025-09-17 14:03:00+00:00
1758118260000,0.4044,0.4044,0.4044,1,0.4044,2000,0.4044,2025-09-17 14:11:00+00:00
1758118440000,0.4044,0.4044,0.4044,2,0.4044,571,0.4044,2025-09-17 14:14:00+00:00
1758118500000,0.407,0.4114,0.407,18,0.407,1800,0.407244,2025-09-17 14:15:00+00:00
1758118560000,0.4156,0.4156,0.407,23,0.407,2300,0.411909,2025-09-17 14:16:00+00:00
1758118680000,0.3995,0.3995,0.3995,1,0.3995,300,0.3995,2025-09-17 14:18:00+00:00
1758118800000,0.408,0.408,0.408,1,0.408,1905,0.408,2025-09-17 14:20:00+00:00
1758118860000,0.41,0.41,0.41,1,0.41,100,0.41,2025-09-17 14:21:00+00:00
1758118980000,0.4081,0.4081,0.4081,1,0.4081,2500,0.4081,2025-09-17 14:23:00+00:00
1758119040000,0.41,0.41,0.4007,2,0.4007,6600,0.400841,2025-09-17 14:24:00+00:00
1758119280000,0.4,0.4,0.4,1,0.4,400,0.4,2025-09-17 14:28:00+00:00
1758119340000,0.401,0.401,0.401,1,0.401,907,0.401,2025-09-17 14:29:00+00:00
1758119880000,0.4047,0.4047,0.4047,1,0.4047,5000,0.4047,2025-09-17 14:38:00+00:00
1758120060000,0.4202,0.4202,0.4085,17,0.416,2502,0.412214,2025-09-17 14:41:00+00:00
1758120120000,0.4204,0.4205,0.4107,14,0.4205,4505,0.417887,2025-09-17 14:42:00+00:00
1758120180000,0.4203,0.4205,0.4203,5,0.4203,2500,0.42038,2025-09-17 14:43:00+00:00
1758120240000,0.4203,0.4205,0.4203,3,0.4205,606,0.420467,2025-09-17 14:44:00+00:00
1758120540000,0.4176,0.4176,0.4065,4,0.4065,624,0.408326,2025-09-17 14:49:00+00:00
1758120600000,0.415,0.415,0.415,1,0.415,100,0.415,2025-09-17 14:50:00+00:00
1758121560000,0.4199,0.4199,0.4199,1,0.4199,3654,0.4199,2025-09-17 15:06:00+00:00
1758121920000,0.4148,0.4148,0.4148,1,0.4148,129,0.4148,2025-09-17 15:12:00+00:00
1758122280000,0.4205,0.4205,0.4198,4,0.4198,258,0.420215,2025-09-17 15:18:00+00:00
1758122400000,0.4157,0.4157,0.4157,1,0.4157,3654,0.4157,2025-09-17 15:20:00+00:00
1758123240000,0.4175,0.4175,0.4175,6,0.4175,241,0.4175,2025-09-17 15:34:00+00:00
1758123360000,0.4175,0.4175,0.4175,2,0.4175,1005,0.4175,2025-09-17 15:36:00+00:00
1758123720000,0.41,0.41,0.41,1,0.41,200,0.41,2025-09-17 15:42:00+00:00
1758123960000,0.4242,0.4242,0.4242,1,0.4242,750,0.4242,2025-09-17 15:46:00+00:00
1758124020000,0.4175,0.4175,0.4175,1,0.4175,500,0.4175,2025-09-17 15:47:00+00:00
1758124380000,0.425,0.425,0.425,1,0.425,203,0.425,2025-09-17 15:53:00+00:00
1758124500000,0.4175,0.4175,0.4175,2,0.4175,4054,0.4175,2025-09-17 15:55:00+00:00
1758124560000,0.41,0.41,0.41,1,0.41,2000,0.41,2025-09-17 15:56:00+00:00
1758125580000,0.4138,0.4138,0.4138,2,0.4138,549,0.4138,2025-09-17 16:13:00+00:00
1758125700000,0.4194,0.4194,0.4194,2,0.4194,208,0.4194,2025-09-17 16:15:00+00:00
1758126060000,0.415,0.415,0.41,6,0.4137,10821,0.413245,2025-09-17 16:21:00+00:00
1758126120000,0.4125,0.4125,0.4112,8,0.4125,20316,0.412339,2025-09-17 16:22:00+00:00
1758126180000,0.4049,0.4103,0.4049,8,0.4103,13046,0.409822,2025-09-17 16:23:00+00:00
1758126420000,0.4125,0.4125,0.4125,3,0.4125,7502,0.4125,2025-09-17 16:27:00+00:00
1758127080000,0.4048,0.4048,0.4048,3,0.4048,301,0.4048,2025-09-17 16:38:00+00:00
1758127140000,0.42,0.42,0.4044,83,0.407,42806,0.410902,2025-09-17 16:39:00+00:00
